Date,Rbs Global
2006-12-22,40
2006-12-23,40
2006-12-24,40
2006-12-25,40
2006-12-26,40
2006-12-27,40
2006-12-28,40
2006-12-29,40
2006-12-30,40
2006-12-31,40
2007-01-01,40
2007-01-02,40
2007-01-03,40
2007-01-04,40
2007-01-05,40
2007-01-06,40
2007-01-07,40
2007-01-08,40
2007-01-09,40
2007-01-10,40
2007-01-11,40
2007-01-12,40
2007-01-13,40
2007-01-14,40
2007-01-15,40
2007-01-16,40
2007-01-17,40
2007-01-18,40
2007-01-19,40
2007-01-20,40
2007-01-21,40
2007-01-22,40
2007-01-23,40
2007-01-24,40
2007-01-25,40
2007-01-26,40
2007-01-27,40
2007-01-28,40
2007-01-29,40
2007-01-30,40
2007-01-31,40
2007-02-01,40
2007-02-02,40
2007-02-03,40
2007-02-04,40
2007-02-05,40
2007-02-06,40
2007-02-07,40
2007-02-08,40
2007-02-09,40
2007-02-10,40
2007-02-11,40
2007-02-12,40
2007-02-13,40
2007-02-14,40
2007-02-15,40
2007-02-16,40
2007-02-17,40
2007-02-18,40
2007-02-19,40
2007-02-20,40
2007-02-21,40
2007-02-22,40
2007-02-23,40
2007-02-24,40
2007-02-25,40
2007-02-26,40
2007-02-27,40
2007-02-28,40
2007-03-01,40
2007-03-02,40
2007-03-03,40
2007-03-04,40
2007-03-05,40
2007-03-06,40
2007-03-07,40
2007-03-08,40
2007-03-09,40
2007-03-10,40
2007-03-11,40
2007-03-12,40
2007-03-13,40
2007-03-14,40
2007-03-15,40
2007-03-16,40
2007-03-17,40
2007-03-18,40
2007-03-19,40
2007-03-20,40
2007-03-21,40
2007-03-22,40
2007-03-23,40
2007-03-24,40
2007-03-25,40
2007-03-26,40
2007-03-27,40
2007-03-28,40
2007-03-29,40
2007-03-30,40
2007-03-31,40
2007-04-01,41
2007-04-02,40
2007-04-03,40
2007-04-04,40
2007-04-05,40
2007-04-06,40
2007-04-07,40
2007-04-08,40
2007-04-09,40
2007-04-10,40
2007-04-11,40
2007-04-12,40
2007-04-13,40
2007-04-14,40
2007-04-15,40
2007-04-16,40
2007-04-17,39
2007-04-18,39
2007-04-19,39
2007-04-20,39
2007-04-21,39
2007-04-22,39
2007-04-23,39
2007-04-24,39
2007-04-25,39
2007-04-26,39
2007-04-27,39
2007-04-28,39
2007-04-29,39
2007-04-30,39
2007-05-01,39
2007-05-02,39
2007-05-03,40
2007-05-04,41
2007-05-05,42
2007-05-06,42
2007-05-07,43
2007-05-08,44
2007-05-09,45
2007-05-10,45
2007-05-11,46
2007-05-12,47
2007-05-13,48
2007-05-14,49
2007-05-15,49
2007-05-16,50
2007-05-17,51
2007-05-18,52
2007-05-19,52
2007-05-20,53
2007-05-21,54
2007-05-22,55
2007-05-23,56
2007-05-24,56
2007-05-25,57
2007-05-26,58
2007-05-27,59
2007-05-28,59
2007-05-29,60
2007-05-30,61
2007-05-31,62
2007-06-01,63
2007-06-02,63
2007-06-03,64
2007-06-04,65
2007-06-05,66
2007-06-06,67
2007-06-07,67
2007-06-08,68
2007-06-09,69
2007-06-10,70
2007-06-11,71
2007-06-12,71
2007-06-13,72
2007-06-14,73
2007-06-15,74
2007-06-16,75
2007-06-17,75
2007-06-18,76
2007-06-19,77
2007-06-20,78
2007-06-21,79
2007-06-22,79
2007-06-23,80
2007-06-24,81
2007-06-25,82
2007-06-26,83
2007-06-27,83
2007-06-28,84
2007-06-29,85
2007-06-30,86
2007-07-01,87
2007-07-02,85
2007-07-03,84
2007-07-04,83
2007-07-05,81
2007-07-06,80
2007-07-07,79
2007-07-08,77
2007-07-09,76
2007-07-10,75
2007-07-11,73
2007-07-12,72
2007-07-13,71
2007-07-14,69
2007-07-15,68
2007-07-16,67
2007-07-17,65
2007-07-18,64
2007-07-19,63
2007-07-20,61
2007-07-21,60
2007-07-22,59
2007-07-23,57
2007-07-24,56
2007-07-25,55
2007-07-26,53
2007-07-27,52
2007-07-28,51
2007-07-29,49
2007-07-30,48
2007-07-31,47
2007-08-01,46
2007-08-02,46
2007-08-03,47
2007-08-04,47
2007-08-05,48
2007-08-06,48
2007-08-07,49
2007-08-08,50
2007-08-09,50
2007-08-10,51
2007-08-11,51
2007-08-12,52
2007-08-13,52
2007-08-14,53
2007-08-15,54
2007-08-16,54
2007-08-17,55
2007-08-18,55
2007-08-19,56
2007-08-20,57
2007-08-21,57
2007-08-22,58
2007-08-23,58
2007-08-24,59
2007-08-25,59
2007-08-26,60
2007-08-27,61
2007-08-28,61
2007-08-29,62
2007-08-30,62
2007-08-31,63
2007-09-01,64
2007-09-02,65
2007-09-03,66
2007-09-04,67
2007-09-05,68
2007-09-06,70
2007-09-07,71
2007-09-08,72
2007-09-09,73
2007-09-10,74
2007-09-11,76
2007-09-12,77
2007-09-13,78
2007-09-14,79
2007-09-15,80
2007-09-16,82
2007-09-17,83
2007-09-18,84
2007-09-19,85
2007-09-20,86
2007-09-21,88
2007-09-22,89
2007-09-23,90
2007-09-24,91
2007-09-25,92
2007-09-26,94
2007-09-27,95
2007-09-28,96
2007-09-29,97
2007-09-30,98
2007-10-01,100
2007-10-02,99
2007-10-03,99
2007-10-04,99
2007-10-05,99
2007-10-06,99
2007-10-07,98
2007-10-08,98
2007-10-09,98
2007-10-10,98
2007-10-11,98
2007-10-12,97
2007-10-13,97
2007-10-14,97
2007-10-15,97
2007-10-16,97
2007-10-17,96
2007-10-18,96
2007-10-19,96
2007-10-20,96
2007-10-21,96
2007-10-22,95
2007-10-23,95
2007-10-24,95
2007-10-25,95
2007-10-26,95
2007-10-27,94
2007-10-28,94
2007-10-29,94
2007-10-30,94
2007-10-31,94
2007-11-01,94
2007-11-02,93
2007-11-03,92
2007-11-04,91
2007-11-05,91
2007-11-06,90
2007-11-07,89
2007-11-08,88
2007-11-09,88
2007-11-10,87
2007-11-11,86
2007-11-12,85
2007-11-13,85
2007-11-14,84
2007-11-15,83
2007-11-16,83
2007-11-17,82
2007-11-18,81
2007-11-19,80
2007-11-20,80
2007-11-21,79
2007-11-22,78
2007-11-23,77
2007-11-24,77
2007-11-25,76
2007-11-26,75
2007-11-27,74
2007-11-28,74
2007-11-29,73
2007-11-30,72
2007-12-01,72
2007-12-02,72
2007-12-03,73
2007-12-04,74
2007-12-05,74
2007-12-06,75
2007-12-07,76
2007-12-08,76
2007-12-09,77
2007-12-10,78
2007-12-11,79
2007-12-12,79
2007-12-13,80
2007-12-14,81
2007-12-15,81
2007-12-16,82
2007-12-17,83
2007-12-18,84
2007-12-19,84
2007-12-20,85
2007-12-21,86
2007-12-22,86
2007-12-23,87
2007-12-24,88
2007-12-25,89
2007-12-26,89
2007-12-27,90
2007-12-28,91
2007-12-29,91
2007-12-30,92
2007-12-31,93
