Date,Essent Group
2013-07-23,0
2013-07-24,0
2013-07-25,0
2013-07-26,0
2013-07-27,0
2013-07-28,0
2013-07-29,0
2013-07-30,0
2013-07-31,0
2013-08-01,0
2013-08-02,1
2013-08-03,3
2013-08-04,5
2013-08-05,7
2013-08-06,8
2013-08-07,10
2013-08-08,12
2013-08-09,14
2013-08-10,15
2013-08-11,17
2013-08-12,19
2013-08-13,21
2013-08-14,23
2013-08-15,24
2013-08-16,26
2013-08-17,28
2013-08-18,30
2013-08-19,31
2013-08-20,33
2013-08-21,35
2013-08-22,37
2013-08-23,39
2013-08-24,40
2013-08-25,42
2013-08-26,44
2013-08-27,46
2013-08-28,47
2013-08-29,49
2013-08-30,51
2013-08-31,53
2013-09-01,55
2013-09-02,56
2013-09-03,58
2013-09-04,59
2013-09-05,61
2013-09-06,62
2013-09-07,64
2013-09-08,65
2013-09-09,67
2013-09-10,68
2013-09-11,70
2013-09-12,71
2013-09-13,73
2013-09-14,74
2013-09-15,76
2013-09-16,77
2013-09-17,79
2013-09-18,80
2013-09-19,82
2013-09-20,83
2013-09-21,85
2013-09-22,86
2013-09-23,88
2013-09-24,89
2013-09-25,91
2013-09-26,92
2013-09-27,94
2013-09-28,95
2013-09-29,97
2013-09-30,98
2013-10-01,100
2013-10-02,98
2013-10-03,96
2013-10-04,94
2013-10-05,92
2013-10-06,90
2013-10-07,88
2013-10-08,87
2013-10-09,85
2013-10-10,83
2013-10-11,81
2013-10-12,79
2013-10-13,77
2013-10-14,76
2013-10-15,74
2013-10-16,72
2013-10-17,70
2013-10-18,68
2013-10-19,66
2013-10-20,65
2013-10-21,63
2013-10-22,61
2013-10-23,59
2013-10-24,57
2013-10-25,55
2013-10-26,54
2013-10-27,52
2013-10-28,50
2013-10-29,48
2013-10-30,46
2013-10-31,44
2013-11-01,43
2013-11-02,42
2013-11-03,42
2013-11-04,42
2013-11-05,42
2013-11-06,42
2013-11-07,42
2013-11-08,42
2013-11-09,41
2013-11-10,41
2013-11-11,41
2013-11-12,41
2013-11-13,41
2013-11-14,41
2013-11-15,41
2013-11-16,41
2013-11-17,40
2013-11-18,40
2013-11-19,40
2013-11-20,40
2013-11-21,40
2013-11-22,40
2013-11-23,40
2013-11-24,39
2013-11-25,39
2013-11-26,39
2013-11-27,39
2013-11-28,39
2013-11-29,39
2013-11-30,39
2013-12-01,39
2013-12-02,37
2013-12-03,36
2013-12-04,35
2013-12-05,33
2013-12-06,32
2013-12-07,31
2013-12-08,30
2013-12-09,28
2013-12-10,27
2013-12-11,26
2013-12-12,25
2013-12-13,23
2013-12-14,22
2013-12-15,21
2013-12-16,20
2013-12-17,18
2013-12-18,17
2013-12-19,16
2013-12-20,15
2013-12-21,13
2013-12-22,12
2013-12-23,11
2013-12-24,10
2013-12-25,8
2013-12-26,7
2013-12-27,6
2013-12-28,5
2013-12-29,3
2013-12-30,2
2013-12-31,1
2014-01-01,0
2014-01-02,0
2014-01-03,0
2014-01-04,0
2014-01-05,0
2014-01-06,0
2014-01-07,0
2014-01-08,0
2014-01-09,0
2014-01-10,0
2014-01-11,0
2014-01-12,0
2014-01-13,0
2014-01-14,0
2014-01-15,0
2014-01-16,0
2014-01-17,0
2014-01-18,0
2014-01-19,0
2014-01-20,0
2014-01-21,0
2014-01-22,0
2014-01-23,0
2014-01-24,0
2014-01-25,0
2014-01-26,0
2014-01-27,0
2014-01-28,0
2014-01-29,0
2014-01-30,0
2014-01-31,0
