Date,Meru Networks
2009-06-13,19
2009-06-14,19
2009-06-15,20
2009-06-16,21
2009-06-17,21
2009-06-18,22
2009-06-19,23
2009-06-20,24
2009-06-21,24
2009-06-22,25
2009-06-23,26
2009-06-24,27
2009-06-25,27
2009-06-26,28
2009-06-27,29
2009-06-28,28
2009-06-29,26
2009-06-30,24
2009-07-01,23
2009-07-02,21
2009-07-03,20
2009-07-04,19
2009-07-05,19
2009-07-06,20
2009-07-07,20
2009-07-08,21
2009-07-09,21
2009-07-10,22
2009-07-11,23
2009-07-12,22
2009-07-13,22
2009-07-14,21
2009-07-15,21
2009-07-16,20
2009-07-17,20
2009-07-18,20
2009-07-19,20
2009-07-20,20
2009-07-21,20
2009-07-22,20
2009-07-23,20
2009-07-24,20
2009-07-25,20
2009-07-26,20
2009-07-27,20
2009-07-28,20
2009-07-29,20
2009-07-30,20
2009-07-31,20
2009-08-01,21
2009-08-02,22
2009-08-03,24
2009-08-04,26
2009-08-05,27
2009-08-06,29
2009-08-07,31
2009-08-08,33
2009-08-09,31
2009-08-10,29
2009-08-11,27
2009-08-12,25
2009-08-13,23
2009-08-14,21
2009-08-15,20
2009-08-16,20
2009-08-17,21
2009-08-18,22
2009-08-19,23
2009-08-20,24
2009-08-21,25
2009-08-22,26
2009-08-23,24
2009-08-24,24
2009-08-25,22
2009-08-26,21
2009-08-27,20
2009-08-28,19
2009-08-29,18
2009-08-30,17
2009-09-06,24
2009-09-07,25
2009-09-08,26
2009-09-09,27
2009-09-10,28
2009-09-11,29
2009-09-12,30
2009-09-13,30
2009-09-14,32
2009-09-15,32
2009-09-16,33
2009-09-17,34
2009-09-18,35
2009-09-19,36
2009-09-20,34
2009-09-21,32
2009-09-22,30
2009-09-23,29
2009-09-24,27
2009-09-25,25
2009-09-26,24
2009-09-27,23
2009-09-28,23
2009-09-29,23
2009-09-30,23
2009-10-01,23
2009-10-02,23
2009-10-03,23
2009-10-04,23
2009-10-05,23
2009-10-06,23
2009-10-07,23
2009-10-08,23
2009-10-09,23
2009-10-10,23
2009-10-11,24
2009-10-12,25
2009-10-13,26
2009-10-14,28
2009-10-15,29
2009-10-16,30
2009-10-17,32
2009-10-18,30
2009-10-19,28
2009-10-20,26
2009-10-21,25
2009-10-22,23
2009-10-23,21
2009-10-24,20
2009-10-25,21
2009-10-26,23
2009-10-27,24
2009-10-28,26
2009-10-29,27
2009-10-30,29
2009-10-31,31
2009-11-01,29
2009-11-02,28
2009-11-03,26
2009-11-04,25
2009-11-05,24
2009-11-06,22
2009-11-07,21
2009-11-08,21
2009-11-09,21
2009-11-10,21
2009-11-11,22
2009-11-12,22
2009-11-13,22
2009-11-14,23
2009-11-15,23
2009-11-16,24
2009-11-17,25
2009-11-18,26
2009-11-19,26
2009-11-20,27
2009-11-21,28
2009-11-22,28
2009-11-23,28
2009-11-24,28
2009-11-25,28
2009-11-26,28
2009-11-27,28
2009-11-28,29
2009-11-29,29
2009-12-06,28
2009-12-07,27
2009-12-08,26
2009-12-09,25
2009-12-10,24
2009-12-11,23
2009-12-12,22
2009-12-13,21
2009-12-14,20
2009-12-15,19
2009-12-16,18
2009-12-17,17
2009-12-18,16
2009-12-19,15
2009-12-20,17
2009-12-21,19
2009-12-22,21
2009-12-23,24
2009-12-24,26
2009-12-25,28
2009-12-26,31
2009-12-27,31
2009-12-28,31
2009-12-29,31
2009-12-30,31
2009-12-31,31
2010-01-01,31
2010-01-02,32
2010-01-03,32
2010-01-04,32
2010-01-05,32
2010-01-06,32
2010-01-07,32
2010-01-08,32
2010-01-09,33
2010-01-10,31
2010-01-11,30
2010-01-12,29
2010-01-13,27
2010-01-14,26
2010-01-15,25
2010-01-16,24
2010-01-17,25
2010-01-18,27
2010-01-19,28
2010-01-20,30
2010-01-21,31
2010-01-22,33
2010-01-23,35
2010-01-24,34
2010-01-25,34
2010-01-26,34
2010-01-27,34
2010-01-28,34
2010-01-29,34
2010-01-30,34
2010-01-31,32
2010-02-01,31
2010-02-02,29
2010-02-03,28
2010-02-04,26
2010-02-05,24
2010-02-06,23
2010-02-07,23
2010-02-08,22
2010-02-09,22
2010-02-10,22
2010-02-11,22
2010-02-12,22
2010-02-13,22
2010-02-14,22
2010-02-15,22
2010-02-16,23
2010-02-17,23
2010-02-18,24
2010-02-19,24
2010-02-20,25
2010-02-21,24
2010-02-22,24
2010-02-23,23
2010-02-24,23
2010-02-25,22
2010-02-26,22
2010-02-27,22
2010-02-28,22
2010-03-07,27
2010-03-08,28
2010-03-09,29
2010-03-10,30
2010-03-11,31
2010-03-12,32
2010-03-13,34
2010-03-14,33
2010-03-15,33
2010-03-16,33
2010-03-17,33
2010-03-18,33
2010-03-19,33
2010-03-20,33
2010-03-21,32
2010-03-22,32
2010-03-23,31
2010-03-24,31
2010-03-25,30
2010-03-26,30
2010-03-27,30
2010-03-28,40
2010-03-29,50
2010-03-30,61
2010-03-31,71
2010-04-01,82
2010-04-02,92
2010-04-03,103
2010-04-04,94
2010-04-05,81
2010-04-06,71
2010-04-07,62
2010-04-08,52
2010-04-09,43
2010-04-10,34
2010-04-11,33
2010-04-12,32
