Date,ACA Capital
2005-11-01,0
2005-11-02,0
2005-11-03,0
2005-11-04,0
2005-11-05,0
2005-11-06,0
2005-11-07,0
2005-11-08,0
2005-11-09,0
2005-11-10,0
2005-11-11,0
2005-11-12,0
2005-11-13,0
2005-11-14,0
2005-11-15,0
2005-11-16,0
2005-11-17,0
2005-11-18,0
2005-11-19,0
2005-11-20,0
2005-11-21,0
2005-11-22,0
2005-11-23,0
2005-11-24,0
2005-11-25,0
2005-11-26,0
2005-11-27,0
2005-11-28,0
2005-11-29,0
2005-11-30,0
2005-12-01,0
2005-12-02,0
2005-12-03,0
2005-12-04,0
2005-12-05,0
2005-12-06,0
2005-12-07,0
2005-12-08,0
2005-12-09,0
2005-12-10,0
2005-12-11,0
2005-12-12,0
2005-12-13,0
2005-12-14,0
2005-12-15,0
2005-12-16,0
2005-12-17,0
2005-12-18,0
2005-12-19,0
2005-12-20,0
2005-12-21,0
2005-12-22,0
2005-12-23,0
2005-12-24,0
2005-12-25,0
2005-12-26,0
2005-12-27,0
2005-12-28,0
2005-12-29,0
2005-12-30,0
2005-12-31,0
2006-01-01,0
2006-01-02,0
2006-01-03,0
2006-01-04,0
2006-01-05,0
2006-01-06,0
2006-01-07,0
2006-01-08,0
2006-01-09,0
2006-01-10,0
2006-01-11,0
2006-01-12,0
2006-01-13,0
2006-01-14,0
2006-01-15,0
2006-01-16,0
2006-01-17,0
2006-01-18,0
2006-01-19,0
2006-01-20,0
2006-01-21,0
2006-01-22,0
2006-01-23,0
2006-01-24,0
2006-01-25,0
2006-01-26,0
2006-01-27,0
2006-01-28,0
2006-01-29,0
2006-01-30,0
2006-01-31,0
2006-02-01,0
2006-02-02,0
2006-02-03,0
2006-02-04,0
2006-02-05,0
2006-02-06,0
2006-02-07,0
2006-02-08,0
2006-02-09,0
2006-02-10,0
2006-02-11,0
2006-02-12,0
2006-02-13,0
2006-02-14,0
2006-02-15,0
2006-02-16,0
2006-02-17,0
2006-02-18,0
2006-02-19,0
2006-02-20,0
2006-02-21,0
2006-02-22,0
2006-02-23,0
2006-02-24,0
2006-02-25,0
2006-02-26,0
2006-02-27,0
2006-02-28,0
2006-03-01,0
2006-03-02,0
2006-03-03,0
2006-03-04,0
2006-03-05,0
2006-03-06,0
2006-03-07,0
2006-03-08,0
2006-03-09,0
2006-03-10,0
2006-03-11,0
2006-03-12,0
2006-03-13,0
2006-03-14,0
2006-03-15,0
2006-03-16,0
2006-03-17,0
2006-03-18,0
2006-03-19,0
2006-03-20,0
2006-03-21,0
2006-03-22,0
2006-03-23,0
2006-03-24,0
2006-03-25,0
2006-03-26,0
2006-03-27,0
