Date,Cinemark
2006-08-01,55
2006-08-02,54
2006-08-03,54
2006-08-04,52
2006-08-05,52
2006-08-06,52
2006-08-07,57
2006-08-08,50
2006-08-09,50
2006-08-10,51
2006-08-11,49
2006-08-12,49
2006-08-13,49
2006-08-14,53
2006-08-15,48
2006-08-16,48
2006-08-17,48
2006-08-18,48
2006-08-19,48
2006-08-20,49
2006-08-21,52
2006-08-22,45
2006-08-23,44
2006-08-24,44
2006-08-25,42
2006-08-26,42
2006-08-27,44
2006-08-28,45
2006-08-29,40
2006-08-30,39
2006-08-31,39
2006-09-01,38
2006-09-02,38
2006-09-03,39
2006-09-04,43
2006-09-05,43
2006-09-06,41
2006-09-07,42
2006-09-08,43
2006-09-09,44
2006-09-10,44
2006-09-11,45
2006-09-12,39
2006-09-13,37
2006-09-14,36
2006-09-15,34
2006-09-16,33
2006-09-17,35
2006-09-18,39
2006-09-19,34
2006-09-20,35
2006-09-21,36
2006-09-22,36
2006-09-23,37
2006-09-24,39
2006-09-25,42
2006-09-26,37
2006-09-27,38
2006-09-28,38
2006-09-29,38
2006-09-30,39
2006-10-01,42
2006-10-02,42
2006-10-03,38
2006-10-04,38
2006-10-05,38
2006-10-06,38
2006-10-07,38
2006-10-08,41
2006-10-09,43
2006-10-10,42
2006-10-11,41
2006-10-12,42
2006-10-13,43
2006-10-14,44
2006-10-15,44
2006-10-16,50
2006-10-17,46
2006-10-18,44
2006-10-19,44
2006-10-20,44
2006-10-21,45
2006-10-22,46
2006-10-23,49
2006-10-24,43
2006-10-25,42
2006-10-26,41
2006-10-27,40
2006-10-28,40
2006-10-29,44
2006-10-30,47
2006-10-31,44
2006-11-01,45
2006-11-02,47
2006-11-03,48
2006-11-04,50
2006-11-05,51
2006-11-06,50
2006-11-07,53
2006-11-08,47
2006-11-09,47
2006-11-10,46
2006-11-11,46
2006-11-12,47
2006-11-13,50
2006-11-14,43
2006-11-15,42
2006-11-16,42
2006-11-17,40
2006-11-18,40
2006-11-19,43
2006-11-20,46
2006-11-21,43
2006-11-22,45
2006-11-23,47
2006-11-24,47
2006-11-25,49
2006-11-26,49
2006-11-27,50
2006-11-28,42
2006-11-29,40
2006-11-30,38
2006-12-01,36
2006-12-02,34
2006-12-03,36
2006-12-04,38
2006-12-05,34
2006-12-06,35
2006-12-07,35
2006-12-08,35
2006-12-09,36
2006-12-10,38
2006-12-11,41
2006-12-12,37
2006-12-13,37
2006-12-14,38
2006-12-15,38
2006-12-16,39
2006-12-17,40
2006-12-18,44
2006-12-19,43
2006-12-20,44
2006-12-21,45
2006-12-22,46
2006-12-23,48
2006-12-24,56
2006-12-25,56
2006-12-26,60
2006-12-27,66
2006-12-28,71
2006-12-29,73
2006-12-30,79
2006-12-31,78
2007-01-01,72
2007-01-02,72
2007-01-03,66
2007-01-04,66
2007-01-05,60
2007-01-06,57
2007-01-07,58
2007-01-08,59
2007-01-09,53
2007-01-10,51
2007-01-11,53
2007-01-12,49
2007-01-13,48
2007-01-14,50
2007-01-15,51
2007-01-16,49
2007-01-17,48
2007-01-18,50
2007-01-19,48
2007-01-20,48
2007-01-21,49
2007-01-22,54
2007-01-23,48
2007-01-24,48
2007-01-25,49
2007-01-26,48
2007-01-27,48
2007-01-28,49
2007-01-29,52
2007-01-30,48
2007-01-31,46
2007-02-01,46
2007-02-02,46
2007-02-03,46
2007-02-04,48
2007-02-05,47
2007-02-06,44
2007-02-07,43
2007-02-08,42
2007-02-09,41
2007-02-10,41
2007-02-11,44
2007-02-12,48
2007-02-13,43
2007-02-14,43
2007-02-15,45
2007-02-16,45
2007-02-17,46
2007-02-18,48
2007-02-19,51
2007-02-20,50
2007-02-21,49
2007-02-22,50
2007-02-23,51
2007-02-24,52
2007-02-25,54
2007-02-26,55
2007-02-27,48
2007-02-28,47
2007-03-01,46
2007-03-02,45
2007-03-03,44
2007-03-04,45
2007-03-05,50
2007-03-06,44
2007-03-07,44
2007-03-08,45
2007-03-09,44
2007-03-10,45
2007-03-11,46
2007-03-12,51
2007-03-13,46
2007-03-14,46
2007-03-15,48
2007-03-16,47
2007-03-17,48
2007-03-18,51
2007-03-19,52
2007-03-20,46
2007-03-21,45
2007-03-22,45
2007-03-23,44
2007-03-24,44
2007-03-25,48
2007-03-26,50
2007-03-27,47
2007-03-28,46
2007-03-29,47
2007-03-30,48
2007-03-31,49
2007-05-01,53
2007-05-02,60
2007-05-03,62
2007-05-04,66
2007-05-05,71
2007-05-06,73
2007-05-07,72
2007-05-08,64
2007-05-09,59
2007-05-10,56
2007-05-11,53
2007-05-12,51
2007-05-13,53
2007-05-14,56
2007-05-15,50
2007-05-16,50
2007-05-17,50
2007-05-18,50
2007-05-19,50
2007-05-20,54
2007-05-21,59
2007-05-22,58
2007-05-23,58
2007-05-24,60
2007-05-25,62
2007-05-26,65
2007-05-27,67
2007-05-28,68
2007-05-29,69
2007-05-30,63
2007-05-31,65
2007-06-01,62
2007-06-02,62
2007-06-03,64
2007-06-04,67
2007-06-05,59
2007-06-06,58
2007-06-07,57
2007-06-08,56
2007-06-09,55
2007-06-10,56
2007-06-11,62
2007-06-12,55
2007-06-13,56
2007-06-14,56
2007-06-15,56
2007-06-16,57
2007-06-17,60
2007-06-18,62
2007-06-19,57
2007-06-20,57
2007-06-21,58
2007-06-22,57
2007-06-23,58
2007-06-24,60
2007-06-25,65
2007-06-26,61
2007-06-27,61
2007-06-28,63
2007-06-29,63
2007-06-30,64
