Date,RPX Corporation
2010-07-10,38
2010-07-11,37
2010-07-12,36
2010-07-13,35
2010-07-14,35
2010-07-15,34
2010-07-16,33
2010-07-17,33
2010-07-18,34
2010-07-19,36
2010-07-20,37
2010-07-21,39
2010-07-22,40
2010-07-23,42
2010-07-24,43
2010-07-25,41
2010-07-26,38
2010-07-27,36
2010-07-28,34
2010-07-29,32
2010-07-30,30
2010-07-31,28
2010-08-01,28
2010-08-02,28
2010-08-03,29
2010-08-04,29
2010-08-05,29
2010-08-06,30
2010-08-07,30
2010-08-08,28
2010-08-09,27
2010-08-10,25
2010-08-11,24
2010-08-12,22
2010-08-13,21
2010-08-14,20
2010-08-15,20
2010-08-16,20
2010-08-17,20
2010-08-18,20
2010-08-19,20
2010-08-20,20
2010-08-21,21
2010-08-22,21
2010-08-23,21
2010-08-24,21
2010-08-25,22
2010-08-26,22
2010-08-27,22
2010-08-28,23
2010-08-29,23
2010-08-30,23
2010-08-31,23
2010-09-01,23
2010-09-02,23
2010-09-03,23
2010-09-04,24
2010-09-05,24
2010-09-06,25
2010-09-07,26
2010-09-08,27
2010-09-09,28
2010-09-10,29
2010-09-11,30
2010-09-12,30
2010-09-13,30
2010-09-14,30
2010-09-15,31
2010-09-16,31
2010-09-17,31
2010-09-18,32
2010-09-19,32
2010-09-20,33
2010-09-21,33
2010-09-22,34
2010-09-23,35
2010-09-24,35
2010-09-25,36
2010-09-26,34
2010-10-03,25
2010-10-04,24
2010-10-05,23
2010-10-06,23
2010-10-07,22
2010-10-08,21
2010-10-09,21
2010-10-10,23
2010-10-11,26
2010-10-12,28
2010-10-13,31
2010-10-14,33
2010-10-15,36
2010-10-16,39
2010-10-17,38
2010-10-18,38
2010-10-19,38
2010-10-20,38
2010-10-21,38
2010-10-22,37
2010-10-23,37
2010-10-24,35
2010-10-25,31
2010-10-26,28
2010-10-27,26
2010-10-28,23
2010-10-29,20
2010-10-30,18
2010-10-31,20
2010-11-01,22
2010-11-02,24
2010-11-03,27
2010-11-04,29
2010-11-05,31
2010-11-06,34
2010-11-07,33
2010-11-08,32
2010-11-09,31
2010-11-10,30
2010-11-11,29
2010-11-12,28
2010-11-13,28
2010-11-14,29
2010-11-15,30
2010-11-16,32
2010-11-17,33
2010-11-18,34
2010-11-19,35
2010-11-20,37
2010-11-21,35
2010-11-22,33
2010-11-23,31
2010-11-24,29
2010-11-25,27
2010-11-26,25
2010-11-27,24
2010-11-28,24
2010-11-29,25
2010-11-30,26
2010-12-01,26
2010-12-02,27
2010-12-03,28
2010-12-04,29
2010-12-05,28
2010-12-06,28
2010-12-07,28
2010-12-08,27
2010-12-09,27
2010-12-10,27
2010-12-11,27
2010-12-12,27
2010-12-13,27
2010-12-14,27
2010-12-15,27
2010-12-16,27
2010-12-17,27
2010-12-18,27
2010-12-19,27
2010-12-20,27
2010-12-21,27
2010-12-22,27
2010-12-23,27
2010-12-24,27
2010-12-25,28
2010-12-26,27
2011-01-02,29
2011-01-03,31
2011-01-04,33
2011-01-05,35
2011-01-06,37
2011-01-07,39
2011-01-08,41
2011-01-09,39
2011-01-10,37
2011-01-11,35
2011-01-12,33
2011-01-13,31
2011-01-14,29
2011-01-15,27
2011-01-16,27
2011-01-17,27
2011-01-18,27
2011-01-19,27
2011-01-20,27
2011-01-21,27
2011-01-22,27
2011-01-23,29
2011-01-24,33
2011-01-25,35
2011-01-26,38
2011-01-27,41
2011-01-28,44
2011-01-29,47
2011-01-30,45
2011-01-31,42
2011-02-01,40
2011-02-02,38
2011-02-03,36
2011-02-04,34
2011-02-05,32
2011-02-06,33
2011-02-07,34
2011-02-08,35
2011-02-09,36
2011-02-10,37
2011-02-11,38
2011-02-12,39
2011-02-13,37
2011-02-14,35
2011-02-15,33
2011-02-16,31
2011-02-17,29
2011-02-18,27
2011-02-19,26
2011-02-20,25
2011-02-21,25
2011-02-22,25
2011-02-23,25
2011-02-24,25
2011-02-25,25
2011-02-26,25
2011-02-27,27
2011-02-28,29
2011-03-01,31
2011-03-02,34
2011-03-03,36
2011-03-04,38
2011-03-05,40
2011-03-06,38
2011-03-07,35
2011-03-08,32
2011-03-09,30
2011-03-10,27
2011-03-11,25
2011-03-12,23
2011-03-13,23
2011-03-14,23
2011-03-15,23
2011-03-16,23
2011-03-17,23
2011-03-18,23
2011-03-19,24
2011-03-20,24
2011-03-21,24
2011-03-22,24
2011-03-23,24
2011-03-24,24
2011-03-25,24
2011-03-26,24
2011-03-27,23
2011-04-03,21
2011-04-04,23
2011-04-05,25
2011-04-06,27
2011-04-07,29
2011-04-08,31
2011-04-09,33
2011-04-10,33
2011-04-11,34
2011-04-12,34
2011-04-13,35
2011-04-14,35
2011-04-15,36
2011-04-16,37
2011-04-17,38
2011-04-18,39
2011-04-19,40
2011-04-20,41
2011-04-21,42
2011-04-22,43
2011-04-23,44
2011-04-24,44
2011-04-25,44
2011-04-26,44
2011-04-27,44
2011-04-28,44
2011-04-29,44
2011-04-30,44
2011-05-01,52
2011-05-02,60
2011-05-03,69
2011-05-04,77
2011-05-05,85
2011-05-06,94
2011-05-07,102
2011-05-08,92
2011-05-09,80
2011-05-10,70
2011-05-11,60
2011-05-12,51
2011-05-13,41
2011-05-14,31
2011-05-15,33
2011-05-16,35
2011-05-17,38
2011-05-18,40
2011-05-19,43
2011-05-20,45
2011-05-21,48
2011-05-22,47
2011-05-23,46
2011-05-24,45
2011-05-25,44
2011-05-26,43
2011-05-27,42
2011-05-28,41
2011-05-29,42
2011-05-30,45
2011-05-31,47
2011-06-01,48
2011-06-02,50
2011-06-03,52
2011-06-04,54
2011-06-05,52
2011-06-06,49
2011-06-07,47
2011-06-08,44
2011-06-09,42
2011-06-10,40
2011-06-11,38
2011-06-12,36
2011-06-13,35
2011-06-14,34
2011-06-15,33
2011-06-16,32
2011-06-17,31
2011-06-18,30
2011-06-19,32
2011-06-20,34
2011-06-21,37
2011-06-22,39
2011-06-23,42
2011-06-24,44
2011-06-25,47
2011-06-26,47
2011-07-03,48
2011-07-04,47
2011-07-05,46
2011-07-06,45
2011-07-07,43
2011-07-08,42
2011-07-09,41
2011-07-10,41
2011-07-11,41
2011-07-12,41
2011-07-13,42
2011-07-14,42
2011-07-15,42
2011-07-16,43
2011-07-17,43
2011-07-18,43
2011-07-19,43
2011-07-20,43
2011-07-21,43
2011-07-22,43
2011-07-23,43
2011-07-24,41
2011-07-25,39
2011-07-26,38
2011-07-27,36
2011-07-28,34
2011-07-29,32
2011-07-30,31
2011-07-31,29
2011-08-01,28
2011-08-02,26
2011-08-03,25
2011-08-04,23
2011-08-05,22
2011-08-06,21
2011-08-07,22
2011-08-08,24
2011-08-09,25
2011-08-10,27
2011-08-11,28
2011-08-12,30
2011-08-13,32
2011-08-14,32
2011-08-15,32
2011-08-16,32
2011-08-17,32
2011-08-18,32
2011-08-19,32
2011-08-20,32
2011-08-21,33
2011-08-22,35
2011-08-23,36
2011-08-24,38
2011-08-25,39
2011-08-26,41
2011-08-27,43
2011-08-28,39
2011-08-29,34
2011-08-30,30
2011-08-31,26
2011-09-01,22
2011-09-02,18
2011-09-03,15
2011-09-04,15
2011-09-05,16
2011-09-06,17
2011-09-07,18
2011-09-08,19
2011-09-09,20
2011-09-10,21
2011-09-11,24
2011-09-12,27
