Date,Carbonite
2010-11-01,45
2010-11-02,45
2010-11-03,45
2010-11-04,45
2010-11-05,44
2010-11-06,44
2010-11-07,43
2010-11-08,45
2010-11-09,42
2010-11-10,42
2010-11-11,41
2010-11-12,42
2010-11-13,41
2010-11-14,42
2010-11-15,41
2010-11-16,40
2010-11-17,40
2010-11-18,41
2010-11-19,40
2010-11-20,40
2010-11-21,46
2010-11-22,57
2010-11-23,60
2010-11-24,66
2010-11-25,75
2010-11-26,82
2010-11-27,87
2010-11-28,85
2010-11-29,86
2010-11-30,78
2010-12-01,75
2010-12-02,75
2010-12-03,69
2010-12-04,66
2010-12-05,66
2010-12-06,68
2010-12-07,68
2010-12-08,70
2010-12-09,71
2010-12-10,71
2010-12-11,71
2010-12-12,69
2010-12-13,70
2010-12-14,66
2010-12-15,63
2010-12-16,62
2010-12-17,59
2010-12-18,58
2010-12-19,58
2010-12-20,62
2010-12-21,59
2010-12-22,61
2010-12-23,61
2010-12-24,61
2010-12-25,62
2010-12-26,62
2010-12-27,60
2010-12-28,58
2010-12-29,58
2010-12-30,56
2010-12-31,55
2011-01-01,55
2011-01-02,53
2011-01-03,54
2011-01-04,52
2011-01-05,52
2011-01-06,52
2011-01-07,52
2011-01-08,51
2011-01-09,50
2011-01-10,49
2011-01-11,48
2011-01-12,44
2011-01-13,43
2011-01-14,41
2011-01-15,40
2011-01-16,40
2011-01-17,39
2011-01-18,37
2011-01-19,37
2011-01-20,36
2011-01-21,35
2011-01-22,35
2011-01-23,35
2011-01-24,36
2011-01-25,36
2011-01-26,36
2011-01-27,37
2011-01-28,38
2011-01-29,38
2011-01-30,38
2011-01-31,39
2011-02-01,38
2011-02-02,38
2011-02-03,39
2011-02-04,38
2011-02-05,38
2011-02-06,37
2011-02-07,39
2011-02-08,37
2011-02-09,36
2011-02-10,36
2011-02-11,36
2011-02-12,36
2011-02-13,35
2011-02-14,36
2011-02-15,34
2011-02-16,33
2011-02-17,33
2011-02-18,32
2011-02-19,32
2011-02-20,32
2011-02-21,32
2011-02-22,31
2011-02-23,31
2011-02-24,31
2011-02-25,31
2011-02-26,31
2011-02-27,30
2011-02-28,32
2011-03-01,31
2011-03-02,30
2011-03-03,30
2011-03-04,30
2011-03-05,30
2011-03-06,30
2011-03-07,30
2011-03-08,29
2011-03-09,30
2011-03-10,28
2011-03-11,28
2011-03-12,29
2011-03-13,27
2011-03-14,27
2011-03-15,26
2011-03-16,26
2011-03-17,25
2011-03-18,26
2011-03-19,25
2011-03-20,25
2011-03-21,26
2011-03-22,27
2011-03-23,26
2011-03-24,27
2011-03-25,27
2011-03-26,28
2011-03-27,28
2011-03-28,29
2011-03-29,28
2011-03-30,28
2011-03-31,29
2011-05-01,65
2011-05-02,65
2011-05-03,58
2011-05-04,54
2011-05-05,48
2011-05-06,44
2011-05-07,40
2011-05-08,39
2011-05-09,37
2011-05-10,36
2011-05-11,34
2011-05-12,32
2011-05-13,31
2011-05-14,31
2011-05-15,29
2011-05-16,28
2011-05-17,29
2011-05-18,27
2011-05-19,27
2011-05-20,27
2011-05-21,26
2011-05-22,26
2011-05-23,26
2011-05-24,26
2011-05-25,27
2011-05-26,28
2011-05-27,27
2011-05-28,28
2011-05-29,28
2011-05-30,28
2011-05-31,28
2011-06-01,28
2011-06-02,29
2011-06-03,29
2011-06-04,29
2011-06-05,29
2011-06-06,29
2011-06-07,29
2011-06-08,29
2011-06-09,29
2011-06-10,30
2011-06-11,29
2011-06-12,29
2011-06-13,29
2011-06-14,28
2011-06-15,27
2011-06-16,28
2011-06-17,27
2011-06-18,27
2011-06-19,27
2011-06-20,27
2011-06-21,28
2011-06-22,27
2011-06-23,27
2011-06-24,27
2011-06-25,27
2011-06-26,30
2011-06-27,33
2011-06-28,36
2011-06-29,39
2011-06-30,43
2011-07-01,47
2011-07-02,51
2011-07-03,47
2011-07-04,46
2011-07-05,40
2011-07-06,38
2011-07-07,35
2011-07-08,33
2011-07-09,30
2011-07-10,30
2011-07-11,29
2011-07-12,30
2011-07-13,29
2011-07-14,29
2011-07-15,29
2011-07-16,29
2011-07-17,29
2011-07-18,30
2011-07-19,29
2011-07-20,29
2011-07-21,29
2011-07-22,29
2011-07-23,29
2011-07-24,29
2011-07-25,29
2011-07-26,30
2011-07-27,29
2011-07-28,29
2011-07-29,29
2011-07-30,29
2011-07-31,28
2011-08-01,28
2011-08-02,28
2011-08-03,29
2011-08-04,28
2011-08-05,28
2011-08-06,28
2011-08-07,28
2011-08-08,29
2011-08-09,29
2011-08-10,29
2011-08-11,30
2011-08-12,31
2011-08-13,31
2011-08-14,31
2011-08-15,31
2011-08-16,31
2011-08-17,31
2011-08-18,31
2011-08-19,31
2011-08-20,31
2011-08-21,31
2011-08-22,31
2011-08-23,32
2011-08-24,31
2011-08-25,31
2011-08-26,31
2011-08-27,31
2011-08-28,31
2011-08-29,31
2011-08-30,30
2011-08-31,29
2011-09-01,30
2011-09-02,29
2011-09-03,29
2011-09-04,29
2011-09-05,28
2011-09-06,28
2011-09-07,28
2011-09-08,28
2011-09-09,28
2011-09-10,28
2011-09-11,29
2011-09-12,27
2011-09-13,27
2011-09-14,27
2011-09-15,27
2011-09-16,27
2011-09-17,27
2011-09-18,28
2011-09-19,26
2011-09-20,26
2011-09-21,26
2011-09-22,25
2011-09-23,25
2011-09-24,25
2011-09-25,25
2011-09-26,25
2011-09-27,25
2011-09-28,25
2011-09-29,25
2011-09-30,26
2011-10-01,25
2011-10-02,24
2011-10-03,24
2011-10-04,25
2011-10-05,24
2011-10-06,24
2011-10-07,24
2011-10-08,24
2011-10-09,24
2011-10-10,23
2011-10-11,23
2011-10-12,24
2011-10-13,23
2011-10-14,23
2011-10-15,23
2011-10-16,23
2011-10-17,24
2011-10-18,24
2011-10-19,26
2011-10-20,26
2011-10-21,26
2011-10-22,27
2011-10-23,27
2011-10-24,26
2011-10-25,26
2011-10-26,25
2011-10-27,25
2011-10-28,24
2011-10-29,24
2011-10-30,24
2011-10-31,23
2011-11-01,23
2011-11-02,24
2011-11-03,22
2011-11-04,22
2011-11-05,22
2011-11-06,22
