Date,Concentric Medical
2007-05-28,0
2007-05-29,0
2007-05-30,0
2007-05-31,0
2007-06-01,0
2007-06-02,2
2007-06-03,4
2007-06-04,7
2007-06-05,9
2007-06-06,12
2007-06-07,14
2007-06-08,16
2007-06-09,19
2007-06-10,21
2007-06-11,24
2007-06-12,26
2007-06-13,28
2007-06-14,31
2007-06-15,33
2007-06-16,36
2007-06-17,38
2007-06-18,40
2007-06-19,43
2007-06-20,45
2007-06-21,48
2007-06-22,50
2007-06-23,52
2007-06-24,55
2007-06-25,57
2007-06-26,60
2007-06-27,62
2007-06-28,64
2007-06-29,67
2007-06-30,69
2007-07-01,72
2007-07-02,72
2007-07-03,72
2007-07-04,72
2007-07-05,72
2007-07-06,72
2007-07-07,72
2007-07-08,72
2007-07-09,73
2007-07-10,73
2007-07-11,73
2007-07-12,73
2007-07-13,73
2007-07-14,73
2007-07-15,73
2007-07-16,73
2007-07-17,74
2007-07-18,74
2007-07-19,74
2007-07-20,74
2007-07-21,74
2007-07-22,74
2007-07-23,74
2007-07-24,74
2007-07-25,75
2007-07-26,75
2007-07-27,75
2007-07-28,75
2007-07-29,75
2007-07-30,75
2007-07-31,75
2007-08-01,76
2007-08-02,76
2007-08-03,76
2007-08-04,76
2007-08-05,76
2007-08-06,76
2007-08-07,76
2007-08-08,77
2007-08-09,77
2007-08-10,77
2007-08-11,77
2007-08-12,77
2007-08-13,77
2007-08-14,78
2007-08-15,78
2007-08-16,78
2007-08-17,78
2007-08-18,78
2007-08-19,78
2007-08-20,79
2007-08-21,79
2007-08-22,79
2007-08-23,79
2007-08-24,79
2007-08-25,79
2007-08-26,80
2007-08-27,80
2007-08-28,80
2007-08-29,80
2007-08-30,80
2007-08-31,80
2007-09-01,81
2007-09-02,80
2007-09-03,80
2007-09-04,79
2007-09-05,79
2007-09-06,78
2007-09-07,78
2007-09-08,77
2007-09-09,77
2007-09-10,76
2007-09-11,76
2007-09-12,75
2007-09-13,75
2007-09-14,74
2007-09-15,74
2007-09-16,73
2007-09-17,73
2007-09-18,72
2007-09-19,72
2007-09-20,71
2007-09-21,71
2007-09-22,70
2007-09-23,70
2007-09-24,69
2007-09-25,69
2007-09-26,68
2007-09-27,68
2007-09-28,67
2007-09-29,67
2007-09-30,66
2007-10-01,66
2007-10-02,65
2007-10-03,65
2007-10-04,65
2007-10-05,65
2007-10-06,65
2007-10-07,65
2007-10-08,65
2007-10-09,65
2007-10-10,65
2007-10-11,65
2007-10-12,64
2007-10-13,64
2007-10-14,64
2007-10-15,64
2007-10-16,64
2007-10-17,64
2007-10-18,64
2007-10-19,64
2007-10-20,64
2007-10-21,64
2007-10-22,63
2007-10-23,63
2007-10-24,63
2007-10-25,63
2007-10-26,63
2007-10-27,63
2007-10-28,63
2007-10-29,63
2007-10-30,63
2007-10-31,63
2007-11-01,63
2007-11-02,63
2007-11-03,63
2007-11-04,63
2007-11-05,63
2007-11-06,63
2007-11-07,63
2007-11-08,63
2007-11-09,63
2007-11-10,63
2007-11-11,63
2007-11-12,63
2007-11-13,63
2007-11-14,63
2007-11-15,63
2007-11-16,63
2007-11-17,63
2007-11-18,63
2007-11-19,63
2007-11-20,63
2007-11-21,63
2007-11-22,63
2007-11-23,63
2007-11-24,63
2007-11-25,63
2007-11-26,63
2007-11-27,63
2007-11-28,63
2007-11-29,63
2007-11-30,63
2007-12-01,63
2007-12-02,63
2007-12-03,63
2007-12-04,63
2007-12-05,63
2007-12-06,63
2007-12-07,63
2007-12-08,63
2007-12-09,63
2007-12-10,63
2007-12-11,63
2007-12-12,63
2007-12-13,63
2007-12-14,63
2007-12-15,63
2007-12-16,63
2007-12-17,64
2007-12-18,64
2007-12-19,64
2007-12-20,64
2007-12-21,64
2007-12-22,64
2007-12-23,64
2007-12-24,64
2007-12-25,64
2007-12-26,64
2007-12-27,64
2007-12-28,64
2007-12-29,64
2007-12-30,64
2007-12-31,64
2008-01-01,65
2008-01-02,65
2008-01-03,65
2008-01-04,65
2008-01-05,66
2008-01-06,66
2008-01-07,66
2008-01-08,67
2008-01-09,67
2008-01-10,67
2008-01-11,67
2008-01-12,68
2008-01-13,68
2008-01-14,68
2008-01-15,69
2008-01-16,69
2008-01-17,69
2008-01-18,69
2008-01-19,70
2008-01-20,70
2008-01-21,70
2008-01-22,71
2008-01-23,71
2008-01-24,71
2008-01-25,71
2008-01-26,72
2008-01-27,72
2008-01-28,72
2008-01-29,73
2008-01-30,73
2008-01-31,73
2008-02-01,74
2008-02-02,73
2008-02-03,73
2008-02-04,73
2008-02-05,73
2008-02-06,72
2008-02-07,72
2008-02-08,72
2008-02-09,72
2008-02-10,72
2008-02-11,71
2008-02-12,71
2008-02-13,71
2008-02-14,71
2008-02-15,71
2008-02-16,70
2008-02-17,70
2008-02-18,70
2008-02-19,70
2008-02-20,70
2008-02-21,69
2008-02-22,69
2008-02-23,69
2008-02-24,69
2008-02-25,69
2008-02-26,68
2008-02-27,68
2008-02-28,68
2008-02-29,68
2008-03-01,68
2008-03-02,67
2008-03-03,67
2008-03-04,67
2008-03-05,67
2008-03-06,67
2008-03-07,67
2008-03-08,66
2008-03-09,66
2008-03-10,66
2008-03-11,66
2008-03-12,66
2008-03-13,66
2008-03-14,65
2008-03-15,65
2008-03-16,65
2008-03-17,65
2008-03-18,65
2008-03-19,65
2008-03-20,64
2008-03-21,64
2008-03-22,64
2008-03-23,64
2008-03-24,64
2008-03-25,64
2008-03-26,63
2008-03-27,63
2008-03-28,63
2008-03-29,63
2008-03-30,63
2008-03-31,63
2008-04-01,63
2008-04-02,63
2008-04-03,63
2008-04-04,64
2008-04-05,64
2008-04-06,65
2008-04-07,65
2008-04-08,66
2008-04-09,66
2008-04-10,66
2008-04-11,67
2008-04-12,67
2008-04-13,68
2008-04-14,68
2008-04-15,69
2008-04-16,69
2008-04-17,69
2008-04-18,70
2008-04-19,70
2008-04-20,71
2008-04-21,71
2008-04-22,72
2008-04-23,72
2008-04-24,72
2008-04-25,73
2008-04-26,73
2008-04-27,74
2008-04-28,74
2008-04-29,75
2008-04-30,75
2008-05-01,76
2008-05-02,76
2008-05-03,76
2008-05-04,77
2008-05-05,77
2008-05-06,77
2008-05-07,78
2008-05-08,78
2008-05-09,79
2008-05-10,79
2008-05-11,79
2008-05-12,80
2008-05-13,80
2008-05-14,81
2008-05-15,81
2008-05-16,81
2008-05-17,82
2008-05-18,82
2008-05-19,82
2008-05-20,83
2008-05-21,83
2008-05-22,84
2008-05-23,84
2008-05-24,84
2008-05-25,85
2008-05-26,85
2008-05-27,86
2008-05-28,86
2008-05-29,86
2008-05-30,87
2008-05-31,87
2008-06-01,88
2008-06-02,88
2008-06-03,88
2008-06-04,89
2008-06-05,89
2008-06-06,90
2008-06-07,90
2008-06-08,90
2008-06-09,91
2008-06-10,91
2008-06-11,92
2008-06-12,92
2008-06-13,92
2008-06-14,93
2008-06-15,93
2008-06-16,94
2008-06-17,94
2008-06-18,94
2008-06-19,95
2008-06-20,95
2008-06-21,96
2008-06-22,96
2008-06-23,96
2008-06-24,97
2008-06-25,97
2008-06-26,98
2008-06-27,98
2008-06-28,98
2008-06-29,99
2008-06-30,99
2008-07-01,100
2008-07-02,99
2008-07-03,98
2008-07-04,97
2008-07-05,97
2008-07-06,96
2008-07-07,95
2008-07-08,94
2008-07-09,94
2008-07-10,93
2008-07-11,92
2008-07-12,91
2008-07-13,91
2008-07-14,90
2008-07-15,89
2008-07-16,88
2008-07-17,88
2008-07-18,87
2008-07-19,86
2008-07-20,85
2008-07-21,85
2008-07-22,84
2008-07-23,83
2008-07-24,82
2008-07-25,82
2008-07-26,81
2008-07-27,80
2008-07-28,79
2008-07-29,79
2008-07-30,78
2008-07-31,77
2008-08-01,77
2008-08-02,76
2008-08-03,75
2008-08-04,74
2008-08-05,74
2008-08-06,73
2008-08-07,72
2008-08-08,72
2008-08-09,71
2008-08-10,70
2008-08-11,69
2008-08-12,69
2008-08-13,68
2008-08-14,67
2008-08-15,67
2008-08-16,66
2008-08-17,65
2008-08-18,64
2008-08-19,64
2008-08-20,63
2008-08-21,62
2008-08-22,62
2008-08-23,61
2008-08-24,60
2008-08-25,59
2008-08-26,59
2008-08-27,58
2008-08-28,57
2008-08-29,57
2008-08-30,56
2008-08-31,55
2008-09-01,55
2008-09-02,55
2008-09-03,55
2008-09-04,55
2008-09-05,55
2008-09-06,55
2008-09-07,55
2008-09-08,55
2008-09-09,55
2008-09-10,55
2008-09-11,55
2008-09-12,55
2008-09-13,55
2008-09-14,55
2008-09-15,55
2008-09-16,55
2008-09-17,55
2008-09-18,55
2008-09-19,55
2008-09-20,55
2008-09-21,55
2008-09-22,55
2008-09-23,55
2008-09-24,55
2008-09-25,55
2008-09-26,55
2008-09-27,55
2008-09-28,55
2008-09-29,55
2008-09-30,55
2008-10-01,55
2008-10-02,54
2008-10-03,54
2008-10-04,53
2008-10-05,53
2008-10-06,52
2008-10-07,52
2008-10-08,52
2008-10-09,51
2008-10-10,51
2008-10-11,50
2008-10-12,50
2008-10-13,49
2008-10-14,49
2008-10-15,49
2008-10-16,48
2008-10-17,48
2008-10-18,47
2008-10-19,47
2008-10-20,47
2008-10-21,46
2008-10-22,46
2008-10-23,45
2008-10-24,45
2008-10-25,44
2008-10-26,44
2008-10-27,44
2008-10-28,43
2008-10-29,43
2008-10-30,42
2008-10-31,42
2008-11-01,42
2008-11-02,42
2008-11-03,42
2008-11-04,42
2008-11-05,42
2008-11-06,42
2008-11-07,42
2008-11-08,42
2008-11-09,43
2008-11-10,43
2008-11-11,43
2008-11-12,43
2008-11-13,43
2008-11-14,43
2008-11-15,43
2008-11-16,44
2008-11-17,44
2008-11-18,44
2008-11-19,44
2008-11-20,44
2008-11-21,44
2008-11-22,44
2008-11-23,44
2008-11-24,45
2008-11-25,45
2008-11-26,45
2008-11-27,45
2008-11-28,45
2008-11-29,45
2008-11-30,45
2008-12-01,46
2008-12-02,46
2008-12-03,46
2008-12-04,46
2008-12-05,46
2008-12-06,47
2008-12-07,47
2008-12-08,47
2008-12-09,47
2008-12-10,48
2008-12-11,48
2008-12-12,48
2008-12-13,48
2008-12-14,48
2008-12-15,49
2008-12-16,49
2008-12-17,49
2008-12-18,49
2008-12-19,50
2008-12-20,50
2008-12-21,50
2008-12-22,50
2008-12-23,50
2008-12-24,51
2008-12-25,51
2008-12-26,51
2008-12-27,51
2008-12-28,52
2008-12-29,52
2008-12-30,52
2008-12-31,52
2009-01-01,53
2009-01-02,53
2009-01-03,53
2009-01-04,53
2009-01-05,53
2009-01-06,53
2009-01-07,53
2009-01-08,53
2009-01-09,54
2009-01-10,54
2009-01-11,54
2009-01-12,54
2009-01-13,54
2009-01-14,54
2009-01-15,54
2009-01-16,54
2009-01-17,55
2009-01-18,55
2009-01-19,55
2009-01-20,55
2009-01-21,55
2009-01-22,55
2009-01-23,55
2009-01-24,55
2009-01-25,56
2009-01-26,56
2009-01-27,56
2009-01-28,56
2009-01-29,56
2009-01-30,56
2009-01-31,56
