Date,AeroVironment
2006-08-25,0
2006-08-26,0
2006-08-27,2
2006-08-28,5
2006-08-29,8
2006-08-30,11
2006-08-31,14
2006-09-03,17
2006-09-04,14
2006-09-05,11
2006-09-06,8
2006-09-07,5
2006-09-08,2
2006-09-09,0
2006-09-10,0
2006-09-11,0
2006-09-12,0
2006-09-13,0
2006-09-14,0
2006-09-15,0
2006-09-16,0
2006-09-17,0
2006-09-18,0
2006-09-19,0
2006-09-20,0
2006-09-21,0
2006-09-22,0
2006-09-23,0
2006-09-24,0
2006-09-25,0
2006-09-26,0
2006-09-27,0
2006-09-28,0
2006-09-29,0
2006-09-30,0
2006-10-01,0
2006-10-02,0
2006-10-03,0
2006-10-04,0
2006-10-05,0
2006-10-06,0
2006-10-07,0
2006-10-08,3
2006-10-09,6
2006-10-10,9
2006-10-11,12
2006-10-12,15
2006-10-13,18
2006-10-14,22
2006-10-15,21
2006-10-16,20
2006-10-17,19
2006-10-18,19
2006-10-19,18
2006-10-20,17
2006-10-21,17
2006-10-22,17
2006-10-23,17
2006-10-24,17
2006-10-25,18
2006-10-26,18
2006-10-27,18
2006-10-28,19
2006-10-29,18
2006-10-30,18
2006-10-31,18
2006-11-01,18
2006-11-02,18
2006-11-03,18
2006-11-04,18
2006-11-05,15
2006-11-06,12
2006-11-07,10
2006-11-08,7
2006-11-09,5
2006-11-10,2
2006-11-11,0
2006-11-12,0
2006-11-13,0
2006-11-14,0
2006-11-15,0
2006-11-16,0
2006-11-17,0
2006-11-18,0
2006-11-19,0
2006-11-20,0
2006-11-21,0
2006-11-22,0
2006-11-23,0
2006-11-24,0
2006-11-25,0
2006-11-26,0
2006-12-03,0
2006-12-04,0
2006-12-05,0
2006-12-06,0
2006-12-07,0
2006-12-08,0
2006-12-09,0
2006-12-10,2
2006-12-11,4
2006-12-12,6
2006-12-13,8
2006-12-14,10
2006-12-15,12
2006-12-16,15
2006-12-17,15
2006-12-18,15
2006-12-19,15
2006-12-20,15
2006-12-21,15
2006-12-22,15
2006-12-23,15
2006-12-24,15
2006-12-25,18
2006-12-26,15
2006-12-27,15
2006-12-28,15
2006-12-29,15
2006-12-30,15
2006-12-31,15
2007-01-01,15
2007-01-02,15
2007-01-03,15
2007-01-04,15
2007-01-05,15
2007-01-06,15
2007-01-07,15
2007-01-08,15
2007-01-09,15
2007-01-10,15
2007-01-11,15
2007-01-12,15
2007-01-13,16
2007-01-14,23
2007-01-15,30
2007-01-16,37
2007-01-17,44
2007-01-18,51
2007-01-19,58
2007-01-20,66
2007-01-21,70
2007-01-22,77
2007-01-23,82
2007-01-24,87
2007-01-25,93
2007-01-26,98
2007-01-27,104
2007-01-28,93
2007-01-29,76
2007-01-30,64
2007-01-31,52
2007-02-01,40
2007-02-02,28
2007-02-03,17
2007-02-04,16
2007-02-05,15
2007-02-06,15
2007-02-07,14
2007-02-08,14
2007-02-09,13
2007-02-10,13
2007-02-11,14
2007-02-12,15
2007-02-13,17
2007-02-14,18
2007-02-15,19
2007-02-16,20
2007-02-17,22
2007-02-18,21
2007-02-19,19
2007-02-20,18
2007-02-21,17
2007-02-22,16
2007-02-23,15
2007-02-24,14
2007-02-25,14
2007-03-04,14
2007-03-05,15
2007-03-06,16
2007-03-07,17
2007-03-08,18
2007-03-09,19
2007-03-10,20
2007-03-11,20
2007-03-12,19
2007-03-13,19
2007-03-14,19
2007-03-15,19
2007-03-16,19
2007-03-17,19
2007-03-18,19
2007-03-19,19
2007-03-20,19
2007-03-21,19
2007-03-22,19
2007-03-23,19
2007-03-24,20
2007-03-25,20
2007-03-26,20
2007-03-27,20
2007-03-28,21
2007-03-29,21
2007-03-30,21
2007-03-31,22
2007-04-01,22
2007-04-02,22
2007-04-03,22
2007-04-04,22
2007-04-05,22
2007-04-06,22
2007-04-07,23
2007-04-08,23
2007-04-09,24
2007-04-10,24
2007-04-11,25
2007-04-12,25
2007-04-13,26
2007-04-14,27
2007-04-15,23
2007-04-16,21
2007-04-17,19
2007-04-18,17
2007-04-19,15
2007-04-20,13
2007-04-21,12
2007-04-22,12
2007-04-23,12
2007-04-24,12
2007-04-25,12
2007-04-26,12
2007-04-27,12
2007-04-28,13
2007-04-29,13
2007-04-30,13
2007-05-01,13
2007-05-02,13
2007-05-03,13
2007-05-04,13
2007-05-05,13
2007-05-06,12
2007-05-07,12
2007-05-08,11
2007-05-09,11
2007-05-10,10
2007-05-11,10
2007-05-12,10
2007-05-13,10
2007-05-14,11
2007-05-15,10
2007-05-16,10
2007-05-17,10
2007-05-18,10
2007-05-19,10
2007-05-20,10
2007-05-21,10
2007-05-22,10
2007-05-23,10
2007-05-24,10
2007-05-25,10
2007-05-26,10
2007-05-27,10
2007-06-03,11
2007-06-04,13
2007-06-05,14
2007-06-06,16
2007-06-07,18
2007-06-08,19
2007-06-09,21
2007-06-10,21
2007-06-11,20
2007-06-12,20
2007-06-13,19
2007-06-14,19
2007-06-15,19
2007-06-16,19
2007-06-17,19
2007-06-18,19
2007-06-19,19
2007-06-20,19
2007-06-21,19
2007-06-22,19
2007-06-23,19
2007-06-24,18
2007-06-25,17
2007-06-26,16
2007-06-27,15
2007-06-28,14
2007-06-29,13
2007-06-30,12
2007-07-01,12
2007-07-02,12
2007-07-03,12
2007-07-04,12
2007-07-05,12
2007-07-06,12
2007-07-07,13
2007-07-08,13
2007-07-09,13
2007-07-10,13
2007-07-11,13
2007-07-12,13
2007-07-13,13
2007-07-14,13
2007-07-15,13
2007-07-16,14
2007-07-17,14
2007-07-18,14
2007-07-19,15
2007-07-20,15
2007-07-21,16
2007-07-22,15
2007-07-23,14
2007-07-24,13
2007-07-25,13
2007-07-26,12
2007-07-27,11
2007-07-28,11
2007-07-29,11
2007-07-30,11
2007-07-31,11
2007-08-01,11
2007-08-02,11
2007-08-03,11
2007-08-04,11
2007-08-05,11
2007-08-06,11
2007-08-07,11
2007-08-08,11
2007-08-09,11
2007-08-10,11
2007-08-11,11
2007-08-12,11
2007-08-13,11
2007-08-14,11
2007-08-15,11
2007-08-16,11
2007-08-17,11
2007-08-18,12
2007-08-19,12
2007-08-20,12
2007-08-21,12
2007-08-22,12
2007-08-23,12
2007-08-24,12
2007-08-25,12
2007-08-26,12
2007-09-02,12
2007-09-03,12
2007-09-04,12
2007-09-05,13
2007-09-06,13
2007-09-07,13
2007-09-08,14
2007-09-09,13
2007-09-10,12
2007-09-11,12
2007-09-12,11
2007-09-13,11
2007-09-14,10
2007-09-15,10
2007-09-16,10
2007-09-17,10
2007-09-18,10
2007-09-19,11
2007-09-20,11
2007-09-21,11
2007-09-22,12
2007-09-23,12
2007-09-24,12
2007-09-25,12
2007-09-26,12
2007-09-27,12
2007-09-28,12
2007-09-29,13
2007-09-30,12
2007-10-01,12
2007-10-02,12
2007-10-03,12
2007-10-04,12
2007-10-05,12
2007-10-06,12
2007-10-07,13
2007-10-08,14
2007-10-09,15
2007-10-10,16
2007-10-11,18
2007-10-12,19
2007-10-13,20
2007-10-14,19
2007-10-15,17
2007-10-16,16
2007-10-17,15
2007-10-18,14
2007-10-19,13
2007-10-20,12
2007-10-21,12
2007-10-22,12
2007-10-23,12
2007-10-24,13
2007-10-25,13
2007-10-26,13
2007-10-27,14
2007-10-28,13
2007-10-29,13
2007-10-30,12
2007-10-31,12
2007-11-01,11
2007-11-02,11
2007-11-03,11
2007-11-04,11
2007-11-05,12
2007-11-06,12
2007-11-07,13
2007-11-08,14
2007-11-09,14
2007-11-10,15
2007-11-11,14
2007-11-12,14
2007-11-13,13
2007-11-14,13
2007-11-15,12
2007-11-16,12
2007-11-17,12
2007-11-18,12
2007-11-19,12
2007-11-20,12
2007-11-21,13
2007-11-22,13
2007-11-23,13
2007-11-24,14
2007-11-25,12
2007-12-02,12
2007-12-03,12
2007-12-04,13
2007-12-05,13
2007-12-06,14
2007-12-07,14
2007-12-08,15
2007-12-09,14
2007-12-10,14
2007-12-11,13
2007-12-12,13
2007-12-13,12
2007-12-14,12
2007-12-15,12
2007-12-16,12
2007-12-17,12
2007-12-18,12
2007-12-19,12
2007-12-20,12
2007-12-21,12
2007-12-22,13
2007-12-23,13
2007-12-24,13
2007-12-25,13
2007-12-26,13
2007-12-27,13
2007-12-28,13
2007-12-29,13
2007-12-30,13
2007-12-31,13
2008-01-01,13
2008-01-02,13
2008-01-03,13
2008-01-04,13
2008-01-05,14
2008-01-06,13
2008-01-07,13
2008-01-08,13
2008-01-09,12
2008-01-10,12
2008-01-11,12
2008-01-12,12
2008-01-13,11
2008-01-14,11
2008-01-15,11
2008-01-16,10
2008-01-17,10
2008-01-18,10
2008-01-19,10
2008-01-20,9
2008-01-21,9
2008-01-22,9
2008-01-23,9
2008-01-24,9
2008-01-25,9
2008-01-26,9
2008-01-27,9
2008-01-28,9
2008-01-29,9
2008-01-30,9
2008-01-31,9
2008-02-01,9
2008-02-02,9
2008-02-03,9
2008-02-04,9
2008-02-05,9
2008-02-06,10
2008-02-07,10
2008-02-08,10
2008-02-09,11
2008-02-10,11
2008-02-11,11
2008-02-12,11
2008-02-13,11
2008-02-14,11
2008-02-15,11
2008-02-16,11
2008-02-17,11
2008-02-18,11
2008-02-19,11
2008-02-20,11
2008-02-21,11
2008-02-22,11
2008-02-23,11
2008-02-24,11
