Date,NewLink Genetics
2010-11-13,0
2010-11-14,0
2010-11-15,0
2010-11-16,0
2010-11-17,0
2010-11-18,0
2010-11-19,0
2010-11-20,0
2010-11-21,0
2010-11-22,0
2010-11-23,0
2010-11-24,0
2010-11-25,0
2010-11-26,0
2010-11-27,0
2010-11-28,0
2010-11-29,0
2010-11-30,0
2010-12-01,0
2010-12-02,0
2010-12-03,0
2010-12-04,0
2010-12-05,0
2010-12-06,0
2010-12-07,0
2010-12-08,0
2010-12-09,0
2010-12-10,0
2010-12-11,0
2010-12-12,0
2010-12-13,0
2010-12-14,0
2010-12-15,0
2010-12-16,0
2010-12-17,0
2010-12-18,0
2010-12-19,0
2010-12-20,0
2010-12-21,0
2010-12-22,0
2010-12-23,0
2010-12-24,0
2010-12-25,0
2010-12-26,0
2010-12-27,0
2010-12-28,0
2010-12-29,0
2010-12-30,0
2010-12-31,0
2011-01-01,0
2011-01-02,0
2011-01-03,0
2011-01-04,0
2011-01-05,0
2011-01-06,0
2011-01-07,0
2011-01-08,0
2011-01-09,0
2011-01-10,0
2011-01-11,0
2011-01-12,0
2011-01-13,0
2011-01-14,0
2011-01-15,0
2011-01-16,0
2011-01-17,0
2011-01-18,0
2011-01-19,0
2011-01-20,0
2011-01-21,0
2011-01-22,0
2011-01-23,0
2011-01-24,0
2011-01-25,0
2011-01-26,0
2011-01-27,0
2011-01-28,0
2011-01-29,0
2011-01-30,0
2011-01-31,0
2011-02-01,0
2011-02-02,1
2011-02-03,2
2011-02-04,4
2011-02-05,5
2011-02-06,7
2011-02-07,8
2011-02-08,10
2011-02-09,11
2011-02-10,13
2011-02-11,14
2011-02-12,16
2011-02-13,17
2011-02-14,19
2011-02-15,20
2011-02-16,21
2011-02-17,23
2011-02-18,24
2011-02-19,26
2011-02-20,27
2011-02-21,29
2011-02-22,30
2011-02-23,32
2011-02-24,33
2011-02-25,35
2011-02-26,36
2011-02-27,38
2011-02-28,39
2011-03-01,41
2011-03-02,41
2011-03-03,41
2011-03-04,41
2011-03-05,41
2011-03-06,42
2011-03-07,42
2011-03-08,42
2011-03-09,42
2011-03-10,43
2011-03-11,43
2011-03-12,43
2011-03-13,43
2011-03-14,43
2011-03-15,44
2011-03-16,44
2011-03-17,44
2011-03-18,44
2011-03-19,45
2011-03-20,45
2011-03-21,45
2011-03-22,45
2011-03-23,45
2011-03-24,46
2011-03-25,46
2011-03-26,46
2011-03-27,46
2011-03-28,47
2011-03-29,47
2011-03-30,47
2011-03-31,47
2011-04-01,48
2011-04-02,46
2011-04-03,44
2011-04-04,43
2011-04-05,41
2011-04-06,40
2011-04-07,38
2011-04-08,36
2011-04-09,35
2011-04-10,33
2011-04-11,32
2011-04-12,30
2011-04-13,28
2011-04-14,27
2011-04-15,25
2011-04-16,24
2011-04-17,22
2011-04-18,20
2011-04-19,19
2011-04-20,17
2011-04-21,16
2011-04-22,14
2011-04-23,12
2011-04-24,11
2011-04-25,9
2011-04-26,8
2011-04-27,6
2011-04-28,4
2011-04-29,3
2011-04-30,1
2011-05-01,0
2011-05-02,0
2011-05-03,0
2011-05-04,0
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,0
2011-05-18,0
2011-05-19,0
2011-05-20,0
2011-05-21,0
2011-05-22,0
2011-05-23,0
2011-05-24,0
2011-05-25,0
2011-05-26,0
2011-05-27,0
2011-05-28,0
2011-05-29,0
2011-05-30,0
2011-05-31,0
2011-06-01,0
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,0
2011-06-07,0
2011-06-08,0
2011-06-09,0
2011-06-10,0
2011-06-11,0
2011-06-12,0
2011-06-13,0
2011-06-14,0
2011-06-15,0
2011-06-16,0
2011-06-17,0
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,0
2011-06-22,0
2011-06-23,0
2011-06-24,0
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,0
2011-06-29,0
2011-06-30,0
2011-07-01,0
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,0
2011-07-06,0
2011-07-07,0
2011-07-08,0
2011-07-09,0
2011-07-10,0
2011-07-11,0
2011-07-12,0
2011-07-13,0
2011-07-14,0
2011-07-15,0
2011-07-16,0
2011-07-17,0
2011-07-18,0
2011-07-19,0
2011-07-20,0
2011-07-21,0
2011-07-22,0
2011-07-23,0
2011-07-24,0
2011-07-25,0
2011-07-26,0
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,0
2011-08-03,0
2011-08-04,0
2011-08-05,0
2011-08-06,0
2011-08-07,0
2011-08-08,0
2011-08-09,0
2011-08-10,0
2011-08-11,0
2011-08-12,0
2011-08-13,0
2011-08-14,0
2011-08-15,0
2011-08-16,0
2011-08-17,0
2011-08-18,0
2011-08-19,0
2011-08-20,0
2011-08-21,0
2011-08-22,0
2011-08-23,0
2011-08-24,0
2011-08-25,0
2011-08-26,0
2011-08-27,0
2011-08-28,0
2011-08-29,0
2011-08-30,0
2011-08-31,0
2011-09-01,0
2011-09-02,1
2011-09-03,2
2011-09-04,4
2011-09-05,5
2011-09-06,6
2011-09-07,8
2011-09-08,9
2011-09-09,10
2011-09-10,12
2011-09-11,13
2011-09-12,14
2011-09-13,16
2011-09-14,17
2011-09-15,18
2011-09-16,20
2011-09-17,21
2011-09-18,22
2011-09-19,24
2011-09-20,25
2011-09-21,26
2011-09-22,28
2011-09-23,29
2011-09-24,30
2011-09-25,32
2011-09-26,33
2011-09-27,34
2011-09-28,36
2011-09-29,37
2011-09-30,38
2011-10-01,40
2011-10-02,41
2011-10-03,43
2011-10-04,45
2011-10-05,47
2011-10-06,49
2011-10-07,51
2011-10-08,53
2011-10-09,55
2011-10-10,57
2011-10-11,59
2011-10-12,61
2011-10-13,63
2011-10-14,65
2011-10-15,67
2011-10-16,69
2011-10-17,70
2011-10-18,72
2011-10-19,74
2011-10-20,76
2011-10-21,78
2011-10-22,80
2011-10-23,82
2011-10-24,84
2011-10-25,86
2011-10-26,88
2011-10-27,90
2011-10-28,92
2011-10-29,94
2011-10-30,96
2011-10-31,98
2011-11-01,100
2011-11-02,97
2011-11-03,95
2011-11-04,93
2011-11-05,91
2011-11-06,89
2011-11-07,87
2011-11-08,85
2011-11-09,82
2011-11-10,80
2011-11-11,78
2011-11-12,76
2011-11-13,74
2011-11-14,72
2011-11-15,70
2011-11-16,68
2011-11-17,65
2011-11-18,63
2011-11-19,61
2011-11-20,59
2011-11-21,57
2011-11-22,55
2011-11-23,53
2011-11-24,50
2011-11-25,48
2011-11-26,46
2011-11-27,44
2011-11-28,42
2011-11-29,40
2011-11-30,38
2011-12-01,36
2011-12-02,36
2011-12-03,36
2011-12-04,36
2011-12-05,36
2011-12-06,36
2011-12-07,36
2011-12-08,36
2011-12-09,36
2011-12-10,36
2011-12-11,36
2011-12-12,36
2011-12-13,36
2011-12-14,36
2011-12-15,36
2011-12-16,36
2011-12-17,36
2011-12-18,36
2011-12-19,36
2011-12-20,36
2011-12-21,36
2011-12-22,36
2011-12-23,36
2011-12-24,36
2011-12-25,36
2011-12-26,36
2011-12-27,36
2011-12-28,36
2011-12-29,36
2011-12-30,36
2011-12-31,36
2012-01-01,36
2012-01-02,36
2012-01-03,36
2012-01-04,36
2012-01-05,36
2012-01-06,36
2012-01-07,36
2012-01-08,36
2012-01-09,36
2012-01-10,36
2012-01-11,36
2012-01-12,36
2012-01-13,36
2012-01-14,36
2012-01-15,36
2012-01-16,36
2012-01-17,36
2012-01-18,36
2012-01-19,36
2012-01-20,36
2012-01-21,36
2012-01-22,36
2012-01-23,36
2012-01-24,36
2012-01-25,36
2012-01-26,36
2012-01-27,36
2012-01-28,36
2012-01-29,36
2012-01-30,36
2012-01-31,36
2012-02-01,37
2012-02-02,37
2012-02-03,37
2012-02-04,37
2012-02-05,37
2012-02-06,37
2012-02-07,37
2012-02-08,37
2012-02-09,37
2012-02-10,37
2012-02-11,37
2012-02-12,37
2012-02-13,37
2012-02-14,37
2012-02-15,37
2012-02-16,37
2012-02-17,37
2012-02-18,37
2012-02-19,37
2012-02-20,37
2012-02-21,37
2012-02-22,37
2012-02-23,37
2012-02-24,37
2012-02-25,37
2012-02-26,37
2012-02-27,37
2012-02-28,37
2012-02-29,37
2012-03-01,38
2012-03-02,38
2012-03-03,38
2012-03-04,38
2012-03-05,38
2012-03-06,38
2012-03-07,38
2012-03-08,38
2012-03-09,38
2012-03-10,38
2012-03-11,38
2012-03-12,38
2012-03-13,38
2012-03-14,38
2012-03-15,38
2012-03-16,38
2012-03-17,38
2012-03-18,38
2012-03-19,38
2012-03-20,38
2012-03-21,38
2012-03-22,38
2012-03-23,38
2012-03-24,38
2012-03-25,38
2012-03-26,38
2012-03-27,38
2012-03-28,38
2012-03-29,38
2012-03-30,38
2012-03-31,38
2012-04-01,39
2012-04-02,39
2012-04-03,39
2012-04-04,39
2012-04-05,39
2012-04-06,39
2012-04-07,39
2012-04-08,39
2012-04-09,39
2012-04-10,39
2012-04-11,39
2012-04-12,39
2012-04-13,39
2012-04-14,39
2012-04-15,39
2012-04-16,40
2012-04-17,40
2012-04-18,40
2012-04-19,40
2012-04-20,40
2012-04-21,40
2012-04-22,40
2012-04-23,40
2012-04-24,40
2012-04-25,40
2012-04-26,40
2012-04-27,40
2012-04-28,40
2012-04-29,40
2012-04-30,40
2012-05-01,41
2012-05-02,41
2012-05-03,42
2012-05-04,42
2012-05-05,43
2012-05-06,44
2012-05-07,44
2012-05-08,45
2012-05-09,45
2012-05-10,46
2012-05-11,47
2012-05-12,47
2012-05-13,48
2012-05-14,48
2012-05-15,49
2012-05-16,50
2012-05-17,50
2012-05-18,51
2012-05-19,52
2012-05-20,52
2012-05-21,53
2012-05-22,53
2012-05-23,54
2012-05-24,55
2012-05-25,55
2012-05-26,56
2012-05-27,56
2012-05-28,57
2012-05-29,58
2012-05-30,58
2012-05-31,59
