Date,Manning & Napier
2011-01-01,63
2011-01-02,62
2011-01-03,61
2011-01-04,60
2011-01-05,60
2011-01-06,59
2011-01-07,58
2011-01-08,58
2011-01-09,57
2011-01-10,56
2011-01-11,55
2011-01-12,55
2011-01-13,54
2011-01-14,53
2011-01-15,53
2011-01-16,52
2011-01-17,51
2011-01-18,50
2011-01-19,50
2011-01-20,49
2011-01-21,48
2011-01-22,48
2011-01-23,47
2011-01-24,46
2011-01-25,45
2011-01-26,45
2011-01-27,44
2011-01-28,43
2011-01-29,43
2011-01-30,42
2011-01-31,41
2011-02-01,41
2011-02-02,41
2011-02-03,42
2011-02-04,43
2011-02-05,43
2011-02-06,44
2011-02-07,45
2011-02-08,46
2011-02-09,46
2011-02-10,47
2011-02-11,48
2011-02-12,48
2011-02-13,49
2011-02-14,50
2011-02-15,51
2011-02-16,51
2011-02-17,52
2011-02-18,53
2011-02-19,53
2011-02-20,54
2011-02-21,55
2011-02-22,56
2011-02-23,56
2011-02-24,57
2011-02-25,58
2011-02-26,58
2011-02-27,59
2011-02-28,60
2011-03-01,61
2011-03-02,60
2011-03-03,59
2011-03-04,58
2011-03-05,58
2011-03-06,57
2011-03-07,56
2011-03-08,56
2011-03-09,55
2011-03-10,54
2011-03-11,54
2011-03-12,53
2011-03-13,52
2011-03-14,52
2011-03-15,51
2011-03-16,50
2011-03-17,50
2011-03-18,49
2011-03-19,48
2011-03-20,48
2011-03-21,47
2011-03-22,46
2011-03-23,46
2011-03-24,45
2011-03-25,44
2011-03-26,44
2011-03-27,43
2011-03-28,42
2011-03-29,42
2011-03-30,41
2011-03-31,40
2011-04-01,40
2011-04-02,40
2011-04-03,41
2011-04-04,42
2011-04-05,43
2011-04-06,44
2011-04-07,45
2011-04-08,46
2011-04-09,47
2011-04-10,48
2011-04-11,49
2011-04-12,49
2011-04-13,50
2011-04-14,51
2011-04-15,52
2011-04-16,53
2011-04-17,54
2011-04-18,55
2011-04-19,56
2011-04-20,57
2011-04-21,58
2011-04-22,58
2011-04-23,59
2011-04-24,60
2011-04-25,61
2011-04-26,62
2011-04-27,63
2011-04-28,64
2011-04-29,65
2011-04-30,66
2011-05-01,67
2011-05-02,67
2011-05-03,67
2011-05-04,67
2011-05-05,67
2011-05-06,67
2011-05-07,67
2011-05-08,67
2011-05-09,67
2011-05-10,67
2011-05-11,67
2011-05-12,67
2011-05-13,67
2011-05-14,67
2011-05-15,67
2011-05-16,67
2011-05-17,68
2011-05-18,68
2011-05-19,68
2011-05-20,68
2011-05-21,68
2011-05-22,68
2011-05-23,68
2011-05-24,68
2011-05-25,68
2011-05-26,68
2011-05-27,68
2011-05-28,68
2011-05-29,68
2011-05-30,68
2011-05-31,68
2011-06-01,69
2011-06-02,68
2011-06-03,68
2011-06-04,68
2011-06-05,68
2011-06-06,67
2011-06-07,67
2011-06-08,67
2011-06-09,67
2011-06-10,66
2011-06-11,66
2011-06-12,66
2011-06-13,66
2011-06-14,65
2011-06-15,65
2011-06-16,65
2011-06-17,65
2011-06-18,65
2011-06-19,64
2011-06-20,64
2011-06-21,64
2011-06-22,64
2011-06-23,63
2011-06-24,63
2011-06-25,63
2011-06-26,63
2011-06-27,62
2011-06-28,62
2011-06-29,62
2011-06-30,62
2011-07-01,62
2011-07-02,61
2011-07-03,61
2011-07-04,60
2011-07-05,60
2011-07-06,60
2011-07-07,59
2011-07-08,59
2011-07-09,59
2011-07-10,58
2011-07-11,58
2011-07-12,58
2011-07-13,57
2011-07-14,57
2011-07-15,57
2011-07-16,56
2011-07-17,56
2011-07-18,55
2011-07-19,55
2011-07-20,55
2011-07-21,54
2011-07-22,54
2011-07-23,54
2011-07-24,53
2011-07-25,53
2011-07-26,53
2011-07-27,52
2011-07-28,52
2011-07-29,52
2011-07-30,51
2011-07-31,51
2011-08-01,51
2011-08-02,51
2011-08-03,51
2011-08-04,51
2011-08-05,51
2011-08-06,51
2011-08-07,51
2011-08-08,51
2011-08-09,52
2011-08-10,52
2011-08-11,52
2011-08-12,52
2011-08-13,52
2011-08-14,52
2011-08-15,52
2011-08-16,52
2011-08-17,53
2011-08-18,53
2011-08-19,53
2011-08-20,53
2011-08-21,53
2011-08-22,53
2011-08-23,53
2011-08-24,53
2011-08-25,54
2011-08-26,54
2011-08-27,54
2011-08-28,54
2011-08-29,54
2011-08-30,54
2011-08-31,54
2011-09-01,55
2011-09-02,55
2011-09-03,55
2011-09-04,55
2011-09-05,55
2011-09-06,55
2011-09-07,55
2011-09-08,55
2011-09-09,56
2011-09-10,56
2011-09-11,56
2011-09-12,56
2011-09-13,56
2011-09-14,56
2011-09-15,56
2011-09-16,57
2011-09-17,57
2011-09-18,57
2011-09-19,57
2011-09-20,57
2011-09-21,57
2011-09-22,57
2011-09-23,57
2011-09-24,58
2011-09-25,58
2011-09-26,58
2011-09-27,58
2011-09-28,58
2011-09-29,58
2011-09-30,58
2011-10-01,59
2011-10-02,60
2011-10-03,61
2011-10-04,62
2011-10-05,63
2011-10-06,64
2011-10-07,65
2011-10-08,67
2011-10-09,68
2011-10-10,69
2011-10-11,70
2011-10-12,71
2011-10-13,72
2011-10-14,74
2011-10-15,75
2011-10-16,76
2011-10-17,77
2011-10-18,78
2011-10-19,79
2011-10-20,81
2011-10-21,82
2011-10-22,83
2011-10-23,84
2011-10-24,85
2011-10-25,86
2011-10-26,88
2011-10-27,89
2011-10-28,90
2011-10-29,91
2011-10-30,92
2011-10-31,93
2011-11-01,95
2011-11-02,93
2011-11-03,92
2011-11-04,91
2011-11-05,89
2011-11-06,88
2011-11-07,87
2011-11-08,85
2011-11-09,84
2011-11-10,83
2011-11-11,82
2011-11-12,80
2011-11-13,79
2011-11-14,78
2011-11-15,76
2011-11-16,75
2011-11-17,74
2011-11-18,72
2011-11-19,71
2011-11-20,70
2011-11-21,69
2011-11-22,67
2011-11-23,66
2011-11-24,65
2011-11-25,63
2011-11-26,62
2011-11-27,61
2011-11-28,59
2011-11-29,58
2011-11-30,57
2011-12-01,56
2011-12-02,56
2011-12-03,56
2011-12-04,56
2011-12-05,57
2011-12-06,57
2011-12-07,57
2011-12-08,58
2011-12-09,58
2011-12-10,58
2011-12-11,58
2011-12-12,59
2011-12-13,59
2011-12-14,59
2011-12-15,60
2011-12-16,60
2011-12-17,60
2011-12-18,60
2011-12-19,61
2011-12-20,61
2011-12-21,61
2011-12-22,62
2011-12-23,62
2011-12-24,62
2011-12-25,62
2011-12-26,63
2011-12-27,63
2011-12-28,63
2011-12-29,64
2011-12-30,64
2011-12-31,64
2012-01-01,65
2012-01-02,66
2012-01-03,67
2012-01-04,68
2012-01-05,69
2012-01-06,70
2012-01-07,71
2012-01-08,72
2012-01-09,74
2012-01-10,75
2012-01-11,76
2012-01-12,77
2012-01-13,78
2012-01-14,79
2012-01-15,80
2012-01-16,81
2012-01-17,83
2012-01-18,84
2012-01-19,85
2012-01-20,86
2012-01-21,87
2012-01-22,88
2012-01-23,89
2012-01-24,90
2012-01-25,92
2012-01-26,93
2012-01-27,94
2012-01-28,95
2012-01-29,96
2012-01-30,97
2012-01-31,98
2012-02-01,100
2012-02-02,98
2012-02-03,97
2012-02-04,96
2012-02-05,94
2012-02-06,93
2012-02-07,92
2012-02-08,90
2012-02-09,89
2012-02-10,88
2012-02-11,86
2012-02-12,85
2012-02-13,84
2012-02-14,82
2012-02-15,81
2012-02-16,80
2012-02-17,79
2012-02-18,77
2012-02-19,76
2012-02-20,75
2012-02-21,73
2012-02-22,72
2012-02-23,71
2012-02-24,69
2012-02-25,68
2012-02-26,67
2012-02-27,65
2012-02-28,64
2012-02-29,63
2012-03-01,62
2012-03-02,62
2012-03-03,62
2012-03-04,63
2012-03-05,63
2012-03-06,64
2012-03-07,64
2012-03-08,65
2012-03-09,65
2012-03-10,66
2012-03-11,66
2012-03-12,66
2012-03-13,67
2012-03-14,67
2012-03-15,68
2012-03-16,68
2012-03-17,69
2012-03-18,69
2012-03-19,70
2012-03-20,70
2012-03-21,71
2012-03-22,71
2012-03-23,71
2012-03-24,72
2012-03-25,72
2012-03-26,73
2012-03-27,73
2012-03-28,74
2012-03-29,74
2012-03-30,75
2012-03-31,75
2012-04-01,76
2012-04-02,75
2012-04-03,74
2012-04-04,74
2012-04-05,73
2012-04-06,72
2012-04-07,72
2012-04-08,71
2012-04-09,70
2012-04-10,70
2012-04-11,69
2012-04-12,68
2012-04-13,68
2012-04-14,67
2012-04-15,66
2012-04-16,66
2012-04-17,65
2012-04-18,64
2012-04-19,64
2012-04-20,63
2012-04-21,62
2012-04-22,62
2012-04-23,61
2012-04-24,60
2012-04-25,60
2012-04-26,59
2012-04-27,58
2012-04-28,58
2012-04-29,57
2012-04-30,56
2012-05-01,56
2012-05-02,55
2012-05-03,55
2012-05-04,55
2012-05-05,54
2012-05-06,54
2012-05-07,54
2012-05-08,53
2012-05-09,53
2012-05-10,53
2012-05-11,53
2012-05-12,52
2012-05-13,52
2012-05-14,52
2012-05-15,51
2012-05-16,51
2012-05-17,51
2012-05-18,51
2012-05-19,50
2012-05-20,50
2012-05-21,50
2012-05-22,49
2012-05-23,49
2012-05-24,49
2012-05-25,49
2012-05-26,48
2012-05-27,48
2012-05-28,48
2012-05-29,47
2012-05-30,47
2012-05-31,47
2012-06-01,47
2012-06-02,46
2012-06-03,46
2012-06-04,46
2012-06-05,46
2012-06-06,46
2012-06-07,46
2012-06-08,46
2012-06-09,46
2012-06-10,46
2012-06-11,46
2012-06-12,46
2012-06-13,46
2012-06-14,46
2012-06-15,46
2012-06-16,46
2012-06-17,46
2012-06-18,46
2012-06-19,46
2012-06-20,46
2012-06-21,46
2012-06-22,46
2012-06-23,46
2012-06-24,46
2012-06-25,46
2012-06-26,46
2012-06-27,46
2012-06-28,46
2012-06-29,46
2012-06-30,46
2012-07-01,46
2012-07-02,46
2012-07-03,47
2012-07-04,48
2012-07-05,48
2012-07-06,49
2012-07-07,50
2012-07-08,50
2012-07-09,51
2012-07-10,52
2012-07-11,52
2012-07-12,53
2012-07-13,54
2012-07-14,54
2012-07-15,55
2012-07-16,56
2012-07-17,56
2012-07-18,57
2012-07-19,58
2012-07-20,58
2012-07-21,59
2012-07-22,60
2012-07-23,60
2012-07-24,61
2012-07-25,62
2012-07-26,62
2012-07-27,63
2012-07-28,64
2012-07-29,64
2012-07-30,65
2012-07-31,66
2012-08-01,67
2012-08-02,67
2012-08-03,67
2012-08-04,67
2012-08-05,67
2012-08-06,67
2012-08-07,67
2012-08-08,67
2012-08-09,67
2012-08-10,67
2012-08-11,67
2012-08-12,67
2012-08-13,67
2012-08-14,67
2012-08-15,67
2012-08-16,67
2012-08-17,68
2012-08-18,68
2012-08-19,68
2012-08-20,68
2012-08-21,68
2012-08-22,68
2012-08-23,68
2012-08-24,68
2012-08-25,68
2012-08-26,68
2012-08-27,68
2012-08-28,68
2012-08-29,68
2012-08-30,68
2012-08-31,68
2012-09-01,69
2012-09-02,68
2012-09-03,68
2012-09-04,68
2012-09-05,67
2012-09-06,67
2012-09-07,67
2012-09-08,66
2012-09-09,66
2012-09-10,66
2012-09-11,66
2012-09-12,65
2012-09-13,65
2012-09-14,65
2012-09-15,64
2012-09-16,64
2012-09-17,64
2012-09-18,63
2012-09-19,63
2012-09-20,63
2012-09-21,63
2012-09-22,62
2012-09-23,62
2012-09-24,62
2012-09-25,61
2012-09-26,61
2012-09-27,61
2012-09-28,60
2012-09-29,60
2012-09-30,60
2012-10-01,60
2012-10-02,58
2012-10-03,57
2012-10-04,56
2012-10-05,55
2012-10-06,54
2012-10-07,53
2012-10-08,52
2012-10-09,50
2012-10-10,49
2012-10-11,48
2012-10-12,47
2012-10-13,46
2012-10-14,45
2012-10-15,44
2012-10-16,43
2012-10-17,41
2012-10-18,40
2012-10-19,39
2012-10-20,38
2012-10-21,37
2012-10-22,36
2012-10-23,35
2012-10-24,34
2012-10-25,32
2012-10-26,31
2012-10-27,30
2012-10-28,29
2012-10-29,28
2012-10-30,27
2012-10-31,26
2012-11-01,25
2012-11-02,25
2012-11-03,25
2012-11-04,25
2012-11-05,25
2012-11-06,25
2012-11-07,25
2012-11-08,25
2012-11-09,26
2012-11-10,26
2012-11-11,26
2012-11-12,26
2012-11-13,26
2012-11-14,26
2012-11-15,26
2012-11-16,27
2012-11-17,27
2012-11-18,27
2012-11-19,27
2012-11-20,27
2012-11-21,27
2012-11-22,27
2012-11-23,27
2012-11-24,28
