Date,Palo Alto Networks
2011-10-02,21
2011-10-03,26
2011-10-04,21
2011-10-05,21
2011-10-06,21
2011-10-07,21
2011-10-08,22
2011-10-09,22
2011-10-10,22
2011-10-11,22
2011-10-12,22
2011-10-13,22
2011-10-14,22
2011-10-15,22
2011-10-16,22
2011-10-17,22
2011-10-18,22
2011-10-19,22
2011-10-20,22
2011-10-21,22
2011-10-22,23
2011-10-23,23
2011-10-24,23
2011-10-25,23
2011-10-26,24
2011-10-27,24
2011-10-28,24
2011-10-29,25
2011-10-30,25
2011-10-31,26
2011-11-01,27
2011-11-02,28
2011-11-03,29
2011-11-04,30
2011-11-05,31
2011-11-06,29
2011-11-07,28
2011-11-08,26
2011-11-09,25
2011-11-10,23
2011-11-11,22
2011-11-12,21
2011-11-13,22
2011-11-14,24
2011-11-15,25
2011-11-16,27
2011-11-17,29
2011-11-18,30
2011-11-19,32
2011-11-20,30
2011-11-21,28
2011-11-22,26
2011-11-23,25
2011-11-24,23
2011-11-25,21
2011-11-26,20
2011-11-27,20
2011-11-28,20
2011-11-29,20
2011-11-30,20
2011-12-01,20
2011-12-02,20
2011-12-03,20
2011-12-04,20
2011-12-05,20
2011-12-06,20
2011-12-07,20
2011-12-08,20
2011-12-09,20
2011-12-10,20
2011-12-11,20
2011-12-12,20
2011-12-13,20
2011-12-14,20
2011-12-15,20
2011-12-16,20
2011-12-17,20
2011-12-18,20
2011-12-19,21
2011-12-20,21
2011-12-21,22
2011-12-22,23
2011-12-23,24
2011-12-24,25
2011-12-25,23
2012-01-01,26
2012-01-02,26
2012-01-03,25
2012-01-04,25
2012-01-05,25
2012-01-06,24
2012-01-07,24
2012-01-08,20
2012-01-09,17
2012-01-10,13
2012-01-11,10
2012-01-12,6
2012-01-13,3
2012-01-14,0
2012-01-15,0
2012-01-16,0
2012-01-17,0
2012-01-18,0
2012-01-19,0
2012-01-20,0
2012-01-21,0
2012-01-22,0
2012-01-23,0
2012-01-24,0
2012-01-25,0
2012-01-26,0
2012-01-27,0
2012-01-28,0
2012-01-29,0
2012-01-30,0
2012-01-31,0
2012-02-01,0
2012-02-02,0
2012-02-03,0
2012-02-04,0
2012-02-05,0
2012-02-06,0
2012-02-07,0
2012-02-08,0
2012-02-09,0
2012-02-10,0
2012-02-11,0
2012-02-12,3
2012-02-13,6
2012-02-14,9
2012-02-15,12
2012-02-16,15
2012-02-17,18
2012-02-18,22
2012-02-19,21
2012-02-20,21
2012-02-21,21
2012-02-22,20
2012-02-23,20
2012-02-24,20
2012-02-25,20
2012-02-26,20
2012-02-27,20
2012-02-28,20
2012-02-29,20
2012-03-01,20
2012-03-02,20
2012-03-03,21
2012-03-04,21
2012-03-05,21
2012-03-06,21
2012-03-07,21
2012-03-08,21
2012-03-09,21
2012-03-10,21
2012-03-11,21
2012-03-12,21
2012-03-13,21
2012-03-14,21
2012-03-15,21
2012-03-16,21
2012-03-17,22
2012-03-18,22
2012-03-19,22
2012-03-20,22
2012-03-21,22
2012-03-22,22
2012-03-23,22
2012-03-24,22
2012-03-25,21
2012-04-01,21
2012-04-02,22
2012-04-03,23
2012-04-04,25
2012-04-05,26
2012-04-06,27
2012-04-07,29
2012-04-08,29
2012-04-09,30
2012-04-10,30
2012-04-11,31
2012-04-12,31
2012-04-13,32
2012-04-14,33
2012-04-15,33
2012-04-16,34
2012-04-17,35
2012-04-18,36
2012-04-19,36
2012-04-20,37
2012-04-21,38
2012-04-22,36
2012-04-23,35
2012-04-24,34
2012-04-25,33
2012-04-26,32
2012-04-27,30
2012-04-28,29
2012-04-29,28
2012-04-30,26
2012-05-01,25
2012-05-02,23
2012-05-03,22
2012-05-04,21
2012-05-05,20
2012-05-06,20
2012-05-07,20
2012-05-08,20
2012-05-09,20
2012-05-10,20
2012-05-11,20
2012-05-12,20
2012-05-13,20
2012-05-14,20
2012-05-15,20
2012-05-16,20
2012-05-17,20
2012-05-18,20
2012-05-19,20
2012-05-20,20
2012-05-21,21
2012-05-22,22
2012-05-23,23
2012-05-24,24
2012-05-25,25
2012-05-26,26
2012-05-27,25
2012-05-28,24
2012-05-29,24
2012-05-30,23
2012-05-31,23
2012-06-01,22
2012-06-02,22
2012-06-03,25
2012-06-04,28
2012-06-05,31
2012-06-06,34
2012-06-07,37
2012-06-08,40
2012-06-09,43
2012-06-10,41
2012-06-11,39
2012-06-12,37
2012-06-13,35
2012-06-14,33
2012-06-15,31
2012-06-16,29
2012-06-17,28
2012-06-18,28
2012-06-19,28
2012-06-20,27
2012-06-21,27
2012-06-22,27
2012-06-23,27
2012-06-24,30
2012-07-01,68
2012-07-02,74
2012-07-03,80
2012-07-04,85
2012-07-05,91
2012-07-06,97
2012-07-07,103
2012-07-08,93
2012-07-09,80
2012-07-10,70
2012-07-11,59
2012-07-12,49
2012-07-13,39
2012-07-14,29
2012-07-15,30
2012-07-16,31
2012-07-17,32
2012-07-18,33
2012-07-19,34
2012-07-20,35
2012-07-21,36
2012-07-22,35
2012-07-23,34
2012-07-24,33
2012-07-25,32
2012-07-26,31
2012-07-27,30
2012-07-28,29
2012-07-29,29
2012-07-30,28
2012-07-31,28
2012-08-01,28
2012-08-02,28
2012-08-03,28
2012-08-04,28
2012-08-05,27
2012-08-06,27
2012-08-07,27
2012-08-08,26
2012-08-09,26
2012-08-10,26
2012-08-11,26
2012-08-12,26
2012-08-13,26
2012-08-14,26
2012-08-15,26
2012-08-16,26
2012-08-17,26
2012-08-18,26
2012-08-19,25
2012-08-20,25
