Date,Infoblox
2011-07-01,33
2011-07-02,33
2011-07-03,33
2011-07-04,34
2011-07-05,34
2011-07-06,35
2011-07-07,38
2011-07-08,36
2011-07-09,37
2011-07-10,37
2011-07-11,37
2011-07-12,40
2011-07-13,38
2011-07-14,38
2011-07-15,39
2011-07-16,39
2011-07-17,37
2011-07-18,35
2011-07-19,34
2011-07-20,32
2011-07-21,30
2011-07-22,28
2011-07-23,27
2011-07-24,27
2011-07-25,27
2011-07-26,28
2011-07-27,29
2011-07-28,29
2011-07-29,29
2011-07-30,30
2011-07-31,29
2011-08-01,28
2011-08-02,27
2011-08-03,26
2011-08-04,25
2011-08-05,24
2011-08-06,26
2011-08-07,24
2011-08-08,25
2011-08-09,26
2011-08-10,27
2011-08-11,30
2011-08-12,29
2011-08-13,30
2011-08-14,30
2011-08-15,30
2011-08-16,30
2011-08-17,30
2011-08-18,31
2011-08-19,31
2011-08-20,31
2011-08-21,30
2011-08-22,30
2011-08-23,30
2011-08-24,30
2011-08-25,30
2011-08-26,30
2011-08-27,30
2011-08-28,30
2011-08-29,31
2011-08-30,34
2011-08-31,32
2011-09-01,34
2011-09-02,33
2011-09-03,34
2011-09-04,33
2011-09-05,33
2011-09-06,32
2011-09-07,32
2011-09-08,31
2011-09-09,33
2011-09-10,31
2011-09-11,31
2011-09-12,32
2011-09-13,32
2011-09-14,38
2011-09-15,33
2011-09-16,34
2011-09-17,35
2011-09-18,34
2011-09-19,34
2011-09-20,36
2011-09-21,34
2011-09-22,34
2011-09-23,36
2011-09-24,34
2011-09-25,33
2011-09-26,33
2011-09-27,32
2011-09-28,32
2011-09-29,32
2011-09-30,31
2011-10-01,31
2011-10-02,31
2011-10-03,31
2011-10-04,31
2011-10-05,31
2011-10-06,31
2011-10-07,31
2011-10-08,34
2011-10-09,31
2011-10-10,31
2011-10-11,31
2011-10-12,31
2011-10-13,31
2011-10-14,31
2011-10-15,33
2011-10-16,32
2011-10-17,33
2011-10-18,35
2011-10-19,34
2011-10-20,37
2011-10-21,35
2011-10-22,36
2011-10-23,35
2011-10-24,34
2011-10-25,34
2011-10-26,33
2011-10-27,31
2011-10-28,30
2011-10-29,29
2011-10-30,29
2011-10-31,30
2011-11-01,32
2011-11-02,32
2011-11-03,33
2011-11-04,38
2011-11-05,35
2011-11-06,34
2011-11-07,33
2011-11-08,33
2011-11-09,33
2011-11-10,31
2011-11-11,32
2011-11-12,30
2011-11-13,31
2011-11-14,32
2011-11-15,33
2011-11-16,34
2011-11-17,35
2011-11-18,36
2011-11-19,39
2011-11-20,34
2011-11-21,32
2011-11-22,31
2011-11-23,28
2011-11-24,27
2011-11-25,24
2011-11-26,22
2011-11-27,22
2011-11-28,22
2011-11-29,23
2011-11-30,24
2011-12-01,25
2011-12-02,24
2011-12-03,25
2011-12-04,25
2011-12-05,26
2011-12-06,27
2011-12-07,28
2011-12-08,29
2011-12-09,30
2011-12-10,33
2011-12-11,31
2011-12-12,31
2011-12-13,31
2011-12-14,33
2011-12-15,32
2011-12-16,32
2011-12-17,33
2011-12-18,31
2011-12-19,30
2011-12-20,29
2011-12-21,27
2011-12-22,25
2011-12-23,24
2011-12-24,23
2011-12-25,22
2011-12-26,21
2011-12-27,20
2011-12-28,19
2011-12-29,18
2011-12-30,17
2011-12-31,17
2012-01-01,17
2012-01-02,18
2012-01-03,20
2012-01-04,21
2012-01-05,21
2012-01-06,22
2012-01-07,23
2012-01-08,25
2012-01-09,28
2012-01-10,34
2012-01-11,35
2012-01-12,36
2012-01-13,39
2012-01-14,47
2012-01-15,39
2012-01-16,37
2012-01-17,35
2012-01-18,32
2012-01-19,31
2012-01-20,29
2012-01-21,26
2012-01-22,26
2012-01-23,27
2012-01-24,28
2012-01-25,29
2012-01-26,29
2012-01-27,30
2012-01-28,31
2012-01-29,32
2012-01-30,33
2012-01-31,38
2012-02-01,37
2012-02-02,38
2012-02-03,39
2012-02-04,44
2012-02-05,40
2012-02-06,39
2012-02-07,38
2012-02-08,37
2012-02-09,37
2012-02-10,37
2012-02-11,35
2012-02-12,34
2012-02-13,34
2012-02-14,35
2012-02-15,36
2012-02-16,34
2012-02-17,34
2012-02-18,36
2012-02-19,34
2012-02-20,34
2012-02-21,34
