Date,Nanosphere
2007-06-02,0
2007-06-03,0
2007-06-04,0
2007-06-05,0
2007-06-06,0
2007-06-07,0
2007-06-08,0
2007-06-09,0
2007-06-10,4
2007-06-11,8
2007-06-12,13
2007-06-13,17
2007-06-14,22
2007-06-15,26
2007-06-16,31
2007-06-17,31
2007-06-18,33
2007-06-19,34
2007-06-20,35
2007-06-21,37
2007-06-22,38
2007-06-23,41
2007-06-24,36
2007-06-25,35
2007-06-26,34
2007-06-27,33
2007-06-28,32
2007-06-29,31
2007-06-30,31
2007-07-01,31
2007-07-02,31
2007-07-03,31
2007-07-04,31
2007-07-05,31
2007-07-06,31
2007-07-07,31
2007-07-08,31
2007-07-09,31
2007-07-10,31
2007-07-11,31
2007-07-12,31
2007-07-13,31
2007-07-14,31
2007-07-15,32
2007-07-16,33
2007-07-17,34
2007-07-18,35
2007-07-19,36
2007-07-20,37
2007-07-21,39
2007-07-22,40
2007-07-23,41
2007-07-24,42
2007-07-25,43
2007-07-26,44
2007-07-27,45
2007-07-28,46
2007-07-29,47
2007-08-05,54
2007-08-06,65
2007-08-07,56
2007-08-08,57
2007-08-09,58
2007-08-10,59
2007-08-11,61
2007-08-12,62
2007-08-13,63
2007-08-14,65
2007-08-15,66
2007-08-16,67
2007-08-17,68
2007-08-18,69
2007-08-19,63
2007-08-20,56
2007-08-21,50
2007-08-22,44
2007-08-23,38
2007-08-24,32
2007-08-25,26
2007-08-26,26
2007-08-27,26
2007-08-28,26
2007-08-29,26
2007-08-30,26
2007-08-31,26
2007-09-01,26
2007-09-02,26
2007-09-03,26
2007-09-04,26
2007-09-05,26
2007-09-06,26
2007-09-07,26
2007-09-08,26
2007-09-09,25
2007-09-10,25
2007-09-11,25
2007-09-12,25
2007-09-13,25
2007-09-14,25
2007-09-15,25
2007-09-16,26
2007-09-17,28
2007-09-18,30
2007-09-19,32
2007-09-20,34
2007-09-21,36
2007-09-22,38
2007-09-23,36
2007-09-24,35
2007-09-25,34
2007-09-26,33
2007-09-27,32
2007-09-28,31
2007-09-29,30
2007-09-30,30
2007-10-01,30
2007-10-02,30
2007-10-03,30
2007-10-04,30
2007-10-05,30
2007-10-06,30
2007-10-07,29
2007-10-08,28
2007-10-09,27
2007-10-10,26
2007-10-11,25
2007-10-12,24
2007-10-13,24
2007-10-14,24
2007-10-15,24
2007-10-16,24
2007-10-17,24
2007-10-18,24
2007-10-19,24
2007-10-20,24
2007-10-21,25
2007-10-22,27
2007-10-23,28
2007-10-24,30
2007-10-25,31
2007-10-26,33
2007-10-27,35
2007-10-28,44
2007-11-04,92
2007-11-05,86
2007-11-06,79
2007-11-07,71
2007-11-08,64
2007-11-09,57
2007-11-10,49
2007-11-11,46
2007-11-12,42
2007-11-13,38
2007-11-14,35
2007-11-15,31
2007-11-16,28
2007-11-17,25
2007-11-18,27
2007-11-19,29
2007-11-20,31
2007-11-21,33
2007-11-22,35
2007-11-23,37
2007-11-24,39
2007-11-25,41
2007-11-26,43
2007-11-27,45
2007-11-28,47
2007-11-29,49
2007-11-30,51
2007-12-01,54
2007-12-02,51
2007-12-03,48
2007-12-04,46
2007-12-05,43
2007-12-06,41
2007-12-07,38
2007-12-08,36
2007-12-09,35
2007-12-10,34
2007-12-11,33
2007-12-12,32
2007-12-13,31
2007-12-14,30
2007-12-15,29
2007-12-16,29
2007-12-17,29
2007-12-18,29
2007-12-19,29
2007-12-20,29
2007-12-21,29
2007-12-22,29
2007-12-23,28
2007-12-24,27
2007-12-25,26
2007-12-26,25
2007-12-27,24
2007-12-28,23
2007-12-29,22
2007-12-30,22
2007-12-31,22
2008-01-01,22
2008-01-02,22
2008-01-03,22
2008-01-04,22
2008-01-05,22
2008-01-06,22
2008-01-07,22
2008-01-08,22
2008-01-09,22
2008-01-10,22
2008-01-11,22
2008-01-12,22
2008-01-13,22
2008-01-14,22
2008-01-15,22
2008-01-16,22
2008-01-17,22
2008-01-18,22
2008-01-19,22
2008-01-20,24
2008-01-21,26
2008-01-22,28
2008-01-23,30
2008-01-24,32
2008-01-25,34
2008-01-26,36
2008-01-27,35
2008-02-03,33
2008-02-04,38
2008-02-05,29
2008-02-06,27
2008-02-07,25
2008-02-08,23
2008-02-09,21
2008-02-10,21
2008-02-11,21
2008-02-12,21
2008-02-13,21
2008-02-14,21
2008-02-15,21
2008-02-16,21
2008-02-17,21
2008-02-18,21
2008-02-19,21
2008-02-20,21
2008-02-21,21
2008-02-22,21
2008-02-23,21
2008-02-24,21
2008-02-25,21
2008-02-26,21
2008-02-27,21
2008-02-28,21
2008-02-29,21
2008-03-01,21
2008-03-02,21
2008-03-03,21
2008-03-04,21
2008-03-05,21
2008-03-06,21
2008-03-07,21
2008-03-08,21
2008-03-09,21
2008-03-10,21
2008-03-11,21
2008-03-12,21
2008-03-13,21
2008-03-14,21
2008-03-15,21
2008-03-16,21
2008-03-17,21
2008-03-18,21
2008-03-19,21
2008-03-20,21
2008-03-21,21
2008-03-22,22
2008-03-23,22
2008-03-24,22
2008-03-25,22
2008-03-26,22
2008-03-27,22
2008-03-28,22
2008-03-29,22
2008-03-30,22
2008-03-31,22
2008-04-01,22
2008-04-02,22
2008-04-03,22
2008-04-04,22
2008-04-05,22
2008-04-06,22
2008-04-07,22
2008-04-08,22
2008-04-09,22
2008-04-10,22
2008-04-11,22
2008-04-12,22
2008-04-13,22
2008-04-14,22
2008-04-15,22
2008-04-16,22
2008-04-17,22
2008-04-18,22
2008-04-19,22
2008-04-20,22
2008-04-21,22
2008-04-22,23
2008-04-23,23
2008-04-24,23
2008-04-25,24
2008-04-26,25
2008-04-27,19
2008-05-01,6
2008-05-02,3
2008-05-03,0
2008-05-04,0
2008-05-05,0
2008-05-06,0
2008-05-07,0
2008-05-08,0
2008-05-09,0
2008-05-10,0
2008-05-11,0
2008-05-12,0
2008-05-13,0
2008-05-14,0
2008-05-15,0
2008-05-16,0
2008-05-17,0
2008-05-18,0
2008-05-19,0
2008-05-20,0
2008-05-21,0
2008-05-22,0
2008-05-23,0
2008-05-24,0
2008-05-25,0
2008-05-26,0
2008-05-27,0
2008-05-28,0
2008-05-29,0
2008-05-30,0
2008-05-31,0
2008-06-01,0
2008-06-02,0
2008-06-03,0
2008-06-04,0
2008-06-05,0
2008-06-06,0
2008-06-07,0
2008-06-08,3
2008-06-09,7
2008-06-10,11
2008-06-11,14
2008-06-12,18
2008-06-13,22
2008-06-14,26
2008-06-15,22
2008-06-16,18
2008-06-17,14
2008-06-18,11
2008-06-19,7
2008-06-20,3
2008-06-21,0
2008-06-22,0
2008-06-23,0
2008-06-24,0
2008-06-25,0
2008-06-26,0
2008-06-27,0
2008-06-28,0
2008-06-29,0
2008-06-30,0
2008-07-01,0
2008-07-02,0
2008-07-03,0
2008-07-04,0
2008-07-05,0
2008-07-06,0
2008-07-07,0
2008-07-08,0
2008-07-09,0
2008-07-10,0
2008-07-11,0
2008-07-12,0
2008-07-13,0
2008-07-14,0
2008-07-15,0
2008-07-16,0
2008-07-17,0
2008-07-18,0
2008-07-19,0
2008-07-20,0
2008-07-21,0
2008-07-22,0
2008-07-23,0
2008-07-24,0
2008-07-25,0
2008-07-26,0
2008-07-27,0
2008-07-28,0
2008-07-29,0
2008-07-30,0
2008-07-31,0
2008-08-03,0
2008-08-04,0
2008-08-05,0
2008-08-06,0
2008-08-07,0
2008-08-08,0
2008-08-09,0
2008-08-10,0
2008-08-11,0
2008-08-12,0
2008-08-13,0
2008-08-14,0
2008-08-15,0
2008-08-16,0
2008-08-17,0
2008-08-18,0
2008-08-19,0
2008-08-20,0
2008-08-21,0
2008-08-22,0
2008-08-23,0
2008-08-24,0
2008-08-25,0
2008-08-26,0
2008-08-27,0
2008-08-28,0
2008-08-29,0
2008-08-30,0
2008-08-31,0
2008-09-01,0
2008-09-02,0
2008-09-03,0
2008-09-04,0
2008-09-05,0
2008-09-06,0
2008-09-07,4
2008-09-08,8
2008-09-09,12
2008-09-10,16
2008-09-11,20
2008-09-12,24
2008-09-13,28
2008-09-14,26
2008-09-15,25
2008-09-16,23
2008-09-17,22
2008-09-18,20
2008-09-19,19
2008-09-20,18
2008-09-21,18
2008-09-22,18
2008-09-23,18
2008-09-24,18
2008-09-25,18
2008-09-26,18
2008-09-27,18
2008-09-28,15
2008-09-29,12
2008-09-30,10
2008-10-01,7
2008-10-02,5
2008-10-03,2
2008-10-04,0
2008-10-05,0
2008-10-06,0
2008-10-07,0
2008-10-08,0
2008-10-09,0
2008-10-10,0
2008-10-11,0
2008-10-12,0
2008-10-13,0
2008-10-14,0
2008-10-15,0
2008-10-16,0
2008-10-17,0
2008-10-18,0
2008-10-19,0
2008-10-20,0
2008-10-21,0
2008-10-22,0
2008-10-23,0
2008-10-24,0
2008-10-25,0
2008-10-26,0
2008-11-01,0
2008-11-02,0
2008-11-03,0
2008-11-04,0
2008-11-05,0
2008-11-06,0
2008-11-07,0
2008-11-08,0
2008-11-09,0
2008-11-10,0
2008-11-11,0
2008-11-12,0
2008-11-13,0
2008-11-14,0
2008-11-15,0
2008-11-16,3
2008-11-17,7
2008-11-18,10
2008-11-19,14
2008-11-20,17
2008-11-21,21
2008-11-22,25
2008-11-23,24
2008-11-24,24
2008-11-25,23
2008-11-26,23
2008-11-27,22
2008-11-28,22
2008-11-29,22
2008-11-30,21
2008-12-01,20
2008-12-02,19
2008-12-03,19
2008-12-04,18
2008-12-05,17
2008-12-06,17
2008-12-07,17
2008-12-08,17
2008-12-09,17
2008-12-10,17
2008-12-11,17
2008-12-12,17
2008-12-13,17
2008-12-14,14
2008-12-15,12
2008-12-16,9
2008-12-17,7
2008-12-18,4
2008-12-19,2
2008-12-20,0
2008-12-21,0
2008-12-22,0
2008-12-23,0
2008-12-24,0
2008-12-25,0
2008-12-26,0
2008-12-27,0
2008-12-28,0
2008-12-29,0
2008-12-30,0
2008-12-31,0
2009-01-01,0
2009-01-02,0
2009-01-03,0
2009-01-04,0
2009-01-05,0
2009-01-06,0
2009-01-07,0
2009-01-08,0
2009-01-09,0
2009-01-10,0
2009-01-11,0
2009-01-12,0
2009-01-13,0
2009-01-14,0
2009-01-15,0
2009-01-16,0
2009-01-17,0
2009-01-18,0
2009-01-19,0
2009-01-20,0
2009-01-21,0
2009-01-22,0
2009-01-23,0
2009-01-24,0
2009-01-25,2
2009-01-26,4
2009-01-27,6
2009-01-28,9
2009-01-29,11
2009-01-30,13
2009-01-31,16
