Date,Tria Beauty
2011-12-04,29
2011-12-05,29
2011-12-06,28
2011-12-07,28
2011-12-08,27
2011-12-09,27
2011-12-10,27
2011-12-11,25
2011-12-12,23
2011-12-13,22
2011-12-14,20
2011-12-15,19
2011-12-16,17
2011-12-17,16
2011-12-18,17
2011-12-19,18
2011-12-20,20
2011-12-21,21
2011-12-22,23
2011-12-23,24
2011-12-24,26
2011-12-25,27
2011-12-26,28
2011-12-27,30
2011-12-28,31
2011-12-29,33
2011-12-30,34
2011-12-31,36
2012-01-01,36
2012-01-02,37
2012-01-03,38
2012-01-04,39
2012-01-05,40
2012-01-06,40
2012-01-07,41
2012-01-08,39
2012-01-09,36
2012-01-10,34
2012-01-11,31
2012-01-12,29
2012-01-13,27
2012-01-14,25
2012-01-15,28
2012-01-16,31
2012-01-17,34
2012-01-18,37
2012-01-19,40
2012-01-20,43
2012-01-21,46
2012-01-22,43
2012-01-23,39
2012-01-24,36
2012-01-25,33
2012-01-26,30
2012-01-27,27
2012-01-28,24
2012-01-29,25
2012-01-30,26
2012-01-31,27
2012-02-01,29
2012-02-02,30
2012-02-03,31
2012-02-04,33
2012-02-05,34
2012-02-06,35
2012-02-07,36
2012-02-08,37
2012-02-09,39
2012-02-10,40
2012-02-11,41
2012-02-12,37
2012-02-13,32
2012-02-14,28
2012-02-15,24
2012-02-16,20
2012-02-17,16
2012-02-18,12
2012-02-19,13
2012-02-20,15
2012-02-21,17
2012-02-22,19
2012-02-23,21
2012-02-24,23
2012-02-25,25
2012-02-26,24
2012-03-04,26
2012-03-05,29
2012-03-06,32
2012-03-07,35
2012-03-08,37
2012-03-09,40
2012-03-10,43
2012-03-11,40
2012-03-12,36
2012-03-13,33
2012-03-14,30
2012-03-15,27
2012-03-16,24
2012-03-17,22
2012-03-18,24
2012-03-19,26
2012-03-20,28
2012-03-21,30
2012-03-22,32
2012-03-23,34
2012-03-24,37
2012-03-25,35
2012-03-26,34
2012-03-27,33
2012-03-28,31
2012-03-29,30
2012-03-30,29
2012-03-31,28
2012-04-01,28
2012-04-02,28
2012-04-03,28
2012-04-04,28
2012-04-05,28
2012-04-06,28
2012-04-07,29
2012-04-08,29
2012-04-09,29
2012-04-10,29
2012-04-11,30
2012-04-12,30
2012-04-13,30
2012-04-14,31
2012-04-15,30
2012-04-16,30
2012-04-17,30
2012-04-18,29
2012-04-19,29
2012-04-20,29
2012-04-21,29
2012-04-22,29
2012-04-23,29
2012-04-24,29
2012-04-25,29
2012-04-26,29
2012-04-27,29
2012-04-28,30
2012-04-29,30
2012-04-30,31
2012-05-01,32
2012-05-02,33
2012-05-03,34
2012-05-04,35
2012-05-05,36
2012-05-06,36
2012-05-07,36
2012-05-08,36
2012-05-09,36
2012-05-10,36
2012-05-11,37
2012-05-12,37
2012-05-13,37
2012-05-14,37
2012-05-15,37
2012-05-16,37
2012-05-17,37
2012-05-18,37
2012-05-19,37
2012-05-20,39
2012-05-21,41
2012-05-22,43
2012-05-23,45
2012-05-24,47
2012-05-25,49
2012-05-26,51
2012-05-27,48
2012-06-03,31
2012-06-04,30
2012-06-05,29
2012-06-06,28
2012-06-07,27
2012-06-08,26
2012-06-09,26
2012-06-10,26
2012-06-11,26
2012-06-12,26
2012-06-13,26
2012-06-14,26
2012-06-15,26
2012-06-16,26
2012-06-17,28
2012-06-18,30
2012-06-19,32
2012-06-20,34
2012-06-21,37
2012-06-22,39
2012-06-23,41
2012-06-24,39
2012-06-25,37
2012-06-26,34
2012-06-27,32
2012-06-28,30
2012-06-29,27
2012-06-30,25
2012-07-01,25
2012-07-02,23
2012-07-03,23
2012-07-04,22
2012-07-05,22
2012-07-06,21
2012-07-07,21
2012-07-08,22
2012-07-09,24
2012-07-10,25
2012-07-11,27
2012-07-12,29
2012-07-13,30
2012-07-14,32
2012-07-15,31
2012-07-16,29
2012-07-17,28
2012-07-18,27
2012-07-19,26
2012-07-20,25
2012-07-21,24
2012-07-22,23
2012-07-23,23
2012-07-24,22
2012-07-25,22
2012-07-26,22
2012-07-27,21
2012-07-28,21
2012-07-29,20
2012-07-30,19
2012-07-31,18
2012-08-01,17
2012-08-02,16
2012-08-03,15
2012-08-04,15
2012-08-05,16
2012-08-06,17
2012-08-07,18
2012-08-08,19
2012-08-09,20
2012-08-10,21
2012-08-11,22
2012-08-12,21
2012-08-13,20
2012-08-14,19
2012-08-15,18
2012-08-16,17
2012-08-17,16
2012-08-18,15
2012-08-19,15
2012-08-20,15
2012-08-21,15
2012-08-22,16
2012-08-23,16
2012-08-24,16
2012-08-25,17
2012-08-26,19
2012-09-02,31
2012-09-03,30
2012-09-04,30
2012-09-05,29
2012-09-06,29
2012-09-07,28
2012-09-08,28
2012-09-09,27
2012-09-10,27
2012-09-11,27
2012-09-12,26
2012-09-13,26
2012-09-14,25
2012-09-15,25
2012-09-16,24
2012-09-17,23
2012-09-18,22
2012-09-19,21
2012-09-20,20
2012-09-21,19
2012-09-22,18
2012-09-23,20
2012-09-24,22
2012-09-25,24
2012-09-26,26
2012-09-27,28
2012-09-28,30
2012-09-29,32
2012-09-30,31
2012-10-01,29
2012-10-02,28
2012-10-03,27
2012-10-04,26
2012-10-05,25
2012-10-06,24
2012-10-07,24
2012-10-08,24
2012-10-09,24
2012-10-10,24
2012-10-11,24
2012-10-12,24
2012-10-13,24
2012-10-14,24
2012-10-15,22
2012-10-16,22
2012-10-17,21
2012-10-18,21
2012-10-19,20
2012-10-20,20
2012-10-21,22
2012-10-22,26
2012-10-23,29
2012-10-24,32
2012-10-25,35
2012-10-26,38
2012-10-27,41
2012-10-28,38
2012-10-29,32
2012-10-30,28
2012-10-31,24
2012-11-01,20
2012-11-02,16
2012-11-03,12
2012-11-04,14
2012-11-05,16
2012-11-06,18
2012-11-07,21
2012-11-08,23
2012-11-09,25
2012-11-10,28
2012-11-11,28
2012-11-12,29
2012-11-13,30
2012-11-14,31
2012-11-15,31
2012-11-16,32
2012-11-17,33
2012-11-18,32
2012-11-19,31
2012-11-20,30
2012-11-21,29
2012-11-22,28
2012-11-23,27
2012-11-24,27
2012-11-25,27
2012-12-02,32
2012-12-03,38
2012-12-04,43
2012-12-05,48
2012-12-06,53
2012-12-07,58
2012-12-08,63
2012-12-09,58
2012-12-10,50
2012-12-11,44
2012-12-12,39
2012-12-13,33
2012-12-14,27
2012-12-15,22
2012-12-16,24
2012-12-17,26
2012-12-18,29
2012-12-19,31
2012-12-20,34
2012-12-21,36
2012-12-22,38
2012-12-23,35
2012-12-24,31
2012-12-25,28
2012-12-26,25
2012-12-27,22
2012-12-28,19
2012-12-29,16
2012-12-30,19
2012-12-31,23
2013-01-01,27
2013-01-02,31
2013-01-03,34
2013-01-04,38
2013-01-05,42
2013-01-06,40
2013-01-07,38
2013-01-08,37
2013-01-09,35
2013-01-10,33
2013-01-11,31
2013-01-12,30
2013-01-13,30
2013-01-14,31
2013-01-15,32
2013-01-16,32
2013-01-17,33
2013-01-18,34
2013-01-19,35
2013-01-20,33
2013-01-21,32
2013-01-22,31
2013-01-23,29
2013-01-24,28
2013-01-25,27
2013-01-26,26
2013-01-27,28
2013-01-28,32
2013-01-29,34
2013-01-30,37
2013-01-31,40
2013-02-01,43
2013-02-02,46
2013-02-03,44
2013-02-04,41
2013-02-05,39
2013-02-06,36
2013-02-07,34
2013-02-08,32
2013-02-09,30
2013-02-10,40
2013-02-11,50
2013-02-12,60
2013-02-13,71
2013-02-14,81
2013-02-15,91
2013-02-16,101
2013-02-17,96
2013-02-18,90
2013-02-19,84
2013-02-20,79
2013-02-21,74
2013-02-22,68
2013-02-23,63
2013-02-24,59
2013-03-03,31
2013-03-04,30
2013-03-05,30
2013-03-06,29
2013-03-07,29
2013-03-08,28
2013-03-09,28
2013-03-10,29
2013-03-11,30
2013-03-12,32
2013-03-13,33
2013-03-14,35
2013-03-15,36
2013-03-16,38
2013-03-17,37
2013-03-18,36
2013-03-19,35
2013-03-20,34
2013-03-21,33
2013-03-22,32
2013-03-23,31
2013-03-24,30
2013-03-25,29
2013-03-26,28
2013-03-27,28
2013-03-28,27
2013-03-29,26
2013-03-30,26
2013-03-31,29
2013-04-01,33
2013-04-02,37
2013-04-03,40
2013-04-04,44
2013-04-05,48
2013-04-06,51
2013-04-07,49
2013-04-08,45
2013-04-09,43
2013-04-10,40
2013-04-11,38
2013-04-12,35
2013-04-13,33
2013-04-14,32
2013-04-15,32
2013-04-16,31
2013-04-17,30
2013-04-18,30
2013-04-19,29
2013-04-20,29
2013-04-21,28
2013-04-22,27
2013-04-23,26
2013-04-24,25
2013-04-25,24
2013-04-26,23
2013-04-27,22
2013-04-28,23
2013-04-29,24
2013-04-30,25
2013-05-01,26
2013-05-02,27
2013-05-03,28
2013-05-04,29
2013-05-05,29
2013-05-06,30
2013-05-07,31
2013-05-08,32
2013-05-09,33
2013-05-10,34
2013-05-11,35
2013-05-12,33
2013-05-13,31
2013-05-14,29
2013-05-15,27
2013-05-16,25
2013-05-17,23
2013-05-18,22
2013-05-19,22
2013-05-20,23
2013-05-21,23
2013-05-22,24
2013-05-23,24
2013-05-24,25
2013-05-25,26
2013-05-26,25
2013-06-02,19
2013-06-03,20
2013-06-04,21
2013-06-05,22
2013-06-06,22
2013-06-07,23
2013-06-08,24
2013-06-09,23
2013-06-10,22
2013-06-11,21
2013-06-12,21
2013-06-13,20
2013-06-14,19
2013-06-15,19
2013-06-16,19
2013-06-17,19
2013-06-18,20
2013-06-19,20
2013-06-20,21
2013-06-21,21
2013-06-22,22
2013-06-23,21
2013-06-24,21
2013-06-25,21
2013-06-26,20
2013-06-27,20
2013-06-28,20
2013-06-29,20
2013-06-30,20
2013-07-01,20
2013-07-02,20
2013-07-03,20
2013-07-04,20
2013-07-05,20
2013-07-06,21
2013-07-07,20
2013-07-08,20
2013-07-09,19
2013-07-10,19
2013-07-11,18
2013-07-12,18
2013-07-13,18
2013-07-14,18
2013-07-15,19
2013-07-16,20
2013-07-17,20
2013-07-18,21
2013-07-19,22
2013-07-20,23
2013-07-21,23
2013-07-22,23
2013-07-23,23
2013-07-24,23
2013-07-25,23
2013-07-26,23
2013-07-27,23
2013-07-28,22
2013-07-29,21
2013-07-30,21
2013-07-31,20
2013-08-01,20
2013-08-02,19
2013-08-03,19
2013-08-04,20
2013-08-05,21
2013-08-06,22
2013-08-07,24
2013-08-08,25
2013-08-09,26
2013-08-10,28
2013-08-11,26
2013-08-12,25
2013-08-13,24
2013-08-14,23
2013-08-15,21
2013-08-16,20
2013-08-17,19
2013-08-18,19
2013-08-19,19
2013-08-20,19
2013-08-21,20
2013-08-22,20
2013-08-23,20
2013-08-24,21
2013-08-25,21
2013-09-01,24
2013-09-02,23
2013-09-03,21
2013-09-04,20
2013-09-05,18
2013-09-06,17
2013-09-07,16
2013-09-08,17
2013-09-09,18
2013-09-10,20
2013-09-11,21
2013-09-12,22
2013-09-13,24
2013-09-14,25
2013-09-15,24
2013-09-16,22
2013-09-17,20
2013-09-18,19
2013-09-19,17
2013-09-20,16
2013-09-21,15
2013-09-22,15
2013-09-23,15
2013-09-24,16
2013-09-25,16
2013-09-26,17
2013-09-27,17
2013-09-28,18
2013-09-29,18
2013-09-30,18
2013-10-01,18
2013-10-02,19
2013-10-03,19
2013-10-04,19
2013-10-05,20
2013-10-06,19
2013-10-07,18
2013-10-08,18
2013-10-09,17
2013-10-10,17
2013-10-11,16
2013-10-12,16
2013-10-13,15
2013-10-14,15
2013-10-15,15
2013-10-16,14
2013-10-17,14
2013-10-18,14
2013-10-19,14
2013-10-20,14
2013-10-21,14
2013-10-22,14
2013-10-23,15
2013-10-24,15
2013-10-25,15
2013-10-26,16
2013-10-27,17
2013-10-28,18
2013-10-29,20
2013-10-30,21
2013-10-31,23
2013-11-01,24
2013-11-02,26
2013-11-03,27
2013-11-04,29
2013-11-05,30
2013-11-06,32
2013-11-07,33
2013-11-08,35
2013-11-09,37
2013-11-10,38
2013-11-11,40
2013-11-12,41
2013-11-13,43
2013-11-14,44
2013-11-15,46
2013-11-16,47
2013-11-17,44
2013-11-18,41
2013-11-19,38
2013-11-20,35
2013-11-21,32
2013-11-22,29
2013-11-23,26
2013-11-24,27
