Date,Ascent Energy
2007-09-10,0
2007-09-11,0
2007-09-12,0
2007-09-13,0
2007-09-14,0
2007-09-15,0
2007-09-16,0
2007-09-17,0
2007-09-18,0
2007-09-19,0
2007-09-20,0
2007-09-21,0
2007-09-22,0
2007-09-23,0
2007-09-24,0
2007-09-25,0
2007-09-26,0
2007-09-27,0
2007-09-28,0
2007-09-29,0
2007-09-30,0
2007-10-01,0
2007-10-02,0
2007-10-03,0
2007-10-04,0
2007-10-05,0
2007-10-06,0
2007-10-07,0
2007-10-08,0
2007-10-09,0
2007-10-10,0
2007-10-11,0
2007-10-12,0
2007-10-13,0
2007-10-14,0
2007-10-15,0
2007-10-16,0
2007-10-17,0
2007-10-18,0
2007-10-19,0
2007-10-20,0
2007-10-21,0
2007-10-22,0
2007-10-23,0
2007-10-24,0
2007-10-25,0
2007-10-26,0
2007-10-27,0
2007-10-28,0
2007-10-29,0
2007-10-30,0
2007-10-31,0
2007-11-01,0
2007-11-02,0
2007-11-03,0
2007-11-04,0
2007-11-05,0
2007-11-06,0
2007-11-07,0
2007-11-08,0
2007-11-09,0
2007-11-10,0
2007-11-11,0
2007-11-12,0
2007-11-13,0
2007-11-14,0
2007-11-15,0
2007-11-16,0
2007-11-17,0
2007-11-18,0
2007-11-19,0
2007-11-20,0
2007-11-21,0
2007-11-22,0
2007-11-23,0
2007-11-24,0
2007-11-25,0
2007-11-26,0
2007-11-27,0
2007-11-28,0
2007-11-29,0
2007-11-30,0
2007-12-01,0
2007-12-02,1
2007-12-03,3
2007-12-04,4
2007-12-05,6
2007-12-06,7
2007-12-07,9
2007-12-08,10
2007-12-09,12
2007-12-10,13
2007-12-11,15
2007-12-12,17
2007-12-13,18
2007-12-14,20
2007-12-15,21
2007-12-16,23
2007-12-17,24
2007-12-18,26
2007-12-19,27
2007-12-20,29
2007-12-21,30
2007-12-22,32
2007-12-23,34
2007-12-24,35
2007-12-25,37
2007-12-26,38
2007-12-27,40
2007-12-28,41
2007-12-29,43
2007-12-30,44
2007-12-31,46
2008-01-01,48
2008-01-02,47
2008-01-03,47
2008-01-04,47
2008-01-05,47
2008-01-06,47
2008-01-07,47
2008-01-08,46
2008-01-09,46
2008-01-10,46
2008-01-11,46
2008-01-12,46
2008-01-13,46
2008-01-14,45
2008-01-15,45
2008-01-16,45
2008-01-17,45
2008-01-18,45
2008-01-19,45
2008-01-20,44
2008-01-21,44
2008-01-22,44
2008-01-23,44
2008-01-24,44
2008-01-25,44
2008-01-26,43
2008-01-27,43
2008-01-28,43
2008-01-29,43
2008-01-30,43
2008-01-31,43
2008-02-01,43
2008-02-02,43
2008-02-03,43
2008-02-04,43
2008-02-05,43
2008-02-06,43
2008-02-07,43
2008-02-08,43
2008-02-09,43
2008-02-10,43
2008-02-11,43
2008-02-12,43
2008-02-13,43
2008-02-14,43
2008-02-15,43
2008-02-16,43
2008-02-17,43
2008-02-18,43
2008-02-19,43
2008-02-20,43
2008-02-21,43
2008-02-22,43
2008-02-23,43
2008-02-24,43
2008-02-25,43
2008-02-26,43
2008-02-27,43
2008-02-28,43
2008-02-29,43
2008-03-01,43
2008-03-02,43
2008-03-03,43
2008-03-04,43
2008-03-05,43
2008-03-06,43
2008-03-07,43
2008-03-08,43
2008-03-09,43
2008-03-10,43
2008-03-11,43
2008-03-12,43
2008-03-13,43
2008-03-14,43
2008-03-15,43
2008-03-16,43
2008-03-17,43
2008-03-18,43
2008-03-19,43
2008-03-20,43
2008-03-21,43
2008-03-22,43
2008-03-23,43
2008-03-24,43
2008-03-25,43
2008-03-26,43
2008-03-27,43
2008-03-28,43
2008-03-29,43
2008-03-30,43
2008-03-31,43
2008-04-01,43
2008-04-02,44
2008-04-03,46
2008-04-04,48
2008-04-05,50
2008-04-06,52
2008-04-07,54
2008-04-08,56
2008-04-09,58
2008-04-10,60
2008-04-11,62
2008-04-12,63
2008-04-13,65
2008-04-14,67
2008-04-15,69
2008-04-16,71
2008-04-17,73
2008-04-18,75
2008-04-19,77
2008-04-20,79
2008-04-21,81
2008-04-22,82
2008-04-23,84
2008-04-24,86
2008-04-25,88
2008-04-26,90
2008-04-27,92
2008-04-28,94
2008-04-29,96
2008-04-30,98
2008-05-01,100
2008-05-02,97
2008-05-03,95
2008-05-04,93
2008-05-05,91
2008-05-06,89
2008-05-07,87
2008-05-08,84
2008-05-09,82
2008-05-10,80
2008-05-11,78
2008-05-12,76
2008-05-13,74
2008-05-14,71
2008-05-15,69
2008-05-16,67
2008-05-17,65
2008-05-18,63
2008-05-19,61
2008-05-20,58
2008-05-21,56
2008-05-22,54
2008-05-23,52
2008-05-24,50
2008-05-25,48
2008-05-26,45
2008-05-27,43
2008-05-28,41
2008-05-29,39
2008-05-30,37
2008-05-31,35
2008-06-01,33
2008-06-02,31
2008-06-03,30
2008-06-04,29
2008-06-05,28
2008-06-06,27
2008-06-07,26
2008-06-08,25
2008-06-09,24
2008-06-10,23
2008-06-11,22
2008-06-12,20
2008-06-13,19
2008-06-14,18
2008-06-15,17
2008-06-16,16
2008-06-17,15
2008-06-18,14
2008-06-19,13
2008-06-20,12
2008-06-21,11
2008-06-22,9
2008-06-23,8
2008-06-24,7
2008-06-25,6
2008-06-26,5
2008-06-27,4
2008-06-28,3
2008-06-29,2
2008-06-30,1
2008-07-01,0
2008-07-02,0
2008-07-03,0
2008-07-04,0
2008-07-05,0
2008-07-06,0
2008-07-07,0
2008-07-08,0
2008-07-09,0
2008-07-10,0
2008-07-11,0
2008-07-12,0
2008-07-13,0
2008-07-14,0
2008-07-15,0
2008-07-16,0
2008-07-17,0
2008-07-18,0
2008-07-19,0
2008-07-20,0
2008-07-21,0
2008-07-22,0
2008-07-23,0
2008-07-24,0
2008-07-25,0
2008-07-26,0
2008-07-27,0
2008-07-28,0
2008-07-29,0
2008-07-30,0
2008-07-31,0
2008-08-01,0
2008-08-02,0
2008-08-03,0
2008-08-04,0
2008-08-05,0
2008-08-06,0
2008-08-07,0
2008-08-08,0
2008-08-09,0
2008-08-10,0
2008-08-11,0
2008-08-12,0
2008-08-13,0
2008-08-14,0
2008-08-15,0
2008-08-16,0
2008-08-17,0
2008-08-18,0
2008-08-19,0
2008-08-20,0
2008-08-21,0
2008-08-22,0
2008-08-23,0
2008-08-24,0
2008-08-25,0
2008-08-26,0
2008-08-27,0
2008-08-28,0
2008-08-29,0
2008-08-30,0
2008-08-31,0
2008-09-01,0
2008-09-02,0
2008-09-03,0
2008-09-04,0
2008-09-05,0
2008-09-06,0
2008-09-07,0
2008-09-08,0
2008-09-09,0
2008-09-10,0
2008-09-11,0
2008-09-12,0
2008-09-13,0
2008-09-14,0
2008-09-15,0
2008-09-16,0
2008-09-17,0
2008-09-18,0
2008-09-19,0
2008-09-20,0
2008-09-21,0
2008-09-22,0
2008-09-23,0
2008-09-24,0
2008-09-25,0
2008-09-26,0
2008-09-27,0
2008-09-28,0
2008-09-29,0
2008-09-30,0
2008-10-01,0
2008-10-02,0
2008-10-03,0
2008-10-04,0
2008-10-05,0
2008-10-06,0
2008-10-07,0
2008-10-08,0
2008-10-09,0
2008-10-10,0
2008-10-11,0
2008-10-12,0
2008-10-13,0
2008-10-14,0
2008-10-15,0
2008-10-16,0
2008-10-17,0
2008-10-18,0
2008-10-19,0
2008-10-20,0
2008-10-21,0
2008-10-22,0
2008-10-23,0
2008-10-24,0
2008-10-25,0
2008-10-26,0
2008-10-27,0
2008-10-28,0
2008-10-29,0
2008-10-30,0
2008-10-31,0
2008-11-01,0
2008-11-02,0
2008-11-03,0
2008-11-04,0
2008-11-05,0
2008-11-06,0
2008-11-07,0
2008-11-08,0
2008-11-09,0
2008-11-10,0
2008-11-11,0
2008-11-12,0
2008-11-13,0
2008-11-14,0
2008-11-15,0
2008-11-16,0
2008-11-17,0
2008-11-18,0
2008-11-19,0
2008-11-20,0
2008-11-21,0
2008-11-22,0
2008-11-23,0
2008-11-24,0
2008-11-25,0
2008-11-26,0
2008-11-27,0
2008-11-28,0
2008-11-29,0
2008-11-30,0
2008-12-01,0
2008-12-02,1
2008-12-03,2
2008-12-04,3
2008-12-05,4
2008-12-06,5
2008-12-07,6
2008-12-08,8
2008-12-09,9
2008-12-10,10
2008-12-11,11
2008-12-12,12
2008-12-13,13
2008-12-14,15
2008-12-15,16
2008-12-16,17
2008-12-17,18
2008-12-18,19
2008-12-19,20
2008-12-20,22
2008-12-21,23
2008-12-22,24
2008-12-23,25
2008-12-24,26
2008-12-25,27
2008-12-26,29
2008-12-27,30
2008-12-28,31
2008-12-29,32
2008-12-30,33
2008-12-31,34
2009-01-01,36
2009-01-02,34
2009-01-03,33
2009-01-04,32
2009-01-05,31
2009-01-06,30
2009-01-07,29
2009-01-08,27
2009-01-09,26
2009-01-10,25
2009-01-11,24
2009-01-12,23
2009-01-13,22
2009-01-14,20
2009-01-15,19
2009-01-16,18
2009-01-17,17
2009-01-18,16
2009-01-19,15
2009-01-20,13
2009-01-21,12
2009-01-22,11
2009-01-23,10
2009-01-24,9
2009-01-25,8
2009-01-26,6
2009-01-27,5
2009-01-28,4
2009-01-29,3
2009-01-30,2
2009-01-31,1
2009-02-01,0
2009-02-02,0
2009-02-03,0
2009-02-04,0
2009-02-05,0
2009-02-06,0
2009-02-07,0
2009-02-08,0
2009-02-09,0
2009-02-10,0
2009-02-11,0
2009-02-12,0
2009-02-13,0
2009-02-14,0
2009-02-15,0
2009-02-16,0
2009-02-17,0
2009-02-18,0
2009-02-19,0
2009-02-20,0
2009-02-21,0
2009-02-22,0
2009-02-23,0
2009-02-24,0
2009-02-25,0
2009-02-26,0
2009-02-27,0
2009-02-28,0
2009-03-01,0
2009-03-02,0
2009-03-03,0
2009-03-04,0
2009-03-05,0
2009-03-06,0
2009-03-07,0
2009-03-08,0
2009-03-09,0
2009-03-10,0
2009-03-11,0
2009-03-12,0
2009-03-13,0
2009-03-14,0
2009-03-15,0
2009-03-16,0
2009-03-17,0
2009-03-18,0
2009-03-19,0
2009-03-20,0
2009-03-21,0
2009-03-22,0
2009-03-23,0
2009-03-24,0
2009-03-25,0
2009-03-26,0
2009-03-27,0
2009-03-28,0
2009-03-29,0
2009-03-30,0
2009-03-31,0
