Date,Third Point Reinsurance
2013-12-07,30
2013-12-08,30
2013-12-09,30
2013-12-10,30
2013-12-11,30
2013-12-12,30
2013-12-13,30
2013-12-14,30
2013-12-15,30
2013-12-16,30
2013-12-17,30
2013-12-18,30
2013-12-19,30
2013-12-20,30
2013-12-21,30
2013-12-22,30
2013-12-23,30
2013-12-24,30
2013-12-25,30
2013-12-26,30
2013-12-27,30
2013-12-28,30
2013-12-29,30
2013-12-30,30
2013-12-31,30
2014-01-01,30
2014-01-02,29
2014-01-03,28
2014-01-04,27
2014-01-05,26
2014-01-06,25
2014-01-07,24
2014-01-08,23
2014-01-09,22
2014-01-10,21
2014-01-11,20
2014-01-12,19
2014-01-13,18
2014-01-14,17
2014-01-15,16
2014-01-16,15
2014-01-17,14
2014-01-18,13
2014-01-19,12
2014-01-20,11
2014-01-21,10
2014-01-22,9
2014-01-23,8
2014-01-24,7
2014-01-25,6
2014-01-26,5
2014-01-27,4
2014-01-28,3
2014-01-29,2
2014-01-30,1
2014-01-31,0
