Date,Eloqua
2011-02-12,16
2011-02-13,16
2011-02-14,16
2011-02-15,16
2011-02-16,16
2011-02-17,16
2011-02-18,16
2011-02-19,16
2011-02-20,16
2011-02-21,17
2011-02-22,18
2011-02-23,18
2011-02-24,21
2011-02-25,20
2011-02-26,21
2011-02-27,20
2011-02-28,20
2011-03-01,20
2011-03-02,20
2011-03-03,21
2011-03-04,20
2011-03-05,20
2011-03-06,20
2011-03-07,20
2011-03-08,21
2011-03-09,21
2011-03-10,21
2011-03-11,22
2011-03-12,22
2011-03-13,21
2011-03-14,20
2011-03-15,19
2011-03-16,18
2011-03-17,17
2011-03-18,16
2011-03-19,15
2011-03-20,15
2011-03-21,16
2011-03-22,17
2011-03-23,18
2011-03-24,19
2011-03-25,21
2011-03-26,21
2011-03-27,20
2011-03-28,20
2011-03-29,20
2011-03-30,20
2011-03-31,20
2011-05-01,21
2011-05-02,20
2011-05-03,20
2011-05-04,20
2011-05-05,19
2011-05-06,19
2011-05-07,18
2011-05-08,18
2011-05-09,19
2011-05-10,19
2011-05-11,21
2011-05-12,21
2011-05-13,21
2011-05-14,22
2011-05-15,22
2011-05-16,23
2011-05-17,23
2011-05-18,25
2011-05-19,25
2011-05-20,26
2011-05-21,26
2011-05-22,24
2011-05-23,23
2011-05-24,22
2011-05-25,20
2011-05-26,19
2011-05-27,18
2011-05-28,17
2011-05-29,17
2011-05-30,18
2011-05-31,19
2011-06-01,19
2011-06-02,21
2011-06-03,21
2011-06-04,23
2011-06-05,21
2011-06-06,21
2011-06-07,21
2011-06-08,21
2011-06-09,21
2011-06-10,21
2011-06-11,21
2011-06-12,20
2011-06-13,20
2011-06-14,20
2011-06-15,21
2011-06-16,19
2011-06-17,19
2011-06-18,19
2011-06-19,19
2011-06-20,19
2011-06-21,19
2011-06-22,20
2011-06-23,20
2011-06-24,20
2011-06-25,22
2011-06-26,20
2011-06-27,20
2011-06-28,20
2011-06-29,20
2011-06-30,19
2011-07-01,19
2011-07-02,19
2011-07-03,18
2011-07-04,18
2011-07-05,18
2011-07-06,18
2011-07-07,18
2011-07-08,18
