Date,KAYAK Software
2010-12-02,0
2010-12-03,0
2010-12-04,0
2010-12-05,0
2010-12-06,0
2010-12-07,0
2010-12-08,0
2010-12-09,0
2010-12-10,0
2010-12-11,0
2010-12-12,0
2010-12-13,0
2010-12-14,0
2010-12-15,0
2010-12-16,0
2010-12-17,0
2010-12-18,0
2010-12-19,0
2010-12-20,0
2010-12-21,0
2010-12-22,0
2010-12-23,0
2010-12-24,0
2010-12-25,0
2010-12-26,0
2010-12-27,0
2010-12-28,0
2010-12-29,0
2010-12-30,0
2010-12-31,0
2011-01-01,0
2011-01-02,11
2011-01-03,22
2011-01-04,33
2011-01-05,44
2011-01-06,55
2011-01-07,66
2011-01-08,77
2011-01-09,66
2011-01-10,55
2011-01-11,44
2011-01-12,33
2011-01-13,22
2011-01-14,11
2011-01-15,0
2011-01-16,0
2011-01-17,0
2011-01-18,0
2011-01-19,0
2011-01-20,0
2011-01-21,0
2011-01-22,0
2011-01-23,0
2011-01-24,0
2011-01-25,0
2011-01-26,0
2011-01-27,0
2011-01-28,0
2011-01-29,0
2011-01-30,0
2011-01-31,0
2011-02-01,0
2011-02-02,0
2011-02-03,0
2011-02-04,0
2011-02-05,0
2011-02-06,0
2011-02-07,0
2011-02-08,0
2011-02-09,0
2011-02-10,0
2011-02-11,0
2011-02-12,0
2011-02-13,11
2011-02-14,23
2011-02-15,35
2011-02-16,46
2011-02-17,58
2011-02-18,70
2011-02-19,82
2011-02-20,80
2011-02-21,78
2011-02-22,76
2011-02-23,74
2011-02-24,72
2011-02-25,70
2011-02-26,69
2011-02-27,69
2011-02-28,69
2011-03-01,69
2011-03-02,69
2011-03-03,69
2011-03-04,69
2011-03-05,69
2011-03-06,69
2011-03-07,69
2011-03-08,69
2011-03-09,69
2011-03-10,69
2011-03-11,69
2011-03-12,69
2011-03-13,69
2011-03-14,69
2011-03-15,69
2011-03-16,69
2011-03-17,69
2011-03-18,69
2011-03-19,69
2011-03-20,69
2011-03-21,69
2011-03-22,69
2011-03-23,69
2011-03-24,69
2011-03-25,69
2011-03-26,69
2011-03-27,67
2011-03-28,65
2011-03-29,64
2011-03-30,62
2011-03-31,61
2011-04-01,59
2011-04-02,58
2011-04-03,58
2011-04-04,58
2011-04-05,58
2011-04-06,58
2011-04-07,58
2011-04-08,58
2011-04-09,58
2011-04-10,58
2011-04-11,58
2011-04-12,58
2011-04-13,58
2011-04-14,58
2011-04-15,58
2011-04-16,58
2011-04-17,58
2011-04-18,58
2011-04-19,58
2011-04-20,58
2011-04-21,58
2011-04-22,58
2011-04-23,58
2011-04-24,58
2011-04-25,58
2011-04-26,58
2011-04-27,58
2011-04-28,58
2011-04-29,58
2011-04-30,58
2011-05-01,58
2011-05-02,58
2011-05-03,58
2011-05-04,58
2011-05-05,58
2011-05-06,58
2011-05-07,58
2011-05-08,61
2011-05-09,65
2011-05-10,68
2011-05-11,72
2011-05-12,75
2011-05-13,78
2011-05-14,82
2011-05-15,80
2011-05-16,78
2011-05-17,76
2011-05-18,74
2011-05-19,73
2011-05-20,71
2011-05-21,69
2011-05-22,67
2011-05-23,66
2011-05-24,64
2011-05-25,63
2011-05-26,61
2011-05-27,60
2011-05-28,59
2011-05-29,59
2011-05-30,59
2011-05-31,59
2011-06-01,59
2011-06-02,59
2011-06-03,59
2011-06-04,59
2011-06-05,58
2011-06-06,58
2011-06-07,58
2011-06-08,57
2011-06-09,57
2011-06-10,57
2011-06-11,57
2011-06-12,59
2011-06-13,61
2011-06-14,63
2011-06-15,65
2011-06-16,67
2011-06-17,69
2011-06-18,72
2011-06-19,74
2011-06-20,76
2011-06-21,78
2011-06-22,81
2011-06-23,83
2011-06-24,85
2011-06-25,88
2011-06-26,88
2011-06-27,90
2011-06-28,90
2011-06-29,91
2011-06-30,92
2011-07-01,93
2011-07-02,93
2011-07-03,93
2011-07-04,93
2011-07-05,93
2011-07-06,93
2011-07-07,93
2011-07-08,93
2011-07-09,93
2011-07-10,93
2011-07-11,93
2011-07-12,93
2011-07-13,93
2011-07-14,93
2011-07-15,93
2011-07-16,93
2011-07-17,93
2011-07-18,93
2011-07-19,93
2011-07-20,93
2011-07-21,93
2011-07-22,93
2011-07-23,93
2011-07-24,90
2011-07-25,86
2011-07-26,83
2011-07-27,80
2011-07-28,77
2011-07-29,73
2011-07-30,70
2011-07-31,68
2011-08-07,58
2011-08-08,59
2011-08-09,60
2011-08-10,61
2011-08-11,61
2011-08-12,62
2011-08-13,63
2011-08-14,64
2011-08-15,64
2011-08-16,65
2011-08-17,66
2011-08-18,67
2011-08-19,68
2011-08-20,69
2011-08-21,71
2011-08-22,74
2011-08-23,77
2011-08-24,80
2011-08-25,82
2011-08-26,85
2011-08-27,88
2011-08-28,88
2011-08-29,89
2011-08-30,89
2011-08-31,90
2011-09-01,90
2011-09-02,91
2011-09-03,92
2011-09-04,92
2011-09-05,93
2011-09-06,93
2011-09-07,94
2011-09-08,94
2011-09-09,95
2011-09-10,96
2011-09-11,96
2011-09-12,99
2011-09-13,100
2011-09-14,102
2011-09-15,103
2011-09-16,106
2011-09-17,110
2011-09-18,93
2011-09-19,86
2011-09-20,79
2011-09-21,72
2011-09-22,65
2011-09-23,58
2011-09-24,52
2011-09-25,52
2011-09-26,52
2011-09-27,52
2011-09-28,52
2011-09-29,52
2011-09-30,52
2011-10-01,52
2011-10-02,52
2011-10-03,52
2011-10-04,52
2011-10-05,52
2011-10-06,52
2011-10-07,52
2011-10-08,52
2011-10-09,52
2011-10-10,53
2011-10-11,54
2011-10-12,54
2011-10-13,55
2011-10-14,56
2011-10-15,57
2011-10-16,57
2011-10-17,58
2011-10-18,59
2011-10-19,59
2011-10-20,60
2011-10-21,61
2011-10-22,62
2011-10-23,62
2011-10-24,63
2011-10-25,64
2011-10-26,64
2011-10-27,65
2011-10-28,66
2011-10-29,67
2011-10-30,67
2011-11-06,69
2011-11-07,68
2011-11-08,67
2011-11-09,65
2011-11-10,64
2011-11-11,62
2011-11-12,61
2011-11-13,60
2011-11-14,59
2011-11-15,58
2011-11-16,57
2011-11-17,56
2011-11-18,55
2011-11-19,54
2011-11-20,54
2011-11-21,54
2011-11-22,54
2011-11-23,54
2011-11-24,54
2011-11-25,54
2011-11-26,54
2011-11-27,54
2011-11-28,54
2011-11-29,54
2011-11-30,54
2011-12-01,54
2011-12-02,54
2011-12-03,54
2011-12-04,54
2011-12-05,54
2011-12-06,54
2011-12-07,54
2011-12-08,54
2011-12-09,54
2011-12-10,54
2011-12-11,53
2011-12-12,52
2011-12-13,51
2011-12-14,51
2011-12-15,50
2011-12-16,49
2011-12-17,49
2011-12-18,51
2011-12-19,53
2011-12-20,56
2011-12-21,58
2011-12-22,61
2011-12-23,63
2011-12-24,66
2011-12-25,68
2011-12-26,71
2011-12-27,73
2011-12-28,75
2011-12-29,78
2011-12-30,80
2011-12-31,82
2012-01-01,81
2012-01-02,80
2012-01-03,79
2012-01-04,78
2012-01-05,77
2012-01-06,76
2012-01-07,75
2012-01-08,75
2012-01-09,75
2012-01-10,75
2012-01-11,75
2012-01-12,75
2012-01-13,75
2012-01-14,75
2012-01-15,74
2012-01-16,73
2012-01-17,72
2012-01-18,71
2012-01-19,70
2012-01-20,69
2012-01-21,69
2012-01-22,69
2012-01-23,69
2012-01-24,69
2012-01-25,69
2012-01-26,69
2012-01-27,69
2012-01-28,69
2012-01-29,69
2012-02-05,66
2012-02-06,63
2012-02-07,60
2012-02-08,58
2012-02-09,55
2012-02-10,52
2012-02-11,50
2012-02-12,50
2012-02-13,50
2012-02-14,50
2012-02-15,50
2012-02-16,50
2012-02-17,50
2012-02-18,50
2012-02-19,50
2012-02-20,60
2012-02-21,50
2012-02-22,50
2012-02-23,50
2012-02-24,50
2012-02-25,50
2012-02-26,50
2012-02-27,51
2012-02-28,52
2012-02-29,52
2012-03-01,53
2012-03-02,54
2012-03-03,55
2012-03-04,55
2012-03-05,56
2012-03-06,57
2012-03-07,57
2012-03-08,58
2012-03-09,59
2012-03-10,60
2012-03-11,58
2012-03-12,56
2012-03-13,54
2012-03-14,52
2012-03-15,50
2012-03-16,48
2012-03-17,46
2012-03-18,46
2012-03-19,46
2012-03-20,46
2012-03-21,46
2012-03-22,46
2012-03-23,46
2012-03-24,46
2012-03-25,46
2012-03-26,46
2012-03-27,46
2012-03-28,46
2012-03-29,46
2012-03-30,46
2012-03-31,46
2012-04-01,46
2012-04-02,46
2012-04-03,46
2012-04-04,46
2012-04-05,46
2012-04-06,46
2012-04-07,47
2012-04-08,47
2012-04-09,47
2012-04-10,47
2012-04-11,48
2012-04-12,48
2012-04-13,48
2012-04-14,49
2012-04-15,49
2012-04-16,50
2012-04-17,51
2012-04-18,52
2012-04-19,52
2012-04-20,54
2012-04-21,56
2012-04-22,51
2012-04-23,51
2012-04-24,51
2012-04-25,52
2012-04-26,52
2012-04-27,52
2012-04-28,53
2012-04-29,53
