Date,Chimerix
2012-09-01,22
2012-09-02,21
2012-09-03,21
2012-09-04,21
2012-09-05,21
2012-09-06,21
2012-09-07,20
2012-09-08,20
2012-09-09,20
2012-09-10,20
2012-09-11,20
2012-09-12,19
2012-09-13,19
2012-09-14,19
2012-09-15,19
2012-09-16,19
2012-09-17,18
2012-09-18,18
2012-09-19,18
2012-09-20,18
2012-09-21,18
2012-09-22,17
2012-09-23,17
2012-09-24,17
2012-09-25,17
2012-09-26,17
2012-09-27,16
2012-09-28,16
2012-09-29,16
2012-09-30,16
2012-10-01,16
2012-10-02,16
2012-10-03,16
2012-10-04,16
2012-10-05,16
2012-10-06,16
2012-10-07,16
2012-10-08,16
2012-10-09,16
2012-10-10,16
2012-10-11,16
2012-10-12,16
2012-10-13,16
2012-10-14,16
2012-10-15,16
2012-10-16,16
2012-10-17,17
2012-10-18,17
2012-10-19,17
2012-10-20,17
2012-10-21,17
2012-10-22,17
2012-10-23,17
2012-10-24,17
2012-10-25,17
2012-10-26,17
2012-10-27,17
2012-10-28,17
2012-10-29,17
2012-10-30,17
2012-10-31,17
2012-11-01,18
2012-11-02,18
2012-11-03,18
2012-11-04,18
2012-11-05,18
2012-11-06,18
2012-11-07,18
2012-11-08,18
2012-11-09,18
2012-11-10,18
2012-11-11,18
2012-11-12,18
2012-11-13,18
2012-11-14,18
2012-11-15,18
2012-11-16,18
2012-11-17,18
2012-11-18,18
2012-11-19,18
2012-11-20,18
2012-11-21,18
2012-11-22,18
2012-11-23,18
2012-11-24,18
2012-11-25,18
2012-11-26,18
2012-11-27,18
2012-11-28,18
2012-11-29,18
2012-11-30,18
2012-12-01,18
2012-12-02,17
2012-12-03,17
2012-12-04,17
2012-12-05,17
2012-12-06,17
2012-12-07,17
2012-12-08,17
2012-12-09,17
2012-12-10,17
2012-12-11,17
2012-12-12,16
2012-12-13,16
2012-12-14,16
2012-12-15,16
2012-12-16,16
2012-12-17,16
2012-12-18,16
2012-12-19,16
2012-12-20,16
2012-12-21,16
2012-12-22,15
2012-12-23,15
2012-12-24,15
2012-12-25,15
2012-12-26,15
2012-12-27,15
2012-12-28,15
2012-12-29,15
2012-12-30,15
2012-12-31,15
2013-01-01,15
2013-01-02,15
2013-01-03,15
2013-01-04,15
2013-01-05,15
2013-01-06,16
2013-01-07,16
2013-01-08,16
2013-01-09,16
2013-01-10,17
2013-01-11,17
2013-01-12,17
2013-01-13,17
2013-01-14,17
2013-01-15,18
2013-01-16,18
2013-01-17,18
2013-01-18,18
2013-01-19,19
2013-01-20,19
2013-01-21,19
2013-01-22,19
2013-01-23,19
2013-01-24,20
2013-01-25,20
2013-01-26,20
2013-01-27,20
2013-01-28,21
2013-01-29,21
2013-01-30,21
2013-01-31,21
2013-02-01,22
2013-02-02,22
2013-02-03,22
2013-02-04,22
2013-02-05,22
2013-02-06,23
2013-02-07,23
2013-02-08,23
2013-02-09,23
2013-02-10,23
2013-02-11,24
2013-02-12,24
2013-02-13,24
2013-02-14,24
2013-02-15,25
2013-02-16,25
2013-02-17,25
2013-02-18,25
2013-02-19,25
2013-02-20,26
2013-02-21,26
2013-02-22,26
2013-02-23,26
2013-02-24,26
2013-02-25,27
2013-02-26,27
2013-02-27,27
2013-02-28,27
2013-03-03,32
2013-03-04,43
2013-03-05,37
2013-03-06,39
2013-03-07,41
2013-03-08,44
2013-03-09,46
2013-03-10,48
2013-03-11,51
2013-03-12,53
2013-03-13,55
2013-03-14,58
2013-03-15,60
2013-03-16,62
2013-03-17,65
2013-03-18,67
2013-03-19,69
2013-03-20,72
2013-03-21,74
2013-03-22,76
2013-03-23,79
2013-03-24,81
2013-03-25,83
2013-03-26,86
2013-03-27,88
2013-03-28,90
2013-03-29,93
2013-03-30,95
2013-03-31,97
2013-04-01,100
2013-04-02,97
2013-04-03,95
2013-04-04,93
2013-04-05,90
2013-04-06,88
2013-04-07,86
2013-04-08,85
2013-04-09,83
2013-04-10,81
2013-04-11,79
2013-04-12,77
2013-04-13,76
2013-04-14,75
2013-04-15,68
2013-04-16,66
2013-04-17,63
2013-04-18,61
2013-04-19,59
2013-04-20,57
2013-04-21,54
2013-04-22,53
2013-04-23,51
2013-04-24,49
2013-04-25,47
2013-04-26,46
2013-04-27,44
2013-04-28,38
2013-04-29,36
2013-04-30,34
2013-05-01,32
2013-05-02,31
2013-05-03,30
2013-05-04,30
2013-05-05,29
2013-05-06,29
2013-05-07,28
2013-05-08,27
2013-05-09,27
