Date,Amphastar Pharmaceuticals
2011-08-11,32
2011-08-12,35
2011-08-13,38
2011-08-14,41
2011-08-15,45
2011-08-16,48
2011-08-17,51
2011-08-18,54
2011-08-19,58
2011-08-20,61
2011-08-21,64
2011-08-22,67
2011-08-23,70
2011-08-24,74
2011-08-25,77
2011-08-26,80
2011-08-27,83
2011-08-28,87
2011-08-29,90
2011-08-30,93
2011-08-31,96
2011-09-01,100
2011-09-02,98
2011-09-03,97
2011-09-04,95
2011-09-05,94
2011-09-06,93
2011-09-07,91
2011-09-08,90
2011-09-09,88
2011-09-10,87
2011-09-11,86
2011-09-12,84
2011-09-13,83
2011-09-14,81
2011-09-15,80
2011-09-16,79
2011-09-17,77
2011-09-18,76
2011-09-19,74
2011-09-20,73
2011-09-21,72
2011-09-22,70
2011-09-23,69
2011-09-24,67
2011-09-25,66
2011-09-26,65
2011-09-27,63
2011-09-28,62
2011-09-29,60
2011-09-30,59
2011-10-01,58
2011-10-02,58
2011-10-03,58
2011-10-04,58
2011-10-05,58
2011-10-06,58
2011-10-07,58
2011-10-08,58
2011-10-09,58
2011-10-10,58
2011-10-11,58
2011-10-12,58
2011-10-13,58
2011-10-14,58
2011-10-15,58
2011-10-16,58
2011-10-17,58
2011-10-18,58
2011-10-19,58
2011-10-20,58
2011-10-21,58
2011-10-22,58
2011-10-23,58
2011-10-24,58
2011-10-25,58
2011-10-26,58
2011-10-27,58
2011-10-28,58
2011-10-29,58
2011-10-30,58
2011-10-31,58
2011-11-01,58
2011-11-02,58
2011-11-03,58
2011-11-04,58
2011-11-05,58
2011-11-06,58
2011-11-07,58
2011-11-08,58
2011-11-09,58
2011-11-10,58
2011-11-11,58
2011-11-12,58
2011-11-13,58
2011-11-14,58
2011-11-15,58
2011-11-16,58
2011-11-17,58
2011-11-18,58
2011-11-19,58
2011-11-20,58
2011-11-21,58
2011-11-22,58
2011-11-23,58
2011-11-24,58
2011-11-25,58
2011-11-26,58
2011-11-27,58
2011-11-28,58
2011-11-29,58
2011-11-30,58
2011-12-01,58
2011-12-02,58
2011-12-03,58
2011-12-04,58
2011-12-05,58
2011-12-06,58
2011-12-07,58
2011-12-08,58
2011-12-09,58
2011-12-10,58
2011-12-11,58
2011-12-12,58
2011-12-13,58
2011-12-14,58
2011-12-15,58
2011-12-16,58
2011-12-17,58
2011-12-18,58
2011-12-19,58
2011-12-20,58
2011-12-21,58
2011-12-22,58
2011-12-23,58
2011-12-24,58
2011-12-25,58
2011-12-26,58
2011-12-27,58
2011-12-28,58
2011-12-29,58
2011-12-30,58
2011-12-31,58
2012-01-01,58
2012-01-02,56
2012-01-03,54
2012-01-04,52
2012-01-05,50
2012-01-06,48
2012-01-07,46
2012-01-08,44
2012-01-09,43
2012-01-10,41
2012-01-11,39
2012-01-12,37
2012-01-13,35
2012-01-14,33
2012-01-15,31
2012-01-16,29
2012-01-17,28
2012-01-18,26
2012-01-19,24
2012-01-20,22
2012-01-21,20
2012-01-22,18
2012-01-23,16
2012-01-24,14
2012-01-25,13
2012-01-26,11
2012-01-27,9
2012-01-28,7
2012-01-29,5
2012-01-30,3
2012-01-31,1
2012-02-01,0
2012-02-02,0
2012-02-03,0
2012-02-04,0
2012-02-05,0
2012-02-06,0
2012-02-07,0
2012-02-08,0
2012-02-09,0
2012-02-10,0
2012-02-11,0
2012-02-12,0
2012-02-13,0
2012-02-14,0
2012-02-15,0
2012-02-16,0
2012-02-17,0
2012-02-18,0
2012-02-19,0
2012-02-20,0
2012-02-21,0
2012-02-22,0
2012-02-23,0
2012-02-24,0
2012-02-25,0
2012-02-26,0
2012-02-27,0
2012-02-28,0
2012-02-29,0
2012-03-01,0
2012-03-02,0
2012-03-03,0
2012-03-04,0
2012-03-05,0
2012-03-06,0
2012-03-07,0
2012-03-08,0
2012-03-09,0
2012-03-10,0
2012-03-11,0
2012-03-12,0
2012-03-13,0
2012-03-14,0
2012-03-15,0
2012-03-16,0
2012-03-17,0
2012-03-18,0
2012-03-19,0
2012-03-20,0
2012-03-21,0
2012-03-22,0
2012-03-23,0
2012-03-24,0
2012-03-25,0
2012-03-26,0
2012-03-27,0
2012-03-28,0
2012-03-29,0
2012-03-30,0
2012-03-31,0
2012-04-01,0
2012-04-02,0
2012-04-03,0
2012-04-04,0
2012-04-05,0
2012-04-06,0
2012-04-07,0
2012-04-08,0
2012-04-09,0
2012-04-10,0
2012-04-11,0
2012-04-12,0
2012-04-13,0
2012-04-14,0
2012-04-15,0
2012-04-16,0
2012-04-17,0
2012-04-18,0
2012-04-19,0
2012-04-20,0
2012-04-21,0
2012-04-22,0
2012-04-23,0
2012-04-24,0
2012-04-25,0
2012-04-26,0
2012-04-27,0
2012-04-28,0
2012-04-29,0
2012-04-30,0
