Date,Lone Pine Resources
2010-11-13,0
2010-11-14,0
2010-11-15,0
2010-11-16,0
2010-11-17,0
2010-11-18,0
2010-11-19,0
2010-11-20,0
2010-11-21,0
2010-11-22,0
2010-11-23,0
2010-11-24,0
2010-11-25,0
2010-11-26,0
2010-11-27,0
2010-11-28,0
2010-11-29,0
2010-11-30,0
2010-12-01,0
2010-12-02,0
2010-12-03,0
2010-12-04,0
2010-12-05,0
2010-12-06,0
2010-12-07,0
2010-12-08,0
2010-12-09,0
2010-12-10,0
2010-12-11,0
2010-12-12,0
2010-12-13,0
2010-12-14,0
2010-12-15,0
2010-12-16,0
2010-12-17,0
2010-12-18,0
2010-12-19,0
2010-12-20,0
2010-12-21,0
2010-12-22,0
2010-12-23,0
2010-12-24,0
2010-12-25,0
2010-12-26,0
2010-12-27,0
2010-12-28,0
2010-12-29,0
2010-12-30,0
2010-12-31,0
2011-01-01,0
2011-01-02,0
2011-01-03,0
2011-01-04,0
2011-01-05,0
2011-01-06,0
2011-01-07,0
2011-01-08,0
2011-01-09,0
2011-01-10,0
2011-01-11,0
2011-01-12,0
2011-01-13,0
2011-01-14,0
2011-01-15,0
2011-01-16,0
2011-01-17,0
2011-01-18,0
2011-01-19,0
2011-01-20,0
2011-01-21,0
2011-01-22,0
2011-01-23,0
2011-01-24,0
2011-01-25,0
2011-01-26,0
2011-01-27,0
2011-01-28,0
2011-01-29,0
2011-01-30,0
2011-01-31,0
2011-02-01,0
2011-02-02,0
2011-02-03,0
2011-02-04,0
2011-02-05,0
2011-02-06,0
2011-02-07,0
2011-02-08,0
2011-02-09,0
2011-02-10,0
2011-02-11,0
2011-02-12,0
2011-02-13,0
2011-02-14,0
2011-02-15,0
2011-02-16,0
2011-02-17,0
2011-02-18,0
2011-02-19,0
2011-02-20,0
2011-02-21,0
2011-02-22,0
2011-02-23,0
2011-02-24,0
2011-02-25,0
2011-02-26,0
2011-02-27,0
2011-02-28,0
2011-03-01,0
2011-03-02,0
2011-03-03,0
2011-03-04,0
2011-03-05,0
2011-03-06,0
2011-03-07,0
2011-03-08,0
2011-03-09,0
2011-03-10,0
2011-03-11,0
2011-03-12,0
2011-03-13,0
2011-03-14,0
2011-03-15,0
2011-03-16,0
2011-03-17,0
2011-03-18,0
2011-03-19,0
2011-03-20,0
2011-03-21,0
2011-03-22,0
2011-03-23,0
2011-03-24,0
2011-03-25,0
2011-03-26,0
2011-03-27,0
2011-03-28,0
2011-03-29,0
2011-03-30,0
2011-03-31,0
2011-04-01,0
2011-04-02,2
2011-04-03,5
2011-04-04,8
2011-04-05,11
2011-04-06,14
2011-04-07,17
2011-04-08,20
2011-04-09,23
2011-04-10,26
2011-04-11,29
2011-04-12,32
2011-04-13,35
2011-04-14,38
2011-04-15,41
2011-04-16,44
2011-04-17,46
2011-04-18,49
2011-04-19,52
2011-04-20,55
2011-04-21,58
2011-04-22,61
2011-04-23,64
2011-04-24,67
2011-04-25,70
2011-04-26,73
2011-04-27,76
2011-04-28,79
2011-04-29,82
2011-04-30,85
2011-05-01,88
2011-05-02,86
2011-05-03,85
2011-05-04,84
2011-05-05,83
2011-05-06,82
2011-05-07,81
2011-05-08,80
2011-05-09,79
2011-05-10,78
2011-05-11,77
2011-05-12,76
2011-05-13,75
2011-05-14,74
2011-05-15,73
2011-05-16,72
2011-05-17,70
2011-05-18,69
2011-05-19,68
2011-05-20,67
2011-05-21,66
2011-05-22,65
2011-05-23,64
2011-05-24,63
2011-05-25,62
2011-05-26,61
2011-05-27,60
2011-05-28,59
2011-05-29,58
2011-05-30,57
2011-05-31,56
2011-06-01,55
2011-06-02,55
2011-06-03,56
2011-06-04,56
2011-06-05,57
2011-06-06,57
2011-06-07,58
2011-06-08,58
2011-06-09,59
2011-06-10,59
2011-06-11,60
2011-06-12,60
2011-06-13,61
2011-06-14,61
2011-06-15,62
2011-06-16,62
2011-06-17,63
2011-06-18,63
2011-06-19,64
2011-06-20,64
2011-06-21,65
2011-06-22,65
2011-06-23,66
2011-06-24,66
2011-06-25,67
2011-06-26,67
2011-06-27,68
2011-06-28,68
2011-06-29,69
2011-06-30,69
2011-07-01,70
2011-07-02,70
2011-07-03,70
2011-07-04,70
2011-07-05,70
2011-07-06,70
2011-07-07,70
2011-07-08,70
2011-07-09,70
2011-07-10,70
2011-07-11,70
2011-07-12,70
2011-07-13,70
2011-07-14,70
2011-07-15,70
2011-07-16,70
2011-07-17,71
2011-07-18,71
2011-07-19,71
2011-07-20,71
2011-07-21,71
2011-07-22,71
2011-07-23,71
2011-07-24,71
2011-07-25,71
2011-07-26,71
2011-07-27,71
2011-07-28,71
2011-07-29,71
2011-07-30,71
2011-07-31,71
2011-08-01,72
2011-08-02,71
2011-08-03,70
2011-08-04,69
2011-08-05,69
2011-08-06,68
2011-08-07,67
2011-08-08,67
2011-08-09,66
2011-08-10,65
2011-08-11,64
2011-08-12,64
2011-08-13,63
2011-08-14,62
2011-08-15,62
2011-08-16,61
2011-08-17,60
2011-08-18,59
2011-08-19,59
2011-08-20,58
2011-08-21,57
2011-08-22,57
2011-08-23,56
2011-08-24,55
2011-08-25,54
2011-08-26,54
2011-08-27,53
2011-08-28,52
2011-08-29,52
2011-08-30,51
2011-08-31,50
2011-09-01,50
2011-09-02,51
2011-09-03,52
2011-09-04,54
2011-09-05,55
2011-09-06,57
2011-09-07,58
2011-09-08,60
2011-09-09,61
2011-09-10,63
2011-09-11,64
2011-09-12,66
2011-09-13,67
2011-09-14,69
2011-09-15,70
2011-09-16,72
2011-09-17,73
2011-09-18,74
2011-09-19,76
2011-09-20,77
2011-09-21,79
2011-09-22,80
2011-09-23,82
2011-09-24,83
2011-09-25,85
2011-09-26,86
2011-09-27,88
2011-09-28,89
2011-09-29,91
2011-09-30,92
2011-10-01,94
2011-10-02,92
2011-10-03,90
2011-10-04,88
2011-10-05,86
2011-10-06,84
2011-10-07,82
2011-10-08,80
2011-10-09,78
2011-10-10,76
2011-10-11,74
2011-10-12,72
2011-10-13,70
2011-10-14,68
2011-10-15,66
2011-10-16,64
2011-10-17,63
2011-10-18,61
2011-10-19,59
2011-10-20,57
2011-10-21,55
2011-10-22,53
2011-10-23,51
2011-10-24,49
2011-10-25,47
2011-10-26,45
2011-10-27,43
2011-10-28,41
2011-10-29,39
2011-10-30,37
2011-10-31,35
2011-11-01,34
2011-11-02,34
2011-11-03,34
2011-11-04,34
2011-11-05,34
2011-11-06,35
2011-11-07,35
2011-11-08,35
2011-11-09,35
2011-11-10,35
2011-11-11,36
2011-11-12,36
2011-11-13,36
2011-11-14,36
2011-11-15,36
2011-11-16,37
2011-11-17,37
2011-11-18,37
2011-11-19,37
2011-11-20,37
2011-11-21,38
2011-11-22,38
2011-11-23,38
2011-11-24,38
2011-11-25,38
2011-11-26,39
2011-11-27,39
2011-11-28,39
2011-11-29,39
2011-11-30,39
2011-12-01,40
2011-12-02,40
2011-12-03,40
2011-12-04,40
2011-12-05,40
2011-12-06,40
2011-12-07,40
2011-12-08,40
2011-12-09,40
2011-12-10,40
2011-12-11,40
2011-12-12,41
2011-12-13,41
2011-12-14,41
2011-12-15,41
2011-12-16,41
2011-12-17,41
2011-12-18,41
2011-12-19,41
2011-12-20,41
2011-12-21,41
2011-12-22,42
2011-12-23,42
2011-12-24,42
2011-12-25,42
2011-12-26,42
2011-12-27,42
2011-12-28,42
2011-12-29,42
2011-12-30,42
2011-12-31,42
2012-01-01,43
2012-01-02,44
2012-01-03,46
2012-01-04,48
2012-01-05,50
2012-01-06,52
2012-01-07,54
2012-01-08,55
2012-01-09,57
2012-01-10,59
2012-01-11,61
2012-01-12,63
2012-01-13,65
2012-01-14,66
2012-01-15,68
2012-01-16,70
2012-01-17,72
2012-01-18,74
2012-01-19,76
2012-01-20,77
2012-01-21,79
2012-01-22,81
2012-01-23,83
2012-01-24,85
2012-01-25,87
2012-01-26,88
2012-01-27,90
2012-01-28,92
2012-01-29,94
2012-01-30,96
2012-01-31,98
2012-02-01,100
2012-02-02,98
2012-02-03,97
2012-02-04,95
2012-02-05,94
2012-02-06,92
2012-02-07,91
2012-02-08,89
2012-02-09,88
2012-02-10,86
2012-02-11,85
2012-02-12,84
2012-02-13,82
2012-02-14,81
2012-02-15,79
2012-02-16,78
2012-02-17,76
2012-02-18,75
2012-02-19,73
2012-02-20,72
2012-02-21,71
2012-02-22,69
2012-02-23,68
2012-02-24,66
2012-02-25,65
2012-02-26,63
2012-02-27,62
2012-02-28,60
2012-02-29,59
2012-03-01,58
2012-03-02,57
2012-03-03,56
2012-03-04,55
2012-03-05,55
2012-03-06,54
2012-03-07,53
2012-03-08,52
2012-03-09,52
2012-03-10,51
2012-03-11,50
2012-03-12,49
2012-03-13,49
2012-03-14,48
2012-03-15,47
2012-03-16,46
2012-03-17,46
2012-03-18,45
2012-03-19,44
2012-03-20,43
2012-03-21,43
2012-03-22,42
2012-03-23,41
2012-03-24,40
2012-03-25,40
2012-03-26,39
2012-03-27,38
2012-03-28,37
2012-03-29,37
2012-03-30,36
2012-03-31,35
2012-04-01,35
2012-04-02,36
2012-04-03,38
2012-04-04,39
2012-04-05,41
2012-04-06,43
2012-04-07,44
2012-04-08,46
2012-04-09,48
2012-04-10,49
2012-04-11,51
2012-04-12,52
2012-04-13,54
2012-04-14,56
2012-04-15,57
2012-04-16,59
2012-04-17,61
2012-04-18,62
2012-04-19,64
2012-04-20,66
2012-04-21,67
2012-04-22,69
2012-04-23,70
2012-04-24,72
2012-04-25,74
2012-04-26,75
2012-04-27,77
2012-04-28,79
2012-04-29,80
2012-04-30,82
2012-05-01,84
