Date,GenMark Diagnostics
2010-05-08,22
2010-05-09,25
2010-05-10,29
2010-05-11,32
2010-05-12,35
2010-05-13,38
2010-05-14,41
2010-05-15,45
2010-05-16,48
2010-05-17,51
2010-05-18,54
2010-05-19,58
2010-05-20,61
2010-05-21,64
2010-05-22,67
2010-05-23,70
2010-05-24,74
2010-05-25,77
2010-05-26,80
2010-05-27,83
2010-05-28,87
2010-05-29,90
2010-05-30,93
2010-05-31,96
2010-06-01,100
2010-06-02,99
2010-06-03,98
2010-06-04,97
2010-06-05,96
2010-06-06,95
2010-06-07,94
2010-06-08,93
2010-06-09,92
2010-06-10,91
2010-06-11,90
2010-06-12,89
2010-06-13,88
2010-06-14,87
2010-06-15,86
2010-06-16,86
2010-06-17,85
2010-06-18,84
2010-06-19,83
2010-06-20,82
2010-06-21,81
2010-06-22,80
2010-06-23,79
2010-06-24,78
2010-06-25,77
2010-06-26,76
2010-06-27,75
2010-06-28,74
2010-06-29,73
2010-06-30,72
2010-07-01,72
2010-07-02,71
2010-07-03,70
2010-07-04,69
2010-07-05,69
2010-07-06,68
2010-07-07,67
2010-07-08,67
2010-07-09,66
2010-07-10,65
2010-07-11,65
2010-07-12,64
2010-07-13,63
2010-07-14,63
2010-07-15,62
2010-07-16,61
2010-07-17,61
2010-07-18,60
2010-07-19,59
2010-07-20,59
2010-07-21,58
2010-07-22,57
2010-07-23,57
2010-07-24,56
2010-07-25,55
2010-07-26,55
2010-07-27,54
2010-07-28,53
2010-07-29,53
2010-07-30,52
2010-07-31,51
2010-08-01,51
2010-08-02,51
2010-08-03,51
2010-08-04,51
2010-08-05,51
2010-08-06,51
2010-08-07,51
2010-08-08,51
2010-08-09,51
2010-08-10,51
2010-08-11,51
2010-08-12,51
2010-08-13,51
2010-08-14,51
2010-08-15,51
2010-08-16,51
2010-08-17,51
2010-08-18,51
2010-08-19,51
2010-08-20,51
2010-08-21,51
2010-08-22,51
2010-08-23,51
2010-08-24,51
2010-08-25,51
2010-08-26,51
2010-08-27,51
2010-08-28,51
2010-08-29,51
2010-08-30,51
2010-08-31,51
2010-09-01,51
2010-09-02,51
2010-09-03,51
2010-09-04,51
2010-09-05,51
2010-09-06,51
2010-09-07,51
2010-09-08,51
2010-09-09,51
2010-09-10,51
2010-09-11,51
2010-09-12,51
2010-09-13,51
2010-09-14,51
2010-09-15,51
2010-09-16,51
2010-09-17,51
2010-09-18,51
2010-09-19,51
2010-09-20,51
2010-09-21,51
2010-09-22,51
2010-09-23,51
2010-09-24,51
2010-09-25,51
2010-09-26,51
2010-09-27,51
2010-09-28,51
2010-09-29,51
2010-09-30,51
2010-10-01,51
2010-10-02,51
2010-10-03,51
2010-10-04,51
2010-10-05,51
2010-10-06,51
2010-10-07,51
2010-10-08,51
2010-10-09,51
2010-10-10,51
2010-10-11,51
2010-10-12,52
2010-10-13,52
2010-10-14,52
2010-10-15,52
2010-10-16,52
2010-10-17,52
2010-10-18,52
2010-10-19,52
2010-10-20,52
2010-10-21,52
2010-10-22,53
2010-10-23,53
2010-10-24,53
2010-10-25,53
2010-10-26,53
2010-10-27,53
2010-10-28,53
2010-10-29,53
2010-10-30,53
2010-10-31,53
2010-11-01,54
2010-11-02,53
2010-11-03,53
2010-11-04,52
2010-11-05,52
2010-11-06,52
2010-11-07,51
2010-11-08,51
2010-11-09,51
2010-11-10,50
2010-11-11,50
2010-11-12,49
2010-11-13,49
2010-11-14,49
2010-11-15,48
2010-11-16,48
2010-11-17,48
2010-11-18,47
2010-11-19,47
2010-11-20,47
2010-11-21,46
2010-11-22,46
2010-11-23,45
2010-11-24,45
2010-11-25,45
2010-11-26,44
2010-11-27,44
2010-11-28,44
2010-11-29,43
2010-11-30,43
2010-12-01,43
2010-12-02,43
2010-12-03,43
2010-12-04,43
2010-12-05,43
2010-12-06,43
2010-12-07,43
2010-12-08,43
2010-12-09,43
2010-12-10,43
2010-12-11,43
2010-12-12,43
2010-12-13,43
2010-12-14,43
2010-12-15,43
2010-12-16,43
2010-12-17,43
2010-12-18,43
2010-12-19,43
2010-12-20,43
2010-12-21,43
2010-12-22,43
2010-12-23,43
2010-12-24,43
2010-12-25,43
2010-12-26,43
2010-12-27,43
2010-12-28,43
2010-12-29,43
2010-12-30,43
2010-12-31,43
2011-01-01,43
2011-01-02,42
2011-01-03,42
2011-01-04,42
2011-01-05,42
2011-01-06,42
2011-01-07,42
2011-01-08,42
2011-01-09,42
2011-01-10,42
2011-01-11,42
2011-01-12,42
2011-01-13,42
2011-01-14,42
2011-01-15,42
2011-01-16,42
2011-01-17,42
2011-01-18,42
2011-01-19,42
2011-01-20,42
2011-01-21,42
2011-01-22,42
2011-01-23,42
2011-01-24,42
2011-01-25,42
2011-01-26,42
2011-01-27,42
2011-01-28,42
2011-01-29,42
2011-01-30,42
2011-01-31,42
2011-02-01,42
2011-02-02,42
2011-02-03,42
2011-02-04,43
2011-02-05,43
2011-02-06,44
2011-02-07,44
2011-02-08,45
2011-02-09,45
2011-02-10,45
2011-02-11,46
2011-02-12,46
2011-02-13,47
2011-02-14,47
2011-02-15,48
2011-02-16,48
2011-02-17,48
2011-02-18,49
2011-02-19,49
2011-02-20,50
2011-02-21,50
2011-02-22,51
2011-02-23,51
2011-02-24,51
2011-02-25,52
2011-02-26,52
2011-02-27,53
2011-02-28,53
2011-03-01,54
2011-03-02,53
2011-03-03,53
2011-03-04,53
2011-03-05,53
2011-03-06,53
2011-03-07,53
2011-03-08,53
2011-03-09,53
2011-03-10,53
2011-03-11,53
2011-03-12,52
2011-03-13,52
2011-03-14,52
2011-03-15,52
2011-03-16,52
2011-03-17,52
2011-03-18,52
2011-03-19,52
2011-03-20,52
2011-03-21,52
2011-03-22,51
2011-03-23,51
2011-03-24,51
2011-03-25,51
2011-03-26,51
2011-03-27,51
2011-03-28,51
2011-03-29,51
2011-03-30,51
2011-03-31,51
2011-04-01,51
2011-04-02,51
2011-04-03,51
2011-04-04,51
2011-04-05,51
2011-04-06,52
2011-04-07,52
2011-04-08,52
2011-04-09,52
2011-04-10,53
2011-04-11,53
2011-04-12,53
2011-04-13,53
2011-04-14,54
2011-04-15,54
2011-04-16,54
2011-04-17,54
2011-04-18,54
2011-04-19,55
2011-04-20,55
2011-04-21,55
2011-04-22,55
2011-04-23,56
2011-04-24,56
2011-04-25,56
2011-04-26,56
2011-04-27,57
2011-04-28,57
2011-04-29,57
2011-04-30,57
2011-05-01,58
2011-05-02,57
2011-05-03,57
2011-05-04,57
2011-05-05,56
2011-05-06,56
2011-05-07,56
2011-05-08,55
2011-05-09,55
2011-05-10,55
2011-05-11,55
2011-05-12,54
2011-05-13,54
2011-05-14,54
2011-05-15,53
2011-05-16,53
2011-05-17,53
2011-05-18,53
2011-05-19,52
2011-05-20,52
2011-05-21,52
2011-05-22,51
2011-05-23,51
2011-05-24,51
2011-05-25,51
2011-05-26,50
2011-05-27,50
2011-05-28,50
2011-05-29,49
2011-05-30,49
2011-05-31,49
2011-06-01,49
2011-06-02,47
2011-06-03,45
2011-06-04,44
2011-06-05,42
2011-06-06,40
2011-06-07,39
2011-06-08,37
2011-06-09,35
2011-06-10,34
2011-06-11,32
2011-06-12,31
2011-06-13,29
2011-06-14,27
2011-06-15,26
2011-06-16,24
2011-06-17,22
2011-06-18,21
2011-06-19,19
2011-06-20,17
2011-06-21,16
2011-06-22,14
2011-06-23,13
2011-06-24,11
2011-06-25,9
2011-06-26,8
2011-06-27,6
2011-06-28,4
2011-06-29,3
2011-06-30,1
2011-07-01,0
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,0
2011-07-06,0
2011-07-07,0
2011-07-08,0
2011-07-09,0
2011-07-10,0
2011-07-11,0
2011-07-12,0
2011-07-13,0
2011-07-14,0
2011-07-15,0
2011-07-16,0
2011-07-17,0
2011-07-18,0
2011-07-19,0
2011-07-20,0
2011-07-21,0
2011-07-22,0
2011-07-23,0
2011-07-24,0
2011-07-25,0
2011-07-26,0
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,0
2011-08-03,0
2011-08-04,0
2011-08-05,0
2011-08-06,0
2011-08-07,0
2011-08-08,0
2011-08-09,0
2011-08-10,0
2011-08-11,0
2011-08-12,0
2011-08-13,0
2011-08-14,0
2011-08-15,0
2011-08-16,0
2011-08-17,0
2011-08-18,0
2011-08-19,0
2011-08-20,0
2011-08-21,0
2011-08-22,0
2011-08-23,0
2011-08-24,0
2011-08-25,0
2011-08-26,0
2011-08-27,0
2011-08-28,0
2011-08-29,0
2011-08-30,0
2011-08-31,0
