Date,Roadrunner Transportation
2009-01-06,23
2009-01-07,31
2009-01-08,39
2009-01-09,47
2009-01-10,55
2009-01-11,54
2009-01-12,53
2009-01-13,52
2009-01-14,51
2009-01-15,50
2009-01-16,49
2009-01-17,49
2009-01-18,48
2009-01-19,48
2009-01-20,48
2009-01-21,47
2009-01-22,47
2009-01-23,47
2009-01-24,47
2009-01-25,47
2009-01-26,47
2009-01-27,47
2009-01-28,47
2009-01-29,47
2009-01-30,47
2009-01-31,47
2009-02-01,47
2009-02-02,47
2009-02-03,47
2009-02-04,47
2009-02-05,47
2009-02-06,47
2009-02-07,47
2009-02-08,47
2009-02-09,55
2009-02-10,47
2009-02-11,48
2009-02-12,48
2009-02-13,48
2009-02-14,49
2009-02-15,49
2009-02-16,49
2009-02-17,49
2009-02-18,50
2009-02-19,50
2009-02-20,50
2009-02-21,51
2009-02-22,51
2009-02-23,51
2009-02-24,52
2009-02-25,52
2009-02-26,52
2009-02-27,52
2009-02-28,53
2009-03-01,54
2009-03-02,55
2009-03-03,56
2009-03-04,57
2009-03-05,58
2009-03-06,59
2009-03-07,61
2009-03-08,58
2009-03-09,56
2009-03-10,54
2009-03-11,52
2009-03-12,50
2009-03-13,48
2009-03-14,46
2009-03-15,48
2009-03-16,52
2009-03-17,55
2009-03-18,58
2009-03-19,60
2009-03-20,63
2009-03-21,66
2009-03-22,66
2009-03-23,66
2009-03-24,66
2009-03-25,66
2009-03-26,66
2009-03-27,66
2009-03-28,68
2009-03-29,62
2009-04-05,62
2009-04-06,62
2009-04-07,62
2009-04-08,62
2009-04-09,62
2009-04-10,62
2009-04-11,62
2009-04-12,62
2009-04-13,62
2009-04-14,62
2009-04-15,62
2009-04-16,62
2009-04-17,62
2009-04-18,62
2009-04-19,62
2009-04-20,63
2009-04-21,63
2009-04-22,64
2009-04-23,64
2009-04-24,65
2009-04-25,66
2009-04-26,66
2009-04-27,67
2009-04-28,67
2009-04-29,68
2009-04-30,68
2009-05-01,69
2009-05-02,70
2009-05-03,70
2009-05-04,71
2009-05-05,71
2009-05-06,72
2009-05-07,72
2009-05-08,73
2009-05-09,74
2009-05-10,71
2009-05-11,68
2009-05-12,65
2009-05-13,62
2009-05-14,59
2009-05-15,56
2009-05-16,54
2009-05-17,54
2009-05-18,54
2009-05-19,54
2009-05-20,54
2009-05-21,54
2009-05-22,54
2009-05-23,54
2009-05-24,52
2009-05-25,51
2009-05-26,50
2009-05-27,48
2009-05-28,47
2009-05-29,46
2009-05-30,45
2009-05-31,46
2009-06-01,48
2009-06-02,50
2009-06-03,52
2009-06-04,54
2009-06-05,56
2009-06-06,58
2009-06-07,59
2009-06-08,61
2009-06-09,63
2009-06-10,65
2009-06-11,67
2009-06-12,69
2009-06-13,71
2009-06-14,68
2009-06-15,66
2009-06-16,63
2009-06-17,61
2009-06-18,58
2009-06-19,55
2009-06-20,53
2009-06-21,53
2009-06-22,53
2009-06-23,54
2009-06-24,54
2009-06-25,55
2009-06-26,55
2009-06-27,56
2009-06-28,56
2009-07-05,62
2009-07-06,67
2009-07-07,72
2009-07-08,77
2009-07-09,82
2009-07-10,87
2009-07-11,92
2009-07-12,88
2009-07-13,84
2009-07-14,80
2009-07-15,76
2009-07-16,72
2009-07-17,68
2009-07-18,64
2009-07-19,64
2009-07-20,64
2009-07-21,64
2009-07-22,64
2009-07-23,64
2009-07-24,64
2009-07-25,65
2009-07-26,68
2009-07-27,71
2009-07-28,74
2009-07-29,78
2009-07-30,81
2009-07-31,84
2009-08-01,88
2009-08-02,89
2009-08-03,91
2009-08-04,92
2009-08-05,94
2009-08-06,95
2009-08-07,96
2009-08-08,98
2009-08-09,92
2009-08-10,86
2009-08-11,81
2009-08-12,75
2009-08-13,70
2009-08-14,65
2009-08-15,60
2009-08-16,63
2009-08-17,67
2009-08-18,71
2009-08-19,74
2009-08-20,78
2009-08-21,82
2009-08-22,86
2009-08-23,86
2009-08-24,86
2009-08-25,86
2009-08-26,86
2009-08-27,86
2009-08-28,87
2009-08-29,87
2009-08-30,84
2009-08-31,81
2009-09-01,78
2009-09-02,76
2009-09-03,73
2009-09-04,70
2009-09-05,68
2009-09-06,67
2009-09-07,66
2009-09-08,65
2009-09-09,65
2009-09-10,64
2009-09-11,63
2009-09-12,63
2009-09-13,68
2009-09-14,74
2009-09-15,79
2009-09-16,84
2009-09-17,90
2009-09-18,95
2009-09-19,101
2009-09-20,98
2009-09-21,93
2009-09-22,90
2009-09-23,87
2009-09-24,84
2009-09-25,81
2009-09-26,78
2009-09-27,78
2009-10-04,76
2009-10-05,74
2009-10-06,72
2009-10-07,71
2009-10-08,69
2009-10-09,67
2009-10-10,66
2009-10-11,62
2009-10-12,58
2009-10-13,55
2009-10-14,51
2009-10-15,48
2009-10-16,44
2009-10-17,41
2009-10-18,43
2009-10-19,45
2009-10-20,47
2009-10-21,49
2009-10-22,51
2009-10-23,53
2009-10-24,56
2009-10-25,55
2009-10-26,55
2009-10-27,54
2009-10-28,53
2009-10-29,52
2009-10-30,52
2009-10-31,51
2009-11-01,50
2009-11-02,49
2009-11-03,49
2009-11-04,48
2009-11-05,47
2009-11-06,47
2009-11-07,46
2009-11-08,46
2009-11-09,46
2009-11-10,46
2009-11-11,46
2009-11-12,46
2009-11-13,46
2009-11-14,46
2009-11-15,46
2009-11-16,46
2009-11-17,46
2009-11-18,46
2009-11-19,46
2009-11-20,46
2009-11-21,47
2009-11-22,47
2009-11-23,47
2009-11-24,47
2009-11-25,47
2009-11-26,47
2009-11-27,47
2009-11-28,48
2009-11-29,51
2009-11-30,54
2009-12-01,57
2009-12-02,60
2009-12-03,63
2009-12-04,66
2009-12-05,69
2009-12-06,67
2009-12-07,65
2009-12-08,64
2009-12-09,62
2009-12-10,61
2009-12-11,59
2009-12-12,58
2009-12-13,57
2009-12-14,56
2009-12-15,55
2009-12-16,54
2009-12-17,53
2009-12-18,52
2009-12-19,51
2009-12-20,53
2009-12-21,54
2009-12-22,55
2009-12-23,57
2009-12-24,58
2009-12-25,60
2009-12-26,62
2009-12-27,63
