Date,Nimble Storage
2013-04-13,31
2013-04-14,31
2013-04-15,31
2013-04-16,31
2013-04-17,35
2013-04-18,32
2013-04-19,32
2013-04-20,34
2013-04-21,32
2013-04-22,32
2013-04-23,31
2013-04-24,31
2013-04-25,34
2013-04-26,30
2013-04-27,30
2013-04-28,30
2013-04-29,30
2013-04-30,33
2013-05-01,31
2013-05-02,31
2013-05-03,34
2013-05-04,32
2013-05-05,30
2013-05-06,28
2013-05-07,27
2013-05-08,25
2013-05-09,24
2013-05-10,22
2013-05-11,21
2013-05-12,21
2013-05-13,22
2013-05-14,23
2013-05-15,24
2013-05-16,25
2013-05-17,26
2013-05-18,27
2013-05-19,27
2013-05-20,27
2013-05-21,27
2013-05-22,30
2013-05-23,28
2013-05-24,30
2013-05-25,29
2013-05-26,27
2013-05-27,26
2013-05-28,25
2013-05-29,24
2013-05-30,23
2013-05-31,23
2013-06-01,21
2013-06-02,21
2013-06-03,21
2013-06-04,21
2013-06-05,21
2013-06-06,21
2013-06-07,23
2013-06-08,22
2013-06-09,22
2013-06-10,23
2013-06-11,24
2013-06-12,25
2013-06-13,26
2013-06-14,26
2013-06-15,27
2013-06-16,27
2013-06-17,27
2013-06-18,27
2013-06-19,27
2013-06-20,27
2013-06-21,28
2013-06-22,27
2013-06-23,26
2013-06-24,26
2013-06-25,26
2013-06-26,26
2013-06-27,25
2013-06-28,25
2013-06-29,25
2013-06-30,24
2013-07-01,23
2013-07-02,23
2013-07-03,21
2013-07-04,20
2013-07-05,19
2013-07-06,18
2013-07-07,18
2013-07-08,19
2013-07-09,20
2013-07-10,21
2013-07-11,22
2013-07-12,23
2013-07-13,24
2013-07-14,24
2013-07-15,25
2013-07-16,26
2013-07-17,28
2013-07-18,28
2013-07-19,29
2013-07-20,30
2013-07-21,30
2013-07-22,30
2013-07-23,31
2013-07-24,31
2013-07-25,33
2013-07-26,33
2013-07-27,33
2013-07-28,30
2013-07-29,28
2013-07-30,25
2013-07-31,23
2013-08-01,20
2013-08-02,18
2013-08-03,16
2013-08-04,17
2013-08-05,19
2013-08-06,22
2013-08-07,22
2013-08-08,24
2013-08-09,25
2013-08-10,27
