Date,Ambarella
2010-12-05,29
2010-12-06,38
2010-12-07,33
2010-12-08,35
2010-12-09,37
2010-12-10,39
2010-12-11,41
2010-12-12,41
2010-12-13,42
2010-12-14,43
2010-12-15,44
2010-12-16,45
2010-12-17,46
2010-12-18,47
2010-12-19,48
2010-12-20,49
2010-12-21,51
2010-12-22,52
2010-12-23,53
2010-12-24,54
2010-12-25,56
2010-12-26,56
2010-12-27,55
2010-12-28,55
2010-12-29,55
2010-12-30,55
2010-12-31,55
2011-01-01,55
2011-01-02,55
2011-01-03,55
2011-01-04,55
2011-01-05,55
2011-01-06,55
2011-01-07,55
2011-01-08,55
2011-01-09,52
2011-01-10,50
2011-01-11,48
2011-01-12,46
2011-01-13,44
2011-01-14,41
2011-01-15,39
2011-01-16,39
2011-01-17,38
2011-01-18,37
2011-01-19,37
2011-01-20,36
2011-01-21,36
2011-01-22,36
2011-01-23,36
2011-01-24,36
2011-01-25,36
2011-01-26,36
2011-01-27,36
2011-01-28,36
2011-01-29,36
2011-01-30,35
2011-01-31,34
2011-02-01,33
2011-02-02,32
2011-02-03,31
2011-02-04,30
2011-02-05,30
2011-02-06,30
2011-02-07,30
2011-02-08,30
2011-02-09,30
2011-02-10,30
2011-02-11,30
2011-02-12,30
2011-02-13,31
2011-02-14,32
2011-02-15,33
2011-02-16,34
2011-02-17,35
2011-02-18,37
2011-02-19,38
2011-02-20,36
2011-02-21,34
2011-02-22,33
2011-02-23,31
2011-02-24,30
2011-02-25,28
2011-02-26,27
2011-02-27,29
2011-03-06,41
2011-03-07,40
2011-03-08,39
2011-03-09,38
2011-03-10,37
2011-03-11,36
2011-03-12,35
2011-03-13,35
2011-03-14,35
2011-03-15,35
2011-03-16,35
2011-03-17,35
2011-03-18,35
2011-03-19,35
2011-03-20,35
2011-03-21,35
2011-03-22,35
2011-03-23,35
2011-03-24,35
2011-03-25,35
2011-03-26,35
2011-03-27,36
2011-03-28,38
2011-03-29,39
2011-03-30,41
2011-03-31,42
2011-04-01,44
2011-04-02,46
2011-04-03,39
2011-04-04,32
2011-04-05,25
2011-04-06,19
2011-04-07,12
2011-04-08,6
2011-04-09,0
2011-04-10,0
2011-04-11,0
2011-04-12,0
2011-04-13,0
2011-04-14,0
2011-04-15,0
2011-04-16,0
2011-04-17,0
2011-04-18,0
2011-04-19,0
2011-04-20,0
2011-04-21,0
2011-04-22,0
2011-04-23,0
2011-04-24,0
2011-04-25,0
2011-04-26,0
2011-04-27,0
2011-04-28,0
2011-04-29,0
2011-04-30,0
2011-05-01,0
2011-05-02,0
2011-05-03,0
2011-05-04,0
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,5
2011-05-09,10
2011-05-10,15
2011-05-11,21
2011-05-12,26
2011-05-13,31
2011-05-14,37
2011-05-15,37
2011-05-16,37
2011-05-17,37
2011-05-18,37
2011-05-19,37
2011-05-20,37
2011-05-21,37
2011-05-22,37
2011-05-23,37
2011-05-24,37
2011-05-25,37
2011-05-26,37
2011-05-27,38
2011-05-28,38
2011-05-29,38
2011-06-05,36
2011-06-06,34
2011-06-07,33
2011-06-08,31
2011-06-09,30
2011-06-10,28
