Date,Converted Organics
2008-02-13,68
2008-02-14,70
2008-02-15,72
2008-02-16,73
2008-02-17,75
2008-02-18,77
2008-02-19,79
2008-02-20,81
2008-02-21,83
2008-02-22,85
2008-02-23,86
2008-02-24,88
2008-02-25,90
2008-02-26,92
2008-02-27,94
2008-02-28,96
2008-02-29,98
2008-03-01,100
2008-03-02,98
2008-03-03,96
2008-03-04,94
2008-03-05,92
2008-03-06,90
2008-03-07,89
2008-03-08,87
2008-03-09,85
2008-03-10,83
2008-03-11,81
2008-03-12,80
2008-03-13,78
2008-03-14,76
2008-03-15,74
2008-03-16,72
2008-03-17,71
2008-03-18,69
2008-03-19,67
2008-03-20,65
2008-03-21,63
2008-03-22,62
2008-03-23,60
2008-03-24,58
2008-03-25,56
2008-03-26,54
2008-03-27,53
2008-03-28,51
2008-03-29,49
2008-03-30,47
2008-03-31,45
2008-04-01,44
2008-04-02,44
2008-04-03,44
2008-04-04,45
2008-04-05,45
2008-04-06,45
2008-04-07,46
2008-04-08,46
2008-04-09,46
2008-04-10,47
2008-04-11,47
2008-04-12,47
2008-04-13,48
2008-04-14,48
2008-04-15,48
2008-04-16,49
2008-04-17,49
2008-04-18,49
2008-04-19,50
2008-04-20,50
2008-04-21,50
2008-04-22,51
2008-04-23,51
2008-04-24,51
2008-04-25,52
2008-04-26,52
2008-04-27,52
2008-04-28,53
2008-04-29,53
2008-04-30,53
2008-05-01,54
2008-05-02,53
2008-05-03,53
2008-05-04,53
2008-05-05,53
2008-05-06,52
2008-05-07,52
2008-05-08,52
2008-05-09,52
2008-05-10,51
2008-05-11,51
2008-05-12,51
2008-05-13,51
2008-05-14,51
2008-05-15,50
2008-05-16,50
2008-05-17,50
2008-05-18,50
2008-05-19,49
2008-05-20,49
2008-05-21,49
2008-05-22,49
2008-05-23,49
2008-05-24,48
2008-05-25,48
2008-05-26,48
2008-05-27,48
2008-05-28,47
2008-05-29,47
2008-05-30,47
2008-05-31,47
2008-06-01,47
2008-06-02,46
2008-06-03,45
2008-06-04,44
2008-06-05,44
2008-06-06,43
2008-06-07,42
2008-06-08,42
2008-06-09,41
2008-06-10,40
2008-06-11,40
2008-06-12,39
2008-06-13,38
2008-06-14,37
2008-06-15,37
2008-06-16,36
2008-06-17,35
2008-06-18,35
2008-06-19,34
2008-06-20,33
2008-06-21,33
2008-06-22,32
2008-06-23,31
2008-06-24,30
2008-06-25,30
2008-06-26,29
2008-06-27,28
2008-06-28,28
2008-06-29,27
2008-06-30,26
2008-07-01,26
2008-07-02,26
2008-07-03,26
2008-07-04,26
2008-07-05,27
2008-07-06,27
2008-07-07,27
2008-07-08,28
2008-07-09,28
2008-07-10,28
2008-07-11,29
2008-07-12,29
2008-07-13,29
2008-07-14,30
2008-07-15,30
2008-07-16,30
2008-07-17,31
2008-07-18,31
2008-07-19,31
2008-07-20,32
2008-07-21,32
2008-07-22,32
2008-07-23,33
2008-07-24,33
2008-07-25,33
2008-07-26,34
2008-07-27,34
2008-07-28,34
2008-07-29,35
2008-07-30,35
2008-07-31,35
2008-08-01,36
2008-08-02,36
2008-08-03,36
2008-08-04,36
2008-08-05,37
2008-08-06,37
2008-08-07,37
2008-08-08,38
2008-08-09,38
2008-08-10,38
2008-08-11,39
2008-08-12,39
2008-08-13,39
2008-08-14,40
2008-08-15,40
2008-08-16,40
2008-08-17,41
2008-08-18,41
2008-08-19,41
2008-08-20,42
2008-08-21,42
2008-08-22,42
2008-08-23,43
2008-08-24,43
2008-08-25,43
2008-08-26,44
2008-08-27,44
2008-08-28,44
2008-08-29,45
2008-08-30,45
2008-08-31,45
2008-09-01,46
2008-09-02,46
2008-09-03,46
2008-09-04,47
2008-09-05,47
2008-09-06,48
2008-09-07,48
2008-09-08,49
2008-09-09,49
2008-09-10,49
2008-09-11,50
2008-09-12,50
2008-09-13,51
2008-09-14,51
2008-09-15,52
2008-09-16,52
2008-09-17,52
2008-09-18,53
2008-09-19,53
2008-09-20,54
2008-09-21,54
2008-09-22,55
2008-09-23,55
2008-09-24,55
2008-09-25,56
2008-09-26,56
2008-09-27,57
2008-09-28,57
2008-09-29,58
2008-09-30,58
2008-10-01,59
2008-10-02,58
2008-10-03,57
2008-10-04,56
2008-10-05,56
2008-10-06,55
2008-10-07,54
2008-10-08,54
2008-10-09,53
2008-10-10,52
2008-10-11,52
2008-10-12,51
2008-10-13,50
2008-10-14,50
2008-10-15,49
2008-10-16,48
2008-10-17,48
2008-10-18,47
2008-10-19,46
2008-10-20,46
2008-10-21,45
2008-10-22,44
2008-10-23,44
2008-10-24,43
2008-10-25,42
2008-10-26,42
2008-10-27,41
2008-10-28,40
2008-10-29,40
2008-10-30,39
2008-10-31,38
2008-11-01,38
2008-11-02,37
2008-11-03,37
2008-11-04,36
2008-11-05,36
2008-11-06,36
2008-11-07,35
2008-11-08,35
2008-11-09,34
2008-11-10,34
2008-11-11,34
2008-11-12,33
2008-11-13,33
2008-11-14,32
2008-11-15,32
2008-11-16,32
2008-11-17,31
2008-11-18,31
2008-11-19,30
2008-11-20,30
2008-11-21,30
2008-11-22,29
2008-11-23,29
2008-11-24,28
2008-11-25,28
2008-11-26,28
2008-11-27,27
2008-11-28,27
2008-11-29,26
2008-11-30,26
2008-12-01,26
2008-12-02,26
2008-12-03,26
2008-12-04,26
2008-12-05,26
2008-12-06,26
2008-12-07,26
2008-12-08,26
2008-12-09,27
2008-12-10,27
2008-12-11,27
2008-12-12,27
2008-12-13,27
2008-12-14,27
2008-12-15,27
2008-12-16,27
2008-12-17,28
2008-12-18,28
2008-12-19,28
2008-12-20,28
2008-12-21,28
2008-12-22,28
2008-12-23,28
2008-12-24,28
2008-12-25,29
2008-12-26,29
2008-12-27,29
2008-12-28,29
2008-12-29,29
2008-12-30,29
2008-12-31,29
2009-01-01,30
2009-01-02,29
2009-01-03,29
2009-01-04,29
2009-01-05,29
2009-01-06,29
2009-01-07,29
2009-01-08,29
2009-01-09,29
2009-01-10,29
2009-01-11,29
2009-01-12,29
2009-01-13,29
2009-01-14,29
2009-01-15,29
2009-01-16,29
2009-01-17,28
2009-01-18,28
2009-01-19,28
2009-01-20,28
2009-01-21,28
2009-01-22,28
2009-01-23,28
2009-01-24,28
2009-01-25,28
2009-01-26,28
2009-01-27,28
2009-01-28,28
2009-01-29,28
2009-01-30,28
2009-01-31,28
2009-02-01,28
2009-02-02,28
2009-02-03,28
2009-02-04,28
2009-02-05,28
2009-02-06,28
2009-02-07,28
2009-02-08,28
2009-02-09,28
2009-02-10,28
2009-02-11,28
2009-02-12,28
2009-02-13,28
2009-02-14,28
2009-02-15,29
2009-02-16,29
2009-02-17,29
2009-02-18,29
2009-02-19,29
2009-02-20,29
2009-02-21,29
2009-02-22,29
2009-02-23,29
2009-02-24,29
2009-02-25,29
2009-02-26,29
2009-02-27,29
2009-02-28,29
2009-03-01,30
2009-03-02,30
2009-03-03,30
2009-03-04,31
2009-03-05,31
2009-03-06,32
2009-03-07,32
2009-03-08,33
2009-03-09,33
2009-03-10,34
2009-03-11,34
2009-03-12,34
2009-03-13,35
2009-03-14,35
2009-03-15,36
2009-03-16,36
2009-03-17,37
2009-03-18,37
2009-03-19,38
2009-03-20,38
2009-03-21,39
2009-03-22,39
2009-03-23,39
2009-03-24,40
2009-03-25,40
2009-03-26,41
2009-03-27,41
2009-03-28,42
2009-03-29,42
2009-03-30,43
2009-03-31,43
2009-04-01,44
2009-04-02,43
2009-04-03,43
2009-04-04,43
2009-04-05,43
2009-04-06,43
2009-04-07,43
2009-04-08,43
2009-04-09,43
2009-04-10,43
2009-04-11,43
2009-04-12,43
2009-04-13,43
2009-04-14,43
2009-04-15,43
2009-04-16,43
2009-04-17,43
2009-04-18,43
2009-04-19,43
2009-04-20,43
2009-04-21,43
2009-04-22,43
2009-04-23,43
2009-04-24,43
2009-04-25,43
2009-04-26,43
2009-04-27,43
2009-04-28,43
2009-04-29,43
2009-04-30,43
2009-05-01,43
2009-05-02,42
2009-05-03,42
2009-05-04,42
2009-05-05,42
2009-05-06,42
2009-05-07,42
2009-05-08,42
2009-05-09,42
2009-05-10,42
2009-05-11,42
2009-05-12,42
2009-05-13,42
2009-05-14,42
2009-05-15,42
2009-05-16,42
2009-05-17,41
2009-05-18,41
2009-05-19,41
2009-05-20,41
2009-05-21,41
2009-05-22,41
2009-05-23,41
2009-05-24,41
2009-05-25,41
2009-05-26,41
2009-05-27,41
2009-05-28,41
2009-05-29,41
2009-05-30,41
2009-05-31,41
2009-06-01,41
2009-06-02,40
2009-06-03,39
2009-06-04,38
2009-06-05,37
2009-06-06,37
2009-06-07,36
2009-06-08,35
2009-06-09,34
2009-06-10,33
2009-06-11,33
2009-06-12,32
2009-06-13,31
2009-06-14,30
2009-06-15,29
2009-06-16,29
2009-06-17,28
2009-06-18,27
2009-06-19,26
2009-06-20,25
2009-06-21,25
2009-06-22,24
2009-06-23,23
2009-06-24,22
2009-06-25,21
2009-06-26,21
2009-06-27,20
2009-06-28,19
2009-06-29,18
2009-06-30,17
2009-07-01,17
2009-07-02,17
2009-07-03,18
2009-07-04,19
2009-07-05,20
2009-07-06,21
2009-07-07,22
2009-07-08,23
2009-07-09,24
2009-07-10,25
2009-07-11,26
2009-07-12,27
2009-07-13,28
2009-07-14,29
2009-07-15,30
2009-07-16,31
2009-07-17,31
2009-07-18,32
2009-07-19,33
2009-07-20,34
2009-07-21,35
2009-07-22,36
2009-07-23,37
2009-07-24,38
2009-07-25,39
2009-07-26,40
2009-07-27,41
2009-07-28,42
2009-07-29,43
2009-07-30,44
2009-07-31,45
2009-08-01,46
2009-08-02,45
2009-08-03,44
2009-08-04,43
2009-08-05,42
2009-08-06,41
2009-08-07,40
2009-08-08,39
2009-08-09,38
2009-08-10,37
2009-08-11,36
2009-08-12,36
2009-08-13,35
2009-08-14,34
2009-08-15,33
2009-08-16,32
2009-08-17,31
2009-08-18,30
2009-08-19,29
2009-08-20,28
2009-08-21,27
2009-08-22,27
2009-08-23,26
2009-08-24,25
2009-08-25,24
2009-08-26,23
2009-08-27,22
2009-08-28,21
2009-08-29,20
2009-08-30,19
2009-08-31,18
