Date,Beceem Communications
2010-06-01,52
2010-06-02,51
2010-06-03,51
2010-06-04,51
2010-06-05,50
2010-06-06,50
2010-06-07,50
2010-06-08,50
2010-06-09,49
2010-06-10,49
2010-06-11,49
2010-06-12,49
2010-06-13,48
2010-06-14,48
2010-06-15,48
2010-06-16,48
2010-06-17,47
2010-06-18,47
2010-06-19,47
2010-06-20,46
2010-06-21,46
2010-06-22,46
2010-06-23,46
2010-06-24,45
2010-06-25,45
2010-06-26,45
2010-06-27,45
2010-06-28,44
2010-06-29,44
2010-06-30,44
2010-07-01,44
2010-07-02,44
2010-07-03,44
2010-07-04,44
2010-07-05,44
2010-07-06,44
2010-07-07,44
2010-07-08,44
2010-07-09,45
2010-07-10,45
2010-07-11,45
2010-07-12,45
2010-07-13,45
2010-07-14,45
2010-07-15,45
2010-07-16,45
2010-07-17,46
2010-07-18,46
2010-07-19,46
2010-07-20,46
2010-07-21,46
2010-07-22,46
2010-07-23,46
2010-07-24,46
2010-07-25,47
2010-07-26,47
2010-07-27,47
2010-07-28,47
2010-07-29,47
2010-07-30,47
2010-07-31,47
2010-08-01,48
2010-08-02,47
2010-08-03,47
2010-08-04,47
2010-08-05,47
2010-08-06,47
2010-08-07,46
2010-08-08,46
2010-08-09,46
2010-08-10,46
2010-08-11,46
2010-08-12,45
2010-08-13,45
2010-08-14,45
2010-08-15,45
2010-08-16,45
2010-08-17,44
2010-08-18,44
2010-08-19,44
2010-08-20,44
2010-08-21,44
2010-08-22,43
2010-08-23,43
2010-08-24,43
2010-08-25,43
2010-08-26,43
2010-08-27,42
2010-08-28,42
2010-08-29,42
2010-08-30,42
2010-08-31,42
2010-09-01,42
2010-09-02,43
2010-09-03,45
2010-09-04,47
2010-09-05,49
2010-09-06,51
2010-09-07,53
2010-09-08,55
2010-09-09,57
2010-09-10,59
2010-09-11,61
2010-09-12,63
2010-09-13,65
2010-09-14,67
2010-09-15,69
2010-09-16,71
2010-09-17,72
2010-09-18,74
2010-09-19,76
2010-09-20,78
2010-09-21,80
2010-09-22,82
2010-09-23,84
2010-09-24,86
2010-09-25,88
2010-09-26,90
2010-09-27,92
2010-09-28,94
2010-09-29,96
2010-09-30,98
2010-10-01,100
2010-10-02,96
2010-10-03,93
2010-10-04,90
2010-10-05,87
2010-10-06,83
2010-10-07,80
2010-10-08,77
2010-10-09,74
2010-10-10,70
2010-10-11,67
2010-10-12,64
2010-10-13,61
2010-10-14,58
2010-10-15,54
2010-10-16,51
2010-10-17,48
2010-10-18,45
2010-10-19,41
2010-10-20,38
2010-10-21,35
2010-10-22,32
2010-10-23,29
2010-10-24,25
2010-10-25,22
2010-10-26,19
2010-10-27,16
2010-10-28,12
2010-10-29,9
2010-10-30,6
2010-10-31,3
2010-11-01,0
2010-11-02,0
2010-11-03,0
2010-11-04,0
2010-11-05,0
2010-11-06,0
2010-11-07,0
2010-11-08,0
2010-11-09,0
2010-11-10,0
2010-11-11,0
2010-11-12,0
2010-11-13,0
2010-11-14,0
2010-11-15,0
2010-11-16,0
2010-11-17,0
2010-11-18,0
2010-11-19,0
2010-11-20,0
2010-11-21,0
2010-11-22,0
2010-11-23,0
2010-11-24,0
2010-11-25,0
2010-11-26,0
2010-11-27,0
2010-11-28,0
2010-11-29,0
2010-11-30,0
2010-12-01,0
2010-12-02,0
2010-12-03,0
2010-12-04,0
2010-12-05,0
2010-12-06,0
2010-12-07,0
2010-12-08,0
2010-12-09,0
2010-12-10,0
2010-12-11,0
2010-12-12,0
2010-12-13,0
2010-12-14,0
2010-12-15,0
2010-12-16,0
2010-12-17,0
2010-12-18,0
2010-12-19,0
2010-12-20,0
2010-12-21,0
2010-12-22,0
2010-12-23,0
2010-12-24,0
2010-12-25,0
2010-12-26,0
2010-12-27,0
2010-12-28,0
2010-12-29,0
2010-12-30,0
2010-12-31,0
2011-01-01,0
2011-01-02,0
2011-01-03,0
2011-01-04,0
2011-01-05,0
2011-01-06,0
2011-01-07,0
2011-01-08,0
2011-01-09,0
2011-01-10,0
2011-01-11,0
2011-01-12,0
2011-01-13,0
2011-01-14,0
2011-01-15,0
2011-01-16,0
2011-01-17,0
2011-01-18,0
2011-01-19,0
2011-01-20,0
2011-01-21,0
2011-01-22,0
2011-01-23,0
2011-01-24,0
2011-01-25,0
2011-01-26,0
2011-01-27,0
2011-01-28,0
2011-01-29,0
2011-01-30,0
2011-01-31,0
2011-02-01,0
2011-02-02,0
2011-02-03,0
2011-02-04,0
2011-02-05,0
2011-02-06,0
2011-02-07,0
2011-02-08,0
2011-02-09,0
2011-02-10,0
2011-02-11,0
2011-02-12,0
2011-02-13,0
2011-02-14,0
2011-02-15,0
2011-02-16,0
2011-02-17,0
2011-02-18,0
2011-02-19,0
2011-02-20,0
2011-02-21,0
2011-02-22,0
2011-02-23,0
2011-02-24,0
2011-02-25,0
2011-02-26,0
2011-02-27,0
2011-02-28,0
2011-03-01,0
2011-03-02,0
2011-03-03,0
2011-03-04,0
2011-03-05,0
2011-03-06,0
2011-03-07,0
2011-03-08,0
2011-03-09,0
2011-03-10,0
2011-03-11,0
2011-03-12,0
2011-03-13,0
2011-03-14,0
2011-03-15,0
2011-03-16,0
2011-03-17,0
2011-03-18,0
2011-03-19,0
2011-03-20,0
2011-03-21,0
2011-03-22,0
2011-03-23,0
2011-03-24,0
2011-03-25,0
2011-03-26,0
2011-03-27,0
2011-03-28,0
2011-03-29,0
2011-03-30,0
2011-03-31,0
2011-04-01,0
2011-04-02,0
2011-04-03,0
2011-04-04,0
2011-04-05,0
2011-04-06,0
2011-04-07,0
2011-04-08,0
2011-04-09,0
2011-04-10,0
2011-04-11,0
2011-04-12,0
2011-04-13,0
2011-04-14,0
2011-04-15,0
2011-04-16,0
2011-04-17,0
2011-04-18,0
2011-04-19,0
2011-04-20,0
2011-04-21,0
2011-04-22,0
2011-04-23,0
2011-04-24,0
2011-04-25,0
2011-04-26,0
2011-04-27,0
2011-04-28,0
2011-04-29,0
2011-04-30,0
2011-05-01,0
2011-05-02,0
2011-05-03,0
2011-05-04,0
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,0
2011-05-18,0
2011-05-19,0
2011-05-20,0
2011-05-21,0
2011-05-22,0
2011-05-23,0
2011-05-24,0
2011-05-25,0
2011-05-26,0
2011-05-27,0
2011-05-28,0
2011-05-29,0
2011-05-30,0
2011-05-31,0
