Date,Heat Biologics
2013-05-25,0
2013-05-26,0
2013-05-27,0
2013-05-28,0
2013-05-29,0
2013-05-30,0
2013-05-31,0
2013-06-01,0
2013-06-02,3
2013-06-03,6
2013-06-04,10
2013-06-05,13
2013-06-06,16
2013-06-07,20
2013-06-08,23
2013-06-09,26
2013-06-10,30
2013-06-11,33
2013-06-12,36
2013-06-13,40
2013-06-14,43
2013-06-15,46
2013-06-16,50
2013-06-17,53
2013-06-18,56
2013-06-19,60
2013-06-20,63
2013-06-21,66
2013-06-22,70
2013-06-23,73
2013-06-24,76
2013-06-25,80
2013-06-26,83
2013-06-27,86
2013-06-28,90
2013-06-29,93
2013-06-30,96
2013-07-01,100
2013-07-02,98
2013-07-03,96
2013-07-04,94
2013-07-05,92
2013-07-06,90
2013-07-07,88
2013-07-08,86
2013-07-09,84
2013-07-10,82
2013-07-11,80
2013-07-12,78
2013-07-13,76
2013-07-14,74
2013-07-15,72
2013-07-16,70
2013-07-17,68
2013-07-18,66
2013-07-19,64
2013-07-20,62
2013-07-21,60
2013-07-22,58
2013-07-23,56
2013-07-24,54
2013-07-25,52
2013-07-26,50
2013-07-27,48
2013-07-28,46
2013-07-29,44
2013-07-30,42
2013-07-31,40
2013-08-01,39
2013-08-02,38
2013-08-03,38
2013-08-04,37
2013-08-05,37
2013-08-06,37
2013-08-07,36
2013-08-08,36
2013-08-09,35
2013-08-10,35
2013-08-11,35
2013-08-12,34
2013-08-13,34
2013-08-14,33
2013-08-15,33
2013-08-16,33
2013-08-17,32
2013-08-18,32
2013-08-19,32
2013-08-20,31
2013-08-21,31
2013-08-22,30
2013-08-23,30
2013-08-24,30
2013-08-25,29
2013-08-26,29
2013-08-27,28
2013-08-28,28
2013-08-29,28
2013-08-30,27
2013-08-31,27
2013-09-01,27
2013-09-02,27
2013-09-03,27
2013-09-04,27
2013-09-05,27
2013-09-06,27
2013-09-07,27
2013-09-08,27
2013-09-09,27
2013-09-10,27
2013-09-11,27
2013-09-12,27
2013-09-13,27
2013-09-14,27
2013-09-15,27
2013-09-16,27
2013-09-17,27
2013-09-18,27
2013-09-19,27
2013-09-20,27
2013-09-21,27
2013-09-22,27
2013-09-23,27
2013-09-24,27
2013-09-25,27
2013-09-26,27
2013-09-27,27
2013-09-28,27
2013-09-29,27
2013-09-30,27
2013-10-01,27
2013-10-02,27
2013-10-03,27
2013-10-04,27
2013-10-05,27
2013-10-06,27
2013-10-07,27
2013-10-08,27
2013-10-09,27
2013-10-10,27
2013-10-11,27
2013-10-12,27
2013-10-13,27
2013-10-14,27
2013-10-15,27
2013-10-16,27
2013-10-17,27
2013-10-18,27
2013-10-19,27
2013-10-20,27
2013-10-21,27
2013-10-22,27
2013-10-23,27
2013-10-24,27
2013-10-25,27
2013-10-26,27
2013-10-27,27
2013-10-28,27
2013-10-29,27
2013-10-30,27
2013-10-31,27
2013-11-01,27
2013-11-02,27
2013-11-03,27
2013-11-04,27
2013-11-05,27
2013-11-06,27
2013-11-07,27
2013-11-08,27
2013-11-09,27
2013-11-10,27
2013-11-11,27
2013-11-12,27
2013-11-13,27
2013-11-14,27
2013-11-15,27
2013-11-16,27
2013-11-17,27
2013-11-18,27
2013-11-19,27
2013-11-20,27
2013-11-21,27
2013-11-22,27
2013-11-23,27
2013-11-24,27
2013-11-25,27
2013-11-26,27
2013-11-27,27
2013-11-28,27
2013-11-29,27
2013-11-30,27
2013-12-01,27
2013-12-02,26
2013-12-03,25
2013-12-04,24
2013-12-05,23
2013-12-06,22
2013-12-07,21
2013-12-08,20
2013-12-09,20
2013-12-10,19
2013-12-11,18
2013-12-12,17
2013-12-13,16
2013-12-14,15
2013-12-15,14
2013-12-16,13
2013-12-17,13
2013-12-18,12
2013-12-19,11
2013-12-20,10
2013-12-21,9
2013-12-22,8
2013-12-23,7
2013-12-24,6
2013-12-25,6
2013-12-26,5
2013-12-27,4
2013-12-28,3
2013-12-29,2
2013-12-30,1
2013-12-31,0
