Date,Aratana Therapeutics
2013-04-13,0
2013-04-14,0
2013-04-15,0
2013-04-16,0
2013-04-17,0
2013-04-18,0
2013-04-19,0
2013-04-20,0
2013-04-21,0
2013-04-22,0
2013-04-23,0
2013-04-24,0
2013-04-25,0
2013-04-26,0
2013-04-27,0
2013-04-28,0
2013-04-29,0
2013-04-30,0
2013-05-01,0
2013-05-02,3
2013-05-03,6
2013-05-04,9
2013-05-05,12
2013-05-06,16
2013-05-07,19
2013-05-08,22
2013-05-09,25
2013-05-10,29
2013-05-11,32
2013-05-12,35
2013-05-13,38
2013-05-14,41
2013-05-15,45
2013-05-16,48
2013-05-17,51
2013-05-18,54
2013-05-19,58
2013-05-20,61
2013-05-21,64
2013-05-22,67
2013-05-23,70
2013-05-24,74
2013-05-25,77
2013-05-26,80
2013-05-27,83
2013-05-28,87
2013-05-29,90
2013-05-30,93
2013-05-31,96
2013-06-01,100
2013-06-02,98
2013-06-03,96
2013-06-04,94
2013-06-05,92
2013-06-06,90
2013-06-07,88
2013-06-08,86
2013-06-09,84
2013-06-10,82
2013-06-11,80
2013-06-12,78
2013-06-13,76
2013-06-14,74
2013-06-15,72
2013-06-16,70
2013-06-17,68
2013-06-18,66
2013-06-19,64
2013-06-20,62
2013-06-21,60
2013-06-22,58
2013-06-23,56
2013-06-24,54
2013-06-25,52
2013-06-26,50
2013-06-27,48
2013-06-28,46
2013-06-29,44
2013-06-30,42
2013-07-01,40
2013-07-02,39
2013-07-03,39
2013-07-04,39
2013-07-05,38
2013-07-06,38
2013-07-07,38
2013-07-08,37
2013-07-09,37
2013-07-10,37
2013-07-11,37
2013-07-12,36
2013-07-13,36
2013-07-14,36
2013-07-15,35
2013-07-16,35
2013-07-17,35
2013-07-18,35
2013-07-19,34
2013-07-20,34
2013-07-21,34
2013-07-22,33
2013-07-23,33
2013-07-24,33
2013-07-25,33
2013-07-26,32
2013-07-27,32
2013-07-28,32
2013-07-29,31
2013-07-30,31
2013-07-31,31
2013-08-01,31
2013-08-02,31
2013-08-03,31
2013-08-04,31
2013-08-05,31
2013-08-06,31
2013-08-07,31
2013-08-08,31
2013-08-09,31
2013-08-10,31
2013-08-11,31
2013-08-12,31
2013-08-13,31
2013-08-14,31
2013-08-15,31
2013-08-16,31
2013-08-17,31
2013-08-18,31
2013-08-19,31
2013-08-20,31
2013-08-21,31
2013-08-22,31
2013-08-23,31
2013-08-24,31
2013-08-25,31
2013-08-26,31
2013-08-27,31
2013-08-28,31
2013-08-29,31
2013-08-30,31
2013-08-31,31
2013-09-01,31
2013-09-02,31
2013-09-03,31
2013-09-04,31
2013-09-05,31
2013-09-06,31
2013-09-07,31
2013-09-08,31
2013-09-09,31
2013-09-10,31
2013-09-11,31
2013-09-12,31
2013-09-13,31
2013-09-14,31
2013-09-15,31
2013-09-16,31
2013-09-17,31
2013-09-18,31
2013-09-19,31
2013-09-20,31
2013-09-21,31
2013-09-22,31
2013-09-23,31
2013-09-24,31
2013-09-25,31
2013-09-26,31
2013-09-27,31
2013-09-28,31
2013-09-29,31
2013-09-30,31
2013-10-01,31
2013-10-02,31
2013-10-03,31
2013-10-04,31
2013-10-05,31
2013-10-06,31
2013-10-07,31
2013-10-08,31
2013-10-09,31
2013-10-10,31
2013-10-11,31
2013-10-12,31
2013-10-13,31
2013-10-14,31
2013-10-15,31
2013-10-16,31
2013-10-17,32
2013-10-18,32
2013-10-19,32
2013-10-20,32
2013-10-21,32
2013-10-22,32
2013-10-23,32
2013-10-24,32
2013-10-25,32
2013-10-26,32
2013-10-27,32
2013-10-28,32
2013-10-29,32
2013-10-30,32
2013-10-31,32
2013-11-01,33
2013-11-02,33
2013-11-03,33
2013-11-04,33
2013-11-05,33
2013-11-06,33
2013-11-07,33
2013-11-08,33
2013-11-09,33
2013-11-10,33
2013-11-11,33
2013-11-12,33
2013-11-13,33
2013-11-14,33
2013-11-15,33
2013-11-16,33
2013-11-17,33
2013-11-18,33
2013-11-19,33
2013-11-20,33
2013-11-21,33
2013-11-22,33
2013-11-23,33
2013-11-24,33
2013-11-25,33
2013-11-26,33
2013-11-27,33
2013-11-28,33
2013-11-29,33
2013-11-30,33
2013-12-01,34
2013-12-02,34
2013-12-03,35
2013-12-04,36
2013-12-05,36
2013-12-06,37
2013-12-07,38
2013-12-08,38
2013-12-09,39
2013-12-10,40
2013-12-11,41
2013-12-12,41
2013-12-13,42
2013-12-14,43
2013-12-15,43
2013-12-16,44
2013-12-17,45
2013-12-18,46
2013-12-19,46
2013-12-20,47
2013-12-21,48
2013-12-22,48
2013-12-23,49
2013-12-24,50
2013-12-25,51
2013-12-26,51
2013-12-27,52
2013-12-28,53
2013-12-29,53
2013-12-30,54
2013-12-31,55
2014-01-01,56
2014-01-02,55
2014-01-03,55
2014-01-04,55
2014-01-05,55
2014-01-06,55
2014-01-07,55
2014-01-08,55
2014-01-09,54
2014-01-10,54
2014-01-11,54
2014-01-12,54
2014-01-13,54
2014-01-14,54
2014-01-15,54
2014-01-16,54
2014-01-17,53
2014-01-18,53
2014-01-19,53
2014-01-20,53
2014-01-21,53
2014-01-22,53
2014-01-23,53
2014-01-24,53
2014-01-25,52
2014-01-26,52
2014-01-27,52
2014-01-28,52
2014-01-29,52
2014-01-30,52
2014-01-31,52
2014-02-01,52
