Date,Esperion
2013-05-29,41
2013-05-30,41
2013-05-31,41
2013-06-01,41
2013-06-02,41
2013-06-03,41
2013-06-04,41
2013-06-05,41
2013-06-06,41
2013-06-07,41
2013-06-08,41
2013-06-09,41
2013-06-10,42
2013-06-11,42
2013-06-12,43
2013-06-13,43
2013-06-14,44
2013-06-15,45
2013-06-16,45
2013-06-17,45
2013-06-18,46
2013-06-19,46
2013-06-20,47
2013-06-21,47
2013-06-22,48
2013-06-23,55
2013-06-24,63
2013-06-25,70
2013-06-26,78
2013-06-27,85
2013-06-28,93
2013-06-29,100
2013-06-30,92
2013-07-01,83
2013-07-02,75
2013-07-03,67
2013-07-04,59
2013-07-05,51
2013-07-06,43
2013-07-07,43
2013-07-08,43
2013-07-09,43
2013-07-10,43
2013-07-11,43
2013-07-12,43
2013-07-13,43
2013-07-14,43
2013-07-15,43
2013-07-16,43
2013-07-17,43
2013-07-18,43
2013-07-19,43
2013-07-20,43
2013-07-21,42
2013-07-22,42
2013-07-23,41
2013-07-24,40
2013-07-25,39
2013-07-26,39
2013-07-27,39
2013-07-28,36
2013-08-04,36
2013-08-05,42
2013-08-06,36
2013-08-07,36
2013-08-08,36
2013-08-09,36
2013-08-10,36
2013-08-11,36
2013-08-12,36
2013-08-13,36
2013-08-14,36
2013-08-15,36
2013-08-16,36
2013-08-17,36
2013-08-18,35
2013-08-19,36
2013-08-20,35
2013-08-21,35
2013-08-22,35
2013-08-23,35
2013-08-24,35
2013-08-25,35
2013-08-26,35
2013-08-27,36
2013-08-28,36
2013-08-29,37
2013-08-30,37
2013-08-31,38
2013-09-01,38
2013-09-02,39
2013-09-03,39
2013-09-04,40
2013-09-05,40
2013-09-06,41
2013-09-07,42
2013-09-08,42
2013-09-09,43
2013-09-10,43
2013-09-11,44
2013-09-12,44
2013-09-13,45
2013-09-14,46
2013-09-15,46
2013-09-16,47
2013-09-17,47
2013-09-18,47
2013-09-19,48
2013-09-20,49
2013-09-21,50
2013-09-22,44
2013-09-23,43
2013-09-24,41
2013-09-25,40
2013-09-26,38
2013-09-27,37
2013-09-28,36
2013-09-29,36
2013-09-30,36
2013-10-01,36
2013-10-02,36
2013-10-03,36
2013-10-04,36
2013-10-05,36
2013-10-06,36
2013-10-07,36
2013-10-08,36
2013-10-09,36
2013-10-10,36
2013-10-11,36
2013-10-12,36
2013-10-13,36
2013-10-14,36
2013-10-15,36
2013-10-16,36
2013-10-17,36
2013-10-18,36
2013-10-19,36
2013-10-20,35
2013-10-21,35
2013-10-22,35
2013-10-23,35
2013-10-24,35
2013-10-25,35
2013-10-26,35
2013-10-27,36
2013-11-01,41
2013-11-02,42
2013-11-03,41
2013-11-04,41
2013-11-05,40
2013-11-06,40
2013-11-07,39
2013-11-08,39
2013-11-09,39
2013-11-10,39
2013-11-11,39
2013-11-12,39
2013-11-13,39
2013-11-14,39
2013-11-15,39
2013-11-16,39
2013-11-17,38
2013-11-18,37
2013-11-19,37
2013-11-20,36
2013-11-21,36
2013-11-22,35
2013-11-23,35
2013-11-24,30
2013-11-25,25
2013-11-26,20
2013-11-27,15
2013-11-28,10
2013-11-29,5
2013-11-30,0
2013-12-01,0
2013-12-02,0
2013-12-03,0
2013-12-04,0
2013-12-05,0
2013-12-06,0
2013-12-07,0
2013-12-08,0
2013-12-09,0
2013-12-10,0
2013-12-11,0
2013-12-12,0
2013-12-13,0
2013-12-14,0
2013-12-15,0
2013-12-16,0
2013-12-17,0
2013-12-18,0
2013-12-19,0
2013-12-20,0
2013-12-21,0
2013-12-22,0
2013-12-23,0
2013-12-24,0
2013-12-25,0
2013-12-26,0
2013-12-27,0
2013-12-28,0
2013-12-29,0
2013-12-30,0
2013-12-31,0
2014-01-01,0
2014-01-02,0
2014-01-03,0
2014-01-04,0
2014-01-05,0
2014-01-06,0
2014-01-07,0
2014-01-08,0
2014-01-09,0
2014-01-10,0
2014-01-11,0
2014-01-12,0
2014-01-13,0
2014-01-14,0
2014-01-15,0
2014-01-16,0
2014-01-17,0
2014-01-18,0
2014-01-19,0
2014-01-20,0
2014-01-21,0
2014-01-22,0
2014-01-23,0
2014-01-24,0
2014-01-25,0
2014-01-26,0
2014-01-27,0
2014-01-28,0
2014-01-29,0
2014-01-30,0
2014-01-31,0
