Date,Virtual Radiologic
2007-08-25,0
2007-08-26,0
2007-08-27,0
2007-08-28,0
2007-08-29,0
2007-08-30,0
2007-08-31,0
2007-09-01,0
2007-09-02,0
2007-09-03,1
2007-09-04,2
2007-09-05,3
2007-09-06,4
2007-09-07,5
2007-09-08,6
2007-09-09,7
2007-09-10,8
2007-09-11,9
2007-09-12,10
2007-09-13,11
2007-09-14,12
2007-09-15,13
2007-09-16,14
2007-09-17,14
2007-09-18,15
2007-09-19,16
2007-09-20,17
2007-09-21,18
2007-09-22,19
2007-09-23,20
2007-09-24,21
2007-09-25,22
2007-09-26,23
2007-09-27,24
2007-09-28,25
2007-09-29,26
2007-09-30,27
2007-10-01,28
2007-10-02,30
2007-10-03,32
2007-10-04,34
2007-10-05,37
2007-10-06,39
2007-10-07,41
2007-10-08,44
2007-10-09,46
2007-10-10,48
2007-10-11,51
2007-10-12,53
2007-10-13,55
2007-10-14,58
2007-10-15,60
2007-10-16,62
2007-10-17,65
2007-10-18,67
2007-10-19,69
2007-10-20,72
2007-10-21,74
2007-10-22,76
2007-10-23,79
2007-10-24,81
2007-10-25,83
2007-10-26,86
2007-10-27,88
2007-10-28,90
2007-10-29,93
2007-10-30,95
2007-10-31,97
2007-11-01,100
2007-11-02,98
2007-11-03,96
2007-11-04,94
2007-11-05,92
2007-11-06,91
2007-11-07,89
2007-11-08,87
2007-11-09,85
2007-11-10,83
2007-11-11,82
2007-11-12,80
2007-11-13,78
2007-11-14,76
2007-11-15,74
2007-11-16,73
2007-11-17,71
2007-11-18,69
2007-11-19,67
2007-11-20,65
2007-11-21,64
2007-11-22,62
2007-11-23,60
2007-11-24,58
2007-11-25,56
2007-11-26,55
2007-11-27,53
2007-11-28,51
2007-11-29,49
2007-11-30,47
2007-12-01,46
2007-12-02,45
2007-12-03,45
2007-12-04,45
2007-12-05,44
2007-12-06,44
2007-12-07,44
2007-12-08,44
2007-12-09,43
2007-12-10,43
2007-12-11,43
2007-12-12,43
2007-12-13,42
2007-12-14,42
2007-12-15,42
2007-12-16,42
2007-12-17,41
2007-12-18,41
2007-12-19,41
2007-12-20,41
2007-12-21,40
2007-12-22,40
2007-12-23,40
2007-12-24,40
2007-12-25,39
2007-12-26,39
2007-12-27,39
2007-12-28,39
2007-12-29,38
2007-12-30,38
2007-12-31,38
2008-01-01,38
