Date,Pandora Media
2010-08-01,17
2010-08-02,17
2010-08-03,18
2010-08-04,18
2010-08-05,19
2010-08-06,19
2010-08-07,20
2010-08-08,19
2010-08-09,19
2010-08-10,19
2010-08-11,18
2010-08-12,18
2010-08-13,18
2010-08-14,18
2010-08-15,18
2010-08-16,19
2010-08-17,19
2010-08-18,20
2010-08-19,20
2010-08-20,21
2010-08-21,22
2010-08-22,21
2010-08-23,20
2010-08-24,20
2010-08-25,19
2010-08-26,19
2010-08-27,18
2010-08-28,18
2010-08-29,17
2010-08-30,17
2010-08-31,17
2010-09-01,16
2010-09-02,16
2010-09-03,16
2010-09-04,16
2010-09-05,16
2010-09-06,17
2010-09-07,17
2010-09-08,18
2010-09-09,18
2010-09-10,19
2010-09-11,20
2010-09-12,20
2010-09-13,21
2010-09-14,21
2010-09-15,22
2010-09-16,22
2010-09-17,23
2010-09-18,24
2010-09-19,24
2010-09-20,25
2010-09-21,25
2010-09-22,25
2010-09-23,26
2010-09-24,26
2010-09-25,27
2010-09-26,26
2010-09-27,25
2010-09-28,24
2010-09-29,24
2010-09-30,23
2010-10-01,22
2010-10-02,22
2010-10-03,22
2010-10-04,23
2010-10-05,24
2010-10-06,25
2010-10-07,25
2010-10-08,26
2010-10-09,27
2010-10-10,26
2010-10-11,25
2010-10-12,24
2010-10-13,23
2010-10-14,22
2010-10-15,21
2010-10-16,20
2010-10-17,21
2010-10-18,22
2010-10-19,23
2010-10-20,24
2010-10-21,25
2010-10-22,26
2010-10-23,28
2010-10-24,27
2010-10-25,26
2010-10-26,25
2010-10-27,24
2010-10-28,23
2010-10-29,22
2010-10-30,22
2010-10-31,22
2010-11-07,27
2010-11-08,27
2010-11-09,27
2010-11-10,26
2010-11-11,26
2010-11-12,26
2010-11-13,26
2010-11-14,25
2010-11-15,25
2010-11-16,25
2010-11-17,25
2010-11-18,25
2010-11-19,25
2010-11-20,25
2010-11-21,25
2010-11-22,26
2010-11-23,26
2010-11-24,27
2010-11-25,27
2010-11-26,28
2010-11-27,29
2010-11-28,29
2010-11-29,29
2010-11-30,29
2010-12-01,29
2010-12-02,29
2010-12-03,29
2010-12-04,30
2010-12-05,30
2010-12-06,30
2010-12-07,30
2010-12-08,30
2010-12-09,30
2010-12-10,30
2010-12-11,31
2010-12-12,31
2010-12-13,31
2010-12-14,31
2010-12-15,31
2010-12-16,31
2010-12-17,31
2010-12-18,32
2010-12-19,31
2010-12-20,31
2010-12-21,30
2010-12-22,30
2010-12-23,29
2010-12-24,29
2010-12-25,29
2010-12-26,29
2010-12-27,30
2010-12-28,31
2010-12-29,32
2010-12-30,33
2010-12-31,34
2011-01-01,35
2011-01-02,35
2011-01-03,35
2011-01-04,35
2011-01-05,35
2011-01-06,36
2011-01-07,36
2011-01-08,36
2011-01-09,35
2011-01-10,33
2011-01-11,31
2011-01-12,30
2011-01-13,28
2011-01-14,27
2011-01-15,26
2011-01-16,26
2011-01-17,26
2011-01-18,26
2011-01-19,26
2011-01-20,26
2011-01-21,26
2011-01-22,27
2011-01-23,27
2011-01-24,28
2011-01-25,29
2011-01-26,30
2011-01-27,30
2011-01-28,31
2011-01-29,32
2011-01-30,31
2011-02-01,29
2011-02-02,29
2011-02-03,28
2011-02-04,27
2011-02-05,27
2011-02-06,27
2011-02-07,29
2011-02-08,29
2011-02-09,30
2011-02-10,31
2011-02-11,32
2011-02-12,33
2011-02-13,36
2011-02-14,33
2011-02-15,34
2011-02-16,33
2011-02-17,33
2011-02-18,33
2011-02-19,34
2011-02-20,32
2011-02-21,31
2011-02-22,29
2011-02-23,28
2011-02-24,26
2011-02-25,25
2011-02-26,24
2011-02-27,24
2011-02-28,25
2011-03-01,25
2011-03-02,26
2011-03-03,26
2011-03-04,27
2011-03-05,28
2011-03-06,29
2011-03-07,28
2011-03-08,28
2011-03-09,29
2011-03-10,30
2011-03-11,29
2011-03-12,30
2011-03-13,28
2011-03-14,26
2011-03-15,25
2011-03-16,23
2011-03-17,22
2011-03-18,20
2011-03-19,19
2011-03-20,21
2011-03-21,23
2011-03-22,25
2011-03-23,27
2011-03-24,29
2011-03-25,31
2011-03-26,33
2011-03-27,31
2011-03-28,30
2011-03-29,29
2011-03-30,27
2011-03-31,26
2011-05-01,25
2011-05-02,25
2011-05-03,24
2011-05-04,24
2011-05-05,23
2011-05-06,23
2011-05-07,23
2011-05-08,24
2011-05-09,25
2011-05-10,26
2011-05-11,27
2011-05-12,29
2011-05-13,29
2011-05-14,31
2011-05-15,30
2011-05-16,30
2011-05-17,30
2011-05-18,30
2011-05-19,30
2011-05-20,30
2011-05-21,30
2011-05-22,29
2011-05-23,30
2011-05-24,29
2011-05-25,29
2011-05-26,29
2011-05-27,29
2011-05-28,30
2011-05-29,29
2011-05-30,29
2011-05-31,29
2011-06-01,30
2011-06-02,30
2011-06-03,30
2011-06-04,31
2011-06-05,31
2011-06-06,31
2011-06-07,31
2011-06-08,32
2011-06-09,32
2011-06-10,32
2011-06-11,33
2011-06-12,42
2011-06-13,52
2011-06-14,61
2011-06-15,71
2011-06-16,87
2011-06-17,106
2011-06-18,105
2011-06-19,90
2011-06-20,81
2011-06-21,71
2011-06-22,65
2011-06-23,54
2011-06-24,43
2011-06-25,34
2011-06-26,34
2011-06-27,34
2011-06-28,34
2011-06-29,34
2011-06-30,36
2011-07-01,34
2011-07-02,35
2011-07-03,33
2011-07-04,31
2011-07-05,29
2011-07-06,28
2011-07-07,26
2011-07-08,24
2011-07-09,23
2011-07-10,24
2011-07-11,25
2011-07-12,26
2011-07-13,27
2011-07-14,29
2011-07-15,29
2011-07-16,30
2011-07-17,29
2011-07-18,28
2011-07-19,28
2011-07-20,28
2011-07-21,27
2011-07-22,26
2011-07-23,26
2011-07-24,26
2011-07-25,26
2011-07-26,26
2011-07-27,27
2011-07-28,27
2011-07-29,27
2011-07-30,28
2011-07-31,27
2011-08-01,27
2011-08-02,27
2011-08-03,27
2011-08-04,27
2011-08-05,27
2011-08-06,27
2011-08-07,27
2011-08-08,27
2011-08-09,27
2011-08-10,27
2011-08-11,27
2011-08-12,27
2011-08-13,30
2011-08-14,28
2011-08-15,28
2011-08-16,29
2011-08-17,29
2011-08-18,30
2011-08-19,31
2011-08-20,31
2011-08-21,31
2011-08-22,32
2011-08-23,32
2011-08-24,33
2011-08-25,33
2011-08-26,34
2011-08-27,35
2011-08-28,34
2011-08-29,33
2011-08-30,32
2011-08-31,32
2011-09-01,35
2011-09-02,30
2011-09-03,30
2011-09-04,29
2011-09-05,28
2011-09-06,27
2011-09-07,26
2011-09-08,25
2011-09-09,24
2011-09-10,24
2011-09-11,25
2011-09-12,26
2011-09-13,27
2011-09-14,28
2011-09-15,29
2011-09-16,30
2011-09-17,31
2011-09-18,31
2011-09-19,33
2011-09-20,31
2011-09-21,31
2011-09-22,31
2011-09-23,32
2011-09-24,32
2011-09-25,31
2011-09-26,33
2011-09-27,30
2011-09-28,29
2011-09-29,29
2011-09-30,28
2011-10-01,28
2011-10-02,28
2011-10-03,29
2011-10-04,30
2011-10-05,30
2011-10-06,31
2011-10-07,32
2011-10-08,33
2011-10-09,33
2011-10-10,33
2011-10-11,33
2011-10-12,33
2011-10-13,33
2011-10-14,33
2011-10-15,35
2011-10-16,33
2011-10-17,34
2011-10-18,33
2011-10-19,33
2011-10-20,33
2011-10-21,33
2011-10-22,33
2011-10-23,32
2011-10-24,31
2011-10-25,32
2011-10-26,30
2011-10-27,29
2011-10-28,29
2011-10-29,28
2011-10-30,28
2011-10-31,28
2011-11-01,28
2011-11-02,30
2011-11-03,28
2011-11-04,28
2011-11-05,29
2011-11-06,30
2011-11-07,31
2011-11-08,32
2011-11-09,34
2011-11-10,34
2011-11-11,35
2011-11-12,37
2011-11-13,37
2011-11-14,37
2011-11-15,37
2011-11-16,41
2011-11-17,37
2011-11-18,38
2011-11-19,37
2011-11-20,36
2011-11-21,36
2011-11-22,36
2011-11-23,36
2011-11-24,36
2011-11-25,36
2011-11-26,36
2011-11-27,36
2011-11-28,38
2011-11-29,39
2011-11-30,38
2011-12-01,38
2011-12-02,39
2011-12-03,41
2011-12-04,41
2011-12-05,39
2011-12-06,39
2011-12-07,38
2011-12-08,38
2011-12-09,39
2011-12-10,38
2011-12-11,39
2011-12-12,38
2011-12-13,39
2011-12-14,39
2011-12-15,41
2011-12-16,40
2011-12-17,40
2011-12-18,41
2011-12-19,39
2011-12-20,36
2011-12-21,34
2011-12-22,35
2011-12-23,32
2011-12-24,31
2011-12-25,31
2011-12-26,32
2011-12-27,32
2011-12-28,36
2011-12-29,33
2011-12-30,34
2011-12-31,35
2012-01-01,34
2012-01-02,35
2012-01-03,33
2012-01-04,34
2012-01-05,32
2012-01-06,31
2012-01-07,31
2012-01-08,30
2012-01-09,30
2012-01-10,30
2012-01-11,31
2012-01-12,31
2012-01-13,30
2012-01-14,30
2012-01-15,32
2012-01-16,32
2012-01-17,34
2012-01-18,35
2012-01-19,36
2012-01-20,37
2012-01-21,39
2012-01-22,38
2012-01-23,37
2012-01-24,36
2012-01-25,35
2012-01-26,34
2012-01-27,33
2012-01-28,32
2012-01-29,35
2012-01-30,33
2012-01-31,34
2012-02-01,34
2012-02-02,35
2012-02-03,37
2012-02-04,37
2012-02-05,35
2012-02-06,34
2012-02-07,31
2012-02-08,30
2012-02-09,28
2012-02-10,26
2012-02-11,25
2012-02-12,24
2012-02-13,24
2012-02-14,24
2012-02-15,24
2012-02-16,24
2012-02-17,24
2012-02-18,24
2012-02-19,24
2012-02-20,25
2012-02-21,26
2012-02-22,28
2012-02-23,28
2012-02-24,30
2012-02-25,30
2012-02-26,29
2012-02-27,30
2012-02-28,28
2012-02-29,28
2012-03-01,27
2012-03-02,27
2012-03-03,27
2012-03-04,28
2012-03-05,29
2012-03-06,31
2012-03-07,31
2012-03-08,34
2012-03-09,33
2012-03-10,34
2012-03-11,32
2012-03-12,31
2012-03-13,30
2012-03-14,29
2012-03-15,28
2012-03-16,27
2012-03-17,26
2012-03-18,25
2012-03-19,24
2012-03-20,23
2012-03-21,23
2012-03-22,22
2012-03-23,21
2012-03-24,21
2012-03-25,21
2012-03-26,22
2012-03-27,22
2012-03-28,23
2012-03-29,23
2012-03-30,24
2012-03-31,25
2012-04-01,24
2012-04-02,24
2012-04-03,23
2012-04-04,23
2012-04-05,22
2012-04-06,22
2012-04-07,22
2012-04-08,22
2012-04-09,22
2012-04-10,22
2012-04-11,22
2012-04-12,24
2012-04-13,22
2012-04-14,23
2012-04-15,24
2012-04-16,25
2012-04-17,26
2012-04-18,27
2012-04-19,28
2012-04-20,29
2012-04-21,30
2012-04-22,28
2012-04-23,28
2012-04-24,26
2012-04-25,25
2012-04-26,24
2012-04-27,23
2012-04-28,22
2012-04-29,21
2012-04-30,21
2012-05-01,20
2012-05-02,20
2012-05-03,19
2012-05-04,19
2012-05-05,19
2012-05-06,19
2012-05-07,19
2012-05-08,19
2012-05-09,20
2012-05-10,20
2012-05-11,20
2012-05-12,21
2012-05-13,21
2012-05-14,21
2012-05-15,21
2012-05-16,21
2012-05-17,21
2012-05-18,21
2012-05-19,21
2012-05-20,20
2012-05-21,20
2012-05-22,20
2012-05-23,20
2012-05-24,20
2012-05-25,20
2012-05-26,20
2012-05-27,20
2012-05-28,20
2012-05-29,20
2012-05-30,20
2012-05-31,20
2012-06-01,20
2012-06-02,21
2012-06-03,20
2012-06-04,20
2012-06-05,20
2012-06-06,19
2012-06-07,19
2012-06-08,19
2012-06-09,19
2012-06-10,19
2012-06-11,19
2012-06-12,19
2012-06-13,19
2012-06-14,19
2012-06-15,19
2012-06-16,20
2012-06-17,20
2012-06-18,20
2012-06-19,20
2012-06-20,20
2012-06-21,20
2012-06-22,20
2012-06-23,20
2012-06-24,19
2012-06-25,18
2012-06-26,18
2012-06-27,17
2012-06-28,16
2012-06-29,15
2012-06-30,15
2012-07-01,15
2012-07-02,16
2012-07-03,16
2012-07-04,17
2012-07-05,17
2012-07-06,18
2012-07-07,19
2012-07-08,19
2012-07-09,20
2012-07-10,20
2012-07-11,21
2012-07-12,21
2012-07-13,22
2012-07-14,23
2012-07-15,24
2012-07-16,22
2012-07-17,22
2012-07-18,22
2012-07-19,22
2012-07-20,22
2012-07-21,22
2012-07-22,21
2012-07-23,23
2012-07-24,21
2012-07-25,21
2012-07-26,21
2012-07-27,21
2012-07-28,21
2012-07-29,21
2012-07-30,21
2012-07-31,21
