Date,Venture Financial Group
2008-11-12,0
2008-11-13,0
2008-11-14,0
2008-11-15,0
2008-11-16,0
2008-11-17,0
2008-11-18,0
2008-11-19,0
2008-11-20,0
2008-11-21,0
2008-11-22,0
2008-11-23,0
2008-11-24,0
2008-11-25,0
2008-11-26,0
2008-11-27,0
2008-11-28,0
2008-11-29,0
2008-11-30,0
2008-12-01,0
2008-12-02,0
2008-12-03,0
2008-12-04,0
2008-12-05,0
2008-12-06,0
2008-12-07,0
2008-12-08,0
2008-12-09,0
2008-12-10,0
2008-12-11,0
2008-12-12,0
2008-12-13,0
2008-12-14,0
2008-12-15,0
2008-12-16,0
2008-12-17,0
2008-12-18,0
2008-12-19,0
2008-12-20,0
2008-12-21,0
2008-12-22,0
2008-12-23,0
2008-12-24,0
2008-12-25,0
2008-12-26,0
2008-12-27,0
2008-12-28,0
2008-12-29,0
2008-12-30,0
2008-12-31,0
2009-01-01,0
2009-01-02,0
2009-01-03,0
2009-01-04,0
2009-01-05,0
2009-01-06,0
2009-01-07,0
2009-01-08,0
2009-01-09,0
2009-01-10,0
2009-01-11,0
2009-01-12,0
2009-01-13,0
2009-01-14,0
2009-01-15,0
2009-01-16,0
2009-01-17,0
2009-01-18,0
2009-01-19,0
2009-01-20,0
2009-01-21,0
2009-01-22,0
2009-01-23,0
2009-01-24,0
2009-01-25,0
2009-01-26,0
2009-01-27,0
2009-01-28,0
2009-01-29,0
2009-01-30,0
2009-01-31,0
2009-02-01,0
2009-02-02,3
2009-02-03,7
2009-02-04,10
2009-02-05,14
2009-02-06,17
2009-02-07,21
2009-02-08,25
2009-02-09,28
2009-02-10,32
2009-02-11,35
2009-02-12,39
2009-02-13,42
2009-02-14,46
2009-02-15,50
2009-02-16,53
2009-02-17,57
2009-02-18,60
2009-02-19,64
2009-02-20,67
2009-02-21,71
2009-02-22,75
2009-02-23,78
2009-02-24,82
2009-02-25,85
2009-02-26,89
2009-02-27,92
2009-02-28,96
2009-03-01,100
2009-03-02,99
2009-03-03,99
2009-03-04,99
2009-03-05,99
2009-03-06,99
2009-03-07,99
2009-03-08,99
2009-03-09,99
2009-03-10,99
2009-03-11,99
2009-03-12,99
2009-03-13,99
2009-03-14,99
2009-03-15,99
2009-03-16,99
2009-03-17,98
2009-03-18,98
2009-03-19,98
2009-03-20,98
2009-03-21,98
2009-03-22,98
2009-03-23,98
2009-03-24,98
2009-03-25,98
2009-03-26,98
2009-03-27,98
2009-03-28,98
2009-03-29,98
2009-03-30,98
2009-03-31,98
2009-04-01,98
2009-04-02,98
2009-04-03,98
2009-04-04,98
2009-04-05,98
2009-04-06,98
2009-04-07,98
2009-04-08,98
2009-04-09,98
2009-04-10,98
2009-04-11,98
2009-04-12,98
2009-04-13,98
2009-04-14,98
2009-04-15,98
2009-04-16,98
2009-04-17,98
2009-04-18,98
2009-04-19,98
2009-04-20,98
2009-04-21,98
2009-04-22,98
2009-04-23,98
2009-04-24,98
2009-04-25,98
2009-04-26,98
2009-04-27,98
2009-04-28,98
2009-04-29,98
2009-04-30,98
2009-05-01,98
2009-05-02,98
2009-05-03,98
2009-05-04,98
2009-05-05,98
2009-05-06,98
2009-05-07,98
2009-05-08,98
2009-05-09,98
2009-05-10,98
2009-05-11,98
2009-05-12,98
2009-05-13,98
2009-05-14,98
2009-05-15,98
2009-05-16,98
2009-05-17,98
2009-05-18,98
2009-05-19,98
2009-05-20,98
2009-05-21,98
2009-05-22,98
2009-05-23,98
2009-05-24,98
2009-05-25,98
2009-05-26,98
2009-05-27,98
2009-05-28,98
2009-05-29,98
2009-05-30,98
2009-05-31,98
2009-06-01,98
2009-06-02,98
2009-06-03,98
2009-06-04,98
2009-06-05,98
2009-06-06,98
2009-06-07,98
2009-06-08,98
2009-06-09,98
2009-06-10,98
2009-06-11,98
2009-06-12,98
2009-06-13,98
2009-06-14,98
2009-06-15,98
2009-06-16,98
2009-06-17,98
2009-06-18,98
2009-06-19,98
2009-06-20,98
2009-06-21,98
2009-06-22,98
2009-06-23,98
2009-06-24,98
2009-06-25,98
2009-06-26,98
2009-06-27,98
2009-06-28,98
2009-06-29,98
2009-06-30,98
2009-07-01,98
2009-07-02,97
2009-07-03,97
2009-07-04,97
2009-07-05,97
2009-07-06,97
2009-07-07,97
2009-07-08,97
2009-07-09,97
2009-07-10,97
2009-07-11,97
2009-07-12,96
2009-07-13,96
2009-07-14,96
2009-07-15,96
2009-07-16,96
2009-07-17,96
2009-07-18,96
2009-07-19,96
2009-07-20,96
2009-07-21,96
2009-07-22,95
2009-07-23,95
2009-07-24,95
2009-07-25,95
2009-07-26,95
2009-07-27,95
2009-07-28,95
2009-07-29,95
2009-07-30,95
2009-07-31,95
2009-08-01,95
2009-08-02,95
2009-08-03,95
2009-08-04,95
2009-08-05,95
2009-08-06,95
2009-08-07,95
2009-08-08,95
2009-08-09,95
2009-08-10,95
2009-08-11,95
2009-08-12,95
2009-08-13,95
2009-08-14,95
2009-08-15,95
2009-08-16,95
2009-08-17,95
2009-08-18,95
2009-08-19,95
2009-08-20,95
2009-08-21,95
2009-08-22,95
2009-08-23,95
2009-08-24,95
2009-08-25,95
2009-08-26,95
2009-08-27,95
2009-08-28,95
2009-08-29,95
2009-08-30,95
2009-08-31,95
2009-09-01,95
2009-09-02,95
2009-09-03,95
2009-09-04,95
2009-09-05,95
2009-09-06,95
2009-09-07,95
2009-09-08,95
2009-09-09,95
2009-09-10,95
2009-09-11,95
2009-09-12,95
2009-09-13,95
2009-09-14,95
2009-09-15,95
2009-09-16,95
2009-09-17,95
2009-09-18,95
2009-09-19,95
2009-09-20,95
2009-09-21,95
2009-09-22,95
2009-09-23,95
2009-09-24,95
2009-09-25,95
2009-09-26,95
2009-09-27,95
2009-09-28,95
2009-09-29,95
2009-09-30,95
2009-10-01,95
2009-10-02,95
2009-10-03,95
2009-10-04,95
2009-10-05,95
2009-10-06,95
2009-10-07,95
2009-10-08,95
2009-10-09,95
2009-10-10,95
2009-10-11,95
2009-10-12,95
2009-10-13,95
2009-10-14,95
2009-10-15,95
2009-10-16,95
2009-10-17,95
2009-10-18,95
2009-10-19,95
2009-10-20,95
2009-10-21,95
2009-10-22,95
2009-10-23,95
2009-10-24,95
2009-10-25,95
2009-10-26,95
2009-10-27,95
2009-10-28,95
2009-10-29,95
2009-10-30,95
2009-10-31,95
2009-11-01,95
2009-11-02,94
2009-11-03,94
2009-11-04,93
2009-11-05,93
2009-11-06,92
2009-11-07,92
2009-11-08,91
2009-11-09,91
2009-11-10,90
2009-11-11,90
2009-11-12,89
2009-11-13,89
2009-11-14,88
2009-11-15,88
2009-11-16,87
2009-11-17,87
2009-11-18,86
2009-11-19,86
2009-11-20,85
2009-11-21,85
2009-11-22,84
2009-11-23,84
2009-11-24,83
2009-11-25,83
2009-11-26,82
2009-11-27,82
2009-11-28,81
2009-11-29,81
2009-11-30,80
2009-12-01,80
2009-12-02,79
2009-12-03,79
2009-12-04,79
2009-12-05,79
2009-12-06,79
2009-12-07,79
2009-12-08,79
2009-12-09,79
2009-12-10,79
2009-12-11,79
2009-12-12,79
2009-12-13,79
2009-12-14,79
2009-12-15,79
2009-12-16,79
2009-12-17,78
2009-12-18,78
2009-12-19,78
2009-12-20,78
2009-12-21,78
2009-12-22,78
2009-12-23,78
2009-12-24,78
2009-12-25,78
2009-12-26,78
2009-12-27,78
2009-12-28,78
2009-12-29,78
2009-12-30,78
2009-12-31,78
2010-01-01,78
2010-01-02,78
2010-01-03,78
2010-01-04,78
2010-01-05,78
2010-01-06,78
2010-01-07,78
2010-01-08,78
2010-01-09,78
2010-01-10,78
2010-01-11,78
2010-01-12,78
2010-01-13,78
2010-01-14,78
2010-01-15,78
2010-01-16,78
2010-01-17,78
2010-01-18,78
2010-01-19,78
2010-01-20,78
2010-01-21,78
2010-01-22,78
2010-01-23,78
2010-01-24,78
2010-01-25,78
2010-01-26,78
2010-01-27,78
2010-01-28,78
2010-01-29,78
2010-01-30,78
2010-01-31,78
2010-02-01,78
2010-02-02,77
2010-02-03,77
2010-02-04,77
2010-02-05,77
2010-02-06,76
2010-02-07,76
2010-02-08,76
2010-02-09,76
2010-02-10,76
2010-02-11,75
2010-02-12,75
2010-02-13,75
2010-02-14,75
2010-02-15,75
2010-02-16,74
2010-02-17,74
2010-02-18,74
2010-02-19,74
2010-02-20,73
2010-02-21,73
2010-02-22,73
2010-02-23,73
2010-02-24,73
2010-02-25,72
2010-02-26,72
2010-02-27,72
2010-02-28,72
2010-03-01,72
2010-03-02,72
2010-03-03,72
2010-03-04,72
2010-03-05,72
2010-03-06,72
2010-03-07,72
2010-03-08,72
2010-03-09,72
2010-03-10,72
2010-03-11,72
2010-03-12,72
2010-03-13,72
2010-03-14,72
2010-03-15,72
2010-03-16,72
2010-03-17,72
2010-03-18,72
2010-03-19,72
2010-03-20,72
2010-03-21,72
2010-03-22,72
2010-03-23,72
2010-03-24,72
2010-03-25,72
2010-03-26,72
2010-03-27,72
2010-03-28,72
2010-03-29,72
2010-03-30,72
2010-03-31,72
2010-04-01,72
2010-04-02,69
2010-04-03,67
2010-04-04,64
2010-04-05,62
2010-04-06,60
2010-04-07,57
2010-04-08,55
2010-04-09,52
2010-04-10,50
2010-04-11,48
2010-04-12,45
2010-04-13,43
2010-04-14,40
2010-04-15,38
2010-04-16,36
2010-04-17,33
2010-04-18,31
2010-04-19,28
2010-04-20,26
2010-04-21,24
2010-04-22,21
2010-04-23,19
2010-04-24,16
2010-04-25,14
2010-04-26,12
2010-04-27,9
2010-04-28,7
2010-04-29,4
2010-04-30,2
