Date,Univar
2010-08-07,72
2010-08-08,73
2010-08-09,75
2010-08-10,79
2010-08-11,79
2010-08-12,82
2010-08-13,83
2010-08-14,85
2010-08-15,85
2010-08-16,86
2010-08-17,87
2010-08-18,92
2010-08-19,96
2010-08-20,90
2010-08-21,92
2010-08-22,89
2010-08-23,88
2010-08-24,89
2010-08-25,85
2010-08-26,90
2010-08-27,82
2010-08-28,88
2010-08-29,80
2010-08-30,80
2010-08-31,79
2010-09-01,80
2010-09-02,78
2010-09-03,78
2010-09-04,84
2010-09-05,77
2010-09-06,76
2010-09-07,75
2010-09-08,79
2010-09-09,74
2010-09-10,79
2010-09-11,73
2010-09-12,73
2010-09-13,73
2010-09-14,73
2010-09-15,77
2010-09-16,73
2010-09-17,82
2010-09-18,74
2010-09-19,75
2010-09-20,76
2010-09-21,82
2010-09-22,79
2010-09-23,81
2010-09-24,86
2010-09-25,83
2010-09-26,83
2010-09-27,83
2010-09-28,83
2010-09-29,86
2010-09-30,84
2010-10-01,84
2010-10-02,85
2010-10-03,85
2010-10-04,86
2010-10-05,87
2010-10-06,88
2010-10-07,89
2010-10-08,95
2010-10-09,91
2010-10-10,92
2010-10-11,93
2010-10-12,94
2010-10-13,97
2010-10-14,96
2010-10-15,102
2010-10-16,101
2010-10-17,95
2010-10-18,91
2010-10-19,91
2010-10-20,86
2010-10-21,81
2010-10-22,77
2010-10-23,75
2010-10-24,74
2010-10-25,74
2010-10-26,74
2010-10-27,77
2010-10-28,74
2010-10-29,74
2010-10-30,75
2010-10-31,73
2010-11-01,72
2010-11-02,71
2010-11-03,69
2010-11-04,68
2010-11-05,70
2010-11-06,66
2010-11-07,69
2010-11-08,72
2010-11-09,80
2010-11-10,78
2010-11-11,81
2010-11-12,92
2010-11-13,88
2010-11-14,85
2010-11-15,83
2010-11-16,80
2010-11-17,81
2010-11-18,75
2010-11-19,73
2010-11-20,76
2010-11-21,71
2010-11-22,72
2010-11-23,72
2010-11-24,83
2010-11-25,73
2010-11-26,78
2010-11-27,79
2010-11-28,75
2010-11-29,76
