Date,WCI Communities
2013-06-16,71
2013-06-17,71
2013-06-18,71
2013-06-19,72
2013-06-20,72
2013-06-21,72
2013-06-22,73
2013-06-23,73
2013-06-24,73
2013-06-25,73
2013-06-26,74
2013-06-27,74
2013-06-28,74
2013-06-29,75
2013-06-30,75
2013-07-01,75
2013-07-02,75
2013-07-03,76
2013-07-04,76
2013-07-05,76
2013-07-06,77
2013-07-07,77
2013-07-08,77
2013-07-09,77
2013-07-10,78
2013-07-11,78
2013-07-12,78
2013-07-13,79
2013-07-14,79
2013-07-15,79
2013-07-16,79
2013-07-17,80
2013-07-18,80
2013-07-19,80
2013-07-20,81
2013-07-21,83
2013-07-22,86
2013-07-23,89
2013-07-24,91
2013-07-25,94
2013-07-26,97
2013-07-27,100
2013-07-28,97
2013-07-29,95
2013-07-30,93
2013-07-31,91
2013-08-01,89
2013-08-02,87
2013-08-03,85
2013-08-04,72
2013-08-05,60
2013-08-06,48
2013-08-07,36
2013-08-08,24
2013-08-09,12
2013-08-10,0
2013-08-11,0
2013-08-12,0
2013-08-13,0
2013-08-14,0
2013-08-15,0
2013-08-16,0
2013-08-17,0
2013-08-18,0
2013-08-19,0
2013-08-20,0
2013-08-21,0
2013-08-22,0
2013-08-23,0
2013-08-24,0
2013-08-25,0
2013-08-26,0
2013-08-27,0
2013-08-28,0
2013-08-29,0
2013-08-30,0
2013-08-31,0
2013-09-01,0
2013-09-02,0
2013-09-03,0
2013-09-04,0
2013-09-05,0
2013-09-06,0
2013-09-07,0
2013-09-08,10
2013-09-09,21
2013-09-10,31
2013-09-11,42
2013-09-12,52
2013-09-13,63
2013-09-14,74
2013-09-15,73
2013-09-16,73
2013-09-17,73
2013-09-18,73
2013-09-19,73
2013-09-20,73
2013-09-21,73
2013-09-22,73
2013-09-23,73
2013-09-24,73
2013-09-25,73
2013-09-26,73
2013-09-27,73
2013-09-28,73
2013-09-29,73
2013-09-30,73
2013-10-01,73
2013-10-02,73
2013-10-03,73
2013-10-04,73
2013-10-05,73
2013-10-06,73
2013-10-07,73
2013-10-08,73
2013-10-09,73
2013-10-10,73
2013-10-11,73
2013-10-12,73
2013-10-13,76
2013-10-14,79
2013-10-15,82
2013-10-16,85
2013-10-17,88
2013-10-18,91
2013-10-19,94
2013-10-20,91
2013-10-21,88
2013-10-22,85
2013-10-23,82
2013-10-24,79
2013-10-25,76
2013-10-26,73
2013-10-27,73
2013-10-28,73
2013-10-29,73
2013-10-30,73
2013-10-31,73
2013-11-03,73
2013-11-04,84
2013-11-05,73
2013-11-06,73
2013-11-07,73
2013-11-08,73
2013-11-09,73
2013-11-10,73
2013-11-11,73
2013-11-12,73
2013-11-13,73
2013-11-14,73
2013-11-15,73
2013-11-16,73
2013-11-17,72
2013-11-18,71
2013-11-19,71
2013-11-20,70
2013-11-21,70
2013-11-22,69
2013-11-23,69
2013-11-24,69
2013-11-25,69
2013-11-26,69
2013-11-27,69
2013-11-28,69
2013-11-29,69
2013-11-30,69
2013-12-01,69
2013-12-02,70
2013-12-03,71
2013-12-04,71
2013-12-05,72
2013-12-06,73
2013-12-07,76
2013-12-08,69
2013-12-09,69
2013-12-10,69
2013-12-11,70
2013-12-12,70
2013-12-13,70
2013-12-14,71
2013-12-15,71
2013-12-16,71
2013-12-17,71
2013-12-18,71
2013-12-19,71
2013-12-20,71
2013-12-21,72
2013-12-22,72
2013-12-23,72
2013-12-24,72
2013-12-25,72
2013-12-26,72
2013-12-27,72
2013-12-28,73
2013-12-29,71
2013-12-30,70
2013-12-31,68
2014-01-01,67
2014-01-02,65
2014-01-03,64
2014-01-04,63
2014-01-05,63
2014-01-06,64
2014-01-07,63
2014-01-08,63
2014-01-09,63
2014-01-10,63
2014-01-11,63
2014-01-12,63
2014-01-13,63
2014-01-14,63
2014-01-15,63
2014-01-16,63
2014-01-17,63
2014-01-18,63
2014-01-19,62
2014-01-20,64
2014-01-21,64
2014-01-22,64
2014-01-23,65
2014-01-24,66
2014-01-25,68
2014-01-26,66
2014-02-01,93
2014-02-02,79
2014-02-03,66
2014-02-04,53
2014-02-05,39
2014-02-06,26
2014-02-07,13
2014-02-08,0
2014-02-09,0
2014-02-10,0
2014-02-11,0
2014-02-12,0
2014-02-13,0
2014-02-14,0
2014-02-15,0
2014-02-16,0
2014-02-17,0
2014-02-18,0
2014-02-19,0
2014-02-20,0
2014-02-21,0
2014-02-22,0
2014-02-23,0
2014-02-24,0
2014-02-25,0
2014-02-26,0
2014-02-27,0
2014-02-28,0
