Date,SeaWorld Entertainment
2012-06-09,20
2012-06-10,21
2012-06-11,22
2012-06-12,23
2012-06-13,24
2012-06-14,25
2012-06-15,26
2012-06-16,27
2012-06-17,25
2012-06-18,23
2012-06-19,22
2012-06-20,20
2012-06-21,19
2012-06-22,17
2012-06-23,16
2012-06-24,17
2012-06-25,19
2012-06-26,21
2012-06-27,22
2012-06-28,24
2012-06-29,26
2012-06-30,28
2012-07-01,27
2012-07-02,27
2012-07-03,27
2012-07-04,27
2012-07-05,26
2012-07-06,26
2012-07-07,26
2012-07-08,25
2012-07-09,23
2012-07-10,22
2012-07-11,20
2012-07-12,19
2012-07-13,18
2012-07-14,17
2012-07-15,17
2012-07-16,18
2012-07-17,19
2012-07-18,19
2012-07-19,20
2012-07-20,21
2012-07-21,22
2012-07-22,21
2012-07-23,20
2012-07-24,19
2012-07-25,18
2012-07-26,17
2012-07-27,16
2012-07-28,16
2012-07-29,16
2012-07-30,17
2012-07-31,18
2012-08-01,19
2012-08-02,20
2012-08-03,21
2012-08-04,22
2012-08-05,21
2012-08-06,20
2012-08-07,19
2012-08-08,19
2012-08-09,18
2012-08-10,17
2012-08-11,17
2012-08-12,16
2012-08-13,16
2012-08-14,16
2012-08-15,15
2012-08-16,15
2012-08-17,15
2012-08-18,15
2012-08-19,14
2012-08-20,14
2012-08-21,14
2012-08-22,13
2012-08-23,13
2012-08-24,13
2012-08-25,13
2012-08-26,14
2012-09-02,19
2012-09-03,19
2012-09-04,19
2012-09-05,18
2012-09-06,18
2012-09-07,18
2012-09-08,18
2012-09-09,17
2012-09-10,17
2012-09-11,16
2012-09-12,16
2012-09-13,15
2012-09-14,15
2012-09-15,15
2012-09-16,15
2012-09-17,15
2012-09-18,16
2012-09-19,16
2012-09-20,17
2012-09-21,17
2012-09-22,18
2012-09-23,17
2012-09-24,16
2012-09-25,16
2012-09-26,15
2012-09-27,15
2012-09-28,14
2012-09-29,14
2012-09-30,14
2012-10-01,14
2012-10-02,14
2012-10-03,14
2012-10-04,14
2012-10-05,14
2012-10-06,15
2012-10-07,15
2012-10-08,15
2012-10-09,15
2012-10-10,15
2012-10-11,15
2012-10-12,15
2012-10-13,15
2012-10-14,14
2012-10-15,14
2012-10-16,14
2012-10-17,13
2012-10-18,13
2012-10-19,13
2012-10-20,13
2012-10-21,13
2012-10-22,14
2012-10-23,15
2012-10-24,16
2012-10-25,16
2012-10-26,17
2012-10-27,18
2012-10-28,17
2012-10-29,15
2012-10-30,14
2012-10-31,13
2012-11-01,12
2012-11-02,11
2012-11-03,10
2012-11-04,10
2012-11-05,11
2012-11-06,12
2012-11-07,13
2012-11-08,14
2012-11-09,15
2012-11-10,16
2012-11-11,15
2012-11-12,15
2012-11-13,14
2012-11-14,14
2012-11-15,13
2012-11-16,13
2012-11-17,13
2012-11-18,12
2012-11-19,12
2012-11-20,11
2012-11-21,11
2012-11-22,10
2012-11-23,10
2012-11-24,10
2012-11-25,10
2012-12-02,12
2012-12-03,15
2012-12-04,12
2012-12-05,12
2012-12-06,12
2012-12-07,12
2012-12-08,13
2012-12-09,13
2012-12-10,13
2012-12-11,13
2012-12-12,13
2012-12-13,13
2012-12-14,13
2012-12-15,14
2012-12-16,15
2012-12-17,16
2012-12-18,17
2012-12-19,18
2012-12-20,19
2012-12-21,20
2012-12-22,22
2012-12-23,24
2012-12-24,27
2012-12-25,30
2012-12-26,32
2012-12-27,35
2012-12-28,38
2012-12-29,40
2012-12-30,37
2012-12-31,33
2013-01-01,30
2013-01-02,27
2013-01-03,24
2013-01-04,21
2013-01-05,18
2013-01-06,17
2013-01-07,17
2013-01-08,17
2013-01-09,16
2013-01-10,16
2013-01-11,16
2013-01-12,16
2013-01-13,17
2013-01-14,18
2013-01-15,19
2013-01-16,20
2013-01-17,21
2013-01-18,22
2013-01-19,23
2013-01-20,22
2013-01-21,22
2013-01-22,22
2013-01-23,21
2013-01-24,21
2013-01-25,21
2013-01-26,21
2013-01-27,21
2013-01-28,21
2013-01-29,21
2013-01-30,21
2013-01-31,21
2013-02-01,21
2013-02-02,22
2013-02-03,22
2013-02-04,22
2013-02-05,22
2013-02-06,22
2013-02-07,22
2013-02-08,22
2013-02-09,22
2013-02-10,21
2013-02-11,20
2013-02-12,19
2013-02-13,18
2013-02-14,17
2013-02-15,16
2013-02-16,15
2013-02-17,15
2013-02-18,16
2013-02-19,16
2013-02-20,16
2013-02-21,17
2013-02-22,17
2013-02-23,18
2013-02-24,17
2013-03-03,15
2013-03-04,15
2013-03-05,15
2013-03-06,15
2013-03-07,15
2013-03-08,15
2013-03-09,15
2013-03-10,15
2013-03-11,16
2013-03-12,17
2013-03-13,17
2013-03-14,18
2013-03-15,19
2013-03-16,20
2013-03-17,20
2013-03-18,21
2013-03-19,21
2013-03-20,22
2013-03-21,22
2013-03-22,23
2013-03-23,24
2013-03-24,24
2013-03-25,24
2013-03-26,24
2013-03-27,24
2013-03-28,24
2013-03-29,24
2013-03-30,24
2013-03-31,23
2013-04-01,23
2013-04-02,23
2013-04-03,23
2013-04-04,23
2013-04-05,23
2013-04-06,23
2013-04-07,24
2013-04-08,26
2013-04-09,27
2013-04-10,29
2013-04-11,30
2013-04-12,32
2013-04-13,34
2013-04-14,43
2013-04-15,53
2013-04-16,63
2013-04-17,72
2013-04-18,82
2013-04-19,92
2013-04-20,101
2013-04-21,95
2013-04-22,89
2013-04-23,82
2013-04-24,76
2013-04-25,70
2013-04-26,64
2013-04-27,58
2013-04-28,53
2013-04-29,47
2013-04-30,42
2013-05-01,38
2013-05-02,33
2013-05-03,28
2013-05-04,24
2013-05-05,25
2013-05-06,26
2013-05-07,27
2013-05-08,29
2013-05-09,30
2013-05-10,31
2013-05-11,33
2013-05-12,33
2013-05-13,33
2013-05-14,33
2013-05-15,33
2013-05-16,33
2013-05-17,33
2013-05-18,34
2013-05-19,33
2013-05-20,32
2013-05-21,31
2013-05-22,30
2013-05-23,29
2013-05-24,28
2013-05-25,28
2013-05-26,27
2013-06-02,22
2013-06-03,24
2013-06-04,26
2013-06-05,27
2013-06-06,29
2013-06-07,31
2013-06-08,33
2013-06-09,33
2013-06-10,33
2013-06-11,33
2013-06-12,33
2013-06-13,33
2013-06-14,33
2013-06-15,34
2013-06-16,33
2013-06-17,33
2013-06-18,33
2013-06-19,33
2013-06-20,33
2013-06-21,33
2013-06-22,33
2013-06-23,31
2013-06-24,30
2013-06-25,28
2013-06-26,27
2013-06-27,25
2013-06-28,24
2013-06-29,23
2013-06-30,23
2013-07-01,23
2013-07-02,23
2013-07-03,24
2013-07-04,24
2013-07-05,24
2013-07-06,25
2013-07-07,26
2013-07-08,27
2013-07-09,28
2013-07-10,30
2013-07-11,31
2013-07-12,32
2013-07-13,34
2013-07-14,34
2013-07-15,35
2013-07-16,36
2013-07-17,37
2013-07-18,38
2013-07-19,38
2013-07-20,39
2013-07-21,37
2013-07-22,34
2013-07-23,32
2013-07-24,30
2013-07-25,28
2013-07-26,26
2013-07-27,24
2013-07-28,24
2013-07-29,24
2013-07-30,24
2013-07-31,24
2013-08-01,24
2013-08-02,24
2013-08-03,24
2013-08-04,24
2013-08-05,25
2013-08-06,25
2013-08-07,26
2013-08-08,26
2013-08-09,27
2013-08-10,28
2013-08-11,26
2013-08-12,25
2013-08-13,24
2013-08-14,23
2013-08-15,22
2013-08-16,21
2013-08-17,20
2013-08-18,19
2013-08-19,18
2013-08-20,17
2013-08-21,16
2013-08-22,15
2013-08-23,14
2013-08-24,14
2013-08-25,14
2013-09-01,16
2013-09-02,17
2013-09-03,17
2013-09-04,18
2013-09-05,19
2013-09-06,19
2013-09-07,20
2013-09-08,20
2013-09-09,19
