Date,Professional Diversity Network
2012-04-15,0
2012-04-16,0
2012-04-17,0
2012-04-18,0
2012-04-19,0
2012-04-20,0
2012-04-21,0
2012-04-22,0
2012-04-23,0
2012-04-24,0
2012-04-25,0
2012-04-26,0
2012-04-27,0
2012-04-28,0
2012-04-29,0
2012-04-30,0
2012-05-01,0
2012-05-02,0
2012-05-03,0
2012-05-04,0
2012-05-05,0
2012-05-06,0
2012-05-07,0
2012-05-08,0
2012-05-09,0
2012-05-10,0
2012-05-11,0
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,0
2012-05-17,0
2012-05-18,0
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-22,0
2012-05-23,0
2012-05-24,0
2012-05-25,0
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,0
2012-05-30,0
2012-05-31,0
2012-06-01,0
2012-06-02,0
2012-06-03,0
2012-06-04,0
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,0
2012-06-15,0
2012-06-16,0
2012-06-17,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
2012-06-21,0
2012-06-22,0
2012-06-23,0
2012-06-24,0
2012-06-25,0
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-06-29,0
2012-06-30,0
2012-07-01,0
2012-07-02,0
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,0
2012-07-07,0
2012-07-08,0
2012-07-09,0
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-14,0
2012-07-15,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-23,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-07-30,0
2012-07-31,0
2012-08-01,0
2012-08-02,0
2012-08-03,0
2012-08-04,0
2012-08-05,0
2012-08-06,0
2012-08-07,0
2012-08-08,0
2012-08-09,0
2012-08-10,0
2012-08-11,0
2012-08-12,0
2012-08-13,0
2012-08-14,0
2012-08-15,0
2012-08-16,0
2012-08-17,0
2012-08-18,0
2012-08-19,0
2012-08-20,0
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-25,0
2012-08-26,0
2012-08-27,0
2012-08-28,0
2012-08-29,0
2012-08-30,0
2012-08-31,0
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,0
2012-09-06,0
2012-09-07,0
2012-09-08,0
2012-09-09,0
2012-09-10,0
2012-09-11,0
2012-09-12,0
2012-09-13,0
2012-09-14,0
2012-09-15,0
2012-09-16,0
2012-09-17,0
2012-09-18,0
2012-09-19,0
2012-09-20,0
2012-09-21,0
2012-09-22,0
2012-09-23,0
2012-09-24,0
2012-09-25,0
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-09-29,0
2012-09-30,0
2012-10-01,0
2012-10-02,0
2012-10-03,0
2012-10-04,0
2012-10-05,0
2012-10-06,0
2012-10-07,0
2012-10-08,0
2012-10-09,0
2012-10-10,0
2012-10-11,0
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,0
2012-10-16,0
2012-10-17,0
2012-10-18,0
2012-10-19,0
2012-10-20,0
2012-10-21,0
2012-10-22,0
2012-10-23,0
2012-10-24,0
2012-10-25,0
2012-10-26,0
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,0
2012-11-01,0
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,0
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,0
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,0
2013-01-08,0
2013-01-09,0
2013-01-10,0
2013-01-11,0
2013-01-12,0
2013-01-13,0
2013-01-14,0
2013-01-15,0
2013-01-16,0
2013-01-17,0
2013-01-18,0
2013-01-19,0
2013-01-20,0
2013-01-21,0
2013-01-22,0
2013-01-23,0
2013-01-24,0
2013-01-25,0
2013-01-26,0
2013-01-27,0
2013-01-28,0
2013-01-29,0
2013-01-30,0
2013-01-31,0
2013-02-01,0
2013-02-02,3
2013-02-03,7
2013-02-04,10
2013-02-05,14
2013-02-06,17
2013-02-07,21
2013-02-08,25
2013-02-09,28
2013-02-10,32
2013-02-11,35
2013-02-12,39
2013-02-13,42
2013-02-14,46
2013-02-15,50
2013-02-16,53
2013-02-17,57
2013-02-18,60
2013-02-19,64
2013-02-20,67
2013-02-21,71
2013-02-22,75
2013-02-23,78
2013-02-24,82
2013-02-25,85
2013-02-26,89
2013-02-27,92
2013-02-28,96
2013-03-01,100
2013-03-02,98
2013-03-03,96
2013-03-04,94
2013-03-05,93
2013-03-06,91
2013-03-07,89
2013-03-08,88
2013-03-09,86
2013-03-10,84
2013-03-11,83
2013-03-12,81
2013-03-13,79
2013-03-14,78
2013-03-15,76
2013-03-16,74
2013-03-17,73
2013-03-18,71
2013-03-19,69
2013-03-20,68
2013-03-21,66
2013-03-22,64
2013-03-23,63
2013-03-24,61
2013-03-25,59
2013-03-26,58
2013-03-27,56
2013-03-28,54
2013-03-29,53
2013-03-30,51
2013-03-31,49
2013-04-01,48
2013-04-02,48
2013-04-03,48
2013-04-04,48
2013-04-05,48
2013-04-06,49
2013-04-07,49
2013-04-08,49
2013-04-09,49
2013-04-10,49
2013-04-11,50
2013-04-12,50
2013-04-13,50
2013-04-14,50
2013-04-15,50
2013-04-16,51
2013-04-17,51
2013-04-18,51
2013-04-19,51
2013-04-20,51
2013-04-21,52
2013-04-22,52
2013-04-23,52
2013-04-24,52
2013-04-25,52
2013-04-26,53
2013-04-27,53
2013-04-28,53
2013-04-29,53
2013-04-30,53
2013-05-01,54
2013-05-02,54
2013-05-03,54
2013-05-04,54
2013-05-05,54
2013-05-06,54
2013-05-07,54
2013-05-08,55
2013-05-09,55
2013-05-10,55
2013-05-11,55
2013-05-12,55
2013-05-13,55
2013-05-14,56
2013-05-15,56
2013-05-16,56
2013-05-17,56
2013-05-18,56
2013-05-19,56
2013-05-20,57
2013-05-21,57
2013-05-22,57
2013-05-23,57
2013-05-24,57
2013-05-25,57
2013-05-26,58
2013-05-27,58
2013-05-28,58
2013-05-29,58
2013-05-30,58
2013-05-31,58
2013-06-01,59
2013-06-02,59
2013-06-03,59
2013-06-04,59
2013-06-05,59
2013-06-06,60
2013-06-07,60
2013-06-08,60
2013-06-09,60
2013-06-10,60
2013-06-11,61
2013-06-12,61
2013-06-13,61
2013-06-14,61
2013-06-15,61
2013-06-16,62
2013-06-17,62
2013-06-18,62
2013-06-19,62
2013-06-20,62
2013-06-21,63
2013-06-22,63
2013-06-23,63
2013-06-24,63
2013-06-25,63
2013-06-26,64
2013-06-27,64
2013-06-28,64
2013-06-29,64
2013-06-30,64
2013-07-01,65
2013-07-02,65
2013-07-03,65
2013-07-04,65
2013-07-05,65
2013-07-06,65
2013-07-07,66
2013-07-08,66
2013-07-09,66
2013-07-10,66
2013-07-11,66
2013-07-12,67
2013-07-13,67
2013-07-14,67
2013-07-15,67
2013-07-16,67
2013-07-17,68
2013-07-18,68
2013-07-19,68
2013-07-20,68
2013-07-21,68
2013-07-22,69
2013-07-23,69
2013-07-24,69
2013-07-25,69
2013-07-26,69
2013-07-27,70
2013-07-28,70
2013-07-29,70
2013-07-30,70
2013-07-31,70
2013-08-01,71
2013-08-02,71
2013-08-03,71
2013-08-04,71
2013-08-05,71
2013-08-06,72
2013-08-07,72
2013-08-08,72
2013-08-09,72
2013-08-10,73
2013-08-11,73
2013-08-12,73
2013-08-13,73
2013-08-14,73
2013-08-15,74
2013-08-16,74
2013-08-17,74
2013-08-18,74
2013-08-19,75
2013-08-20,75
2013-08-21,75
2013-08-22,75
2013-08-23,75
2013-08-24,76
2013-08-25,76
2013-08-26,76
2013-08-27,76
2013-08-28,77
2013-08-29,77
2013-08-30,77
2013-08-31,77
2013-09-01,78
2013-09-02,78
2013-09-03,78
2013-09-04,78
2013-09-05,78
2013-09-06,79
2013-09-07,79
2013-09-08,79
2013-09-09,79
2013-09-10,79
2013-09-11,80
2013-09-12,80
2013-09-13,80
2013-09-14,80
2013-09-15,80
2013-09-16,81
2013-09-17,81
2013-09-18,81
2013-09-19,81
2013-09-20,81
2013-09-21,82
2013-09-22,82
2013-09-23,82
2013-09-24,82
2013-09-25,82
2013-09-26,83
2013-09-27,83
2013-09-28,83
2013-09-29,83
2013-09-30,83
2013-10-01,84
2013-10-02,81
2013-10-03,78
2013-10-04,75
2013-10-05,73
2013-10-06,70
2013-10-07,67
2013-10-08,65
2013-10-09,62
2013-10-10,59
2013-10-11,56
2013-10-12,54
2013-10-13,51
2013-10-14,48
2013-10-15,46
2013-10-16,43
2013-10-17,40
2013-10-18,37
2013-10-19,35
2013-10-20,32
2013-10-21,29
2013-10-22,27
2013-10-23,24
2013-10-24,21
2013-10-25,18
2013-10-26,16
2013-10-27,13
2013-10-28,10
2013-10-29,8
2013-10-30,5
2013-10-31,2
