Date,Glu Mobile
2006-12-17,4
2006-12-18,8
2006-12-19,12
2006-12-20,17
2006-12-21,21
2006-12-22,25
2006-12-23,30
2006-12-24,31
2006-12-25,32
2006-12-26,33
2006-12-27,35
2006-12-28,36
2006-12-29,37
2006-12-30,39
2006-12-31,39
2007-01-01,39
2007-01-02,39
2007-01-03,39
2007-01-04,40
2007-01-05,40
2007-01-06,40
2007-01-07,38
2007-01-08,36
2007-01-09,34
2007-01-10,32
2007-01-11,30
2007-01-12,28
2007-01-13,26
2007-01-14,26
2007-01-15,26
2007-01-16,26
2007-01-17,26
2007-01-18,26
2007-01-19,26
2007-01-20,26
2007-01-21,26
2007-01-22,26
2007-01-23,26
2007-01-24,26
2007-01-25,26
2007-01-26,26
2007-01-27,26
2007-01-28,26
2007-01-29,26
2007-01-30,26
2007-01-31,26
2007-02-01,26
2007-02-02,26
2007-02-03,27
2007-02-04,27
2007-02-05,27
2007-02-06,27
2007-02-07,27
2007-02-08,27
2007-02-09,27
2007-02-10,28
2007-02-11,28
2007-02-12,28
2007-02-13,28
2007-02-14,28
2007-02-15,28
2007-02-16,28
2007-02-17,29
2007-02-18,29
2007-02-19,29
2007-02-20,29
2007-02-21,29
2007-02-22,29
2007-02-23,29
2007-02-24,30
2007-02-25,32
2007-03-04,44
2007-03-05,44
2007-03-06,44
2007-03-07,44
2007-03-08,44
2007-03-09,44
2007-03-10,44
2007-03-11,41
2007-03-12,38
2007-03-13,36
2007-03-14,33
2007-03-15,31
2007-03-16,28
2007-03-17,26
2007-03-18,36
2007-03-19,47
2007-03-20,58
2007-03-21,69
2007-03-22,80
2007-03-23,91
2007-03-24,102
2007-03-25,93
2007-03-26,81
2007-03-27,71
2007-03-28,61
2007-03-29,51
2007-03-30,41
2007-03-31,31
2007-04-01,31
2007-04-02,30
2007-04-03,29
2007-04-04,29
2007-04-05,28
2007-04-06,28
2007-04-07,28
2007-04-08,28
2007-04-09,28
2007-04-10,28
2007-04-11,28
2007-04-12,28
2007-04-13,28
2007-04-14,28
2007-04-15,28
2007-04-16,28
2007-04-17,28
2007-04-18,28
2007-04-19,28
2007-04-20,28
2007-04-21,28
2007-04-22,27
2007-04-23,27
2007-04-24,27
2007-04-25,26
2007-04-26,26
2007-04-27,26
2007-04-28,26
2007-04-29,26
2007-04-30,26
2007-05-01,26
2007-05-02,26
2007-05-03,26
2007-05-04,26
2007-05-05,26
2007-05-06,25
2007-05-07,24
2007-05-08,23
2007-05-09,23
2007-05-10,22
2007-05-11,21
2007-05-12,21
2007-05-13,22
2007-05-14,23
2007-05-15,24
2007-05-16,25
2007-05-17,26
2007-05-18,27
2007-05-19,28
2007-05-20,27
2007-05-21,28
2007-05-22,28
2007-05-23,27
2007-05-24,27
2007-05-25,27
2007-05-26,28
2007-05-27,26
2007-06-03,28
2007-06-04,28
2007-06-05,29
2007-06-06,29
2007-06-07,30
2007-06-08,30
2007-06-09,31
2007-06-10,31
2007-06-11,32
2007-06-12,32
2007-06-13,33
2007-06-14,33
2007-06-15,34
2007-06-16,35
2007-06-17,35
2007-06-18,36
2007-06-19,37
2007-06-20,37
2007-06-21,38
2007-06-22,38
2007-06-23,39
2007-06-24,37
2007-06-25,35
2007-06-26,34
2007-06-27,32
2007-06-28,31
2007-06-29,29
2007-06-30,28
2007-07-01,30
2007-07-02,32
2007-07-03,35
2007-07-04,37
2007-07-05,39
2007-07-06,42
2007-07-07,44
2007-07-08,42
2007-07-09,40
2007-07-10,39
2007-07-11,37
2007-07-12,35
2007-07-13,33
2007-07-14,32
2007-07-15,31
2007-07-16,31
2007-07-17,30
2007-07-18,30
2007-07-19,29
2007-07-20,29
2007-07-21,29
2007-07-22,28
2007-07-23,28
2007-07-24,27
2007-07-25,27
2007-07-26,26
2007-07-27,26
2007-07-28,26
2007-07-29,25
2007-07-30,25
2007-07-31,25
2007-08-01,24
2007-08-02,24
2007-08-03,24
2007-08-04,24
2007-08-05,24
2007-08-06,25
2007-08-07,26
2007-08-08,27
2007-08-09,28
2007-08-10,29
2007-08-11,30
2007-08-12,29
2007-08-13,28
2007-08-14,28
2007-08-15,27
2007-08-16,27
2007-08-17,26
2007-08-18,26
2007-08-19,27
2007-08-20,29
2007-08-21,30
2007-08-22,32
2007-08-23,34
2007-08-24,36
2007-08-25,38
2007-08-26,33
2007-09-02,24
2007-09-03,31
2007-09-04,26
2007-09-05,28
2007-09-06,29
2007-09-07,30
2007-09-08,32
2007-09-09,33
2007-09-10,34
2007-09-11,36
2007-09-12,37
2007-09-13,38
2007-09-14,40
2007-09-15,41
2007-09-16,40
2007-09-17,38
2007-09-18,36
2007-09-19,35
2007-09-20,33
2007-09-21,32
2007-09-22,31
2007-09-23,31
2007-09-24,31
2007-09-25,32
2007-09-26,32
2007-09-27,33
2007-09-28,33
2007-09-29,34
2007-09-30,33
2007-10-01,32
2007-10-02,31
2007-10-03,30
2007-10-04,29
2007-10-05,28
2007-10-06,27
2007-10-07,27
2007-10-08,27
2007-10-09,28
2007-10-10,28
2007-10-11,29
2007-10-12,29
2007-10-13,30
2007-10-14,30
2007-10-15,29
2007-10-16,29
2007-10-17,29
2007-10-18,29
2007-10-19,29
2007-10-20,29
2007-10-21,29
2007-10-22,29
2007-10-23,29
2007-10-24,29
2007-10-25,29
2007-10-26,29
2007-10-27,29
2007-10-28,30
2007-10-29,31
2007-10-30,32
2007-10-31,33
2007-11-01,34
2007-11-02,36
2007-11-03,37
2007-11-04,36
2007-11-05,35
2007-11-06,34
2007-11-07,33
2007-11-08,32
2007-11-09,31
2007-11-10,30
2007-11-11,28
2007-11-12,26
2007-11-13,25
2007-11-14,23
2007-11-15,22
2007-11-16,20
2007-11-17,19
2007-11-18,20
2007-11-19,21
2007-11-20,23
2007-11-21,24
2007-11-22,26
2007-11-23,27
2007-11-24,29
2007-11-25,30
2007-12-02,37
2007-12-03,37
2007-12-04,37
2007-12-05,36
2007-12-06,36
2007-12-07,36
2007-12-08,36
2007-12-09,35
2007-12-10,35
2007-12-11,35
2007-12-12,35
2007-12-13,34
2007-12-14,34
2007-12-15,34
2007-12-16,33
2007-12-17,32
2007-12-18,31
2007-12-19,30
2007-12-20,29
2007-12-21,28
2007-12-22,28
2007-12-23,28
2007-12-24,28
2007-12-25,29
2007-12-26,29
2007-12-27,30
2007-12-28,30
2007-12-29,31
2007-12-30,30
2007-12-31,29
2008-01-01,28
2008-01-02,28
2008-01-03,27
2008-01-04,26
2008-01-05,26
2008-01-06,27
2008-01-07,30
2008-01-08,31
2008-01-09,33
2008-01-10,35
2008-01-11,37
2008-01-12,39
2008-01-13,36
2008-01-14,32
2008-01-15,29
2008-01-16,25
2008-01-17,22
2008-01-18,19
2008-01-19,16
2008-01-20,18
2008-01-21,20
2008-01-22,22
2008-01-23,24
2008-01-24,26
2008-01-25,28
2008-01-26,31
2008-01-27,30
2008-01-28,29
2008-01-29,28
2008-01-30,28
2008-01-31,27
2008-02-01,26
2008-02-02,26
2008-02-03,28
2008-02-04,31
2008-02-05,34
2008-02-06,36
2008-02-07,39
2008-02-08,41
2008-02-09,44
2008-02-10,42
2008-02-11,39
2008-02-12,37
2008-02-13,34
2008-02-14,32
2008-02-15,30
2008-02-16,28
2008-02-17,28
2008-02-18,28
2008-02-19,29
2008-02-20,29
2008-02-21,29
2008-02-22,30
2008-02-23,30
2008-02-24,30
2008-03-02,28
2008-03-03,28
2008-03-04,28
2008-03-05,28
2008-03-06,28
2008-03-07,28
2008-03-08,28
2008-03-09,29
2008-03-10,31
2008-03-11,33
2008-03-12,35
2008-03-13,37
2008-03-14,39
2008-03-15,41
2008-03-16,39
2008-03-17,38
2008-03-18,36
2008-03-19,35
2008-03-20,33
2008-03-21,31
2008-03-22,30
2008-03-23,28
2008-03-24,26
2008-03-25,25
2008-03-26,23
2008-03-27,22
2008-03-28,20
2008-03-29,19
2008-03-30,19
2008-03-31,20
2008-04-01,21
2008-04-02,22
2008-04-03,23
2008-04-04,24
2008-04-05,25
2008-04-06,26
2008-04-07,27
2008-04-08,28
2008-04-09,29
2008-04-10,30
2008-04-11,31
2008-04-12,33
2008-04-13,34
2008-04-14,35
2008-04-15,36
2008-04-16,37
2008-04-17,38
2008-04-18,40
2008-04-19,41
2008-04-20,38
2008-04-21,36
2008-04-22,34
2008-04-23,31
2008-04-24,29
2008-04-25,27
2008-04-26,25
2008-04-27,26
2008-04-28,27
2008-04-29,28
2008-04-30,29
2008-05-01,30
2008-05-02,31
2008-05-03,32
2008-05-04,30
2008-05-05,27
2008-05-06,25
2008-05-07,23
2008-05-08,21
2008-05-09,19
2008-05-10,17
2008-05-11,20
2008-05-12,23
2008-05-13,26
2008-05-14,29
2008-05-15,32
2008-05-16,35
2008-05-17,38
2008-05-18,37
2008-05-19,35
2008-05-20,34
2008-05-21,33
2008-05-22,32
2008-05-23,31
2008-05-24,30
2008-05-25,30
