Date,MaxLinear
2009-05-01,0
2009-05-02,0
2009-05-03,0
2009-05-04,0
2009-05-05,0
2009-05-06,0
2009-05-07,0
2009-05-08,0
2009-05-09,0
2009-05-10,0
2009-05-11,0
2009-05-12,0
2009-05-13,0
2009-05-14,0
2009-05-15,0
2009-05-16,0
2009-05-17,0
2009-05-18,0
2009-05-19,0
2009-05-20,0
2009-05-21,0
2009-05-22,0
2009-05-23,0
2009-05-24,0
2009-05-25,0
2009-05-26,0
2009-05-27,0
2009-05-28,0
2009-05-29,0
2009-05-30,0
2009-05-31,0
2009-06-01,0
2009-06-02,0
2009-06-03,0
2009-06-04,0
2009-06-05,0
2009-06-06,0
2009-06-07,0
2009-06-08,0
2009-06-09,0
2009-06-10,0
2009-06-11,0
2009-06-12,0
2009-06-13,0
2009-06-14,1
2009-06-15,2
2009-06-16,3
2009-06-17,4
2009-06-18,5
2009-06-19,6
2009-06-20,7
2009-06-21,6
2009-06-22,5
2009-06-23,4
2009-06-24,3
2009-06-25,2
2009-06-26,1
2009-06-27,0
2009-06-28,0
2009-06-29,0
2009-06-30,0
2009-07-01,0
2009-07-02,0
2009-07-03,0
2009-07-04,0
2009-07-05,0
2009-07-06,0
2009-07-07,0
2009-07-08,0
2009-07-09,0
2009-07-10,0
2009-07-11,0
2009-07-12,0
2009-07-13,0
2009-07-14,0
2009-07-15,0
2009-07-16,0
2009-07-17,0
2009-07-18,0
2009-07-19,0
2009-07-20,0
2009-07-21,0
2009-07-22,0
2009-07-23,0
2009-07-24,0
2009-07-25,0
2009-07-26,0
2009-07-27,0
2009-07-28,0
2009-07-29,0
2009-07-30,0
2009-07-31,0
2009-08-01,0
2009-08-02,0
2009-08-03,0
2009-08-04,0
2009-08-05,0
2009-08-06,0
2009-08-07,0
2009-08-08,0
2009-08-09,0
2009-08-10,0
2009-08-11,0
2009-08-12,0
2009-08-13,0
2009-08-14,0
2009-08-15,0
2009-08-16,0
2009-08-17,0
2009-08-18,0
2009-08-19,0
2009-08-20,0
2009-08-21,0
2009-08-22,0
2009-08-23,1
2009-08-24,2
2009-08-25,3
2009-08-26,4
2009-08-27,5
2009-08-28,6
2009-08-29,7
2009-08-30,7
2009-08-31,7
2009-09-01,7
2009-09-02,7
2009-09-03,7
2009-09-04,7
2009-09-05,7
2009-09-06,7
2009-09-07,7
2009-09-08,7
2009-09-09,7
2009-09-10,7
2009-09-11,7
2009-09-12,7
2009-09-13,7
2009-09-14,7
2009-09-15,7
2009-09-16,7
2009-09-17,7
2009-09-18,7
2009-09-19,7
2009-09-20,7
2009-09-21,7
2009-09-22,7
2009-09-23,7
2009-09-24,7
2009-09-25,7
2009-09-26,7
2009-09-27,7
2009-09-28,7
2009-09-29,7
2009-09-30,7
2009-10-01,7
2009-10-02,7
2009-10-03,7
2009-10-04,7
2009-10-05,7
2009-10-06,7
2009-10-07,7
2009-10-08,7
2009-10-09,7
2009-10-10,7
2009-10-11,7
2009-10-12,7
2009-10-13,7
2009-10-14,7
2009-10-15,7
2009-10-16,7
2009-10-17,7
2009-10-18,7
2009-10-19,7
2009-10-20,7
2009-10-21,8
2009-10-22,8
2009-10-23,8
2009-10-24,9
2009-10-25,9
2009-10-26,9
2009-10-27,9
2009-10-28,9
2009-10-29,9
2009-10-30,9
2009-10-31,9
2009-11-01,9
2009-11-02,9
2009-11-03,9
2009-11-04,9
2009-11-05,9
2009-11-06,9
2009-11-07,10
2009-11-08,10
2009-11-09,11
2009-11-10,11
2009-11-11,11
2009-11-12,12
2009-11-13,12
2009-11-14,13
2009-11-15,12
2009-11-16,11
2009-11-17,10
2009-11-18,9
2009-11-19,8
2009-11-20,7
2009-11-21,6
2009-11-22,6
2009-11-23,6
2009-11-24,6
2009-11-25,6
2009-11-26,6
2009-11-27,6
2009-11-28,6
2009-11-29,6
2009-11-30,6
2009-12-01,6
2009-12-02,6
2009-12-03,6
2009-12-04,6
2009-12-05,6
2009-12-06,6
2009-12-07,6
2009-12-08,6
2009-12-09,6
2009-12-10,6
2009-12-11,6
2009-12-12,6
2009-12-13,6
2009-12-14,6
2009-12-15,6
2009-12-16,6
2009-12-17,6
2009-12-18,6
2009-12-19,6
2009-12-20,6
2009-12-21,6
2009-12-22,6
2009-12-23,6
2009-12-24,6
2009-12-25,6
2009-12-26,7
2009-12-27,7
2009-12-28,7
2009-12-29,7
2009-12-30,7
2009-12-31,7
2010-01-01,7
2010-01-02,8
2010-01-03,8
2010-01-04,8
2010-01-05,8
2010-01-06,8
2010-01-07,8
2010-01-08,8
2010-01-09,8
2010-01-10,8
2010-01-11,8
2010-01-12,8
2010-01-13,8
2010-01-14,8
2010-01-15,8
2010-01-16,9
2010-01-17,8
2010-01-18,8
2010-01-19,8
2010-01-20,7
2010-01-21,7
2010-01-22,7
2010-01-23,7
2010-01-24,7
2010-01-25,7
2010-01-26,7
2010-01-27,7
2010-01-28,7
2010-01-29,7
2010-01-30,7
2010-01-31,6
2010-02-07,6
2010-02-08,6
2010-02-09,6
2010-02-10,6
2010-02-11,6
2010-02-12,6
2010-02-13,6
2010-02-14,6
2010-02-15,6
2010-02-16,6
2010-02-17,6
2010-02-18,6
2010-02-19,6
2010-02-20,6
2010-02-21,6
2010-02-22,7
2010-02-23,6
2010-02-24,6
2010-02-25,6
2010-02-26,6
2010-02-27,6
2010-02-28,6
2010-03-01,6
2010-03-02,6
2010-03-03,7
2010-03-04,7
2010-03-05,7
2010-03-06,8
2010-03-07,9
2010-03-08,11
2010-03-09,12
2010-03-10,14
2010-03-11,16
2010-03-12,17
2010-03-13,19
2010-03-14,18
2010-03-15,16
2010-03-16,15
2010-03-17,14
2010-03-18,13
2010-03-19,12
2010-03-20,11
2010-03-21,23
2010-03-22,37
2010-03-23,50
2010-03-24,63
2010-03-25,77
2010-03-26,91
2010-03-27,105
2010-03-28,95
2010-05-02,8
2010-05-03,8
2010-05-04,8
2010-05-05,9
2010-05-06,9
2010-05-07,9
2010-05-08,10
2010-05-09,10
2010-05-10,10
2010-05-11,10
2010-05-12,10
2010-05-13,10
2010-05-14,10
2010-05-15,10
2010-05-16,10
2010-05-17,10
2010-05-18,10
2010-05-19,10
2010-05-20,10
2010-05-21,10
2010-05-22,10
2010-05-23,9
2010-05-24,8
2010-05-25,8
2010-05-26,7
2010-05-27,7
2010-05-28,6
2010-05-29,6
2010-05-30,6
2010-05-31,6
2010-06-01,7
2010-06-02,7
2010-06-03,8
2010-06-04,8
2010-06-05,9
2010-06-06,9
2010-06-07,9
2010-06-08,9
2010-06-09,9
2010-06-10,9
2010-06-11,9
2010-06-12,10
2010-06-13,9
2010-06-14,9
2010-06-15,8
2010-06-16,8
2010-06-17,7
2010-06-18,7
2010-06-19,7
2010-06-20,7
2010-06-21,7
2010-06-22,7
2010-06-23,7
2010-06-24,7
2010-06-25,7
2010-06-26,7
2010-06-27,7
2010-06-28,7
2010-06-29,7
2010-06-30,7
2010-07-01,7
2010-07-02,7
2010-07-03,7
2010-07-04,7
2010-07-05,7
2010-07-06,7
2010-07-07,7
2010-07-08,7
2010-07-09,7
2010-07-10,7
2010-07-11,6
2010-07-12,6
2010-07-13,6
2010-07-14,6
2010-07-15,6
2010-07-16,6
2010-07-17,6
