Date,ExOne Company
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,2
2013-01-03,5
2013-01-04,7
2013-01-05,10
2013-01-06,13
2013-01-07,15
2013-01-08,18
2013-01-09,21
2013-01-10,23
2013-01-11,26
2013-01-12,29
2013-01-13,31
2013-01-14,34
2013-01-15,37
2013-01-16,39
2013-01-17,42
2013-01-18,44
2013-01-19,47
2013-01-20,50
2013-01-21,52
2013-01-22,55
2013-01-23,58
2013-01-24,60
2013-01-25,63
2013-01-26,66
2013-01-27,68
2013-01-28,71
2013-01-29,74
2013-01-30,76
2013-01-31,79
2013-02-01,82
2013-02-02,80
2013-02-03,79
2013-02-04,77
2013-02-05,76
2013-02-06,74
2013-02-07,73
2013-02-08,72
2013-02-09,70
2013-02-10,69
2013-02-11,67
2013-02-12,66
2013-02-13,64
2013-02-14,63
2013-02-15,62
2013-02-16,60
2013-02-17,59
2013-02-18,57
2013-02-19,56
2013-02-20,54
2013-02-21,53
2013-02-22,52
2013-02-23,50
2013-02-24,49
2013-02-25,47
2013-02-26,46
2013-02-27,44
2013-02-28,43
2013-03-01,42
2013-03-02,42
2013-03-03,42
2013-03-04,42
2013-03-05,42
2013-03-06,42
2013-03-07,42
2013-03-08,42
2013-03-09,42
2013-03-10,42
2013-03-11,42
2013-03-12,42
2013-03-13,42
2013-03-14,42
2013-03-15,42
2013-03-16,42
2013-03-17,42
2013-03-18,42
2013-03-19,42
2013-03-20,42
2013-03-21,42
2013-03-22,42
2013-03-23,42
2013-03-24,42
2013-03-25,42
2013-03-26,42
2013-03-27,42
2013-03-28,42
2013-03-29,42
2013-03-30,42
2013-03-31,42
2013-04-01,43
2013-04-02,43
2013-04-03,44
2013-04-04,45
2013-04-05,45
2013-04-06,46
2013-04-07,47
2013-04-08,48
2013-04-09,48
2013-04-10,49
2013-04-11,50
2013-04-12,51
2013-04-13,51
2013-04-14,52
2013-04-15,53
2013-04-16,54
2013-04-17,54
2013-04-18,55
2013-04-19,56
2013-04-20,56
2013-04-21,57
2013-04-22,58
2013-04-23,59
2013-04-24,59
2013-04-25,60
2013-04-26,61
2013-04-27,62
2013-04-28,62
2013-04-29,63
2013-04-30,64
2013-05-01,65
2013-05-02,65
2013-05-03,65
2013-05-04,65
2013-05-05,65
2013-05-06,65
2013-05-07,65
2013-05-08,65
2013-05-09,65
2013-05-10,65
2013-05-11,65
2013-05-12,66
2013-05-13,66
2013-05-14,66
2013-05-15,66
2013-05-16,66
2013-05-17,66
2013-05-18,66
2013-05-19,66
2013-05-20,66
2013-05-21,66
2013-05-22,67
2013-05-23,67
2013-05-24,67
2013-05-25,67
2013-05-26,67
2013-05-27,67
2013-05-28,67
2013-05-29,67
2013-05-30,67
2013-05-31,67
2013-06-01,68
2013-06-02,67
2013-06-03,66
2013-06-04,65
2013-06-05,64
2013-06-06,63
2013-06-07,62
2013-06-08,61
2013-06-09,61
2013-06-10,60
2013-06-11,59
2013-06-12,58
2013-06-13,57
2013-06-14,56
2013-06-15,55
2013-06-16,55
2013-06-17,54
2013-06-18,53
2013-06-19,52
2013-06-20,51
2013-06-21,50
2013-06-22,49
2013-06-23,48
2013-06-24,48
2013-06-25,47
2013-06-26,46
2013-06-27,45
2013-06-28,44
2013-06-29,43
2013-06-30,42
2013-07-01,42
2013-07-02,43
2013-07-03,45
2013-07-04,47
2013-07-05,49
2013-07-06,51
2013-07-07,53
2013-07-08,55
2013-07-09,56
2013-07-10,58
2013-07-11,60
2013-07-12,62
2013-07-13,64
2013-07-14,66
2013-07-15,68
2013-07-16,70
2013-07-17,71
2013-07-18,73
2013-07-19,75
2013-07-20,77
2013-07-21,79
2013-07-22,81
2013-07-23,83
2013-07-24,85
2013-07-25,86
2013-07-26,88
2013-07-27,90
2013-07-28,92
2013-07-29,94
2013-07-30,96
2013-07-31,98
2013-08-01,100
2013-08-02,98
2013-08-03,97
2013-08-04,96
2013-08-05,94
2013-08-06,93
2013-08-07,92
2013-08-08,90
2013-08-09,89
2013-08-10,88
2013-08-11,87
2013-08-12,85
2013-08-13,84
2013-08-14,83
2013-08-15,81
2013-08-16,80
2013-08-17,79
2013-08-18,78
2013-08-19,76
2013-08-20,75
2013-08-21,74
2013-08-22,72
2013-08-23,71
2013-08-24,70
2013-08-25,69
2013-08-26,67
2013-08-27,66
2013-08-28,65
2013-08-29,63
2013-08-30,62
2013-08-31,61
2013-09-01,60
2013-09-02,60
2013-09-03,60
2013-09-04,60
2013-09-05,61
2013-09-06,61
2013-09-07,61
2013-09-08,61
2013-09-09,62
2013-09-10,62
2013-09-11,62
2013-09-12,62
2013-09-13,63
2013-09-14,63
2013-09-15,63
2013-09-16,64
2013-09-17,64
2013-09-18,64
2013-09-19,64
2013-09-20,65
2013-09-21,65
2013-09-22,65
2013-09-23,65
2013-09-24,66
2013-09-25,66
2013-09-26,66
2013-09-27,66
2013-09-28,67
2013-09-29,67
2013-09-30,67
2013-10-01,68
2013-10-02,69
2013-10-03,70
2013-10-04,71
2013-10-05,72
2013-10-06,73
2013-10-07,74
2013-10-08,75
2013-10-09,76
2013-10-10,77
2013-10-11,78
2013-10-12,79
2013-10-13,80
2013-10-14,81
2013-10-15,82
2013-10-16,83
2013-10-17,84
2013-10-18,85
2013-10-19,86
2013-10-20,87
2013-10-21,88
2013-10-22,89
2013-10-23,90
2013-10-24,91
2013-10-25,92
2013-10-26,93
2013-10-27,94
2013-10-28,95
2013-10-29,96
2013-10-30,97
2013-10-31,98
2013-11-01,99
2013-11-02,97
2013-11-03,95
2013-11-04,93
2013-11-05,91
2013-11-06,89
2013-11-07,87
2013-11-08,85
2013-11-09,83
2013-11-10,81
2013-11-11,79
2013-11-12,77
2013-11-13,75
2013-11-14,73
2013-11-15,71
2013-11-16,69
2013-11-17,67
2013-11-18,65
2013-11-19,63
2013-11-20,61
2013-11-21,59
2013-11-22,57
2013-11-23,55
2013-11-24,53
2013-11-25,51
2013-11-26,49
2013-11-27,47
2013-11-28,45
2013-11-29,43
2013-11-30,41
2013-12-01,40
2013-12-02,41
2013-12-03,42
2013-12-04,43
2013-12-05,44
2013-12-06,45
2013-12-07,46
2013-12-08,47
2013-12-09,49
2013-12-10,50
2013-12-11,51
2013-12-12,52
2013-12-13,53
2013-12-14,54
2013-12-15,55
2013-12-16,56
2013-12-17,58
2013-12-18,59
2013-12-19,60
2013-12-20,61
2013-12-21,62
2013-12-22,63
2013-12-23,64
2013-12-24,65
2013-12-25,67
2013-12-26,68
2013-12-27,69
2013-12-28,70
2013-12-29,71
2013-12-30,72
2013-12-31,73
2014-01-01,75
2014-01-02,72
2014-01-03,70
2014-01-04,67
2014-01-05,65
2014-01-06,62
2014-01-07,60
2014-01-08,58
2014-01-09,55
2014-01-10,53
2014-01-11,50
2014-01-12,48
2014-01-13,45
2014-01-14,43
2014-01-15,41
2014-01-16,38
2014-01-17,36
2014-01-18,33
2014-01-19,31
2014-01-20,29
2014-01-21,26
2014-01-22,24
2014-01-23,21
2014-01-24,19
2014-01-25,16
2014-01-26,14
2014-01-27,12
2014-01-28,9
2014-01-29,7
2014-01-30,4
2014-01-31,2
