Date,Metastorm
2009-10-13,52
2009-10-14,52
2009-10-15,51
2009-10-16,51
2009-10-17,51
2009-10-18,51
2009-10-19,50
2009-10-20,50
2009-10-21,50
2009-10-22,50
2009-10-23,50
2009-10-24,49
2009-10-25,49
2009-10-26,49
2009-10-27,49
2009-10-28,48
2009-10-29,48
2009-10-30,48
2009-10-31,48
2009-11-01,48
2009-11-02,48
2009-11-03,48
2009-11-04,48
2009-11-05,48
2009-11-06,48
2009-11-07,48
2009-11-08,48
2009-11-09,48
2009-11-10,48
2009-11-11,48
2009-11-12,48
2009-11-13,48
2009-11-14,48
2009-11-15,48
2009-11-16,49
2009-11-17,49
2009-11-18,49
2009-11-19,49
2009-11-20,49
2009-11-21,49
2009-11-22,49
2009-11-23,49
2009-11-24,49
2009-11-25,49
2009-11-26,49
2009-11-27,49
2009-11-28,49
2009-11-29,49
2009-11-30,49
2009-12-01,50
2009-12-02,50
2009-12-03,51
2009-12-04,51
2009-12-05,52
2009-12-06,52
2009-12-07,53
2009-12-08,54
2009-12-09,54
2009-12-10,55
2009-12-11,55
2009-12-12,56
2009-12-13,56
2009-12-14,57
2009-12-15,58
2009-12-16,58
2009-12-17,59
2009-12-18,59
2009-12-19,60
2009-12-20,61
2009-12-21,61
2009-12-22,62
2009-12-23,62
2009-12-24,63
2009-12-25,63
2009-12-26,64
2009-12-27,65
2009-12-28,65
2009-12-29,66
2009-12-30,66
2009-12-31,67
2010-01-01,68
2010-01-02,69
2010-01-03,70
2010-01-04,71
2010-01-05,72
2010-01-06,73
2010-01-07,74
2010-01-08,75
2010-01-09,76
2010-01-10,77
2010-01-11,78
2010-01-12,79
2010-01-13,80
2010-01-14,81
2010-01-15,82
2010-01-16,83
2010-01-17,84
2010-01-18,85
2010-01-19,86
2010-01-20,87
2010-01-21,88
2010-01-22,89
2010-01-23,90
2010-01-24,91
2010-01-25,92
2010-01-26,93
2010-01-27,94
2010-01-28,95
2010-01-29,96
2010-01-30,97
2010-01-31,98
2010-02-01,100
2010-02-02,98
2010-02-03,97
2010-02-04,95
2010-02-05,94
2010-02-06,93
2010-02-07,91
2010-02-08,90
2010-02-09,88
2010-02-10,87
2010-02-11,86
2010-02-12,84
2010-02-13,83
2010-02-14,81
2010-02-15,80
2010-02-16,79
2010-02-17,77
2010-02-18,76
2010-02-19,74
2010-02-20,73
2010-02-21,72
2010-02-22,70
2010-02-23,69
2010-02-24,67
2010-02-25,66
2010-02-26,65
2010-02-27,63
2010-02-28,62
2010-03-01,61
2010-03-02,62
2010-03-03,63
2010-03-04,64
2010-03-05,66
2010-03-06,67
2010-03-07,68
2010-03-08,69
2010-03-09,71
2010-03-10,72
2010-03-11,73
2010-03-12,74
2010-03-13,76
2010-03-14,77
2010-03-15,78
2010-03-16,79
2010-03-17,81
2010-03-18,82
2010-03-19,83
2010-03-20,84
2010-03-21,86
2010-03-22,87
2010-03-23,88
2010-03-24,89
2010-03-25,91
2010-03-26,92
2010-03-27,93
2010-03-28,94
2010-03-29,96
2010-03-30,97
2010-03-31,98
2010-04-01,100
