Date,Fortegra Financial
2010-07-12,0
2010-07-13,0
2010-07-14,0
2010-07-15,0
2010-07-16,0
2010-07-17,0
2010-07-18,0
2010-07-19,0
2010-07-20,0
2010-07-21,0
2010-07-22,0
2010-07-23,0
2010-07-24,0
2010-07-25,0
2010-07-26,0
2010-07-27,0
2010-07-28,0
2010-07-29,0
2010-07-30,0
2010-07-31,0
2010-08-01,0
2010-08-02,0
2010-08-03,0
2010-08-04,0
2010-08-05,0
2010-08-06,0
2010-08-07,0
2010-08-08,0
2010-08-09,0
2010-08-10,0
2010-08-11,0
2010-08-12,0
2010-08-13,0
2010-08-14,0
2010-08-15,0
2010-08-16,0
2010-08-17,0
2010-08-18,0
2010-08-19,0
2010-08-20,0
2010-08-21,0
2010-08-22,0
2010-08-23,0
2010-08-24,0
2010-08-25,0
2010-08-26,0
2010-08-27,0
2010-08-28,0
2010-08-29,0
2010-08-30,0
2010-08-31,0
2010-09-01,0
2010-09-02,1
2010-09-03,3
2010-09-04,5
2010-09-05,7
2010-09-06,9
2010-09-07,11
2010-09-08,13
2010-09-09,15
2010-09-10,17
2010-09-11,19
2010-09-12,21
2010-09-13,23
2010-09-14,25
2010-09-15,27
2010-09-16,29
2010-09-17,30
2010-09-18,32
2010-09-19,34
2010-09-20,36
2010-09-21,38
2010-09-22,40
2010-09-23,42
2010-09-24,44
2010-09-25,46
2010-09-26,48
2010-09-27,50
2010-09-28,52
2010-09-29,54
2010-09-30,56
2010-10-01,58
2010-10-02,58
2010-10-03,59
2010-10-04,60
2010-10-05,60
2010-10-06,61
2010-10-07,62
2010-10-08,62
2010-10-09,63
2010-10-10,64
2010-10-11,64
2010-10-12,65
2010-10-13,66
2010-10-14,66
2010-10-15,67
2010-10-16,68
2010-10-17,68
2010-10-18,69
2010-10-19,70
2010-10-20,70
2010-10-21,71
2010-10-22,72
2010-10-23,72
2010-10-24,73
2010-10-25,74
2010-10-26,74
2010-10-27,75
2010-10-28,76
2010-10-29,76
2010-10-30,77
2010-10-31,78
2010-11-01,79
2010-11-02,79
2010-11-03,80
2010-11-04,81
2010-11-05,81
2010-11-06,82
2010-11-07,83
2010-11-08,83
2010-11-09,84
2010-11-10,85
2010-11-11,86
2010-11-12,86
2010-11-13,87
2010-11-14,88
2010-11-15,88
2010-11-16,89
2010-11-17,90
2010-11-18,90
2010-11-19,91
2010-11-20,92
2010-11-21,93
2010-11-22,93
2010-11-23,94
2010-11-24,95
2010-11-25,95
2010-11-26,96
2010-11-27,97
2010-11-28,97
2010-11-29,98
2010-11-30,99
2010-12-01,100
2010-12-02,98
2010-12-03,97
2010-12-04,95
2010-12-05,94
2010-12-06,93
2010-12-07,91
2010-12-08,90
2010-12-09,89
2010-12-10,87
2010-12-11,86
2010-12-12,85
2010-12-13,83
2010-12-14,82
2010-12-15,81
2010-12-16,79
2010-12-17,78
2010-12-18,76
2010-12-19,75
2010-12-20,74
2010-12-21,72
2010-12-22,71
2010-12-23,70
2010-12-24,68
2010-12-25,67
2010-12-26,66
2010-12-27,64
2010-12-28,63
2010-12-29,62
2010-12-30,60
2010-12-31,59
2011-01-01,58
2011-01-02,57
2011-01-03,57
2011-01-04,57
2011-01-05,57
2011-01-06,56
2011-01-07,56
2011-01-08,56
2011-01-09,56
2011-01-10,55
2011-01-11,55
2011-01-12,55
2011-01-13,55
2011-01-14,55
2011-01-15,54
2011-01-16,54
2011-01-17,54
2011-01-18,54
2011-01-19,53
2011-01-20,53
2011-01-21,53
2011-01-22,53
2011-01-23,53
2011-01-24,52
2011-01-25,52
2011-01-26,52
2011-01-27,52
2011-01-28,51
2011-01-29,51
2011-01-30,51
2011-01-31,51
2011-02-01,51
2011-02-02,51
2011-02-03,51
2011-02-04,51
2011-02-05,52
2011-02-06,52
2011-02-07,52
2011-02-08,53
2011-02-09,53
2011-02-10,53
2011-02-11,53
2011-02-12,54
2011-02-13,54
2011-02-14,54
2011-02-15,55
2011-02-16,55
2011-02-17,55
2011-02-18,55
2011-02-19,56
2011-02-20,56
2011-02-21,56
2011-02-22,57
2011-02-23,57
2011-02-24,57
2011-02-25,57
2011-02-26,58
2011-02-27,58
2011-02-28,58
2011-03-01,59
2011-03-02,59
2011-03-03,59
2011-03-04,59
2011-03-05,59
2011-03-06,59
2011-03-07,59
2011-03-08,59
2011-03-09,59
2011-03-10,59
2011-03-11,59
2011-03-12,59
2011-03-13,59
2011-03-14,59
2011-03-15,59
2011-03-16,59
2011-03-17,59
2011-03-18,59
2011-03-19,59
2011-03-20,59
2011-03-21,59
2011-03-22,59
2011-03-23,59
2011-03-24,59
2011-03-25,59
2011-03-26,59
2011-03-27,59
2011-03-28,59
2011-03-29,59
2011-03-30,59
2011-03-31,59
2011-04-01,60
2011-04-02,60
2011-04-03,60
2011-04-04,60
2011-04-05,60
2011-04-06,60
2011-04-07,60
2011-04-08,60
2011-04-09,60
2011-04-10,60
2011-04-11,60
2011-04-12,60
2011-04-13,60
2011-04-14,60
2011-04-15,60
2011-04-16,61
2011-04-17,61
2011-04-18,61
2011-04-19,61
2011-04-20,61
2011-04-21,61
2011-04-22,61
2011-04-23,61
2011-04-24,61
2011-04-25,61
2011-04-26,61
2011-04-27,61
2011-04-28,61
2011-04-29,61
2011-04-30,61
2011-05-01,62
2011-05-02,62
2011-05-03,62
2011-05-04,62
2011-05-05,62
2011-05-06,62
2011-05-07,62
2011-05-08,62
2011-05-09,62
2011-05-10,62
2011-05-11,62
2011-05-12,62
2011-05-13,62
2011-05-14,62
2011-05-15,62
2011-05-16,62
2011-05-17,62
2011-05-18,62
2011-05-19,62
2011-05-20,62
2011-05-21,62
2011-05-22,62
2011-05-23,62
2011-05-24,62
2011-05-25,62
2011-05-26,62
2011-05-27,62
2011-05-28,62
2011-05-29,62
2011-05-30,62
2011-05-31,62
2011-06-01,63
2011-06-02,63
2011-06-03,63
2011-06-04,63
2011-06-05,63
2011-06-06,63
2011-06-07,63
2011-06-08,63
2011-06-09,63
2011-06-10,63
2011-06-11,63
2011-06-12,63
2011-06-13,63
2011-06-14,63
2011-06-15,63
2011-06-16,63
2011-06-17,63
2011-06-18,63
2011-06-19,63
2011-06-20,63
2011-06-21,63
2011-06-22,63
2011-06-23,63
2011-06-24,63
2011-06-25,63
2011-06-26,63
2011-06-27,63
2011-06-28,63
2011-06-29,63
2011-06-30,63
2011-07-01,64
2011-07-02,64
2011-07-03,64
2011-07-04,64
2011-07-05,64
2011-07-06,64
2011-07-07,64
2011-07-08,64
2011-07-09,64
2011-07-10,64
2011-07-11,64
2011-07-12,64
2011-07-13,64
2011-07-14,64
2011-07-15,64
2011-07-16,64
2011-07-17,64
2011-07-18,64
2011-07-19,64
2011-07-20,64
2011-07-21,64
2011-07-22,64
2011-07-23,64
2011-07-24,64
2011-07-25,64
2011-07-26,64
2011-07-27,64
2011-07-28,64
2011-07-29,64
2011-07-30,64
2011-07-31,64
2011-08-01,65
2011-08-02,64
2011-08-03,64
2011-08-04,64
2011-08-05,64
2011-08-06,64
2011-08-07,64
2011-08-08,64
2011-08-09,64
2011-08-10,64
2011-08-11,64
2011-08-12,64
2011-08-13,64
2011-08-14,64
2011-08-15,64
2011-08-16,64
2011-08-17,64
2011-08-18,64
2011-08-19,64
2011-08-20,64
2011-08-21,64
2011-08-22,64
2011-08-23,64
2011-08-24,64
2011-08-25,64
2011-08-26,64
2011-08-27,64
2011-08-28,64
2011-08-29,64
2011-08-30,64
2011-08-31,64
2011-09-01,64
2011-09-02,63
2011-09-03,62
2011-09-04,62
2011-09-05,61
2011-09-06,61
2011-09-07,60
2011-09-08,60
2011-09-09,59
2011-09-10,59
2011-09-11,58
2011-09-12,58
2011-09-13,57
2011-09-14,57
2011-09-15,56
2011-09-16,56
2011-09-17,55
2011-09-18,54
2011-09-19,54
2011-09-20,53
2011-09-21,53
2011-09-22,52
2011-09-23,52
2011-09-24,51
2011-09-25,51
2011-09-26,50
2011-09-27,50
2011-09-28,49
2011-09-29,49
2011-09-30,48
2011-10-01,48
2011-10-02,48
2011-10-03,48
2011-10-04,48
2011-10-05,48
2011-10-06,48
2011-10-07,48
2011-10-08,48
2011-10-09,48
2011-10-10,48
2011-10-11,48
2011-10-12,48
2011-10-13,48
2011-10-14,48
2011-10-15,48
2011-10-16,48
2011-10-17,48
2011-10-18,48
2011-10-19,48
2011-10-20,48
2011-10-21,48
2011-10-22,48
2011-10-23,48
2011-10-24,48
2011-10-25,48
2011-10-26,48
2011-10-27,48
2011-10-28,48
2011-10-29,48
2011-10-30,48
2011-10-31,48
2011-11-01,48
2011-11-02,48
2011-11-03,48
2011-11-04,48
2011-11-05,48
2011-11-06,48
2011-11-07,48
2011-11-08,48
2011-11-09,48
2011-11-10,48
2011-11-11,48
2011-11-12,48
2011-11-13,48
2011-11-14,48
2011-11-15,48
2011-11-16,48
2011-11-17,48
2011-11-18,48
2011-11-19,48
2011-11-20,48
2011-11-21,48
2011-11-22,48
2011-11-23,48
2011-11-24,48
2011-11-25,48
2011-11-26,48
2011-11-27,48
2011-11-28,48
2011-11-29,48
2011-11-30,48
2011-12-01,48
2011-12-02,48
2011-12-03,48
2011-12-04,48
2011-12-05,48
2011-12-06,48
2011-12-07,48
2011-12-08,48
2011-12-09,48
2011-12-10,48
2011-12-11,48
2011-12-12,48
2011-12-13,48
2011-12-14,48
2011-12-15,48
2011-12-16,48
2011-12-17,48
2011-12-18,48
2011-12-19,48
2011-12-20,48
2011-12-21,48
2011-12-22,48
2011-12-23,48
2011-12-24,48
2011-12-25,48
2011-12-26,48
2011-12-27,48
2011-12-28,48
2011-12-29,48
2011-12-30,48
2011-12-31,48
2012-01-01,48
2012-01-02,47
2012-01-03,47
2012-01-04,47
2012-01-05,47
2012-01-06,47
2012-01-07,47
2012-01-08,46
2012-01-09,46
2012-01-10,46
2012-01-11,46
2012-01-12,46
2012-01-13,46
2012-01-14,45
2012-01-15,45
2012-01-16,45
2012-01-17,45
2012-01-18,45
2012-01-19,45
2012-01-20,44
2012-01-21,44
2012-01-22,44
2012-01-23,44
2012-01-24,44
2012-01-25,44
2012-01-26,43
2012-01-27,43
2012-01-28,43
2012-01-29,43
2012-01-30,43
2012-01-31,43
2012-02-01,43
2012-02-02,44
2012-02-03,45
2012-02-04,46
2012-02-05,47
2012-02-06,48
2012-02-07,50
2012-02-08,51
2012-02-09,52
2012-02-10,53
2012-02-11,54
2012-02-12,55
2012-02-13,57
2012-02-14,58
2012-02-15,59
2012-02-16,60
2012-02-17,61
2012-02-18,62
2012-02-19,64
2012-02-20,65
2012-02-21,66
2012-02-22,67
2012-02-23,68
2012-02-24,69
2012-02-25,71
2012-02-26,72
2012-02-27,73
2012-02-28,74
2012-02-29,75
