Date,China Electric Motor
2009-08-12,69
2009-08-13,70
2009-08-14,70
2009-08-15,70
2009-08-16,71
2009-08-17,71
2009-08-18,72
2009-08-19,72
2009-08-20,72
2009-08-21,73
2009-08-22,73
2009-08-23,74
2009-08-24,74
2009-08-25,75
2009-08-26,75
2009-08-27,75
2009-08-28,76
2009-08-29,76
2009-08-30,77
2009-08-31,77
2009-09-01,78
2009-09-02,78
2009-09-03,78
2009-09-04,78
2009-09-05,78
2009-09-06,78
2009-09-07,78
2009-09-08,78
2009-09-09,78
2009-09-10,78
2009-09-11,78
2009-09-12,78
2009-09-13,78
2009-09-14,78
2009-09-15,78
2009-09-16,78
2009-09-17,78
2009-09-18,78
2009-09-19,78
2009-09-20,78
2009-09-21,78
2009-09-22,78
2009-09-23,78
2009-09-24,78
2009-09-25,78
2009-09-26,78
2009-09-27,78
2009-09-28,78
2009-09-29,78
2009-09-30,78
2009-10-01,78
2009-10-02,78
2009-10-03,78
2009-10-04,78
2009-10-05,78
2009-10-06,78
2009-10-07,78
2009-10-08,78
2009-10-09,78
2009-10-10,78
2009-10-11,78
2009-10-12,78
2009-10-13,78
2009-10-14,78
2009-10-15,78
2009-10-16,78
2009-10-17,78
2009-10-18,78
2009-10-19,78
2009-10-20,78
2009-10-21,78
2009-10-22,78
2009-10-23,78
2009-10-24,78
2009-10-25,78
2009-10-26,78
2009-10-27,78
2009-10-28,78
2009-10-29,78
2009-10-30,78
2009-10-31,78
2009-11-01,78
2009-11-02,77
2009-11-03,77
2009-11-04,76
2009-11-05,76
2009-11-06,76
2009-11-07,75
2009-11-08,75
2009-11-09,75
2009-11-10,74
2009-11-11,74
2009-11-12,73
2009-11-13,73
2009-11-14,73
2009-11-15,72
2009-11-16,72
2009-11-17,72
2009-11-18,71
2009-11-19,71
2009-11-20,71
2009-11-21,70
2009-11-22,70
2009-11-23,69
2009-11-24,69
2009-11-25,69
2009-11-26,68
2009-11-27,68
2009-11-28,68
2009-11-29,67
2009-11-30,67
2009-12-01,67
2009-12-02,66
2009-12-03,66
2009-12-04,66
2009-12-05,65
2009-12-06,65
2009-12-07,65
2009-12-08,64
2009-12-09,64
2009-12-10,64
2009-12-11,63
2009-12-12,63
2009-12-13,63
2009-12-14,62
2009-12-15,62
2009-12-16,62
2009-12-17,61
2009-12-18,61
2009-12-19,61
2009-12-20,60
2009-12-21,60
2009-12-22,60
2009-12-23,59
2009-12-24,59
2009-12-25,59
2009-12-26,58
2009-12-27,58
2009-12-28,58
2009-12-29,57
2009-12-30,57
2009-12-31,57
2010-01-01,57
2010-01-02,58
2010-01-03,59
2010-01-04,60
2010-01-05,61
2010-01-06,62
2010-01-07,63
2010-01-08,64
2010-01-09,65
2010-01-10,66
2010-01-11,67
2010-01-12,68
2010-01-13,69
2010-01-14,70
2010-01-15,71
2010-01-16,72
2010-01-17,73
2010-01-18,74
2010-01-19,75
2010-01-20,76
2010-01-21,77
2010-01-22,78
2010-01-23,79
2010-01-24,80
2010-01-25,81
2010-01-26,82
2010-01-27,83
2010-01-28,84
2010-01-29,85
2010-01-30,86
2010-01-31,87
2010-02-01,89
2010-02-02,88
2010-02-03,87
2010-02-04,86
2010-02-05,85
2010-02-06,84
2010-02-07,83
2010-02-08,83
2010-02-09,82
2010-02-10,81
2010-02-11,80
2010-02-12,79
2010-02-13,78
2010-02-14,77
2010-02-15,77
2010-02-16,76
2010-02-17,75
2010-02-18,74
2010-02-19,73
2010-02-20,72
2010-02-21,71
2010-02-22,71
2010-02-23,70
2010-02-24,69
2010-02-25,68
2010-02-26,67
2010-02-27,66
2010-02-28,65
2010-03-01,65
2010-03-02,65
2010-03-03,66
2010-03-04,67
2010-03-05,67
2010-03-06,68
2010-03-07,69
2010-03-08,69
2010-03-09,70
2010-03-10,71
2010-03-11,71
2010-03-12,72
2010-03-13,73
2010-03-14,73
2010-03-15,74
2010-03-16,75
2010-03-17,75
2010-03-18,76
2010-03-19,77
2010-03-20,77
2010-03-21,78
2010-03-22,79
2010-03-23,79
2010-03-24,80
2010-03-25,81
2010-03-26,81
2010-03-27,82
2010-03-28,83
2010-03-29,83
2010-03-30,84
2010-03-31,85
2010-04-01,86
2010-04-02,85
2010-04-03,85
2010-04-04,85
2010-04-05,84
2010-04-06,84
2010-04-07,84
2010-04-08,84
2010-04-09,83
2010-04-10,83
2010-04-11,83
2010-04-12,83
2010-04-13,82
2010-04-14,82
2010-04-15,82
2010-04-16,82
2010-04-17,81
2010-04-18,81
2010-04-19,81
2010-04-20,80
2010-04-21,80
2010-04-22,80
2010-04-23,80
2010-04-24,79
2010-04-25,79
2010-04-26,79
2010-04-27,79
2010-04-28,78
2010-04-29,78
2010-04-30,78
2010-05-01,78
2010-05-02,77
2010-05-03,77
2010-05-04,77
2010-05-05,77
2010-05-06,77
2010-05-07,76
2010-05-08,76
2010-05-09,76
2010-05-10,76
2010-05-11,76
2010-05-12,75
2010-05-13,75
2010-05-14,75
2010-05-15,75
2010-05-16,75
2010-05-17,74
2010-05-18,74
2010-05-19,74
2010-05-20,74
2010-05-21,74
2010-05-22,73
2010-05-23,73
2010-05-24,73
2010-05-25,73
2010-05-26,73
2010-05-27,72
2010-05-28,72
2010-05-29,72
2010-05-30,72
2010-05-31,72
2010-06-01,72
2010-06-02,71
2010-06-03,71
2010-06-04,71
2010-06-05,71
2010-06-06,71
2010-06-07,71
2010-06-08,70
2010-06-09,70
2010-06-10,70
2010-06-11,70
2010-06-12,70
2010-06-13,70
2010-06-14,69
2010-06-15,69
2010-06-16,69
2010-06-17,69
2010-06-18,69
2010-06-19,69
2010-06-20,68
2010-06-21,68
2010-06-22,68
2010-06-23,68
2010-06-24,68
2010-06-25,68
2010-06-26,67
2010-06-27,67
2010-06-28,67
2010-06-29,67
2010-06-30,67
2010-07-01,67
2010-07-02,68
2010-07-03,69
2010-07-04,70
2010-07-05,71
2010-07-06,72
2010-07-07,73
2010-07-08,74
2010-07-09,75
2010-07-10,76
2010-07-11,77
2010-07-12,78
2010-07-13,79
2010-07-14,80
2010-07-15,81
2010-07-16,82
2010-07-17,84
2010-07-18,85
2010-07-19,86
2010-07-20,87
2010-07-21,88
2010-07-22,89
2010-07-23,90
2010-07-24,91
2010-07-25,92
2010-07-26,93
2010-07-27,94
2010-07-28,95
2010-07-29,96
2010-07-30,97
2010-07-31,98
2010-08-01,100
2010-08-02,98
2010-08-03,96
2010-08-04,94
2010-08-05,92
2010-08-06,90
2010-08-07,88
2010-08-08,87
2010-08-09,85
2010-08-10,83
2010-08-11,81
2010-08-12,79
2010-08-13,77
2010-08-14,76
2010-08-15,74
2010-08-16,72
2010-08-17,70
2010-08-18,68
2010-08-19,66
2010-08-20,65
2010-08-21,63
2010-08-22,61
2010-08-23,59
2010-08-24,57
2010-08-25,55
2010-08-26,54
2010-08-27,52
2010-08-28,50
2010-08-29,48
2010-08-30,46
2010-08-31,44
2010-09-01,43
2010-09-02,44
2010-09-03,45
2010-09-04,47
2010-09-05,48
2010-09-06,50
2010-09-07,51
2010-09-08,53
2010-09-09,54
2010-09-10,56
2010-09-11,57
2010-09-12,59
2010-09-13,60
2010-09-14,62
2010-09-15,63
2010-09-16,65
2010-09-17,66
2010-09-18,67
2010-09-19,69
2010-09-20,70
2010-09-21,72
2010-09-22,73
2010-09-23,75
2010-09-24,76
2010-09-25,78
2010-09-26,79
2010-09-27,81
2010-09-28,82
2010-09-29,84
2010-09-30,85
2010-10-01,87
2010-10-02,86
2010-10-03,85
2010-10-04,84
2010-10-05,84
2010-10-06,83
2010-10-07,82
2010-10-08,82
2010-10-09,81
2010-10-10,80
2010-10-11,79
2010-10-12,79
2010-10-13,78
2010-10-14,77
2010-10-15,77
2010-10-16,76
2010-10-17,75
2010-10-18,74
2010-10-19,74
2010-10-20,73
2010-10-21,72
2010-10-22,72
2010-10-23,71
2010-10-24,70
2010-10-25,69
2010-10-26,69
2010-10-27,68
2010-10-28,67
2010-10-29,67
2010-10-30,66
2010-10-31,65
2010-11-01,65
2010-11-02,65
2010-11-03,65
2010-11-04,65
2010-11-05,65
2010-11-06,66
2010-11-07,66
2010-11-08,66
2010-11-09,66
2010-11-10,66
2010-11-11,67
2010-11-12,67
2010-11-13,67
2010-11-14,67
2010-11-15,67
2010-11-16,68
2010-11-17,68
2010-11-18,68
2010-11-19,68
2010-11-20,68
2010-11-21,69
2010-11-22,69
2010-11-23,69
2010-11-24,69
2010-11-25,69
2010-11-26,70
2010-11-27,70
2010-11-28,70
2010-11-29,70
2010-11-30,70
2010-12-01,71
2010-12-02,70
2010-12-03,69
2010-12-04,68
2010-12-05,67
2010-12-06,66
2010-12-07,65
2010-12-08,64
2010-12-09,63
2010-12-10,62
2010-12-11,61
2010-12-12,60
2010-12-13,59
2010-12-14,58
2010-12-15,57
2010-12-16,56
2010-12-17,55
2010-12-18,54
2010-12-19,53
2010-12-20,52
2010-12-21,51
2010-12-22,50
2010-12-23,49
2010-12-24,48
2010-12-25,47
2010-12-26,46
2010-12-27,45
2010-12-28,44
2010-12-29,43
2010-12-30,42
2010-12-31,41
2011-01-01,40
2011-01-02,41
2011-01-03,43
2011-01-04,44
2011-01-05,46
2011-01-06,47
2011-01-07,49
2011-01-08,50
2011-01-09,52
2011-01-10,53
2011-01-11,55
2011-01-12,56
2011-01-13,58
2011-01-14,59
2011-01-15,61
2011-01-16,62
2011-01-17,64
2011-01-18,65
2011-01-19,67
2011-01-20,68
2011-01-21,70
2011-01-22,71
2011-01-23,73
2011-01-24,74
2011-01-25,76
2011-01-26,77
2011-01-27,79
2011-01-28,80
2011-01-29,82
2011-01-30,83
2011-01-31,85
2011-02-01,87
2011-02-02,85
2011-02-03,84
2011-02-04,82
2011-02-05,81
2011-02-06,79
2011-02-07,78
2011-02-08,76
2011-02-09,75
2011-02-10,73
2011-02-11,72
2011-02-12,70
2011-02-13,69
2011-02-14,67
2011-02-15,66
2011-02-16,64
2011-02-17,63
2011-02-18,61
2011-02-19,60
2011-02-20,58
2011-02-21,57
2011-02-22,55
2011-02-23,54
2011-02-24,52
2011-02-25,51
2011-02-26,49
2011-02-27,48
2011-02-28,46
2011-03-01,45
