Date,Acclarent
2008-06-01,36
2008-06-02,36
2008-06-03,36
2008-06-04,36
2008-06-05,37
2008-06-06,37
2008-06-07,37
2008-06-08,38
2008-06-09,38
2008-06-10,38
2008-06-11,39
2008-06-12,39
2008-06-13,39
2008-06-14,39
2008-06-15,40
2008-06-16,40
2008-06-17,40
2008-06-18,41
2008-06-19,41
2008-06-20,41
2008-06-21,42
2008-06-22,42
2008-06-23,42
2008-06-24,42
2008-06-25,43
2008-06-26,43
2008-06-27,43
2008-06-28,44
2008-06-29,44
2008-06-30,44
2008-07-01,45
2008-07-02,44
2008-07-03,44
2008-07-04,44
2008-07-05,43
2008-07-06,43
2008-07-07,43
2008-07-08,42
2008-07-09,42
2008-07-10,42
2008-07-11,41
2008-07-12,41
2008-07-13,41
2008-07-14,40
2008-07-15,40
2008-07-16,40
2008-07-17,39
2008-07-18,39
2008-07-19,39
2008-07-20,38
2008-07-21,38
2008-07-22,38
2008-07-23,37
2008-07-24,37
2008-07-25,37
2008-07-26,36
2008-07-27,36
2008-07-28,36
2008-07-29,35
2008-07-30,35
2008-07-31,35
2008-08-01,35
2008-08-02,34
2008-08-03,34
2008-08-04,34
2008-08-05,34
2008-08-06,34
2008-08-07,34
2008-08-08,33
2008-08-09,33
2008-08-10,33
2008-08-11,33
2008-08-12,33
2008-08-13,33
2008-08-14,32
2008-08-15,32
2008-08-16,32
2008-08-17,32
2008-08-18,32
2008-08-19,32
2008-08-20,31
2008-08-21,31
2008-08-22,31
2008-08-23,31
2008-08-24,31
2008-08-25,31
2008-08-26,30
2008-08-27,30
2008-08-28,30
2008-08-29,30
2008-08-30,30
2008-08-31,30
2008-09-01,30
2008-09-02,30
2008-09-03,30
2008-09-04,30
2008-09-05,30
2008-09-06,30
2008-09-07,31
2008-09-08,31
2008-09-09,31
2008-09-10,31
2008-09-11,31
2008-09-12,31
2008-09-13,32
2008-09-14,32
2008-09-15,32
2008-09-16,32
2008-09-17,32
2008-09-18,32
2008-09-19,33
2008-09-20,33
2008-09-21,33
2008-09-22,33
2008-09-23,33
2008-09-24,33
2008-09-25,34
2008-09-26,34
2008-09-27,34
2008-09-28,34
2008-09-29,34
2008-09-30,34
2008-10-01,35
2008-10-02,34
2008-10-03,34
2008-10-04,33
2008-10-05,33
2008-10-06,32
2008-10-07,32
2008-10-08,31
2008-10-09,31
2008-10-10,30
2008-10-11,30
2008-10-12,30
2008-10-13,29
2008-10-14,29
2008-10-15,28
2008-10-16,28
2008-10-17,27
2008-10-18,27
2008-10-19,26
2008-10-20,26
2008-10-21,25
2008-10-22,25
2008-10-23,25
2008-10-24,24
2008-10-25,24
2008-10-26,23
2008-10-27,23
2008-10-28,22
2008-10-29,22
2008-10-30,21
2008-10-31,21
2008-11-01,21
2008-11-02,21
2008-11-03,22
2008-11-04,23
2008-11-05,23
2008-11-06,24
2008-11-07,25
2008-11-08,25
2008-11-09,26
2008-11-10,27
2008-11-11,27
2008-11-12,28
2008-11-13,29
2008-11-14,29
2008-11-15,30
2008-11-16,31
2008-11-17,31
2008-11-18,32
2008-11-19,33
2008-11-20,33
2008-11-21,34
2008-11-22,35
2008-11-23,35
2008-11-24,36
2008-11-25,37
2008-11-26,37
2008-11-27,38
2008-11-28,39
2008-11-29,39
2008-11-30,40
2008-12-01,41
2008-12-02,41
2008-12-03,41
2008-12-04,41
2008-12-05,41
2008-12-06,41
2008-12-07,41
2008-12-08,41
2008-12-09,41
2008-12-10,41
2008-12-11,41
2008-12-12,42
2008-12-13,42
2008-12-14,42
2008-12-15,42
2008-12-16,42
2008-12-17,42
2008-12-18,42
2008-12-19,42
2008-12-20,42
2008-12-21,42
2008-12-22,43
2008-12-23,43
2008-12-24,43
2008-12-25,43
2008-12-26,43
2008-12-27,43
2008-12-28,43
2008-12-29,43
2008-12-30,43
2008-12-31,43
2009-01-01,44
2009-01-02,43
2009-01-03,43
2009-01-04,43
2009-01-05,43
2009-01-06,43
2009-01-07,43
2009-01-08,43
2009-01-09,43
2009-01-10,43
2009-01-11,43
2009-01-12,42
2009-01-13,42
2009-01-14,42
2009-01-15,42
2009-01-16,42
2009-01-17,42
2009-01-18,42
2009-01-19,42
2009-01-20,42
2009-01-21,42
2009-01-22,41
2009-01-23,41
2009-01-24,41
2009-01-25,41
2009-01-26,41
2009-01-27,41
2009-01-28,41
2009-01-29,41
2009-01-30,41
2009-01-31,41
2009-02-01,41
2009-02-02,40
2009-02-03,40
2009-02-04,40
2009-02-05,39
2009-02-06,39
2009-02-07,39
2009-02-08,38
2009-02-09,38
2009-02-10,38
2009-02-11,37
2009-02-12,37
2009-02-13,37
2009-02-14,36
2009-02-15,36
2009-02-16,36
2009-02-17,35
2009-02-18,35
2009-02-19,35
2009-02-20,34
2009-02-21,34
2009-02-22,34
2009-02-23,33
2009-02-24,33
2009-02-25,33
2009-02-26,32
2009-02-27,32
2009-02-28,32
2009-03-01,32
2009-03-02,31
2009-03-03,31
2009-03-04,31
2009-03-05,31
2009-03-06,31
2009-03-07,31
2009-03-08,31
2009-03-09,31
2009-03-10,31
2009-03-11,31
2009-03-12,31
2009-03-13,31
2009-03-14,31
2009-03-15,31
2009-03-16,31
2009-03-17,30
2009-03-18,30
2009-03-19,30
2009-03-20,30
2009-03-21,30
2009-03-22,30
2009-03-23,30
2009-03-24,30
2009-03-25,30
2009-03-26,30
2009-03-27,30
2009-03-28,30
2009-03-29,30
2009-03-30,30
2009-03-31,30
2009-04-01,30
2009-04-02,30
2009-04-03,30
2009-04-04,30
2009-04-05,31
2009-04-06,31
2009-04-07,31
2009-04-08,31
2009-04-09,32
2009-04-10,32
2009-04-11,32
2009-04-12,32
2009-04-13,33
2009-04-14,33
2009-04-15,33
2009-04-16,34
2009-04-17,34
2009-04-18,34
2009-04-19,34
2009-04-20,35
2009-04-21,35
2009-04-22,35
2009-04-23,35
