Date,AECOM Technology
2006-09-03,44
2006-09-04,42
2006-09-05,40
2006-09-06,38
2006-09-07,36
2006-09-08,34
2006-09-09,32
2006-09-10,32
2006-09-11,32
2006-09-12,33
2006-09-13,33
2006-09-14,34
2006-09-15,34
2006-09-16,35
2006-09-17,35
2006-09-18,36
2006-09-19,36
2006-09-20,37
2006-09-21,38
2006-09-22,38
2006-09-23,39
2006-09-24,38
2006-09-25,36
2006-09-26,35
2006-09-27,33
2006-09-28,32
2006-09-29,31
2006-09-30,30
2006-10-01,30
2006-10-02,31
2006-10-03,32
2006-10-04,32
2006-10-05,33
2006-10-06,34
2006-10-07,35
2006-10-08,34
2006-10-09,34
2006-10-10,34
2006-10-11,34
2006-10-12,33
2006-10-13,33
2006-10-14,33
2006-10-15,32
2006-10-16,31
2006-10-17,30
2006-10-18,29
2006-10-19,28
2006-10-20,27
2006-10-21,26
2006-10-22,27
2006-10-23,28
2006-10-24,29
2006-10-25,30
2006-10-26,31
2006-10-27,33
2006-10-28,34
2006-10-29,33
2006-10-30,32
2006-10-31,32
2006-11-01,31
2006-11-02,31
2006-11-03,30
2006-11-04,30
2006-11-05,31
2006-11-06,32
2006-11-07,33
2006-11-08,34
2006-11-09,35
2006-11-10,36
2006-11-11,37
2006-11-12,38
2006-11-13,40
2006-11-14,41
2006-11-15,42
2006-11-16,44
2006-11-17,45
2006-11-18,46
2006-11-19,43
2006-11-20,40
2006-11-21,37
2006-11-22,34
2006-11-23,31
2006-11-24,28
2006-11-25,26
2006-11-26,27
2006-12-03,37
2006-12-04,37
2006-12-05,36
2006-12-06,36
2006-12-07,35
2006-12-08,35
2006-12-09,35
2006-12-10,35
2006-12-11,36
2006-12-12,37
2006-12-13,38
2006-12-14,39
2006-12-15,40
2006-12-16,41
2006-12-17,39
2006-12-18,38
2006-12-19,36
2006-12-20,35
2006-12-21,34
2006-12-22,32
2006-12-23,31
2006-12-24,30
2006-12-25,29
2006-12-26,29
2006-12-27,28
