Date,Gigamon
2012-01-01,6
2012-01-02,6
2012-01-03,6
2012-01-04,6
2012-01-05,6
2012-01-06,6
2012-01-07,6
2012-01-08,6
2012-01-09,6
2012-01-10,6
2012-01-11,6
2012-01-12,6
2012-01-13,6
2012-01-14,7
2012-01-15,7
2012-01-16,7
2012-01-17,7
2012-01-18,7
2012-01-19,7
2012-01-20,7
2012-01-21,8
2012-01-22,8
2012-01-23,8
2012-01-24,8
2012-01-25,8
2012-01-26,8
2012-01-27,8
2012-01-28,9
2012-01-29,8
2012-01-30,7
2012-01-31,7
2012-02-01,6
2012-02-02,6
2012-02-03,5
2012-02-04,5
2012-02-05,5
2012-02-06,6
2012-02-07,6
2012-02-08,7
2012-02-09,7
2012-02-10,8
2012-02-11,9
2012-02-12,8
2012-02-13,8
2012-02-14,8
2012-02-15,7
2012-02-16,7
2012-02-17,7
2012-02-18,7
2012-02-19,7
2012-02-20,7
2012-02-21,7
2012-02-22,7
2012-02-23,7
2012-02-24,7
2012-02-25,8
2012-02-26,8
2012-02-27,8
2012-02-28,8
2012-02-29,8
2012-03-01,8
2012-03-02,8
2012-03-03,9
2012-03-04,8
2012-03-05,8
2012-03-06,8
2012-03-07,8
2012-03-08,8
2012-03-09,8
2012-03-10,8
2012-03-11,7
2012-03-12,7
2012-03-13,7
2012-03-14,7
2012-03-15,7
2012-03-16,7
2012-03-17,7
2012-03-18,7
2012-03-19,7
2012-03-20,7
2012-03-21,7
2012-03-22,7
2012-03-23,7
2012-03-24,7
2012-03-25,6
2012-04-01,5
2012-04-02,6
2012-04-03,7
2012-04-04,7
2012-04-05,8
2012-04-06,9
2012-04-07,10
2012-04-08,9
2012-04-09,9
2012-04-10,8
2012-04-11,8
2012-04-12,7
2012-04-13,7
2012-04-14,7
2012-04-15,6
2012-04-16,6
2012-04-17,6
2012-04-18,6
2012-04-19,6
2012-04-20,6
2012-04-21,6
2012-04-22,6
2012-04-23,6
2012-04-24,6
2012-04-25,7
2012-04-26,7
2012-04-27,7
2012-04-28,8
2012-04-29,7
2012-04-30,7
2012-05-01,7
2012-05-02,7
2012-05-03,7
2012-05-04,7
2012-05-05,7
2012-05-06,7
2012-05-07,7
2012-05-08,8
2012-05-09,8
2012-05-10,9
2012-05-11,9
2012-05-12,10
2012-05-13,9
2012-05-14,9
2012-05-15,9
2012-05-16,9
2012-05-17,9
2012-05-18,9
2012-05-19,9
2012-05-20,9
2012-05-21,10
2012-05-22,11
2012-05-23,12
2012-05-24,12
2012-05-25,13
2012-05-26,14
2012-05-27,13
2012-05-28,12
2012-05-29,11
2012-05-30,10
2012-05-31,9
2012-06-01,8
2012-06-02,7
2012-06-03,7
2012-06-04,7
2012-06-05,7
2012-06-06,7
2012-06-07,7
2012-06-08,7
2012-06-09,8
2012-06-10,8
2012-06-11,8
2012-06-12,8
2012-06-13,8
2012-06-14,8
2012-06-15,8
2012-06-16,9
2012-06-17,9
2012-06-18,9
2012-06-19,9
2012-06-20,9
2012-06-21,9
2012-06-22,9
2012-06-23,10
2012-06-24,9
2012-07-01,9
2012-07-02,9
2012-07-03,9
2012-07-04,9
2012-07-05,9
2012-07-06,9
2012-07-07,9
2012-07-08,9
2012-07-09,9
2012-07-10,10
2012-07-11,10
2012-07-12,11
2012-07-13,11
2012-07-14,12
2012-07-15,12
2012-07-16,12
2012-07-17,12
2012-07-18,12
2012-07-19,12
2012-07-20,12
2012-07-21,12
2012-07-22,11
2012-07-23,11
2012-07-24,11
2012-07-25,10
2012-07-26,10
2012-07-27,10
2012-07-28,10
2012-07-29,9
2012-07-30,9
2012-07-31,9
2012-08-01,9
2012-08-02,9
2012-08-03,9
2012-08-04,9
2012-08-05,9
2012-08-06,9
2012-08-07,9
2012-08-08,9
2012-08-09,9
2012-08-10,9
2012-08-11,9
2012-08-12,8
2012-08-13,8
2012-08-14,8
2012-08-15,8
2012-08-16,8
2012-08-17,8
2012-08-18,8
2012-08-19,7
2012-08-20,7
2012-08-21,7
2012-08-22,7
2012-08-23,7
2012-08-24,7
2012-08-25,7
2012-08-26,7
2012-08-27,7
2012-08-28,8
2012-08-29,8
2012-08-30,9
2012-08-31,9
2012-09-01,10
2012-09-02,9
2012-09-03,9
2012-09-04,9
2012-09-05,8
2012-09-06,8
2012-09-07,8
2012-09-08,8
2012-09-09,8
2012-09-10,8
2012-09-11,8
2012-09-12,9
2012-09-13,9
2012-09-14,9
2012-09-15,10
2012-09-16,9
2012-09-17,9
2012-09-18,9
2012-09-19,9
2012-09-20,9
2012-09-21,9
2012-09-22,9
2012-09-23,9
2012-09-24,9
2012-09-25,10
2012-09-26,10
2012-09-27,11
2012-09-28,11
2012-09-29,12
2012-09-30,11
2012-10-07,10
2012-10-08,10
2012-10-09,10
2012-10-10,10
2012-10-11,10
2012-10-12,10
