Date,Osiris Therapeutics
2006-03-27,0
2006-03-28,0
2006-03-29,0
2006-03-30,0
2006-03-31,0
2006-04-01,0
2006-04-02,0
2006-04-03,0
2006-04-04,0
2006-04-05,0
2006-04-06,0
2006-04-07,0
2006-04-08,0
2006-04-09,0
2006-04-10,0
2006-04-11,0
2006-04-12,0
2006-04-13,0
2006-04-14,0
2006-04-15,0
2006-04-16,0
2006-04-17,0
2006-04-18,0
2006-04-19,0
2006-04-20,0
2006-04-21,0
2006-04-22,0
2006-04-23,0
2006-04-24,0
2006-04-25,0
2006-04-26,0
2006-04-27,0
2006-04-28,0
2006-04-29,0
2006-04-30,0
2006-05-01,0
2006-05-02,0
2006-05-03,0
2006-05-04,0
2006-05-05,0
2006-05-06,0
2006-05-07,0
2006-05-08,0
2006-05-09,0
2006-05-10,0
2006-05-11,0
2006-05-12,0
2006-05-13,0
2006-05-14,0
2006-05-15,0
2006-05-16,0
2006-05-17,0
2006-05-18,0
2006-05-19,0
2006-05-20,0
2006-05-21,0
2006-05-22,0
2006-05-23,0
2006-05-24,0
2006-05-25,0
2006-05-26,0
2006-05-27,0
2006-05-28,0
2006-05-29,0
2006-05-30,0
2006-05-31,0
2006-06-01,0
2006-06-02,3
2006-06-03,6
2006-06-04,10
2006-06-05,13
2006-06-06,16
2006-06-07,20
2006-06-08,23
2006-06-09,26
2006-06-10,30
2006-06-11,33
2006-06-12,36
2006-06-13,40
2006-06-14,43
2006-06-15,46
2006-06-16,50
2006-06-17,53
2006-06-18,56
2006-06-19,60
2006-06-20,63
2006-06-21,66
2006-06-22,70
2006-06-23,73
2006-06-24,76
2006-06-25,80
2006-06-26,83
2006-06-27,86
2006-06-28,90
2006-06-29,93
2006-06-30,96
2006-07-01,100
2006-07-02,99
2006-07-03,98
2006-07-04,97
2006-07-05,96
2006-07-06,95
2006-07-07,95
2006-07-08,94
2006-07-09,93
2006-07-10,92
2006-07-11,91
2006-07-12,91
2006-07-13,90
2006-07-14,89
2006-07-15,88
2006-07-16,87
2006-07-17,87
2006-07-18,86
2006-07-19,85
2006-07-20,84
2006-07-21,83
2006-07-22,83
2006-07-23,82
2006-07-24,81
2006-07-25,80
2006-07-26,79
2006-07-27,79
2006-07-28,78
2006-07-29,77
2006-07-30,76
2006-07-31,75
2006-08-01,75
2006-08-02,74
2006-08-03,73
2006-08-04,72
2006-08-05,71
2006-08-06,70
2006-08-07,69
2006-08-08,68
2006-08-09,67
2006-08-10,66
2006-08-11,65
2006-08-12,64
2006-08-13,63
2006-08-14,62
2006-08-15,61
2006-08-16,60
2006-08-17,59
2006-08-18,58
2006-08-19,57
2006-08-20,56
2006-08-21,55
2006-08-22,54
2006-08-23,53
2006-08-24,52
2006-08-25,51
2006-08-26,50
2006-08-27,49
2006-08-28,48
2006-08-29,47
2006-08-30,46
2006-08-31,45
2006-09-01,44
2006-09-02,44
2006-09-03,44
2006-09-04,44
2006-09-05,44
2006-09-06,44
2006-09-07,44
2006-09-08,44
2006-09-09,44
2006-09-10,44
2006-09-11,44
2006-09-12,44
2006-09-13,44
2006-09-14,44
2006-09-15,44
2006-09-16,44
2006-09-17,44
2006-09-18,44
2006-09-19,44
2006-09-20,44
2006-09-21,44
2006-09-22,44
2006-09-23,44
2006-09-24,44
2006-09-25,44
2006-09-26,44
2006-09-27,44
2006-09-28,44
2006-09-29,44
2006-09-30,44
2006-10-01,44
2006-10-02,44
2006-10-03,44
2006-10-04,44
2006-10-05,44
2006-10-06,44
2006-10-07,44
2006-10-08,44
2006-10-09,44
2006-10-10,44
2006-10-11,44
2006-10-12,44
2006-10-13,44
2006-10-14,44
2006-10-15,44
2006-10-16,44
2006-10-17,44
2006-10-18,44
2006-10-19,44
2006-10-20,44
2006-10-21,44
2006-10-22,44
2006-10-23,44
2006-10-24,44
2006-10-25,44
2006-10-26,44
2006-10-27,44
2006-10-28,44
2006-10-29,44
2006-10-30,44
2006-10-31,44
2006-11-01,44
2006-11-02,44
2006-11-03,44
2006-11-04,44
2006-11-05,44
2006-11-06,44
2006-11-07,44
2006-11-08,44
2006-11-09,44
2006-11-10,44
2006-11-11,44
2006-11-12,44
2006-11-13,44
2006-11-14,44
2006-11-15,44
2006-11-16,44
2006-11-17,44
2006-11-18,44
2006-11-19,44
2006-11-20,44
2006-11-21,44
2006-11-22,44
2006-11-23,44
2006-11-24,44
2006-11-25,44
2006-11-26,44
2006-11-27,44
2006-11-28,44
2006-11-29,44
2006-11-30,44
2006-12-01,44
2006-12-02,44
2006-12-03,44
2006-12-04,44
2006-12-05,44
2006-12-06,44
2006-12-07,44
2006-12-08,44
2006-12-09,44
2006-12-10,44
2006-12-11,44
2006-12-12,44
2006-12-13,44
2006-12-14,44
2006-12-15,44
2006-12-16,44
2006-12-17,44
2006-12-18,44
2006-12-19,44
2006-12-20,44
2006-12-21,44
2006-12-22,44
2006-12-23,44
2006-12-24,44
2006-12-25,44
2006-12-26,44
2006-12-27,44
2006-12-28,44
2006-12-29,44
2006-12-30,44
2006-12-31,44
2007-01-01,44
2007-01-02,45
2007-01-03,46
2007-01-04,47
2007-01-05,48
2007-01-06,49
2007-01-07,50
2007-01-08,51
2007-01-09,52
2007-01-10,53
2007-01-11,54
2007-01-12,55
2007-01-13,56
2007-01-14,57
2007-01-15,58
2007-01-16,59
2007-01-17,60
2007-01-18,61
2007-01-19,62
2007-01-20,63
2007-01-21,64
2007-01-22,65
2007-01-23,66
2007-01-24,67
2007-01-25,68
2007-01-26,69
2007-01-27,70
2007-01-28,71
2007-01-29,72
2007-01-30,73
2007-01-31,74
2007-02-01,75
2007-02-02,74
2007-02-03,73
2007-02-04,73
2007-02-05,72
2007-02-06,71
2007-02-07,71
2007-02-08,70
2007-02-09,70
2007-02-10,69
2007-02-11,68
2007-02-12,68
2007-02-13,67
2007-02-14,67
2007-02-15,66
2007-02-16,65
2007-02-17,65
2007-02-18,64
2007-02-19,64
2007-02-20,63
2007-02-21,62
2007-02-22,62
2007-02-23,61
2007-02-24,61
2007-02-25,60
2007-02-26,59
2007-02-27,59
2007-02-28,58
2007-03-01,58
2007-03-02,58
2007-03-03,59
2007-03-04,59
2007-03-05,60
2007-03-06,61
2007-03-07,61
2007-03-08,62
2007-03-09,62
2007-03-10,63
2007-03-11,64
2007-03-12,64
2007-03-13,65
2007-03-14,65
2007-03-15,66
2007-03-16,67
2007-03-17,67
2007-03-18,68
2007-03-19,69
2007-03-20,69
2007-03-21,70
2007-03-22,70
2007-03-23,71
2007-03-24,72
2007-03-25,72
2007-03-26,73
2007-03-27,73
2007-03-28,74
2007-03-29,75
2007-03-30,75
2007-03-31,76
2007-04-01,77
2007-04-02,75
2007-04-03,74
2007-04-04,73
2007-04-05,72
2007-04-06,70
2007-04-07,69
2007-04-08,68
2007-04-09,67
2007-04-10,65
2007-04-11,64
2007-04-12,63
2007-04-13,62
2007-04-14,60
2007-04-15,59
2007-04-16,58
2007-04-17,57
2007-04-18,56
2007-04-19,54
2007-04-20,53
2007-04-21,52
2007-04-22,51
2007-04-23,49
2007-04-24,48
2007-04-25,47
2007-04-26,46
2007-04-27,44
2007-04-28,43
2007-04-29,42
2007-04-30,41
2007-05-01,40
2007-05-02,39
2007-05-03,39
2007-05-04,39
2007-05-05,39
2007-05-06,39
2007-05-07,39
2007-05-08,39
2007-05-09,39
2007-05-10,39
2007-05-11,39
2007-05-12,39
2007-05-13,39
2007-05-14,39
2007-05-15,39
2007-05-16,39
2007-05-17,39
2007-05-18,39
2007-05-19,39
2007-05-20,39
2007-05-21,39
2007-05-22,39
2007-05-23,39
2007-05-24,39
2007-05-25,39
2007-05-26,39
2007-05-27,39
2007-05-28,39
2007-05-29,39
2007-05-30,39
2007-05-31,39
2007-06-01,39
2007-06-02,39
2007-06-03,39
2007-06-04,39
2007-06-05,39
2007-06-06,39
2007-06-07,39
2007-06-08,39
2007-06-09,39
2007-06-10,39
2007-06-11,39
2007-06-12,39
2007-06-13,39
2007-06-14,39
2007-06-15,39
2007-06-16,39
2007-06-17,39
2007-06-18,39
2007-06-19,39
2007-06-20,39
2007-06-21,39
2007-06-22,39
2007-06-23,39
2007-06-24,39
2007-06-25,39
2007-06-26,39
2007-06-27,39
2007-06-28,39
2007-06-29,39
2007-06-30,39
2007-07-01,40
2007-07-02,38
2007-07-03,37
2007-07-04,36
2007-07-05,34
2007-07-06,33
2007-07-07,32
2007-07-08,30
2007-07-09,29
2007-07-10,28
2007-07-11,27
2007-07-12,25
2007-07-13,24
2007-07-14,23
2007-07-15,21
2007-07-16,20
2007-07-17,19
2007-07-18,18
2007-07-19,16
2007-07-20,15
2007-07-21,14
2007-07-22,12
2007-07-23,11
2007-07-24,10
2007-07-25,9
2007-07-26,7
2007-07-27,6
2007-07-28,5
2007-07-29,3
2007-07-30,2
2007-07-31,1
2007-08-01,0
2007-08-02,0
2007-08-03,0
2007-08-04,0
2007-08-05,0
2007-08-06,0
2007-08-07,0
2007-08-08,0
2007-08-09,0
2007-08-10,0
2007-08-11,0
2007-08-12,0
2007-08-13,0
2007-08-14,0
2007-08-15,0
2007-08-16,0
2007-08-17,0
2007-08-18,0
2007-08-19,0
2007-08-20,0
2007-08-21,0
2007-08-22,0
2007-08-23,0
2007-08-24,0
2007-08-25,0
2007-08-26,0
2007-08-27,0
2007-08-28,0
2007-08-29,0
2007-08-30,0
2007-08-31,0
2007-09-01,0
2007-09-02,0
2007-09-03,0
2007-09-04,0
2007-09-05,0
2007-09-06,0
2007-09-07,0
2007-09-08,0
2007-09-09,0
2007-09-10,0
2007-09-11,0
2007-09-12,0
2007-09-13,0
2007-09-14,0
2007-09-15,0
2007-09-16,0
2007-09-17,0
2007-09-18,0
2007-09-19,0
2007-09-20,0
2007-09-21,0
2007-09-22,0
2007-09-23,0
2007-09-24,0
2007-09-25,0
2007-09-26,0
2007-09-27,0
2007-09-28,0
2007-09-29,0
2007-09-30,0
