Date,Accuride
2004-07-04,98
2004-07-05,108
2004-07-06,96
2004-07-07,95
2004-07-08,94
2004-07-09,93
2004-07-10,92
2004-07-11,92
2004-07-12,92
2004-07-13,92
2004-07-14,92
2004-07-15,92
2004-07-16,92
2004-07-17,92
2004-07-18,90
2004-07-19,89
2004-07-20,88
2004-07-21,86
2004-07-22,85
2004-07-23,84
2004-07-24,83
2004-07-25,83
2004-07-26,85
2004-07-27,85
2004-07-28,86
2004-07-29,87
2004-07-30,88
2004-07-31,92
2004-08-01,83
2004-08-02,83
2004-08-03,83
2004-08-04,83
2004-08-05,83
2004-08-06,83
2004-08-07,83
2004-08-08,83
2004-08-09,83
2004-08-10,83
2004-08-11,83
2004-08-12,83
2004-08-13,83
2004-08-14,83
2004-08-15,83
2004-08-16,83
2004-08-17,83
2004-08-18,83
2004-08-19,83
2004-08-20,83
2004-08-21,83
2004-08-22,71
2004-08-23,59
2004-08-24,47
2004-08-25,35
2004-08-26,23
2004-08-27,11
2004-08-28,0
2004-08-29,0
2004-08-30,0
2004-08-31,0
2004-09-01,0
2004-09-02,0
2004-09-03,0
2004-09-04,0
2004-09-05,0
2004-09-06,0
2004-09-07,0
2004-09-08,0
2004-09-09,0
2004-09-10,0
2004-09-11,0
2004-09-12,0
2004-09-13,0
2004-09-14,0
2004-09-15,0
2004-09-16,0
2004-09-17,0
2004-09-18,0
2004-09-19,0
2004-09-20,0
2004-09-21,0
2004-09-22,0
2004-09-23,0
2004-09-24,0
2004-09-25,0
2004-09-26,0
2004-10-01,0
2004-10-02,0
2004-10-03,0
2004-10-04,0
2004-10-05,0
2004-10-06,0
2004-10-07,0
2004-10-08,0
2004-10-09,0
2004-10-10,0
2004-10-11,0
2004-10-12,0
2004-10-13,0
2004-10-14,0
2004-10-15,0
2004-10-16,0
2004-10-17,0
2004-10-18,0
2004-10-19,0
2004-10-20,0
2004-10-21,0
2004-10-22,0
2004-10-23,0
2004-10-24,0
2004-10-25,0
2004-10-26,0
2004-10-27,0
2004-10-28,0
2004-10-29,0
2004-10-30,0
2004-10-31,0
2004-11-01,0
2004-11-02,0
2004-11-03,0
2004-11-04,0
2004-11-05,0
2004-11-06,0
2004-11-07,0
2004-11-08,0
2004-11-09,0
2004-11-10,0
2004-11-11,0
2004-11-12,0
2004-11-13,0
2004-11-14,0
2004-11-15,0
2004-11-16,0
2004-11-17,0
2004-11-18,0
2004-11-19,0
2004-11-20,0
2004-11-21,0
2004-11-22,0
2004-11-23,0
2004-11-24,0
2004-11-25,0
2004-11-26,0
2004-11-27,0
2004-11-28,0
2004-11-29,0
2004-11-30,0
2004-12-01,0
2004-12-02,0
2004-12-03,0
2004-12-04,0
2004-12-05,0
2004-12-06,0
2004-12-07,0
2004-12-08,0
2004-12-09,0
2004-12-10,0
2004-12-11,0
2004-12-12,0
