Date,Envision Healthcare
2013-07-15,0
2013-07-16,0
2013-07-17,0
2013-07-18,0
2013-07-19,0
2013-07-20,0
2013-07-21,0
2013-07-22,0
2013-07-23,0
2013-07-24,0
2013-07-25,0
2013-07-26,0
2013-07-27,0
2013-07-28,4
2013-07-29,9
2013-07-30,14
2013-07-31,18
2013-08-01,23
2013-08-02,28
2013-08-03,33
2013-08-04,35
2013-08-05,37
2013-08-06,40
2013-08-07,42
2013-08-08,45
2013-08-09,47
2013-08-10,50
2013-08-11,57
2013-08-12,65
2013-08-13,72
2013-08-14,80
2013-08-15,87
2013-08-16,95
2013-08-17,103
2013-08-18,95
2013-08-19,84
2013-08-20,75
2013-08-21,67
2013-08-22,59
2013-08-23,50
2013-08-24,42
2013-08-25,40
2013-09-01,26
2013-09-02,25
2013-09-03,24
2013-09-04,23
2013-09-05,22
2013-09-06,21
2013-09-07,20
2013-09-08,22
2013-09-09,24
2013-09-10,26
2013-09-11,28
2013-09-12,30
2013-09-13,32
2013-09-14,34
2013-09-15,32
2013-09-16,29
2013-09-17,27
2013-09-18,24
2013-09-19,22
2013-09-20,20
2013-09-21,18
2013-09-22,20
2013-09-23,23
2013-09-24,25
2013-09-25,28
2013-09-26,30
2013-09-27,33
2013-09-28,35
2013-09-29,34
2013-09-30,32
2013-10-01,30
2013-10-02,29
2013-10-03,27
2013-10-04,26
2013-10-05,25
2013-10-06,25
2013-10-07,25
2013-10-08,25
2013-10-09,25
2013-10-10,25
2013-10-11,25
2013-10-12,25
2013-10-13,25
2013-10-14,26
2013-10-15,26
2013-10-16,26
2013-10-17,27
2013-10-18,27
2013-10-19,28
2013-10-20,28
2013-10-21,28
2013-10-22,28
2013-10-23,29
2013-10-24,29
2013-10-25,29
2013-10-26,30
2013-10-27,30
2013-10-28,30
2013-10-29,31
2013-10-30,31
2013-10-31,32
2013-11-01,32
2013-11-02,33
2013-11-03,34
2013-11-04,35
2013-11-05,36
2013-11-06,37
2013-11-07,38
2013-11-08,39
2013-11-09,40
2013-11-10,39
2013-11-11,38
2013-11-12,37
2013-11-13,36
2013-11-14,35
2013-11-15,34
2013-11-16,34
2013-11-17,34
2013-11-18,34
2013-11-19,34
2013-11-20,35
2013-11-21,35
2013-11-22,35
2013-11-23,35
2013-11-24,33
2013-12-01,20
2013-12-02,22
2013-12-03,23
2013-12-04,24
2013-12-05,26
2013-12-06,27
2013-12-07,29
2013-12-08,29
2013-12-09,29
2013-12-10,29
2013-12-11,29
2013-12-12,29
2013-12-13,29
2013-12-14,29
2013-12-15,29
2013-12-16,29
2013-12-17,29
2013-12-18,29
2013-12-19,29
2013-12-20,29
2013-12-21,29
2013-12-22,29
2013-12-23,29
2013-12-24,29
2013-12-25,29
2013-12-26,29
2013-12-27,29
2013-12-28,29
2013-12-29,29
2013-12-30,29
2013-12-31,29
2014-01-01,29
2014-01-02,29
2014-01-03,29
2014-01-04,29
2014-01-05,29
2014-01-06,30
2014-01-07,30
2014-01-08,31
2014-01-09,31
2014-01-10,32
2014-01-11,33
2014-01-12,33
2014-01-13,34
2014-01-14,35
2014-01-15,35
2014-01-16,36
2014-01-17,37
2014-01-18,38
2014-01-19,36
2014-01-20,34
2014-01-21,32
2014-01-22,30
2014-01-23,28
2014-01-24,26
2014-01-25,24
2014-01-26,23
2014-01-27,22
2014-01-28,21
2014-01-29,20
2014-01-30,19
2014-01-31,18
2014-02-01,17
