Date,Violin Memory
2013-02-09,35
2013-02-10,32
2013-02-11,30
2013-02-12,28
2013-02-13,27
2013-02-14,25
2013-02-15,23
2013-02-16,23
2013-02-17,22
2013-02-18,22
2013-02-19,22
2013-02-20,23
2013-02-21,23
2013-02-22,23
2013-02-23,24
2013-02-24,24
2013-02-25,24
2013-02-26,25
2013-02-27,26
2013-02-28,26
2013-03-01,26
2013-03-02,27
2013-03-03,28
2013-03-04,30
2013-03-05,32
2013-03-06,36
2013-03-07,35
2013-03-08,37
2013-03-09,39
2013-03-10,36
2013-03-11,34
2013-03-12,32
2013-03-13,30
2013-03-14,28
2013-03-15,26
2013-03-16,24
2013-03-17,24
2013-03-18,24
2013-03-19,24
2013-03-20,24
2013-03-21,24
2013-03-22,24
2013-03-23,24
2013-03-24,24
2013-03-25,25
2013-03-26,25
2013-03-27,26
2013-03-28,26
2013-03-29,27
2013-03-30,28
2013-03-31,27
2013-05-01,25
2013-05-02,24
2013-05-03,23
2013-05-04,23
2013-05-05,23
2013-05-06,23
2013-05-07,23
2013-05-08,23
2013-05-09,23
2013-05-10,23
2013-05-11,23
2013-05-12,22
2013-05-13,22
2013-05-14,22
2013-05-15,21
2013-05-16,21
2013-05-17,21
2013-05-18,21
2013-05-19,21
2013-05-20,22
2013-05-21,23
2013-05-22,23
2013-05-23,24
2013-05-24,25
2013-05-25,26
2013-05-26,26
2013-05-27,26
2013-05-28,27
2013-05-29,28
2013-05-30,28
2013-05-31,28
2013-06-01,29
2013-06-02,27
2013-06-03,26
2013-06-04,25
2013-06-05,24
2013-06-06,23
2013-06-07,22
2013-06-08,21
2013-06-09,20
2013-06-10,20
2013-06-11,20
2013-06-12,19
2013-06-13,20
2013-06-14,19
2013-06-15,19
2013-06-16,19
2013-06-17,19
2013-06-18,19
2013-06-19,19
2013-06-20,19
2013-06-21,19
2013-06-22,20
2013-06-23,20
2013-06-24,20
2013-06-25,20
2013-06-26,20
2013-06-27,20
2013-06-28,20
2013-06-29,21
2013-06-30,20
2013-07-01,20
2013-07-02,20
2013-07-03,19
2013-07-04,19
2013-07-05,19
2013-07-06,19
2013-07-07,19
2013-07-08,19
2013-07-09,20
2013-07-10,19
2013-07-11,19
2013-07-12,19
2013-07-13,20
2013-07-14,20
2013-07-15,20
2013-07-16,20
2013-07-17,21
2013-07-18,21
2013-07-19,21
2013-07-20,22
2013-07-21,24
2013-07-22,27
2013-07-23,33
2013-07-24,32
2013-07-25,38
2013-07-26,38
2013-07-27,41
2013-07-28,41
2013-07-29,36
2013-07-30,33
2013-07-31,31
2013-08-01,28
2013-08-02,27
2013-08-03,24
2013-08-04,23
2013-08-05,22
2013-08-06,21
2013-08-07,20
2013-08-08,19
2013-08-09,19
2013-08-10,18
2013-08-11,18
2013-08-12,19
2013-08-13,19
2013-08-14,20
2013-08-15,20
2013-08-16,21
2013-08-17,22
2013-08-18,22
2013-08-19,22
2013-08-20,22
2013-08-21,23
2013-08-22,24
2013-08-23,23
2013-08-24,24
2013-08-25,26
2013-08-26,29
2013-08-27,32
2013-08-28,36
2013-08-29,37
2013-08-30,40
2013-08-31,46
2013-09-01,41
2013-09-02,39
2013-09-03,38
2013-09-04,37
2013-09-05,36
2013-09-06,34
2013-09-07,32
2013-09-08,32
2013-09-09,32
2013-09-10,32
2013-09-11,32
2013-09-12,32
2013-09-13,32
2013-09-14,32
2013-09-15,32
2013-09-16,33
2013-09-17,38
2013-09-18,34
2013-09-19,35
2013-09-20,40
2013-09-21,37
2013-09-22,46
2013-09-23,55
2013-09-24,67
2013-09-25,73
2013-09-26,82
2013-09-27,91
2013-09-28,117
2013-09-29,105
2013-09-30,85
2013-10-01,84
2013-10-02,76
2013-10-03,65
2013-10-04,57
2013-10-05,55
2013-10-06,46
2013-10-07,42
2013-10-08,39
2013-10-09,37
2013-10-10,32
2013-10-11,28
2013-10-12,25
2013-10-13,25
2013-10-14,26
2013-10-15,26
2013-10-16,27
2013-10-17,27
2013-10-18,28
2013-10-19,29
2013-10-20,28
2013-10-21,28
2013-10-22,30
2013-10-23,27
2013-10-24,26
2013-10-25,27
2013-10-26,26
2013-10-27,25
2013-10-28,24
2013-10-29,23
2013-10-30,22
2013-10-31,21
2013-11-01,20
2013-11-02,19
2013-11-03,19
2013-11-04,20
2013-11-05,20
2013-11-06,21
2013-11-07,21
2013-11-08,22
2013-11-09,23
2013-11-10,22
2013-11-11,22
2013-11-12,22
2013-11-13,22
2013-11-14,22
2013-11-15,22
2013-11-16,22
2013-11-17,25
2013-11-18,28
2013-11-19,31
2013-11-20,37
2013-11-21,38
2013-11-22,41
2013-11-23,48
2013-11-24,45
2013-11-25,40
2013-11-26,38
2013-11-27,36
2013-11-28,32
2013-11-29,30
2013-11-30,28
2013-12-01,26
2013-12-02,25
2013-12-03,25
2013-12-04,23
2013-12-05,22
2013-12-06,21
2013-12-07,20
2013-12-08,21
2013-12-09,23
2013-12-10,25
2013-12-11,27
2013-12-12,29
2013-12-13,31
2013-12-14,33
2013-12-15,33
2013-12-16,34
2013-12-17,34
2013-12-18,37
2013-12-19,38
2013-12-20,36
2013-12-21,37
2013-12-22,34
2013-12-23,31
2013-12-24,28
2013-12-25,25
2013-12-26,22
2013-12-27,19
2013-12-28,17
2013-12-29,17
2013-12-30,17
2013-12-31,18
2014-01-01,18
2014-01-02,19
2014-01-03,19
2014-01-04,20
2014-01-05,20
2014-01-06,20
2014-01-07,20
2014-01-08,20
2014-01-09,20
2014-01-10,20
2014-01-11,21
2014-01-12,21
2014-01-13,22
2014-01-14,23
2014-01-15,25
2014-01-16,24
2014-01-17,25
2014-01-18,26
2014-01-19,25
2014-01-20,25
2014-01-21,25
2014-01-22,25
2014-01-23,26
2014-01-24,25
2014-01-25,26
2014-01-26,25
2014-01-27,26
2014-01-28,27
2014-01-29,27
2014-01-30,28
2014-01-31,29
2014-02-01,30
2014-02-02,28
2014-02-03,27
2014-02-04,28
2014-02-05,24
2014-02-06,22
2014-02-07,21
2014-02-08,20
2014-02-09,20
2014-02-10,20
2014-02-11,20
2014-02-12,20
2014-02-13,20
2014-02-14,20
2014-02-15,20
2014-02-16,20
2014-02-17,21
2014-02-18,21
2014-02-19,23
2014-02-20,22
