Date,Regional Management Corp
2012-01-05,0
2012-01-06,0
2012-01-07,0
2012-01-08,0
2012-01-09,0
2012-01-10,0
2012-01-11,0
2012-01-12,0
2012-01-13,0
2012-01-14,0
2012-01-15,0
2012-01-16,0
2012-01-17,0
2012-01-18,0
2012-01-19,0
2012-01-20,0
2012-01-21,0
2012-01-22,0
2012-01-23,0
2012-01-24,0
2012-01-25,0
2012-01-26,0
2012-01-27,0
2012-01-28,0
2012-01-29,0
2012-01-30,0
2012-01-31,0
2012-02-01,0
2012-02-02,3
2012-02-03,6
2012-02-04,9
2012-02-05,13
2012-02-06,16
2012-02-07,19
2012-02-08,22
2012-02-09,26
2012-02-10,29
2012-02-11,32
2012-02-12,36
2012-02-13,39
2012-02-14,42
2012-02-15,45
2012-02-16,49
2012-02-17,52
2012-02-18,55
2012-02-19,58
2012-02-20,62
2012-02-21,65
2012-02-22,68
2012-02-23,72
2012-02-24,75
2012-02-25,78
2012-02-26,81
2012-02-27,85
2012-02-28,88
2012-02-29,91
2012-03-01,95
2012-03-02,95
2012-03-03,95
2012-03-04,95
2012-03-05,95
2012-03-06,95
2012-03-07,95
2012-03-08,95
2012-03-09,95
2012-03-10,95
2012-03-11,95
2012-03-12,95
2012-03-13,95
2012-03-14,95
2012-03-15,95
2012-03-16,95
2012-03-17,96
2012-03-18,96
2012-03-19,96
2012-03-20,96
2012-03-21,96
2012-03-22,96
2012-03-23,96
2012-03-24,96
2012-03-25,96
2012-03-26,96
2012-03-27,96
2012-03-28,96
2012-03-29,96
2012-03-30,96
2012-03-31,96
2012-04-01,97
2012-04-02,97
2012-04-03,97
2012-04-04,97
2012-04-05,97
2012-04-06,97
2012-04-07,97
2012-04-08,97
2012-04-09,97
2012-04-10,97
2012-04-11,98
2012-04-12,98
2012-04-13,98
2012-04-14,98
2012-04-15,98
2012-04-16,98
2012-04-17,98
2012-04-18,98
2012-04-19,98
2012-04-20,98
2012-04-21,99
2012-04-22,99
2012-04-23,99
2012-04-24,99
2012-04-25,99
2012-04-26,99
2012-04-27,99
2012-04-28,99
2012-04-29,99
2012-04-30,99
2012-05-01,100
2012-05-02,98
2012-05-03,97
2012-05-04,96
2012-05-05,95
2012-05-06,94
2012-05-07,93
2012-05-08,92
2012-05-09,91
2012-05-10,90
2012-05-11,89
2012-05-12,88
2012-05-13,87
2012-05-14,86
2012-05-15,85
2012-05-16,84
2012-05-17,82
2012-05-18,81
2012-05-19,80
2012-05-20,79
2012-05-21,78
2012-05-22,77
2012-05-23,76
2012-05-24,75
2012-05-25,74
2012-05-26,73
2012-05-27,72
2012-05-28,71
2012-05-29,70
2012-05-30,69
2012-05-31,68
2012-06-01,67
2012-06-02,67
2012-06-03,67
2012-06-04,67
2012-06-05,67
2012-06-06,67
2012-06-07,67
2012-06-08,67
2012-06-09,67
2012-06-10,67
2012-06-11,67
2012-06-12,67
2012-06-13,67
2012-06-14,67
2012-06-15,67
2012-06-16,67
2012-06-17,67
2012-06-18,67
2012-06-19,67
2012-06-20,67
2012-06-21,67
2012-06-22,67
2012-06-23,67
2012-06-24,67
2012-06-25,67
2012-06-26,67
2012-06-27,67
2012-06-28,67
2012-06-29,67
2012-06-30,67
2012-07-01,67
2012-07-02,67
2012-07-03,67
2012-07-04,67
2012-07-05,67
2012-07-06,67
2012-07-07,67
2012-07-08,67
2012-07-09,67
2012-07-10,67
2012-07-11,67
2012-07-12,68
2012-07-13,68
2012-07-14,68
2012-07-15,68
2012-07-16,68
2012-07-17,68
2012-07-18,68
2012-07-19,68
2012-07-20,68
2012-07-21,68
2012-07-22,69
2012-07-23,69
2012-07-24,69
2012-07-25,69
2012-07-26,69
2012-07-27,69
2012-07-28,69
2012-07-29,69
2012-07-30,69
2012-07-31,69
2012-08-01,70
2012-08-02,70
2012-08-03,70
2012-08-04,70
2012-08-05,70
2012-08-06,70
2012-08-07,70
2012-08-08,70
2012-08-09,70
2012-08-10,70
2012-08-11,70
2012-08-12,71
2012-08-13,71
2012-08-14,71
2012-08-15,71
2012-08-16,71
2012-08-17,71
2012-08-18,71
2012-08-19,71
2012-08-20,71
2012-08-21,71
2012-08-22,72
2012-08-23,72
2012-08-24,72
2012-08-25,72
2012-08-26,72
2012-08-27,72
2012-08-28,72
2012-08-29,72
2012-08-30,72
2012-08-31,72
2012-09-01,73
2012-09-02,72
2012-09-03,72
2012-09-04,72
2012-09-05,72
2012-09-06,72
2012-09-07,72
2012-09-08,72
2012-09-09,72
2012-09-10,72
2012-09-11,72
2012-09-12,72
2012-09-13,72
2012-09-14,72
2012-09-15,72
2012-09-16,72
2012-09-17,72
2012-09-18,72
2012-09-19,72
2012-09-20,72
2012-09-21,72
2012-09-22,72
2012-09-23,72
2012-09-24,72
2012-09-25,72
2012-09-26,72
2012-09-27,72
2012-09-28,72
2012-09-29,72
2012-09-30,72
2012-10-01,72
2012-10-02,71
2012-10-03,71
2012-10-04,70
2012-10-05,70
2012-10-06,70
2012-10-07,69
2012-10-08,69
2012-10-09,69
2012-10-10,68
2012-10-11,68
2012-10-12,68
2012-10-13,67
2012-10-14,67
2012-10-15,67
2012-10-16,66
2012-10-17,66
2012-10-18,65
2012-10-19,65
2012-10-20,65
2012-10-21,64
2012-10-22,64
2012-10-23,64
2012-10-24,63
2012-10-25,63
2012-10-26,63
2012-10-27,62
2012-10-28,62
2012-10-29,62
2012-10-30,61
2012-10-31,61
