Date,Acme Packet
2006-09-19,23
2006-09-20,23
2006-09-21,23
2006-09-22,23
2006-09-23,24
2006-09-24,23
2006-09-25,23
2006-09-26,22
2006-09-27,22
2006-09-28,21
2006-09-29,21
2006-09-30,21
2006-10-01,20
2006-10-02,20
2006-10-03,20
2006-10-04,19
2006-10-05,19
2006-10-06,19
2006-10-07,19
2006-10-08,30
2006-10-09,42
2006-10-10,54
2006-10-11,65
2006-10-12,77
2006-10-13,89
2006-10-14,100
2006-10-15,96
2006-10-16,92
2006-10-17,87
2006-10-18,83
2006-10-19,78
2006-10-20,74
2006-10-21,69
2006-10-22,63
2006-10-23,56
2006-10-24,50
2006-10-25,44
2006-10-26,38
2006-10-27,32
2006-10-28,26
2006-10-29,26
2006-10-30,26
2006-10-31,26
2006-11-01,26
2006-11-02,26
2006-11-03,26
2006-11-04,26
2006-11-05,25
2006-11-06,24
2006-11-07,24
2006-11-08,23
2006-11-09,23
2006-11-10,22
2006-11-11,22
2006-11-12,22
2006-11-13,22
2006-11-14,22
2006-11-15,23
2006-11-16,23
2006-11-17,23
2006-11-18,24
2006-11-19,24
2006-11-20,24
2006-11-21,24
2006-11-22,25
2006-11-23,25
2006-11-24,25
2006-11-25,26
2006-11-26,26
2006-12-03,27
2006-12-04,26
2006-12-05,25
2006-12-06,24
2006-12-07,23
2006-12-08,22
2006-12-09,21
2006-12-10,20
2006-12-11,19
2006-12-12,18
2006-12-13,17
2006-12-14,16
2006-12-15,15
2006-12-16,15
2006-12-17,17
2006-12-18,19
2006-12-19,21
2006-12-20,23
2006-12-21,25
2006-12-22,28
2006-12-23,30
2006-12-24,28
2006-12-25,26
2006-12-26,25
2006-12-27,23
2006-12-28,22
2006-12-29,20
2006-12-30,19
2006-12-31,18
2007-01-01,18
2007-01-02,18
2007-01-03,18
2007-01-04,18
2007-01-05,18
2007-01-06,18
2007-01-07,17
2007-01-08,17
2007-01-09,17
2007-01-10,17
2007-01-11,17
2007-01-12,17
2007-01-13,17
2007-01-14,19
2007-01-15,21
2007-01-16,23
2007-01-17,25
2007-01-18,27
2007-01-19,29
2007-01-20,31
2007-01-21,30
2007-01-22,29
2007-01-23,28
2007-01-24,27
2007-01-25,27
2007-01-26,26
2007-01-27,25
2007-01-28,24
2007-01-29,23
2007-01-30,22
2007-01-31,21
2007-02-01,20
2007-02-02,19
2007-02-03,19
2007-02-04,20
2007-02-05,21
2007-02-06,22
2007-02-07,23
2007-02-08,24
2007-02-09,26
2007-02-10,27
2007-02-11,26
2007-02-12,25
2007-02-13,24
2007-02-14,23
2007-02-15,22
2007-02-16,21
2007-02-17,20
2007-02-18,20
2007-02-19,20
2007-02-20,20
2007-02-21,20
2007-02-22,20
2007-02-23,20
2007-02-24,20
2007-02-25,19
2007-03-04,17
2007-03-05,17
2007-03-06,17
2007-03-07,17
2007-03-08,17
2007-03-09,17
2007-03-10,17
2007-03-11,17
2007-03-12,16
2007-03-13,16
2007-03-14,16
2007-03-15,16
2007-03-16,16
2007-03-17,16
2007-03-18,15
2007-03-19,15
2007-03-20,15
2007-03-21,14
2007-03-22,14
2007-03-23,14
2007-03-24,14
2007-03-25,14
2007-03-26,15
2007-03-27,15
2007-03-28,16
2007-03-29,16
2007-03-30,17
2007-03-31,18
2007-04-01,18
2007-04-02,18
2007-04-03,18
2007-04-04,18
2007-04-05,18
2007-04-06,18
2007-04-07,19
2007-04-08,18
2007-04-09,18
2007-04-10,17
2007-04-11,17
2007-04-12,16
2007-04-13,16
2007-04-14,16
2007-04-15,15
2007-04-16,15
2007-04-17,15
2007-04-18,14
2007-04-19,14
2007-04-20,14
2007-04-21,14
2007-04-22,14
2007-04-23,14
2007-04-24,15
2007-04-25,15
2007-04-26,16
2007-04-27,16
2007-04-28,17
2007-04-29,18
2007-04-30,20
2007-05-01,21
2007-05-02,23
2007-05-03,24
2007-05-04,26
2007-05-05,28
2007-05-06,27
2007-05-07,27
2007-05-08,26
2007-05-09,26
2007-05-10,26
2007-05-11,25
2007-05-12,25
2007-05-13,24
2007-05-14,22
2007-05-15,21
2007-05-16,20
2007-05-17,18
2007-05-18,17
2007-05-19,16
2007-05-20,15
2007-05-21,14
2007-05-22,14
2007-05-23,13
2007-05-24,13
2007-05-25,12
2007-05-26,12
2007-05-27,11
2007-06-03,14
2007-06-04,14
2007-06-05,14
2007-06-06,13
2007-06-07,13
2007-06-08,13
2007-06-09,13
2007-06-10,14
2007-06-11,15
2007-06-12,16
2007-06-13,17
2007-06-14,18
2007-06-15,19
2007-06-16,21
2007-06-17,20
2007-06-18,20
2007-06-19,20
2007-06-20,19
2007-06-21,19
2007-06-22,19
2007-06-23,19
2007-06-24,18
2007-06-25,17
2007-06-26,16
2007-06-27,15
2007-06-28,14
2007-06-29,13
2007-06-30,12
2007-07-01,12
2007-07-02,13
2007-07-03,14
2007-07-04,14
2007-07-05,15
2007-07-06,16
2007-07-07,17
2007-07-08,17
2007-07-09,18
2007-07-10,18
2007-07-11,19
2007-07-12,19
2007-07-13,20
2007-07-14,21
2007-07-15,20
2007-07-16,20
2007-07-17,19
2007-07-18,18
2007-07-19,18
2007-07-20,17
2007-07-21,17
2007-07-22,16
2007-07-23,15
2007-07-24,15
2007-07-25,14
2007-07-26,14
2007-07-27,13
2007-07-28,13
2007-07-29,13
2007-07-30,14
2007-07-31,15
2007-08-01,15
2007-08-02,16
2007-08-03,17
2007-08-04,18
2007-08-05,18
2007-08-06,19
2007-08-07,19
2007-08-08,20
2007-08-09,21
2007-08-10,21
2007-08-11,22
2007-08-12,21
2007-08-13,20
2007-08-14,20
2007-08-15,19
2007-08-16,19
2007-08-17,18
2007-08-18,18
2007-08-19,18
2007-08-20,18
2007-08-21,19
2007-08-22,19
2007-08-23,19
2007-08-24,19
2007-08-25,20
2007-08-26,20
2007-09-02,20
2007-09-03,19
2007-09-04,18
2007-09-05,17
2007-09-06,16
2007-09-07,15
2007-09-08,14
2007-09-09,14
2007-09-10,14
2007-09-11,15
2007-09-12,15
2007-09-13,16
2007-09-14,16
2007-09-15,17
2007-09-16,17
2007-09-17,18
2007-09-18,19
2007-09-19,20
2007-09-20,21
2007-09-21,22
2007-09-22,23
2007-09-23,21
2007-09-24,20
2007-09-25,18
2007-09-26,17
2007-09-27,15
2007-09-28,14
2007-09-29,13
2007-09-30,13
2007-10-01,14
2007-10-02,14
2007-10-03,15
2007-10-04,15
2007-10-05,16
2007-10-06,17
2007-10-07,16
2007-10-08,15
2007-10-09,14
2007-10-10,14
2007-10-11,13
2007-10-12,12
2007-10-13,12
2007-10-14,12
2007-10-15,13
2007-10-16,13
2007-10-17,14
2007-10-18,14
2007-10-19,15
2007-10-20,16
2007-10-21,16
2007-10-22,17
2007-10-23,17
2007-10-24,18
2007-10-25,19
2007-10-26,19
2007-10-27,20
2007-10-28,19
2007-10-29,19
2007-10-30,18
2007-10-31,18
2007-11-01,17
2007-11-02,17
2007-11-03,17
2007-11-04,16
2007-11-05,16
2007-11-06,16
2007-11-07,16
2007-11-08,16
2007-11-09,16
2007-11-10,16
2007-11-11,15
2007-11-12,14
2007-11-13,13
2007-11-14,12
2007-11-15,11
2007-11-16,10
2007-11-17,9
2007-11-18,9
2007-11-19,9
2007-11-20,10
2007-11-21,10
2007-11-22,11
2007-11-23,11
2007-11-24,12
2007-11-25,12
