Date,Bankrate
2010-10-09,85
2010-10-10,81
2010-10-11,80
2010-10-12,80
2010-10-13,83
2010-10-14,81
2010-10-15,81
2010-10-16,87
2010-10-17,84
2010-10-18,81
2010-10-19,83
2010-10-20,82
2010-10-21,79
2010-10-22,79
2010-10-23,81
2010-10-24,82
2010-10-25,78
2010-10-26,79
2010-10-27,77
2010-10-28,79
2010-10-29,76
2010-10-30,79
2010-10-31,81
2010-11-01,77
2010-11-02,77
2010-11-03,78
2010-11-04,78
2010-11-05,79
2010-11-06,86
2010-11-07,80
2010-11-08,80
2010-11-09,80
2010-11-10,81
2010-11-11,81
2010-11-12,81
2010-11-13,83
2010-11-14,85
2010-11-15,79
2010-11-16,78
2010-11-17,80
2010-11-18,77
2010-11-19,77
2010-11-20,79
2010-11-21,76
2010-11-22,69
2010-11-23,66
2010-11-24,67
2010-11-25,64
2010-11-26,56
2010-11-27,53
2010-11-28,56
2010-11-29,57
2010-11-30,59
2010-12-01,61
2010-12-02,63
2010-12-03,65
2010-12-04,68
2010-12-05,71
2010-12-06,65
2010-12-07,65
2010-12-08,64
2010-12-09,67
2010-12-10,63
2010-12-11,66
2010-12-12,63
2010-12-13,64
2010-12-14,66
2010-12-15,66
2010-12-16,68
2010-12-17,68
2010-12-18,71
2010-12-19,68
2010-12-20,64
2010-12-21,62
2010-12-22,59
2010-12-23,56
2010-12-24,58
2010-12-25,52
2010-12-26,53
2010-12-27,54
2010-12-28,55
2010-12-29,59
2010-12-30,58
2010-12-31,62
2011-01-01,61
2011-01-02,62
2011-01-03,64
2011-01-04,66
2011-01-05,68
2011-01-06,68
2011-01-07,70
2011-01-08,75
2011-01-09,74
2011-01-10,69
2011-01-11,68
2011-01-12,67
2011-01-13,66
2011-01-14,66
2011-01-15,65
2011-01-16,63
2011-01-17,63
2011-01-18,61
2011-01-19,62
2011-01-20,61
2011-01-21,60
2011-01-22,60
2011-01-23,59
2011-01-24,59
2011-01-25,60
2011-01-26,62
2011-01-27,61
2011-01-28,62
2011-01-29,63
2011-01-30,63
2011-01-31,60
2011-02-01,60
2011-02-02,59
2011-02-03,58
2011-02-04,57
2011-02-05,59
2011-02-06,58
2011-02-07,58
2011-02-08,58
2011-02-09,60
2011-02-10,59
2011-02-11,62
2011-02-12,63
2011-02-13,61
2011-02-14,61
2011-02-15,61
2011-02-16,61
2011-02-17,62
2011-02-18,61
2011-02-19,63
2011-02-20,61
2011-02-21,61
2011-02-22,61
2011-02-23,61
2011-02-24,62
2011-02-25,61
2011-02-26,63
2011-02-27,63
2011-02-28,63
2011-03-01,64
2011-03-02,65
2011-03-03,65
2011-03-04,66
2011-03-05,70
2011-03-06,66
2011-03-07,66
2011-03-08,66
2011-03-09,66
2011-03-10,67
2011-03-11,67
2011-03-12,67
2011-03-13,65
2011-03-14,63
2011-03-15,63
2011-03-16,63
2011-03-17,62
2011-03-18,62
2011-03-19,61
2011-03-20,64
2011-03-21,60
2011-03-22,60
2011-03-23,59
2011-03-24,59
2011-03-25,58
2011-03-26,61
2011-03-27,58
2011-03-28,58
2011-03-29,59
2011-03-30,58
2011-03-31,60
2011-04-01,58
2011-04-02,62
2011-04-03,58
2011-04-04,57
2011-04-05,57
2011-04-06,57
2011-04-07,56
2011-04-08,55
2011-04-09,56
2011-04-10,56
2011-04-11,55
2011-04-12,56
2011-04-13,59
2011-04-14,57
2011-04-15,57
2011-04-16,61
2011-04-17,59
2011-04-18,56
2011-04-19,56
2011-04-20,56
2011-04-21,53
2011-04-22,53
2011-04-23,52
2011-04-24,54
2011-04-25,53
2011-04-26,55
2011-04-27,55
2011-04-28,56
2011-04-29,57
2011-04-30,62
2011-05-01,58
2011-05-02,58
2011-05-03,60
2011-05-04,59
2011-05-05,58
2011-05-06,58
2011-05-07,64
2011-05-08,61
2011-05-09,58
2011-05-10,57
2011-05-11,57
2011-05-12,58
2011-05-13,56
2011-05-14,59
2011-05-15,56
2011-05-16,56
2011-05-17,57
2011-05-18,56
2011-05-19,58
2011-05-20,56
2011-05-21,63
2011-05-22,56
2011-05-23,56
2011-05-24,55
2011-05-25,55
2011-05-26,54
2011-05-27,54
2011-05-28,57
2011-05-29,58
2011-05-30,55
2011-05-31,56
2011-06-01,56
2011-06-02,57
2011-06-03,61
2011-06-04,59
2011-06-05,61
2011-06-06,58
2011-06-07,59
2011-06-08,58
2011-06-09,58
2011-06-10,58
2011-06-11,59
2011-06-12,59
2011-06-13,59
2011-06-14,60
2011-06-15,62
2011-06-16,63
2011-06-17,63
2011-06-18,71
2011-06-19,62
2011-06-20,61
2011-06-21,60
2011-06-22,61
2011-06-23,58
2011-06-24,57
2011-06-25,60
2011-06-26,56
2011-06-27,56
2011-06-28,56
2011-06-29,57
2011-06-30,57
2011-07-01,57
2011-07-02,61
2011-07-03,58
2011-07-04,57
2011-07-05,54
2011-07-06,53
2011-07-07,52
2011-07-08,51
2011-07-09,50
2011-07-10,53
2011-07-11,52
2011-07-12,53
2011-07-13,55
2011-07-14,55
2011-07-15,58
2011-07-16,59
2011-07-17,57
2011-07-18,57
2011-07-19,57
2011-07-20,58
2011-07-21,57
2011-07-22,58
2011-07-23,59
2011-07-24,60
2011-07-25,57
2011-07-26,57
2011-07-27,57
2011-07-28,57
2011-07-29,58
2011-07-30,58
2011-07-31,60
2011-08-01,63
2011-08-02,66
2011-08-03,69
2011-08-04,72
2011-08-05,75
2011-08-06,81
2011-08-07,84
2011-08-08,84
2011-08-09,88
2011-08-10,90
2011-08-11,94
2011-08-12,99
2011-08-13,104
2011-08-14,98
2011-08-15,96
2011-08-16,96
2011-08-17,96
2011-08-18,90
2011-08-19,91
2011-08-20,92
2011-08-21,85
2011-08-22,79
2011-08-23,76
2011-08-24,73
2011-08-25,72
2011-08-26,68
2011-08-27,67
2011-08-28,65
2011-08-29,63
2011-08-30,63
2011-08-31,62
2011-09-01,62
2011-09-02,63
2011-09-03,63
2011-09-04,61
2011-09-05,63
2011-09-06,60
2011-09-07,62
2011-09-08,59
2011-09-09,59
2011-09-10,64
2011-09-11,61
2011-09-12,59
2011-09-13,60
2011-09-14,61
2011-09-15,60
2011-09-16,61
2011-09-17,62
2011-09-18,66
2011-09-19,67
2011-09-20,70
2011-09-21,73
2011-09-22,76
2011-09-23,83
2011-09-24,84
2011-09-25,85
2011-09-26,80
2011-09-27,79
2011-09-28,80
2011-09-29,77
2011-09-30,77
2011-10-01,75
2011-10-02,80
2011-10-03,76
2011-10-04,77
2011-10-05,79
2011-10-06,78
2011-10-07,82
2011-10-08,84
2011-10-09,82
2011-10-10,75
2011-10-11,72
2011-10-12,70
2011-10-13,67
2011-10-14,67
2011-10-15,67
2011-10-16,63
2011-10-17,62
2011-10-18,64
2011-10-19,62
2011-10-20,63
2011-10-21,62
2011-10-22,65
2011-10-23,62
2011-10-24,62
2011-10-25,65
2011-10-26,64
2011-10-27,64
2011-10-28,65
2011-10-29,66
2011-10-30,69
2011-10-31,65
2011-11-01,65
2011-11-02,65
2011-11-03,65
2011-11-04,65
2011-11-05,69
2011-11-06,63
2011-11-07,62
2011-11-08,61
2011-11-09,59
2011-11-10,59
2011-11-11,58
2011-11-12,57
2011-11-13,58
2011-11-14,56
2011-11-15,58
2011-11-16,56
2011-11-17,56
2011-11-18,56
2011-11-19,58
2011-11-20,56
2011-11-21,52
2011-11-22,50
2011-11-23,49
2011-11-24,53
2011-11-25,45
2011-11-26,44
2011-11-27,46
2011-11-28,46
2011-11-29,47
2011-11-30,48
2011-12-01,52
2011-12-02,50
2011-12-03,55
2011-12-04,52
2011-12-05,52
2011-12-06,52
2011-12-07,52
2011-12-08,52
2011-12-09,52
2011-12-10,54
2011-12-11,57
2011-12-12,53
2011-12-13,54
2011-12-14,56
2011-12-15,55
2011-12-16,57
2011-12-17,58
2011-12-18,58
2011-12-19,53
2011-12-20,53
2011-12-21,51
2011-12-22,49
2011-12-23,47
2011-12-24,50
2011-12-25,47
2011-12-26,48
2011-12-27,49
2011-12-28,50
2011-12-29,51
2011-12-30,54
2011-12-31,54
2012-01-01,54
2012-01-02,55
2012-01-03,56
2012-01-04,58
2012-01-05,59
2012-01-06,61
2012-01-07,63
2012-01-08,66
2012-01-09,64
2012-01-10,65
2012-01-11,68
2012-01-12,67
2012-01-13,68
2012-01-14,73
2012-01-15,71
2012-01-16,67
2012-01-17,66
2012-01-18,66
2012-01-19,64
2012-01-20,63
2012-01-21,64
2012-01-22,63
2012-01-23,62
2012-01-24,62
2012-01-25,62
2012-01-26,63
2012-01-27,63
2012-01-28,65
2012-01-29,63
2012-01-30,63
2012-01-31,63
2012-02-01,64
2012-02-02,64
2012-02-03,66
2012-02-04,67
2012-02-05,66
2012-02-06,64
2012-02-07,63
2012-02-08,64
2012-02-09,62
2012-02-10,64
2012-02-11,64
2012-02-12,63
2012-02-13,61
2012-02-14,61
2012-02-15,60
2012-02-16,60
2012-02-17,60
2012-02-18,62
2012-02-19,60
2012-02-20,59
2012-02-21,59
2012-02-22,59
2012-02-23,58
2012-02-24,58
2012-02-25,58
2012-02-26,60
2012-02-27,58
2012-02-28,58
2012-02-29,60
2012-03-01,59
2012-03-02,62
2012-03-03,60
2012-03-04,63
2012-03-05,60
2012-03-06,60
2012-03-07,62
2012-03-08,60
2012-03-09,61
2012-03-10,61
2012-03-11,65
2012-03-12,60
2012-03-13,61
2012-03-14,60
2012-03-15,62
2012-03-16,60
2012-03-17,61
2012-03-18,60
2012-03-19,60
2012-03-20,60
2012-03-21,60
2012-03-22,61
2012-03-23,60
2012-03-24,62
2012-03-25,61
2012-03-26,61
2012-03-27,63
2012-03-28,61
2012-03-29,63
2012-03-30,62
2012-03-31,62
2012-04-01,61
2012-04-02,61
2012-04-03,60
2012-04-04,60
2012-04-05,60
2012-04-06,60
2012-04-07,61
2012-04-08,59
2012-04-09,59
2012-04-10,60
2012-04-11,60
2012-04-12,60
2012-04-13,61
2012-04-14,62
2012-04-15,62
2012-04-16,60
2012-04-17,59
2012-04-18,60
2012-04-19,58
2012-04-20,59
2012-04-21,60
2012-04-22,58
2012-04-23,59
2012-04-24,60
2012-04-25,60
2012-04-26,63
2012-04-27,62
2012-04-28,66
2012-04-29,64
2012-04-30,63
2012-05-01,65
2012-05-02,65
2012-05-03,64
2012-05-04,65
2012-05-05,68
2012-05-06,66
2012-05-07,65
2012-05-08,65
2012-05-09,65
2012-05-10,65
2012-05-11,65
2012-05-12,66
2012-05-13,67
2012-05-14,64
2012-05-15,64
2012-05-16,65
2012-05-17,63
2012-05-18,64
2012-05-19,65
2012-05-20,64
2012-05-21,61
2012-05-22,61
2012-05-23,61
2012-05-24,60
2012-05-25,60
2012-05-26,62
2012-05-27,61
2012-05-28,59
2012-05-29,59
2012-05-30,59
2012-05-31,59
2012-06-01,59
2012-06-02,63
2012-06-03,61
2012-06-04,61
2012-06-05,63
2012-06-06,62
2012-06-07,64
2012-06-08,64
2012-06-09,68
2012-06-10,65
2012-06-11,61
2012-06-12,60
2012-06-13,60
2012-06-14,57
2012-06-15,55
2012-06-16,57
2012-06-17,55
2012-06-18,55
2012-06-19,56
2012-06-20,57
2012-06-21,59
2012-06-22,59
2012-06-23,65
2012-06-24,60
2012-06-25,59
2012-06-26,59
2012-06-27,60
2012-06-28,59
2012-06-29,59
2012-06-30,60
2012-07-01,58
2012-07-02,58
2012-07-03,59
2012-07-04,63
2012-07-05,58
2012-07-06,58
2012-07-07,58
2012-07-08,62
2012-07-09,59
2012-07-10,60
2012-07-11,62
2012-07-12,62
2012-07-13,64
2012-07-14,65
2012-07-15,66
2012-07-16,63
2012-07-17,63
2012-07-18,63
2012-07-19,63
2012-07-20,62
2012-07-21,66
2012-07-22,63
2012-07-23,64
2012-07-24,66
2012-07-25,66
2012-07-26,67
2012-07-27,70
2012-07-28,73
2012-07-29,69
2012-07-30,67
2012-07-31,65
2012-08-01,64
2012-08-02,63
2012-08-03,62
2012-08-04,60
2012-08-05,62
2012-08-06,59
2012-08-07,59
2012-08-08,59
2012-08-09,59
2012-08-10,61
2012-08-11,61
2012-08-12,59
2012-08-13,59
2012-08-14,59
2012-08-15,59
2012-08-16,59
2012-08-17,59
2012-08-18,61
2012-08-19,61
2012-08-20,58
2012-08-21,59
2012-08-22,58
2012-08-23,58
2012-08-24,59
2012-08-25,60
2012-08-26,57
2012-08-27,56
2012-08-28,55
2012-08-29,57
2012-08-30,55
2012-08-31,53
2012-09-01,53
2012-09-02,54
2012-09-03,54
2012-09-04,52
2012-09-05,53
2012-09-06,51
2012-09-07,52
2012-09-08,53
2012-09-09,52
2012-09-10,53
2012-09-11,54
2012-09-12,57
2012-09-13,57
2012-09-14,58
2012-09-15,63
2012-09-16,62
2012-09-17,60
2012-09-18,60
2012-09-19,60
2012-09-20,60
2012-09-21,61
2012-09-22,62
2012-09-23,60
2012-09-24,59
2012-09-25,59
2012-09-26,59
2012-09-27,58
2012-09-28,59
2012-09-29,60
2012-09-30,58
