Date,Neutral Tandem
2006-11-01,0
2006-11-02,0
2006-11-03,0
2006-11-04,0
2006-11-05,0
2006-11-06,0
2006-11-07,0
2006-11-08,0
2006-11-09,0
2006-11-10,0
2006-11-11,0
2006-11-12,0
2006-11-13,0
2006-11-14,0
2006-11-15,0
2006-11-16,0
2006-11-17,0
2006-11-18,0
2006-11-19,0
2006-11-20,0
2006-11-21,0
2006-11-22,0
2006-11-23,0
2006-11-24,0
2006-11-25,0
2006-11-26,0
2006-11-27,0
2006-11-28,0
2006-11-29,0
2006-11-30,0
2006-12-01,0
2006-12-02,0
2006-12-03,0
2006-12-04,0
2006-12-05,0
2006-12-06,0
2006-12-07,0
2006-12-08,0
2006-12-09,0
2006-12-10,0
2006-12-11,0
2006-12-12,0
2006-12-13,0
2006-12-14,0
2006-12-15,0
2006-12-16,0
2006-12-17,0
2006-12-18,0
2006-12-19,0
2006-12-20,0
2006-12-21,0
2006-12-22,0
2006-12-23,0
2006-12-24,0
2006-12-25,0
2006-12-26,0
2006-12-27,0
2006-12-28,0
2006-12-29,0
2006-12-30,0
2006-12-31,0
2007-01-01,0
2007-01-02,0
2007-01-03,0
2007-01-04,0
2007-01-05,0
2007-01-06,0
2007-01-07,0
2007-01-08,0
2007-01-09,0
2007-01-10,0
2007-01-11,0
2007-01-12,0
2007-01-13,0
2007-01-14,0
2007-01-15,0
2007-01-16,0
2007-01-17,0
2007-01-18,0
2007-01-19,0
2007-01-20,0
2007-01-21,0
2007-01-22,0
2007-01-23,0
2007-01-24,0
2007-01-25,0
2007-01-26,0
2007-01-27,0
2007-01-28,0
2007-01-29,0
2007-01-30,0
2007-01-31,0
2007-02-01,0
2007-02-02,0
2007-02-03,0
2007-02-04,0
2007-02-05,0
2007-02-06,0
2007-02-07,0
2007-02-08,0
2007-02-09,0
2007-02-10,0
2007-02-11,0
2007-02-12,0
2007-02-13,0
2007-02-14,0
2007-02-15,0
2007-02-16,0
2007-02-17,0
2007-02-18,0
2007-02-19,0
2007-02-20,0
2007-02-21,0
2007-02-22,0
2007-02-23,0
2007-02-24,0
2007-02-25,0
2007-02-26,0
2007-02-27,0
2007-02-28,0
2007-03-01,0
2007-03-02,0
2007-03-03,0
2007-03-04,0
2007-03-05,0
2007-03-06,0
2007-03-07,0
2007-03-08,0
2007-03-09,0
2007-03-10,0
2007-03-11,0
2007-03-12,0
2007-03-13,0
2007-03-14,0
2007-03-15,0
2007-03-16,0
2007-03-17,0
2007-03-18,0
2007-03-19,0
2007-03-20,0
2007-03-21,0
2007-03-22,0
2007-03-23,0
2007-03-24,0
2007-03-25,0
2007-03-26,0
2007-03-27,0
2007-03-28,0
2007-03-29,0
2007-03-30,0
2007-03-31,0
2007-04-01,0
2007-04-02,1
2007-04-03,2
2007-04-04,3
2007-04-05,4
2007-04-06,6
2007-04-07,7
2007-04-08,8
2007-04-09,9
2007-04-10,10
2007-04-11,12
2007-04-12,13
2007-04-13,14
2007-04-14,15
2007-04-15,16
2007-04-16,18
2007-04-17,19
2007-04-18,20
2007-04-19,21
2007-04-20,22
2007-04-21,24
2007-04-22,25
2007-04-23,26
2007-04-24,27
2007-04-25,28
2007-04-26,30
2007-04-27,31
2007-04-28,32
2007-04-29,33
2007-04-30,34
2007-05-01,36
2007-05-02,36
2007-05-03,36
2007-05-04,36
2007-05-05,37
2007-05-06,37
2007-05-07,37
2007-05-08,37
2007-05-09,38
2007-05-10,38
2007-05-11,38
2007-05-12,38
2007-05-13,39
2007-05-14,39
2007-05-15,39
2007-05-16,39
2007-05-17,40
2007-05-18,40
2007-05-19,40
2007-05-20,40
2007-05-21,41
2007-05-22,41
2007-05-23,41
2007-05-24,41
2007-05-25,42
2007-05-26,42
2007-05-27,42
2007-05-28,42
2007-05-29,43
2007-05-30,43
2007-05-31,43
2007-06-01,44
2007-06-02,44
2007-06-03,44
2007-06-04,44
2007-06-05,45
2007-06-06,45
2007-06-07,45
2007-06-08,46
2007-06-09,46
2007-06-10,46
2007-06-11,47
2007-06-12,47
2007-06-13,47
2007-06-14,47
2007-06-15,48
2007-06-16,48
2007-06-17,48
2007-06-18,49
2007-06-19,49
2007-06-20,49
2007-06-21,50
2007-06-22,50
2007-06-23,50
2007-06-24,50
2007-06-25,51
2007-06-26,51
2007-06-27,51
2007-06-28,52
2007-06-29,52
2007-06-30,52
2007-07-01,53
2007-07-02,53
2007-07-03,53
2007-07-04,53
2007-07-05,54
2007-07-06,54
2007-07-07,54
2007-07-08,54
2007-07-09,55
2007-07-10,55
2007-07-11,55
2007-07-12,55
2007-07-13,56
2007-07-14,56
2007-07-15,56
2007-07-16,56
2007-07-17,57
2007-07-18,57
2007-07-19,57
2007-07-20,57
2007-07-21,58
2007-07-22,58
2007-07-23,58
2007-07-24,58
2007-07-25,59
2007-07-26,59
2007-07-27,59
2007-07-28,59
2007-07-29,60
2007-07-30,60
2007-07-31,60
2007-08-01,61
2007-08-02,61
2007-08-03,61
2007-08-04,61
2007-08-05,62
2007-08-06,62
2007-08-07,62
2007-08-08,62
2007-08-09,63
2007-08-10,63
2007-08-11,63
2007-08-12,63
2007-08-13,64
2007-08-14,64
2007-08-15,64
2007-08-16,64
2007-08-17,65
2007-08-18,65
2007-08-19,65
2007-08-20,65
2007-08-21,66
2007-08-22,66
2007-08-23,66
2007-08-24,66
2007-08-25,67
2007-08-26,67
2007-08-27,67
2007-08-28,67
2007-08-29,68
2007-08-30,68
2007-08-31,68
2007-09-01,69
2007-09-02,69
2007-09-03,69
2007-09-04,69
2007-09-05,70
2007-09-06,70
2007-09-07,70
2007-09-08,70
2007-09-09,71
2007-09-10,71
2007-09-11,71
2007-09-12,71
2007-09-13,72
2007-09-14,72
2007-09-15,72
2007-09-16,73
2007-09-17,73
2007-09-18,73
2007-09-19,73
2007-09-20,74
2007-09-21,74
2007-09-22,74
2007-09-23,74
2007-09-24,75
2007-09-25,75
2007-09-26,75
2007-09-27,75
2007-09-28,76
2007-09-29,76
2007-09-30,76
2007-10-01,77
2007-10-02,77
2007-10-03,78
2007-10-04,79
2007-10-05,79
2007-10-06,80
2007-10-07,81
2007-10-08,82
2007-10-09,82
2007-10-10,83
2007-10-11,84
2007-10-12,85
2007-10-13,85
2007-10-14,86
2007-10-15,87
2007-10-16,88
2007-10-17,88
2007-10-18,89
2007-10-19,90
2007-10-20,91
2007-10-21,91
2007-10-22,92
2007-10-23,93
2007-10-24,94
2007-10-25,94
2007-10-26,95
2007-10-27,96
2007-10-28,97
2007-10-29,97
2007-10-30,98
2007-10-31,99
2007-11-01,100
2007-11-02,97
2007-11-03,95
2007-11-04,93
2007-11-05,90
2007-11-06,88
2007-11-07,86
2007-11-08,83
2007-11-09,81
2007-11-10,79
2007-11-11,76
2007-11-12,74
2007-11-13,72
2007-11-14,69
2007-11-15,67
2007-11-16,65
2007-11-17,62
2007-11-18,60
2007-11-19,58
2007-11-20,55
2007-11-21,53
2007-11-22,51
2007-11-23,48
2007-11-24,46
2007-11-25,44
2007-11-26,41
2007-11-27,39
2007-11-28,37
2007-11-29,34
2007-11-30,32
2007-12-01,30
2007-12-02,30
2007-12-03,30
2007-12-04,30
2007-12-05,30
2007-12-06,30
2007-12-07,30
2007-12-08,30
2007-12-09,30
2007-12-10,30
2007-12-11,30
2007-12-12,30
2007-12-13,30
2007-12-14,30
2007-12-15,30
2007-12-16,30
2007-12-17,30
2007-12-18,30
2007-12-19,30
2007-12-20,30
2007-12-21,30
2007-12-22,30
2007-12-23,30
2007-12-24,30
2007-12-25,30
2007-12-26,30
2007-12-27,30
2007-12-28,30
2007-12-29,30
2007-12-30,30
2007-12-31,30
2008-01-01,30
2008-01-02,30
2008-01-03,30
2008-01-04,30
2008-01-05,30
2008-01-06,30
2008-01-07,30
2008-01-08,30
2008-01-09,30
2008-01-10,30
2008-01-11,30
2008-01-12,30
2008-01-13,30
2008-01-14,30
2008-01-15,30
2008-01-16,30
2008-01-17,30
2008-01-18,30
2008-01-19,30
2008-01-20,30
2008-01-21,30
2008-01-22,30
2008-01-23,30
2008-01-24,30
2008-01-25,30
2008-01-26,30
2008-01-27,30
2008-01-28,30
2008-01-29,30
2008-01-30,30
2008-01-31,30
2008-02-01,30
2008-02-02,30
2008-02-03,30
2008-02-04,30
2008-02-05,30
2008-02-06,30
2008-02-07,30
2008-02-08,30
2008-02-09,30
2008-02-10,30
2008-02-11,30
2008-02-12,30
2008-02-13,30
2008-02-14,30
2008-02-15,30
2008-02-16,30
2008-02-17,30
2008-02-18,30
2008-02-19,30
2008-02-20,30
2008-02-21,30
2008-02-22,30
2008-02-23,30
2008-02-24,30
2008-02-25,30
2008-02-26,30
2008-02-27,30
2008-02-28,30
2008-02-29,30
2008-03-01,30
2008-03-02,30
2008-03-03,30
2008-03-04,30
2008-03-05,30
2008-03-06,30
2008-03-07,30
2008-03-08,30
2008-03-09,30
2008-03-10,30
2008-03-11,30
2008-03-12,30
2008-03-13,30
2008-03-14,30
2008-03-15,30
2008-03-16,30
2008-03-17,30
2008-03-18,30
2008-03-19,30
2008-03-20,30
2008-03-21,30
2008-03-22,30
2008-03-23,30
2008-03-24,30
2008-03-25,30
2008-03-26,30
2008-03-27,30
2008-03-28,30
2008-03-29,30
2008-03-30,30
2008-03-31,30
2008-04-01,30
2008-04-02,30
2008-04-03,30
2008-04-04,30
2008-04-05,30
2008-04-06,30
2008-04-07,30
2008-04-08,30
2008-04-09,31
2008-04-10,31
2008-04-11,31
2008-04-12,31
2008-04-13,31
2008-04-14,31
2008-04-15,31
2008-04-16,32
2008-04-17,32
2008-04-18,32
2008-04-19,32
2008-04-20,32
2008-04-21,32
2008-04-22,32
2008-04-23,32
2008-04-24,33
2008-04-25,33
2008-04-26,33
2008-04-27,33
2008-04-28,33
2008-04-29,33
2008-04-30,33
2008-05-01,34
2008-05-02,32
2008-05-03,31
2008-05-04,30
2008-05-05,29
2008-05-06,28
2008-05-07,27
2008-05-08,26
2008-05-09,25
2008-05-10,24
2008-05-11,23
2008-05-12,21
2008-05-13,20
2008-05-14,19
2008-05-15,18
2008-05-16,17
2008-05-17,16
2008-05-18,15
2008-05-19,14
2008-05-20,13
2008-05-21,12
2008-05-22,10
2008-05-23,9
2008-05-24,8
2008-05-25,7
2008-05-26,6
2008-05-27,5
2008-05-28,4
2008-05-29,3
2008-05-30,2
2008-05-31,1
2008-06-01,0
2008-06-02,0
2008-06-03,0
2008-06-04,0
2008-06-05,0
2008-06-06,0
2008-06-07,0
2008-06-08,0
2008-06-09,0
2008-06-10,0
2008-06-11,0
2008-06-12,0
2008-06-13,0
2008-06-14,0
2008-06-15,0
2008-06-16,0
2008-06-17,0
2008-06-18,0
2008-06-19,0
2008-06-20,0
2008-06-21,0
2008-06-22,0
2008-06-23,0
2008-06-24,0
2008-06-25,0
2008-06-26,0
2008-06-27,0
2008-06-28,0
2008-06-29,0
2008-06-30,0
