Date,ICx Technologies
2007-05-28,62
2007-05-29,65
2007-05-30,67
2007-05-31,69
2007-06-01,72
2007-06-02,72
2007-06-03,72
2007-06-04,73
2007-06-05,73
2007-06-06,74
2007-06-07,74
2007-06-08,75
2007-06-09,75
2007-06-10,76
2007-06-11,76
2007-06-12,77
2007-06-13,77
2007-06-14,78
2007-06-15,78
2007-06-16,79
2007-06-17,79
2007-06-18,79
2007-06-19,80
2007-06-20,80
2007-06-21,81
2007-06-22,81
2007-06-23,82
2007-06-24,82
2007-06-25,83
2007-06-26,83
2007-06-27,84
2007-06-28,84
2007-06-29,85
2007-06-30,85
2007-07-01,86
2007-07-02,86
2007-07-03,86
2007-07-04,87
2007-07-05,87
2007-07-06,88
2007-07-07,88
2007-07-08,89
2007-07-09,89
2007-07-10,90
2007-07-11,90
2007-07-12,90
2007-07-13,91
2007-07-14,91
2007-07-15,92
2007-07-16,92
2007-07-17,93
2007-07-18,93
2007-07-19,94
2007-07-20,94
2007-07-21,95
2007-07-22,95
2007-07-23,95
2007-07-24,96
2007-07-25,96
2007-07-26,97
2007-07-27,97
2007-07-28,98
2007-07-29,98
2007-07-30,99
2007-07-31,99
2007-08-01,100
2007-08-02,98
2007-08-03,97
2007-08-04,95
2007-08-05,94
2007-08-06,92
2007-08-07,91
2007-08-08,89
2007-08-09,88
2007-08-10,86
2007-08-11,85
2007-08-12,83
2007-08-13,82
2007-08-14,80
2007-08-15,79
2007-08-16,77
2007-08-17,76
2007-08-18,74
2007-08-19,73
2007-08-20,71
2007-08-21,70
2007-08-22,68
2007-08-23,67
2007-08-24,65
2007-08-25,64
2007-08-26,62
2007-08-27,61
2007-08-28,59
2007-08-29,58
2007-08-30,56
2007-08-31,55
2007-09-01,54
2007-09-02,54
2007-09-03,54
2007-09-04,55
2007-09-05,55
2007-09-06,56
2007-09-07,56
2007-09-08,57
2007-09-09,57
2007-09-10,58
2007-09-11,58
2007-09-12,59
2007-09-13,59
2007-09-14,60
2007-09-15,60
2007-09-16,61
2007-09-17,61
2007-09-18,61
2007-09-19,62
2007-09-20,62
2007-09-21,63
2007-09-22,63
2007-09-23,64
2007-09-24,64
2007-09-25,65
2007-09-26,65
2007-09-27,66
2007-09-28,66
2007-09-29,67
2007-09-30,67
2007-10-01,68
2007-10-02,69
2007-10-03,70
2007-10-04,71
2007-10-05,72
2007-10-06,73
2007-10-07,74
2007-10-08,75
2007-10-09,76
2007-10-10,77
2007-10-11,78
2007-10-12,79
2007-10-13,80
2007-10-14,81
2007-10-15,82
2007-10-16,83
2007-10-17,84
2007-10-18,85
2007-10-19,86
2007-10-20,87
2007-10-21,88
2007-10-22,89
2007-10-23,90
2007-10-24,91
2007-10-25,92
2007-10-26,93
2007-10-27,94
2007-10-28,95
2007-10-29,96
2007-10-30,97
2007-10-31,98
2007-11-01,99
2007-11-02,97
2007-11-03,96
2007-11-04,94
2007-11-05,93
2007-11-06,92
2007-11-07,90
2007-11-08,89
2007-11-09,88
2007-11-10,86
2007-11-11,85
2007-11-12,83
2007-11-13,82
2007-11-14,81
2007-11-15,79
2007-11-16,78
2007-11-17,77
2007-11-18,75
2007-11-19,74
2007-11-20,73
2007-11-21,71
2007-11-22,70
2007-11-23,68
2007-11-24,67
2007-11-25,66
2007-11-26,64
2007-11-27,63
2007-11-28,62
2007-11-29,60
2007-11-30,59
2007-12-01,58
2007-12-02,58
2007-12-03,58
2007-12-04,58
2007-12-05,58
2007-12-06,58
2007-12-07,58
2007-12-08,58
2007-12-09,58
2007-12-10,58
2007-12-11,58
2007-12-12,58
2007-12-13,58
2007-12-14,58
2007-12-15,58
2007-12-16,58
2007-12-17,58
2007-12-18,58
2007-12-19,58
2007-12-20,58
2007-12-21,58
2007-12-22,58
2007-12-23,58
2007-12-24,58
2007-12-25,58
2007-12-26,58
2007-12-27,58
2007-12-28,58
2007-12-29,58
2007-12-30,58
2007-12-31,58
2008-01-01,58
2008-01-02,57
2008-01-03,57
2008-01-04,57
2008-01-05,57
2008-01-06,56
2008-01-07,56
2008-01-08,56
2008-01-09,56
2008-01-10,55
2008-01-11,55
2008-01-12,55
2008-01-13,55
2008-01-14,55
2008-01-15,54
2008-01-16,54
2008-01-17,54
2008-01-18,54
2008-01-19,53
2008-01-20,53
2008-01-21,53
2008-01-22,53
2008-01-23,53
2008-01-24,52
2008-01-25,52
2008-01-26,52
2008-01-27,52
2008-01-28,51
2008-01-29,51
2008-01-30,51
2008-01-31,51
2008-02-01,51
2008-02-02,51
2008-02-03,51
2008-02-04,51
2008-02-05,51
2008-02-06,51
2008-02-07,51
2008-02-08,51
2008-02-09,51
2008-02-10,51
2008-02-11,51
2008-02-12,51
2008-02-13,51
2008-02-14,51
2008-02-15,51
2008-02-16,51
2008-02-17,51
2008-02-18,51
2008-02-19,51
2008-02-20,51
2008-02-21,51
2008-02-22,51
2008-02-23,51
2008-02-24,51
2008-02-25,51
2008-02-26,51
2008-02-27,51
2008-02-28,51
2008-02-29,51
2008-03-01,51
2008-03-02,50
2008-03-03,50
2008-03-04,50
2008-03-05,49
2008-03-06,49
2008-03-07,49
2008-03-08,48
2008-03-09,48
2008-03-10,48
2008-03-11,48
2008-03-12,47
2008-03-13,47
2008-03-14,47
2008-03-15,46
2008-03-16,46
2008-03-17,46
2008-03-18,46
2008-03-19,45
2008-03-20,45
2008-03-21,45
2008-03-22,44
2008-03-23,44
2008-03-24,44
2008-03-25,44
2008-03-26,43
2008-03-27,43
2008-03-28,43
2008-03-29,42
2008-03-30,42
2008-03-31,42
2008-04-01,42
2008-04-02,42
2008-04-03,42
2008-04-04,42
2008-04-05,42
2008-04-06,42
2008-04-07,42
2008-04-08,42
2008-04-09,43
2008-04-10,43
2008-04-11,43
2008-04-12,43
2008-04-13,43
2008-04-14,43
2008-04-15,43
2008-04-16,44
2008-04-17,44
2008-04-18,44
2008-04-19,44
2008-04-20,44
2008-04-21,44
2008-04-22,44
2008-04-23,44
2008-04-24,45
2008-04-25,45
2008-04-26,45
2008-04-27,45
2008-04-28,45
2008-04-29,45
2008-04-30,45
2008-05-01,46
2008-05-02,46
2008-05-03,46
2008-05-04,46
2008-05-05,46
2008-05-06,46
2008-05-07,46
2008-05-08,46
2008-05-09,46
2008-05-10,46
2008-05-11,46
2008-05-12,46
2008-05-13,46
2008-05-14,46
2008-05-15,46
2008-05-16,46
2008-05-17,47
2008-05-18,47
2008-05-19,47
2008-05-20,47
2008-05-21,47
2008-05-22,47
2008-05-23,47
2008-05-24,47
2008-05-25,47
2008-05-26,47
2008-05-27,47
2008-05-28,47
2008-05-29,47
2008-05-30,47
2008-05-31,47
2008-06-01,48
2008-06-02,48
2008-06-03,48
2008-06-04,48
2008-06-05,48
2008-06-06,48
2008-06-07,48
2008-06-08,48
2008-06-09,48
2008-06-10,48
2008-06-11,48
2008-06-12,48
2008-06-13,48
2008-06-14,48
2008-06-15,48
2008-06-16,49
2008-06-17,49
2008-06-18,49
2008-06-19,49
2008-06-20,49
2008-06-21,49
2008-06-22,49
2008-06-23,49
2008-06-24,49
2008-06-25,49
2008-06-26,49
2008-06-27,49
2008-06-28,49
2008-06-29,49
2008-06-30,49
2008-07-01,50
2008-07-02,49
2008-07-03,49
2008-07-04,49
2008-07-05,49
2008-07-06,49
2008-07-07,49
2008-07-08,49
2008-07-09,48
2008-07-10,48
2008-07-11,48
2008-07-12,48
2008-07-13,48
2008-07-14,48
2008-07-15,48
2008-07-16,48
2008-07-17,47
2008-07-18,47
2008-07-19,47
2008-07-20,47
2008-07-21,47
2008-07-22,47
2008-07-23,47
2008-07-24,47
2008-07-25,46
2008-07-26,46
2008-07-27,46
2008-07-28,46
2008-07-29,46
2008-07-30,46
2008-07-31,46
2008-08-01,46
2008-08-02,46
2008-08-03,46
2008-08-04,46
2008-08-05,46
2008-08-06,47
2008-08-07,47
2008-08-08,47
2008-08-09,47
2008-08-10,48
2008-08-11,48
2008-08-12,48
2008-08-13,48
2008-08-14,48
2008-08-15,49
2008-08-16,49
2008-08-17,49
2008-08-18,49
2008-08-19,50
2008-08-20,50
2008-08-21,50
2008-08-22,50
2008-08-23,50
2008-08-24,51
2008-08-25,51
2008-08-26,51
2008-08-27,51
2008-08-28,52
2008-08-29,52
2008-08-30,52
2008-08-31,52
2008-09-01,53
2008-09-02,54
2008-09-03,55
2008-09-04,56
2008-09-05,57
2008-09-06,58
2008-09-07,59
2008-09-08,60
2008-09-09,61
2008-09-10,62
2008-09-11,63
2008-09-12,64
2008-09-13,65
2008-09-14,66
2008-09-15,67
2008-09-16,68
2008-09-17,69
2008-09-18,70
2008-09-19,71
2008-09-20,72
2008-09-21,73
2008-09-22,74
2008-09-23,75
2008-09-24,76
2008-09-25,77
2008-09-26,78
2008-09-27,79
2008-09-28,80
2008-09-29,81
2008-09-30,82
2008-10-01,83
2008-10-02,81
2008-10-03,79
2008-10-04,78
2008-10-05,76
2008-10-06,75
2008-10-07,73
2008-10-08,72
2008-10-09,70
2008-10-10,69
2008-10-11,67
2008-10-12,66
2008-10-13,64
2008-10-14,63
2008-10-15,61
2008-10-16,60
2008-10-17,58
2008-10-18,57
2008-10-19,55
2008-10-20,54
2008-10-21,52
2008-10-22,51
2008-10-23,49
2008-10-24,48
2008-10-25,46
2008-10-26,45
2008-10-27,43
2008-10-28,42
2008-10-29,40
2008-10-30,39
2008-10-31,37
2008-11-01,36
2008-11-02,37
2008-11-03,38
2008-11-04,39
2008-11-05,40
2008-11-06,41
2008-11-07,42
2008-11-08,43
2008-11-09,44
2008-11-10,45
2008-11-11,47
2008-11-12,48
2008-11-13,49
2008-11-14,50
2008-11-15,51
2008-11-16,52
2008-11-17,53
2008-11-18,54
2008-11-19,55
2008-11-20,56
2008-11-21,58
2008-11-22,59
2008-11-23,60
2008-11-24,61
2008-11-25,62
2008-11-26,63
2008-11-27,64
2008-11-28,65
2008-11-29,66
2008-11-30,67
2008-12-01,69
2008-12-02,66
2008-12-03,64
2008-12-04,62
2008-12-05,60
2008-12-06,57
2008-12-07,55
2008-12-08,53
2008-12-09,51
2008-12-10,48
2008-12-11,46
2008-12-12,44
2008-12-13,42
2008-12-14,40
2008-12-15,37
2008-12-16,35
2008-12-17,33
2008-12-18,31
2008-12-19,28
2008-12-20,26
2008-12-21,24
2008-12-22,22
2008-12-23,20
2008-12-24,17
2008-12-25,15
2008-12-26,13
2008-12-27,11
2008-12-28,8
2008-12-29,6
2008-12-30,4
2008-12-31,2
