Date,MacroGenics
2013-06-25,0
2013-06-26,0
2013-06-27,0
2013-06-28,0
2013-06-29,0
2013-06-30,0
2013-07-01,0
2013-07-02,0
2013-07-03,0
2013-07-04,0
2013-07-05,0
2013-07-06,0
2013-07-07,0
2013-07-08,0
2013-07-09,0
2013-07-10,0
2013-07-11,0
2013-07-12,0
2013-07-13,0
2013-07-14,0
2013-07-15,0
2013-07-16,0
2013-07-17,0
2013-07-18,0
2013-07-19,0
2013-07-20,0
2013-07-21,0
2013-07-22,0
2013-07-23,0
2013-07-24,0
2013-07-25,0
2013-07-26,0
2013-07-27,0
2013-07-28,0
2013-07-29,0
2013-07-30,0
2013-07-31,0
2013-08-01,0
2013-08-02,0
2013-08-03,0
2013-08-04,3
2013-08-05,7
2013-08-06,10
2013-08-07,14
2013-08-08,17
2013-08-09,21
2013-08-10,25
2013-08-11,25
2013-08-12,25
2013-08-13,25
2013-08-14,25
2013-08-15,25
2013-08-16,25
2013-08-17,26
2013-08-18,26
2013-08-19,26
2013-08-20,26
2013-08-21,27
2013-08-22,27
2013-08-23,27
2013-08-24,28
2013-08-25,28
2013-08-26,28
2013-08-27,28
2013-08-28,28
2013-08-29,28
2013-08-30,28
2013-08-31,28
2013-09-01,28
2013-09-02,28
2013-09-03,28
2013-09-04,28
2013-09-05,28
2013-09-06,28
2013-09-07,29
2013-09-08,29
2013-09-09,30
2013-09-10,31
2013-09-11,31
2013-09-12,32
2013-09-13,33
2013-09-14,34
2013-09-15,34
2013-09-16,35
2013-09-17,36
2013-09-18,37
2013-09-19,37
2013-09-20,38
2013-09-21,39
2013-09-22,39
2013-09-23,40
2013-09-24,41
2013-09-25,41
2013-09-26,42
2013-09-27,43
2013-09-28,44
2013-09-29,44
2013-09-30,45
2013-10-01,46
2013-10-02,46
2013-10-03,47
2013-10-04,48
2013-10-05,49
2013-10-06,56
2013-10-07,64
2013-10-08,72
2013-10-09,79
2013-10-10,87
2013-10-11,95
2013-10-12,103
2013-10-13,94
2013-10-14,80
2013-10-15,71
2013-10-16,61
2013-10-17,52
2013-10-18,42
2013-10-19,33
2013-10-20,33
2013-10-21,33
2013-10-22,33
2013-10-23,33
2013-10-24,34
2013-10-25,34
2013-10-26,34
2013-10-27,33
2013-10-28,31
2013-10-29,30
2013-10-30,29
2013-10-31,28
2013-11-01,27
2013-11-02,26
2013-11-03,28
2013-11-04,30
2013-11-05,32
2013-11-06,34
2013-11-07,36
2013-11-08,38
2013-11-09,41
2013-11-10,39
2013-11-11,38
2013-11-12,36
2013-11-13,34
2013-11-14,33
2013-11-15,31
2013-11-16,30
2013-11-17,29
2013-11-18,29
2013-11-19,28
2013-11-20,28
2013-11-21,27
2013-11-22,27
2013-11-23,27
2013-11-24,25
2013-12-01,25
2013-12-02,31
2013-12-03,25
2013-12-04,25
2013-12-05,25
2013-12-06,25
2013-12-07,25
2013-12-08,25
2013-12-09,25
2013-12-10,25
2013-12-11,25
2013-12-12,25
2013-12-13,25
2013-12-14,25
2013-12-15,25
2013-12-16,25
2013-12-17,25
2013-12-18,26
2013-12-19,26
2013-12-20,26
2013-12-21,27
2013-12-22,27
2013-12-23,27
2013-12-24,27
2013-12-25,27
2013-12-26,27
2013-12-27,27
2013-12-28,28
2013-12-29,28
2013-12-30,28
2013-12-31,28
2014-01-01,29
2014-01-02,29
2014-01-03,29
2014-01-04,30
2014-01-05,30
2014-01-06,30
2014-01-07,30
2014-01-08,30
2014-01-09,30
2014-01-10,30
2014-01-11,31
2014-01-12,30
2014-01-13,29
2014-01-14,29
2014-01-15,28
2014-01-16,28
2014-01-17,27
2014-01-18,27
2014-01-19,27
2014-01-20,28
2014-01-21,29
2014-01-22,30
2014-01-23,31
2014-01-24,32
2014-01-25,33
2014-01-26,33
2014-01-27,33
2014-01-28,33
2014-01-29,33
2014-01-30,33
2014-01-31,33
2014-02-01,33
2014-02-02,31
2014-02-03,30
2014-02-04,28
2014-02-05,27
2014-02-06,25
2014-02-07,24
2014-02-08,23
2014-02-09,23
2014-02-10,23
2014-02-11,23
2014-02-12,23
2014-02-13,23
2014-02-14,23
2014-02-15,24
2014-02-16,26
2014-02-17,29
2014-02-18,31
2014-02-19,33
2014-02-20,36
2014-02-21,38
2014-02-22,41
2014-02-23,38
2014-03-01,22
