Date,IPO shares
2004-01-01,0
2004-04-01,0
2004-07-01,0
2004-10-01,0
2005-01-01,0
2005-04-01,0
2005-07-01,0
2005-10-01,0
2006-01-01,0
2006-04-01,0
2006-07-01,0
2006-10-01,0
2007-01-01,0
2007-04-01,0
2007-07-01,0
2007-10-01,0
2008-01-01,0
2008-04-01,0
2008-07-01,0
2008-10-01,0
2009-01-01,0
2009-04-01,0
2009-07-01,0
2009-10-01,0
2010-01-01,0
2010-04-01,0
2010-07-01,0
2010-10-01,0
2011-01-01,0
2011-04-01,0
2011-07-01,0
2011-10-01,0
2012-01-01,0
2012-04-01,0
2012-07-01,0
2012-10-01,0
2013-01-01,0
2013-04-01,0
2013-07-01,0
2013-10-01,0
