Date,AECOM Technology
2006-09-01,0
2006-09-02,0
2006-09-03,0
2006-09-04,0
2006-09-05,0
2006-09-06,0
2006-09-07,0
2006-09-08,0
2006-09-09,0
2006-09-10,0
2006-09-11,0
2006-09-12,0
2006-09-13,0
2006-09-14,0
2006-09-15,0
2006-09-16,0
2006-09-17,0
2006-09-18,0
2006-09-19,0
2006-09-20,0
2006-09-21,0
2006-09-22,0
2006-09-23,0
2006-09-24,0
2006-09-25,0
2006-09-26,0
2006-09-27,0
2006-09-28,0
2006-09-29,0
2006-09-30,0
2006-10-01,0
2006-10-02,0
2006-10-03,0
2006-10-04,0
2006-10-05,0
2006-10-06,0
2006-10-07,0
2006-10-08,0
2006-10-09,0
2006-10-10,0
2006-10-11,0
2006-10-12,0
2006-10-13,0
2006-10-14,0
2006-10-15,0
2006-10-16,0
2006-10-17,0
2006-10-18,0
2006-10-19,0
2006-10-20,0
2006-10-21,0
2006-10-22,0
2006-10-23,0
2006-10-24,0
2006-10-25,0
2006-10-26,0
2006-10-27,0
2006-10-28,0
2006-10-29,0
2006-10-30,0
2006-10-31,0
2006-11-01,0
2006-11-02,0
2006-11-03,0
2006-11-04,0
2006-11-05,0
2006-11-06,0
2006-11-07,0
2006-11-08,0
2006-11-09,0
2006-11-10,0
2006-11-11,0
2006-11-12,0
2006-11-13,0
2006-11-14,0
2006-11-15,0
2006-11-16,0
2006-11-17,0
2006-11-18,0
2006-11-19,0
2006-11-20,0
2006-11-21,0
2006-11-22,0
2006-11-23,0
2006-11-24,0
2006-11-25,0
2006-11-26,0
2006-11-27,0
2006-11-28,0
2006-11-29,0
2006-11-30,0
2006-12-01,0
2006-12-02,0
2006-12-03,0
2006-12-04,0
2006-12-05,0
2006-12-06,0
2006-12-07,0
2006-12-08,0
2006-12-09,0
2006-12-10,0
2006-12-11,0
2006-12-12,0
2006-12-13,0
2006-12-14,0
2006-12-15,0
2006-12-16,0
2006-12-17,0
2006-12-18,0
2006-12-19,0
2006-12-20,0
2006-12-21,0
2006-12-22,0
2006-12-23,0
2006-12-24,0
2006-12-25,0
2006-12-26,0
2006-12-27,0
2006-12-28,0
2006-12-29,0
2006-12-30,0
2006-12-31,0
2007-01-01,0
2007-01-02,0
2007-01-03,0
2007-01-04,0
2007-01-05,0
2007-01-06,0
2007-01-07,0
2007-01-08,0
2007-01-09,0
2007-01-10,0
2007-01-11,0
2007-01-12,0
2007-01-13,0
2007-01-14,0
2007-01-15,0
2007-01-16,0
2007-01-17,0
2007-01-18,0
2007-01-19,0
2007-01-20,0
2007-01-21,0
2007-01-22,0
2007-01-23,0
2007-01-24,0
2007-01-25,0
2007-01-26,0
2007-01-27,0
2007-01-28,0
2007-01-29,0
2007-01-30,0
2007-01-31,0
2007-02-01,0
2007-02-02,0
2007-02-03,0
2007-02-04,0
2007-02-05,0
2007-02-06,0
2007-02-07,0
2007-02-08,0
2007-02-09,0
2007-02-10,0
2007-02-11,0
2007-02-12,0
2007-02-13,0
2007-02-14,0
2007-02-15,0
2007-02-16,0
2007-02-17,0
2007-02-18,0
2007-02-19,0
2007-02-20,0
2007-02-21,0
2007-02-22,0
2007-02-23,0
2007-02-24,0
2007-02-25,0
2007-02-26,0
2007-02-27,0
2007-02-28,0
2007-03-01,0
2007-03-02,0
2007-03-03,0
2007-03-04,0
2007-03-05,0
2007-03-06,0
2007-03-07,0
2007-03-08,0
2007-03-09,0
2007-03-10,0
2007-03-11,0
2007-03-12,0
2007-03-13,0
2007-03-14,0
2007-03-15,0
2007-03-16,0
2007-03-17,0
2007-03-18,0
2007-03-19,0
2007-03-20,0
2007-03-21,0
2007-03-22,0
2007-03-23,0
2007-03-24,0
2007-03-25,0
2007-03-26,0
2007-03-27,0
2007-03-28,0
2007-03-29,0
2007-03-30,0
2007-03-31,0
2007-04-01,0
2007-04-02,2
2007-04-03,4
2007-04-04,6
2007-04-05,9
2007-04-06,11
2007-04-07,13
2007-04-08,15
2007-04-09,18
2007-04-10,20
2007-04-11,22
2007-04-12,24
2007-04-13,27
2007-04-14,29
2007-04-15,31
2007-04-16,34
2007-04-17,36
2007-04-18,38
2007-04-19,40
2007-04-20,43
2007-04-21,45
2007-04-22,47
2007-04-23,49
2007-04-24,52
2007-04-25,54
2007-04-26,56
2007-04-27,58
2007-04-28,61
2007-04-29,63
2007-04-30,65
2007-05-01,68
2007-05-02,67
2007-05-03,66
2007-05-04,66
2007-05-05,65
2007-05-06,65
2007-05-07,64
2007-05-08,64
2007-05-09,63
2007-05-10,63
2007-05-11,62
2007-05-12,62
2007-05-13,61
2007-05-14,61
2007-05-15,60
2007-05-16,60
2007-05-17,59
2007-05-18,59
2007-05-19,58
2007-05-20,58
2007-05-21,57
2007-05-22,57
2007-05-23,56
2007-05-24,56
2007-05-25,55
2007-05-26,55
2007-05-27,54
2007-05-28,54
2007-05-29,53
2007-05-30,53
2007-05-31,52
2007-06-01,52
2007-06-02,52
2007-06-03,52
2007-06-04,52
2007-06-05,52
2007-06-06,52
2007-06-07,52
2007-06-08,52
2007-06-09,52
2007-06-10,52
2007-06-11,52
2007-06-12,52
2007-06-13,52
2007-06-14,52
2007-06-15,52
2007-06-16,52
2007-06-17,52
2007-06-18,52
2007-06-19,52
2007-06-20,52
2007-06-21,52
2007-06-22,52
2007-06-23,52
2007-06-24,52
2007-06-25,52
2007-06-26,52
2007-06-27,52
2007-06-28,52
2007-06-29,52
2007-06-30,52
2007-07-01,52
2007-07-02,52
2007-07-03,52
2007-07-04,52
2007-07-05,52
2007-07-06,52
2007-07-07,52
2007-07-08,52
2007-07-09,52
2007-07-10,52
2007-07-11,52
2007-07-12,52
