Date,LoopNet
2006-06-03,96
2006-06-04,95
2006-06-05,95
2006-06-06,94
2006-06-07,94
2006-06-08,93
2006-06-09,93
2006-06-10,92
2006-06-11,92
2006-06-12,91
2006-06-13,91
2006-06-14,90
2006-06-15,90
2006-06-16,90
2006-06-17,89
2006-06-18,89
2006-06-19,88
2006-06-20,88
2006-06-21,87
2006-06-22,87
2006-06-23,86
2006-06-24,86
2006-06-25,85
2006-06-26,85
2006-06-27,84
2006-06-28,84
2006-06-29,83
2006-06-30,83
2006-07-01,83
2006-07-02,83
2006-07-03,83
2006-07-04,83
2006-07-05,83
2006-07-06,83
2006-07-07,83
2006-07-08,83
2006-07-09,83
2006-07-10,83
2006-07-11,83
2006-07-12,83
2006-07-13,83
2006-07-14,83
2006-07-15,83
2006-07-16,83
2006-07-17,83
2006-07-18,83
2006-07-19,83
2006-07-20,83
2006-07-21,83
2006-07-22,83
2006-07-23,83
2006-07-24,83
2006-07-25,83
2006-07-26,83
2006-07-27,83
2006-07-28,83
2006-07-29,83
2006-07-30,83
2006-07-31,83
2006-08-01,83
2006-08-02,83
2006-08-03,83
2006-08-04,83
2006-08-05,83
2006-08-06,83
2006-08-07,83
2006-08-08,83
2006-08-09,83
2006-08-10,83
2006-08-11,83
2006-08-12,83
2006-08-13,83
2006-08-14,83
2006-08-15,83
2006-08-16,83
2006-08-17,83
2006-08-18,83
2006-08-19,83
2006-08-20,83
2006-08-21,83
2006-08-22,83
2006-08-23,83
2006-08-24,83
2006-08-25,83
2006-08-26,83
2006-08-27,83
2006-08-28,83
2006-08-29,83
2006-08-30,83
2006-08-31,83
2006-09-01,83
2006-09-02,83
2006-09-03,83
2006-09-04,83
2006-09-05,83
2006-09-06,83
2006-09-07,83
2006-09-08,83
2006-09-09,83
2006-09-10,83
2006-09-11,83
2006-09-12,83
2006-09-13,83
2006-09-14,83
2006-09-15,83
2006-09-16,83
2006-09-17,83
2006-09-18,83
2006-09-19,83
2006-09-20,83
2006-09-21,83
2006-09-22,83
2006-09-23,83
2006-09-24,83
2006-09-25,83
2006-09-26,83
2006-09-27,83
2006-09-28,83
2006-09-29,83
2006-09-30,83
2006-10-01,83
2006-10-02,83
2006-10-03,83
2006-10-04,83
2006-10-05,83
2006-10-06,83
2006-10-07,83
2006-10-08,83
2006-10-09,83
2006-10-10,83
2006-10-11,83
2006-10-12,83
2006-10-13,83
2006-10-14,83
2006-10-15,83
2006-10-16,83
2006-10-17,83
2006-10-18,83
2006-10-19,83
2006-10-20,83
2006-10-21,83
2006-10-22,83
2006-10-23,83
2006-10-24,83
2006-10-25,83
2006-10-26,83
2006-10-27,83
2006-10-28,83
2006-10-29,83
2006-10-30,83
2006-10-31,83
2006-11-01,83
2006-11-02,82
2006-11-03,81
2006-11-04,80
2006-11-05,80
2006-11-06,79
2006-11-07,78
2006-11-08,77
2006-11-09,77
2006-11-10,76
2006-11-11,75
2006-11-12,74
2006-11-13,74
2006-11-14,73
2006-11-15,72
2006-11-16,72
2006-11-17,71
2006-11-18,70
2006-11-19,69
2006-11-20,69
2006-11-21,68
2006-11-22,67
2006-11-23,66
2006-11-24,66
2006-11-25,65
2006-11-26,64
2006-11-27,63
2006-11-28,63
2006-11-29,62
2006-11-30,61
2006-12-01,61
2006-12-02,61
2006-12-03,61
2006-12-04,61
2006-12-05,61
2006-12-06,61
2006-12-07,61
2006-12-08,61
2006-12-09,61
2006-12-10,61
2006-12-11,61
2006-12-12,61
2006-12-13,61
2006-12-14,61
2006-12-15,61
2006-12-16,61
2006-12-17,61
2006-12-18,61
2006-12-19,61
2006-12-20,61
2006-12-21,61
2006-12-22,61
2006-12-23,61
2006-12-24,61
2006-12-25,61
2006-12-26,61
2006-12-27,61
2006-12-28,61
2006-12-29,61
2006-12-30,61
2006-12-31,61
2007-01-01,61
2007-01-02,61
2007-01-03,61
2007-01-04,61
2007-01-05,61
2007-01-06,61
2007-01-07,61
2007-01-08,61
2007-01-09,62
2007-01-10,62
2007-01-11,62
2007-01-12,62
2007-01-13,62
2007-01-14,62
2007-01-15,62
2007-01-16,62
2007-01-17,63
2007-01-18,63
2007-01-19,63
2007-01-20,63
2007-01-21,63
2007-01-22,63
2007-01-23,63
2007-01-24,63
2007-01-25,64
2007-01-26,64
2007-01-27,64
2007-01-28,64
2007-01-29,64
2007-01-30,64
2007-01-31,64
2007-02-01,65
2007-02-02,65
2007-02-03,65
2007-02-04,65
2007-02-05,65
2007-02-06,65
2007-02-07,65
2007-02-08,66
2007-02-09,66
2007-02-10,66
2007-02-11,66
2007-02-12,66
2007-02-13,66
2007-02-14,66
2007-02-15,67
2007-02-16,67
2007-02-17,67
2007-02-18,67
2007-02-19,67
2007-02-20,67
2007-02-21,67
2007-02-22,68
2007-02-23,68
2007-02-24,68
2007-02-25,68
2007-02-26,68
2007-02-27,68
2007-02-28,68
2007-03-01,69
2007-03-02,69
2007-03-03,69
2007-03-04,69
2007-03-05,69
2007-03-06,69
2007-03-07,69
2007-03-08,69
2007-03-09,69
2007-03-10,69
2007-03-11,69
2007-03-12,69
2007-03-13,69
2007-03-14,69
2007-03-15,69
2007-03-16,69
2007-03-17,70
2007-03-18,70
2007-03-19,70
2007-03-20,70
2007-03-21,70
2007-03-22,70
2007-03-23,70
2007-03-24,70
2007-03-25,70
2007-03-26,70
2007-03-27,70
2007-03-28,70
2007-03-29,70
2007-03-30,70
2007-03-31,70
2007-04-01,71
2007-04-02,70
2007-04-03,69
2007-04-04,69
2007-04-05,68
2007-04-06,68
2007-04-07,67
2007-04-08,67
2007-04-09,66
2007-04-10,65
2007-04-11,65
2007-04-12,64
2007-04-13,64
2007-04-14,63
2007-04-15,63
2007-04-16,62
2007-04-17,61
2007-04-18,61
2007-04-19,60
2007-04-20,60
2007-04-21,59
2007-04-22,59
2007-04-23,58
2007-04-24,57
2007-04-25,57
2007-04-26,56
2007-04-27,56
2007-04-28,55
2007-04-29,55
2007-04-30,54
2007-05-01,54
2007-05-02,54
2007-05-03,54
2007-05-04,54
2007-05-05,54
2007-05-06,54
2007-05-07,54
2007-05-08,54
2007-05-09,54
2007-05-10,54
2007-05-11,54
2007-05-12,54
2007-05-13,54
2007-05-14,54
2007-05-15,54
2007-05-16,54
2007-05-17,54
2007-05-18,54
2007-05-19,54
2007-05-20,54
2007-05-21,54
2007-05-22,54
2007-05-23,54
2007-05-24,54
2007-05-25,54
2007-05-26,54
2007-05-27,54
2007-05-28,54
2007-05-29,54
2007-05-30,54
2007-05-31,54
2007-06-01,54
2007-06-02,53
2007-06-03,53
2007-06-04,53
2007-06-05,53
2007-06-06,53
2007-06-07,53
2007-06-08,53
2007-06-09,53
2007-06-10,53
2007-06-11,53
2007-06-12,53
2007-06-13,53
2007-06-14,53
2007-06-15,53
2007-06-16,53
2007-06-17,52
2007-06-18,52
2007-06-19,52
2007-06-20,52
2007-06-21,52
2007-06-22,52
2007-06-23,52
2007-06-24,52
2007-06-25,52
2007-06-26,52
2007-06-27,52
2007-06-28,52
2007-06-29,52
2007-06-30,52
2007-07-01,52
2007-07-02,53
2007-07-03,55
2007-07-04,56
2007-07-05,58
2007-07-06,59
2007-07-07,61
2007-07-08,62
2007-07-09,64
2007-07-10,65
2007-07-11,67
2007-07-12,69
2007-07-13,70
2007-07-14,72
2007-07-15,73
2007-07-16,75
2007-07-17,76
2007-07-18,78
2007-07-19,79
2007-07-20,81
2007-07-21,82
2007-07-22,84
2007-07-23,86
2007-07-24,87
2007-07-25,89
2007-07-26,90
2007-07-27,92
2007-07-28,93
2007-07-29,95
2007-07-30,96
2007-07-31,98
2007-08-01,100
