Date,Fortress Investment
2006-08-22,44
2006-08-23,46
2006-08-24,48
2006-08-25,51
2006-08-26,53
2006-08-27,55
2006-08-28,57
2006-08-29,59
2006-08-30,61
2006-08-31,63
2006-09-01,66
2006-09-02,66
2006-09-03,66
2006-09-04,66
2006-09-05,66
2006-09-06,67
2006-09-07,67
2006-09-08,67
2006-09-09,67
2006-09-10,68
2006-09-11,68
2006-09-12,68
2006-09-13,68
2006-09-14,69
2006-09-15,69
2006-09-16,69
2006-09-17,69
2006-09-18,69
2006-09-19,70
2006-09-20,70
2006-09-21,70
2006-09-22,70
2006-09-23,71
2006-09-24,71
2006-09-25,71
2006-09-26,71
2006-09-27,72
2006-09-28,72
2006-09-29,72
2006-09-30,72
2006-10-01,73
2006-10-02,73
2006-10-03,73
2006-10-04,73
2006-10-05,73
2006-10-06,74
2006-10-07,74
2006-10-08,74
2006-10-09,74
2006-10-10,75
2006-10-11,75
2006-10-12,75
2006-10-13,75
2006-10-14,75
2006-10-15,76
2006-10-16,76
2006-10-17,76
2006-10-18,76
2006-10-19,77
2006-10-20,77
2006-10-21,77
2006-10-22,77
2006-10-23,77
2006-10-24,78
2006-10-25,78
2006-10-26,78
2006-10-27,78
2006-10-28,79
2006-10-29,79
2006-10-30,79
2006-10-31,79
2006-11-01,80
2006-11-02,80
2006-11-03,80
2006-11-04,80
2006-11-05,80
2006-11-06,81
2006-11-07,81
2006-11-08,81
2006-11-09,81
2006-11-10,81
2006-11-11,82
2006-11-12,82
2006-11-13,82
2006-11-14,82
2006-11-15,82
2006-11-16,83
2006-11-17,83
2006-11-18,83
2006-11-19,83
2006-11-20,83
2006-11-21,84
2006-11-22,84
2006-11-23,84
2006-11-24,84
2006-11-25,84
2006-11-26,85
2006-11-27,85
2006-11-28,85
2006-11-29,85
2006-11-30,85
2006-12-01,86
2006-12-02,86
2006-12-03,86
2006-12-04,86
2006-12-05,86
2006-12-06,87
2006-12-07,87
2006-12-08,87
2006-12-09,87
2006-12-10,88
2006-12-11,88
2006-12-12,88
2006-12-13,88
2006-12-14,88
2006-12-15,89
2006-12-16,89
2006-12-17,89
2006-12-18,89
2006-12-19,90
2006-12-20,90
2006-12-21,90
2006-12-22,90
2006-12-23,90
2006-12-24,91
2006-12-25,91
2006-12-26,91
2006-12-27,91
2006-12-28,92
2006-12-29,92
2006-12-30,92
2006-12-31,92
2007-01-01,93
2007-01-02,93
2007-01-03,93
2007-01-04,93
2007-01-05,93
2007-01-06,94
2007-01-07,94
2007-01-08,94
2007-01-09,94
2007-01-10,95
2007-01-11,95
2007-01-12,95
2007-01-13,95
2007-01-14,95
2007-01-15,96
2007-01-16,96
2007-01-17,96
2007-01-18,96
2007-01-19,97
2007-01-20,97
2007-01-21,97
2007-01-22,97
2007-01-23,97
2007-01-24,98
2007-01-25,98
2007-01-26,98
2007-01-27,98
2007-01-28,99
2007-01-29,99
2007-01-30,99
2007-01-31,99
2007-02-01,100
2007-02-02,98
2007-02-03,96
2007-02-04,94
2007-02-05,92
2007-02-06,90
2007-02-07,88
2007-02-08,87
2007-02-09,85
2007-02-10,83
2007-02-11,81
2007-02-12,79
2007-02-13,77
2007-02-14,75
2007-02-15,74
2007-02-16,72
2007-02-17,70
2007-02-18,68
2007-02-19,66
2007-02-20,64
2007-02-21,62
2007-02-22,61
2007-02-23,59
2007-02-24,57
2007-02-25,55
2007-02-26,53
2007-02-27,51
2007-02-28,49
2007-03-01,48
2007-03-02,48
2007-03-03,48
2007-03-04,48
2007-03-05,48
2007-03-06,48
2007-03-07,48
2007-03-08,48
2007-03-09,48
2007-03-10,48
2007-03-11,48
2007-03-12,48
2007-03-13,48
2007-03-14,48
2007-03-15,48
2007-03-16,48
2007-03-17,48
2007-03-18,48
2007-03-19,48
2007-03-20,48
2007-03-21,48
2007-03-22,48
2007-03-23,48
2007-03-24,48
2007-03-25,48
2007-03-26,48
2007-03-27,48
2007-03-28,48
2007-03-29,48
2007-03-30,48
2007-03-31,48
2007-04-01,48
2007-04-02,48
2007-04-03,48
2007-04-04,48
2007-04-05,48
2007-04-06,48
2007-04-07,48
2007-04-08,48
2007-04-09,48
2007-04-10,48
2007-04-11,48
2007-04-12,48
2007-04-13,48
2007-04-14,48
2007-04-15,48
2007-04-16,48
2007-04-17,48
2007-04-18,48
2007-04-19,48
2007-04-20,48
2007-04-21,48
2007-04-22,48
2007-04-23,48
2007-04-24,48
2007-04-25,48
2007-04-26,48
2007-04-27,48
2007-04-28,48
2007-04-29,48
2007-04-30,48
2007-05-01,48
2007-05-02,48
2007-05-03,48
2007-05-04,48
2007-05-05,48
2007-05-06,49
2007-05-07,49
2007-05-08,49
2007-05-09,49
2007-05-10,50
2007-05-11,50
2007-05-12,50
2007-05-13,50
2007-05-14,50
2007-05-15,51
2007-05-16,51
2007-05-17,51
2007-05-18,51
2007-05-19,52
2007-05-20,52
2007-05-21,52
2007-05-22,52
2007-05-23,52
2007-05-24,53
2007-05-25,53
2007-05-26,53
2007-05-27,53
2007-05-28,54
2007-05-29,54
2007-05-30,54
2007-05-31,54
2007-06-01,55
2007-06-02,55
2007-06-03,55
2007-06-04,56
2007-06-05,56
2007-06-06,56
2007-06-07,57
2007-06-08,57
2007-06-09,57
2007-06-10,58
2007-06-11,58
2007-06-12,59
2007-06-13,59
2007-06-14,59
2007-06-15,60
2007-06-16,60
2007-06-17,60
2007-06-18,61
2007-06-19,61
2007-06-20,61
2007-06-21,62
2007-06-22,62
2007-06-23,63
2007-06-24,63
2007-06-25,63
2007-06-26,64
2007-06-27,64
2007-06-28,64
2007-06-29,65
2007-06-30,65
2007-07-01,66
2007-07-02,65
2007-07-03,65
2007-07-04,64
2007-07-05,64
2007-07-06,63
2007-07-07,63
2007-07-08,62
2007-07-09,62
2007-07-10,61
2007-07-11,61
2007-07-12,60
2007-07-13,60
2007-07-14,59
2007-07-15,59
2007-07-16,58
2007-07-17,58
2007-07-18,57
2007-07-19,57
2007-07-20,56
2007-07-21,56
2007-07-22,55
2007-07-23,55
2007-07-24,54
2007-07-25,54
2007-07-26,53
2007-07-27,53
2007-07-28,52
2007-07-29,52
2007-07-30,51
2007-07-31,51
2007-08-01,51
2007-08-02,50
2007-08-03,50
2007-08-04,50
2007-08-05,50
2007-08-06,50
2007-08-07,50
2007-08-08,50
2007-08-09,50
2007-08-10,50
2007-08-11,50
2007-08-12,49
2007-08-13,49
2007-08-14,49
2007-08-15,49
2007-08-16,49
2007-08-17,49
2007-08-18,49
2007-08-19,49
2007-08-20,49
2007-08-21,49
2007-08-22,48
2007-08-23,48
2007-08-24,48
2007-08-25,48
2007-08-26,48
2007-08-27,48
2007-08-28,48
2007-08-29,48
2007-08-30,48
2007-08-31,48
2007-09-01,48
2007-09-02,48
2007-09-03,48
2007-09-04,48
2007-09-05,48
2007-09-06,48
2007-09-07,48
2007-09-08,48
2007-09-09,48
2007-09-10,48
2007-09-11,48
2007-09-12,48
2007-09-13,48
2007-09-14,48
2007-09-15,48
2007-09-16,48
2007-09-17,48
2007-09-18,48
2007-09-19,48
2007-09-20,48
2007-09-21,48
2007-09-22,48
2007-09-23,48
2007-09-24,48
2007-09-25,48
2007-09-26,48
2007-09-27,48
2007-09-28,48
2007-09-29,48
2007-09-30,48
2007-10-01,48
2007-10-02,47
2007-10-03,47
2007-10-04,47
2007-10-05,47
2007-10-06,47
2007-10-07,47
2007-10-08,47
2007-10-09,46
2007-10-10,46
2007-10-11,46
2007-10-12,46
2007-10-13,46
2007-10-14,46
2007-10-15,46
2007-10-16,46
2007-10-17,45
2007-10-18,45
2007-10-19,45
2007-10-20,45
2007-10-21,45
2007-10-22,45
2007-10-23,45
2007-10-24,45
2007-10-25,44
2007-10-26,44
2007-10-27,44
2007-10-28,44
2007-10-29,44
2007-10-30,44
2007-10-31,44
2007-11-01,44
2007-11-02,44
2007-11-03,44
2007-11-04,44
2007-11-05,44
2007-11-06,44
2007-11-07,44
2007-11-08,44
2007-11-09,44
2007-11-10,44
2007-11-11,44
2007-11-12,44
2007-11-13,44
2007-11-14,44
2007-11-15,44
2007-11-16,44
2007-11-17,44
2007-11-18,44
2007-11-19,44
2007-11-20,44
2007-11-21,44
2007-11-22,44
2007-11-23,44
2007-11-24,44
2007-11-25,44
2007-11-26,44
2007-11-27,44
2007-11-28,44
2007-11-29,44
2007-11-30,44
2007-12-01,45
2007-12-02,45
2007-12-03,45
2007-12-04,45
2007-12-05,45
2007-12-06,45
2007-12-07,45
2007-12-08,45
2007-12-09,45
2007-12-10,45
2007-12-11,45
2007-12-12,45
2007-12-13,45
2007-12-14,45
2007-12-15,45
2007-12-16,45
2007-12-17,46
2007-12-18,46
2007-12-19,46
2007-12-20,46
2007-12-21,46
2007-12-22,46
2007-12-23,46
2007-12-24,46
2007-12-25,46
2007-12-26,46
2007-12-27,46
2007-12-28,46
2007-12-29,46
2007-12-30,46
2007-12-31,46
2008-01-01,47
2008-01-02,46
2008-01-03,46
2008-01-04,46
2008-01-05,46
2008-01-06,46
2008-01-07,46
2008-01-08,45
2008-01-09,45
2008-01-10,45
2008-01-11,45
2008-01-12,45
2008-01-13,45
2008-01-14,44
2008-01-15,44
2008-01-16,44
2008-01-17,44
2008-01-18,44
2008-01-19,44
2008-01-20,43
2008-01-21,43
2008-01-22,43
2008-01-23,43
2008-01-24,43
2008-01-25,43
2008-01-26,42
2008-01-27,42
2008-01-28,42
2008-01-29,42
2008-01-30,42
2008-01-31,42
2008-02-01,42
2008-02-02,42
2008-02-03,42
2008-02-04,42
2008-02-05,42
2008-02-06,42
2008-02-07,42
2008-02-08,42
2008-02-09,42
2008-02-10,42
2008-02-11,42
2008-02-12,42
2008-02-13,42
2008-02-14,42
2008-02-15,42
2008-02-16,42
2008-02-17,42
2008-02-18,42
2008-02-19,42
2008-02-20,42
2008-02-21,42
2008-02-22,42
2008-02-23,42
2008-02-24,42
2008-02-25,42
2008-02-26,42
2008-02-27,42
2008-02-28,42
2008-02-29,42
2008-03-01,42
2008-03-02,42
2008-03-03,42
2008-03-04,42
2008-03-05,43
2008-03-06,43
2008-03-07,43
2008-03-08,44
2008-03-09,44
2008-03-10,44
2008-03-11,45
2008-03-12,45
2008-03-13,45
2008-03-14,46
2008-03-15,46
2008-03-16,46
2008-03-17,47
2008-03-18,47
2008-03-19,47
2008-03-20,48
2008-03-21,48
2008-03-22,48
2008-03-23,49
2008-03-24,49
2008-03-25,49
2008-03-26,50
2008-03-27,50
2008-03-28,50
2008-03-29,51
2008-03-30,51
2008-03-31,51
2008-04-01,52
