Date,XOOM Corporation
2012-07-01,25
2012-07-02,26
2012-07-03,23
2012-07-04,27
2012-07-05,25
2012-07-06,24
2012-07-07,25
2012-07-08,25
2012-07-09,23
2012-07-10,25
2012-07-11,27
2012-07-12,26
2012-07-13,21
2012-07-14,26
2012-07-15,25
2012-07-16,24
2012-07-17,23
2012-07-18,25
2012-07-19,23
2012-07-20,20
2012-07-21,23
2012-07-22,21
2012-07-23,22
2012-07-24,25
2012-07-25,25
2012-07-26,25
2012-07-27,25
2012-07-28,27
2012-07-29,27
2012-07-30,26
2012-07-31,25
2012-08-01,26
2012-08-02,25
2012-08-03,24
2012-08-04,27
2012-08-05,25
2012-08-06,25
2012-08-07,23
2012-08-08,23
2012-08-09,22
2012-08-10,23
2012-08-11,22
2012-08-12,22
2012-08-13,22
2012-08-14,21
2012-08-15,24
2012-08-16,23
2012-08-17,24
2012-08-18,25
2012-08-19,24
2012-08-20,24
2012-08-21,24
2012-08-22,27
2012-08-23,24
2012-08-24,25
2012-08-25,25
2012-08-26,24
2012-08-27,24
2012-08-28,24
2012-08-29,22
2012-08-30,23
2012-08-31,22
2012-09-01,26
2012-09-02,24
2012-09-03,24
2012-09-04,21
2012-09-05,24
2012-09-06,25
2012-09-07,20
2012-09-08,25
2012-09-09,22
2012-09-10,24
2012-09-11,21
2012-09-12,21
2012-09-13,21
2012-09-14,21
2012-09-15,20
2012-09-16,22
2012-09-17,22
2012-09-18,21
2012-09-19,22
2012-09-20,23
2012-09-21,20
2012-09-22,25
2012-09-23,23
2012-09-24,22
2012-09-25,23
2012-09-26,24
2012-09-27,22
2012-09-28,22
2012-09-29,23
2012-09-30,24
2012-10-01,25
2012-10-02,26
2012-10-03,27
2012-10-04,28
2012-10-05,28
2012-10-06,33
2012-10-07,32
2012-10-08,30
2012-10-09,26
2012-10-10,34
2012-10-11,26
2012-10-12,31
2012-10-13,33
2012-10-14,28
2012-10-15,29
2012-10-16,28
2012-10-17,30
2012-10-18,23
2012-10-19,29
2012-10-20,22
2012-10-21,26
2012-10-22,26
2012-10-23,29
2012-10-24,23
2012-10-25,27
2012-10-26,27
2012-10-27,27
2012-10-28,27
2012-10-29,25
2012-10-30,27
2012-10-31,25
2012-11-01,26
2012-11-02,25
2012-11-03,28
2012-11-04,25
2012-11-05,25
2012-11-06,26
2012-11-07,26
2012-11-08,21
2012-11-09,22
2012-11-10,25
2012-11-11,22
2012-11-12,25
2012-11-13,23
2012-11-14,28
2012-11-15,23
2012-11-16,27
2012-11-17,30
2012-11-18,30
2012-11-19,24
2012-11-20,29
2012-11-21,26
2012-11-22,25
2012-11-23,26
2012-11-24,23
2012-11-25,24
2012-11-26,25
2012-11-27,26
2012-11-28,30
2012-11-29,28
2012-11-30,23
2012-12-01,30
2012-12-02,27
2012-12-03,26
2012-12-04,27
2012-12-05,26
2012-12-06,24
2012-12-07,22
2012-12-08,21
2012-12-09,22
2012-12-10,22
2012-12-11,21
2012-12-12,24
2012-12-13,23
2012-12-14,23
2012-12-15,23
2012-12-16,24
2012-12-17,26
2012-12-18,30
2012-12-19,28
2012-12-20,27
2012-12-21,34
2012-12-22,34
2012-12-23,34
2012-12-24,35
2012-12-25,32
2012-12-26,29
2012-12-27,33
2012-12-28,32
2012-12-29,29
2012-12-30,31
2012-12-31,29
2013-01-01,31
2013-01-02,29
2013-01-03,31
2013-01-04,30
2013-01-05,32
2013-01-06,32
2013-01-07,30
2013-01-08,28
2013-01-09,29
2013-01-10,27
2013-01-11,27
2013-01-12,25
2013-01-13,26
2013-01-14,24
2013-01-15,27
2013-01-16,27
2013-01-17,24
2013-01-18,24
2013-01-19,28
2013-01-20,24
2013-01-21,24
2013-01-22,26
2013-01-23,24
2013-01-24,23
2013-01-25,25
2013-01-26,24
2013-01-27,24
2013-01-28,20
2013-01-29,26
2013-01-30,20
2013-01-31,25
2013-02-01,19
2013-02-02,23
2013-02-03,23
2013-02-04,23
2013-02-05,24
2013-02-06,24
2013-02-07,26
2013-02-08,19
2013-02-09,28
2013-02-10,26
2013-02-11,22
2013-02-12,29
2013-02-13,29
2013-02-14,27
2013-02-15,28
2013-02-16,33
2013-02-17,35
2013-02-18,31
2013-02-19,34
2013-02-20,31
2013-02-21,36
2013-02-22,33
2013-02-23,38
2013-02-24,38
2013-02-25,32
2013-02-26,33
2013-02-27,36
2013-02-28,30
2013-03-01,31
2013-03-02,34
2013-03-03,33
2013-03-04,27
2013-03-05,34
2013-03-06,35
