Date,Hyatt Hotels
2009-02-01,42
2009-02-02,45
2009-02-03,48
2009-02-04,51
2009-02-05,55
2009-02-06,58
2009-02-07,61
2009-02-08,64
2009-02-09,66
2009-02-10,68
2009-02-11,70
2009-02-12,73
2009-02-13,75
2009-02-14,77
2009-02-15,78
2009-02-16,80
2009-02-17,81
2009-02-18,82
2009-02-19,83
2009-02-20,84
2009-02-21,85
2009-02-22,81
2009-02-23,73
2009-02-24,69
2009-02-25,65
2009-02-26,61
2009-02-27,57
2009-02-28,53
2009-03-01,57
2009-03-02,64
2009-03-03,68
2009-03-04,73
2009-03-05,78
2009-03-06,83
2009-03-07,88
2009-03-08,82
2009-03-09,72
2009-03-10,67
2009-03-11,61
2009-03-12,55
2009-03-13,50
2009-03-14,44
2009-03-15,45
2009-03-16,47
2009-03-17,49
2009-03-18,50
2009-03-19,51
2009-03-20,53
2009-03-21,54
2009-03-22,52
2009-03-23,49
2009-03-24,48
2009-03-25,46
2009-03-26,44
2009-03-27,43
2009-03-28,41
2009-03-29,44
2009-05-03,85
2009-05-04,81
2009-05-05,77
2009-05-06,72
2009-05-07,68
2009-05-08,64
2009-05-09,60
2009-05-10,62
2009-05-11,64
2009-05-12,66
2009-05-13,68
2009-05-14,70
2009-05-15,72
2009-05-16,74
2009-05-17,77
2009-05-18,81
2009-05-19,84
2009-05-20,86
2009-05-21,89
2009-05-22,92
2009-05-23,95
2009-05-24,90
2009-05-25,84
2009-05-26,79
2009-05-27,75
2009-05-28,70
2009-05-29,65
2009-05-30,61
2009-05-31,64
2009-06-01,67
2009-06-02,70
2009-06-03,74
2009-06-04,77
2009-06-05,80
2009-06-06,83
2009-06-07,80
2009-06-08,77
2009-06-09,73
2009-06-10,70
2009-06-11,67
2009-06-12,64
2009-06-13,60
2009-06-14,61
2009-06-15,62
2009-06-16,63
2009-06-17,64
2009-06-18,65
2009-06-19,66
2009-06-20,67
2009-06-21,67
2009-06-22,66
2009-06-23,65
2009-06-24,64
2009-06-25,64
2009-06-26,63
2009-06-27,62
2009-06-28,64
2009-06-29,66
2009-06-30,68
2009-07-01,69
2009-07-02,71
2009-07-03,73
2009-07-04,74
2009-07-05,72
2009-07-06,68
2009-07-07,65
2009-07-08,62
2009-07-09,60
2009-07-10,57
2009-07-11,54
2009-07-12,58
2009-07-13,62
2009-07-14,65
2009-07-15,68
2009-07-16,72
2009-07-17,75
2009-07-18,79
2009-07-19,79
2009-07-20,80
2009-07-21,80
2009-07-22,80
2009-07-23,80
2009-07-24,80
2009-07-25,80
2009-07-26,77
2009-08-02,54
2009-08-03,56
2009-08-04,58
2009-08-05,60
2009-08-06,62
2009-08-07,64
2009-08-08,66
2009-08-09,68
2009-08-10,69
2009-08-11,71
2009-08-12,73
2009-08-13,75
2009-08-14,77
2009-08-15,79
2009-08-16,78
2009-08-17,79
2009-08-18,78
2009-08-19,78
2009-08-20,78
2009-08-21,78
2009-08-22,78
2009-08-23,79
2009-08-24,79
2009-08-25,80
2009-08-26,80
2009-08-27,81
2009-08-28,82
2009-08-29,83
2009-08-30,80
2009-08-31,79
2009-09-01,76
2009-09-02,73
2009-09-03,71
2009-09-04,69
2009-09-05,66
2009-09-06,63
2009-09-07,56
2009-09-08,54
2009-09-09,51
2009-09-10,48
2009-09-11,45
2009-09-12,42
2009-09-13,46
2009-09-14,51
2009-09-15,56
2009-09-16,60
2009-09-17,65
2009-09-18,69
2009-09-19,74
2009-09-20,73
2009-09-21,73
2009-09-22,73
2009-09-23,72
2009-09-24,72
2009-09-25,72
2009-09-26,71
2009-09-27,71
2009-09-28,72
2009-09-29,72
2009-09-30,72
2009-10-01,72
2009-10-02,72
2009-10-03,72
2009-10-04,69
2009-10-05,66
2009-10-06,62
2009-10-07,59
2009-10-08,56
2009-10-09,53
2009-10-10,49
2009-10-11,48
2009-10-12,46
2009-10-13,45
2009-10-14,44
2009-10-15,43
2009-10-16,42
2009-10-17,41
2009-10-18,44
2009-10-19,48
2009-10-20,51
2009-10-21,54
2009-10-22,57
2009-10-23,60
2009-10-24,63
2009-10-25,60
2009-11-01,52
2009-11-02,58
2009-11-03,64
2009-11-04,70
2009-11-05,76
2009-11-06,81
2009-11-07,87
2009-11-08,86
2009-11-09,84
2009-11-10,83
2009-11-11,82
2009-11-12,82
2009-11-13,81
2009-11-14,80
2009-11-15,82
2009-11-16,86
2009-11-17,88
2009-11-18,90
2009-11-19,93
2009-11-20,95
2009-11-21,97
2009-11-22,94
2009-11-23,89
2009-11-24,85
2009-11-25,82
2009-11-26,78
2009-11-27,74
2009-11-28,70
2009-11-29,69
2009-11-30,67
2009-12-01,66
2009-12-02,64
2009-12-03,63
2009-12-04,62
2009-12-05,61
2009-12-06,61
2009-12-07,61
2009-12-08,61
2009-12-09,61
2009-12-10,61
2009-12-11,61
2009-12-12,61
2009-12-13,60
2009-12-14,60
2009-12-15,59
2009-12-16,59
2009-12-17,58
2009-12-18,57
2009-12-19,56
2009-12-20,54
2009-12-21,51
2009-12-22,49
2009-12-23,47
2009-12-24,45
2009-12-25,42
2009-12-26,40
2009-12-27,43
2009-12-28,45
2009-12-29,47
2009-12-30,50
2009-12-31,52
2010-01-01,54
2010-01-02,57
2010-01-03,57
2010-01-04,57
2010-01-05,58
2010-01-06,58
2010-01-07,59
2010-01-08,59
2010-01-09,60
2010-01-10,59
2010-01-11,59
2010-01-12,58
2010-01-13,57
2010-01-14,57
2010-01-15,56
2010-01-16,55
2010-01-17,59
2010-01-18,63
2010-01-19,67
2010-01-20,71
2010-01-21,75
2010-01-22,78
2010-01-23,82
2010-01-24,80
2010-01-25,77
2010-01-26,75
2010-01-27,73
2010-01-28,71
2010-01-29,69
2010-01-30,67
2010-01-31,67
2010-02-07,65
2010-02-08,62
2010-02-09,60
2010-02-10,58
2010-02-11,56
2010-02-12,54
2010-02-13,52
2010-02-14,53
2010-02-15,54
2010-02-16,54
2010-02-17,55
2010-02-18,56
2010-02-19,57
2010-02-20,57
2010-02-21,61
2010-02-22,66
2010-02-23,70
2010-02-24,74
2010-02-25,78
2010-02-26,82
2010-02-27,87
2010-02-28,86
2010-03-01,85
2010-03-02,84
2010-03-03,83
2010-03-04,82
2010-03-05,81
2010-03-06,80
2010-03-07,78
2010-03-08,75
2010-03-09,74
2010-03-10,72
2010-03-11,70
2010-03-12,69
2010-03-13,67
2010-03-14,70
2010-03-15,73
2010-03-16,75
2010-03-17,78
2010-03-18,81
2010-03-19,83
2010-03-20,86
2010-03-21,85
2010-03-22,82
2010-03-23,81
2010-03-24,80
2010-03-25,79
2010-03-26,78
2010-03-27,77
2010-03-28,78
2010-05-02,72
2010-05-03,70
2010-05-04,69
2010-05-05,69
2010-05-06,68
2010-05-07,67
2010-05-08,66
