Date,Community Choice Financial
2012-05-05,72
2012-05-06,71
2012-05-07,71
2012-05-08,71
2012-05-09,71
2012-05-10,70
2012-05-11,70
2012-05-12,70
2012-05-13,70
2012-05-14,70
2012-05-15,69
2012-05-16,69
2012-05-17,69
2012-05-18,69
2012-05-19,68
2012-05-20,68
2012-05-21,68
2012-05-22,68
2012-05-23,68
2012-05-24,67
2012-05-25,67
2012-05-26,67
2012-05-27,67
2012-05-28,66
2012-05-29,66
2012-05-30,66
2012-05-31,66
2012-06-01,66
2012-06-02,66
2012-06-03,66
2012-06-04,66
2012-06-05,66
2012-06-06,66
2012-06-07,66
2012-06-08,66
2012-06-09,66
2012-06-10,66
2012-06-11,66
2012-06-12,66
2012-06-13,66
2012-06-14,66
2012-06-15,66
2012-06-16,66
2012-06-17,66
2012-06-18,66
2012-06-19,66
2012-06-20,66
2012-06-21,66
2012-06-22,66
2012-06-23,66
2012-06-24,66
2012-06-25,66
2012-06-26,66
2012-06-27,66
2012-06-28,66
2012-06-29,66
2012-06-30,66
2012-07-01,66
2012-07-02,66
2012-07-03,66
2012-07-04,66
2012-07-05,66
2012-07-06,66
2012-07-07,66
2012-07-08,66
2012-07-09,66
2012-07-10,66
2012-07-11,66
2012-07-12,66
2012-07-13,66
2012-07-14,66
2012-07-15,66
2012-07-16,66
2012-07-17,66
2012-07-18,66
2012-07-19,66
2012-07-20,66
2012-07-21,66
2012-07-22,66
2012-07-23,66
2012-07-24,66
2012-07-25,66
2012-07-26,66
2012-07-27,66
2012-07-28,66
2012-07-29,66
2012-07-30,66
2012-07-31,66
2012-08-01,66
2012-08-02,66
2012-08-03,66
2012-08-04,66
2012-08-05,66
2012-08-06,66
2012-08-07,66
2012-08-08,66
2012-08-09,66
2012-08-10,66
2012-08-11,66
2012-08-12,66
2012-08-13,66
2012-08-14,66
2012-08-15,66
2012-08-16,66
2012-08-17,66
2012-08-18,66
2012-08-19,66
2012-08-20,66
2012-08-21,66
2012-08-22,66
2012-08-23,66
2012-08-24,66
2012-08-25,66
2012-08-26,66
2012-08-27,66
2012-08-28,66
2012-08-29,66
2012-08-30,66
2012-08-31,66
2012-09-01,66
2012-09-02,66
2012-09-03,66
2012-09-04,66
2012-09-05,66
2012-09-06,66
2012-09-07,66
2012-09-08,66
2012-09-09,66
2012-09-10,66
2012-09-11,66
2012-09-12,66
2012-09-13,66
2012-09-14,66
2012-09-15,66
2012-09-16,66
2012-09-17,66
2012-09-18,66
2012-09-19,66
2012-09-20,66
2012-09-21,66
2012-09-22,66
2012-09-23,66
2012-09-24,66
2012-09-25,66
2012-09-26,66
2012-09-27,66
2012-09-28,66
2012-09-29,66
2012-09-30,66
2012-10-01,66
2012-10-02,66
2012-10-03,66
2012-10-04,66
2012-10-05,66
2012-10-06,66
2012-10-07,66
2012-10-08,66
2012-10-09,66
2012-10-10,66
2012-10-11,66
2012-10-12,66
2012-10-13,66
2012-10-14,66
2012-10-15,66
2012-10-16,66
2012-10-17,66
2012-10-18,66
2012-10-19,66
2012-10-20,66
2012-10-21,66
2012-10-22,66
2012-10-23,66
2012-10-24,66
2012-10-25,66
2012-10-26,66
2012-10-27,66
2012-10-28,66
2012-10-29,66
2012-10-30,66
2012-10-31,66
2012-11-01,66
2012-11-02,66
2012-11-03,66
2012-11-04,66
2012-11-05,66
2012-11-06,66
2012-11-07,66
2012-11-08,66
2012-11-09,66
2012-11-10,66
2012-11-11,66
2012-11-12,66
2012-11-13,66
2012-11-14,66
2012-11-15,66
2012-11-16,66
2012-11-17,66
2012-11-18,66
2012-11-19,66
2012-11-20,66
2012-11-21,66
2012-11-22,66
2012-11-23,66
2012-11-24,66
2012-11-25,66
2012-11-26,66
2012-11-27,66
2012-11-28,66
2012-11-29,66
2012-11-30,66
2012-12-01,66
2012-12-02,66
2012-12-03,66
2012-12-04,66
2012-12-05,66
2012-12-06,66
2012-12-07,66
2012-12-08,66
2012-12-09,66
2012-12-10,66
2012-12-11,66
2012-12-12,66
2012-12-13,66
2012-12-14,66
2012-12-15,66
2012-12-16,66
2012-12-17,66
2012-12-18,66
2012-12-19,66
2012-12-20,66
2012-12-21,66
2012-12-22,66
2012-12-23,66
2012-12-24,66
2012-12-25,66
2012-12-26,66
2012-12-27,66
2012-12-28,66
2012-12-29,66
2012-12-30,66
2012-12-31,66
2013-01-01,67
2013-01-02,64
2013-01-03,62
2013-01-04,60
2013-01-05,58
2013-01-06,56
2013-01-07,54
2013-01-08,51
2013-01-09,49
2013-01-10,47
2013-01-11,45
2013-01-12,43
2013-01-13,41
2013-01-14,38
2013-01-15,36
2013-01-16,34
2013-01-17,32
2013-01-18,30
2013-01-19,28
2013-01-20,25
2013-01-21,23
2013-01-22,21
2013-01-23,19
2013-01-24,17
2013-01-25,15
2013-01-26,12
2013-01-27,10
2013-01-28,8
2013-01-29,6
2013-01-30,4
2013-01-31,2
